Time,Block,NR/2023/16437/F,NR/2023/13242/A,NR/2023/15770/A,NR/2023/13383/A,NR/2023/13385/A,NR/2023/13254/A,NR/2023/16844/D,NR/2023/13148/A,NR/2023/13636/A,NR/2023/13253/A,NR/2023/13908/A,NR/2023/16073/A,NR/2023/16893/D,NR/2023/16520/F,NR/2023/13165/A,NR/2023/16905/C,NR/2023/16843/D,NR/2023/16908/C,NR/2023/13519/A,NR/2023/16724/F,NR/2023/13376/A,NR/2023/13150/A,NR/2023/16291/F,NR/2023/16291/F/II,NR/2023/16185/A,NR/2023/16077/A,NR/2023/16191/A,NR/2023/13387/A,NR/2023/16892/D,NR/2023/16890/D,ER/2023/10705/C,Total
8,01:45-02:00,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.780000,58.430000,0.000000,20.300000,63.030000,0.130000,0.500000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1288.17

9,02:00-02:15,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.690000,58.430000,0.000000,20.300000,63.030000,0.000000,0.630000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1288.08

10,02:15-02:30,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.690000,58.430000,0.000000,20.300000,63.030000,0.000000,0.630000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1288.08

11,02:30-02:45,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.690000,58.430000,0.000000,20.300000,63.030000,0.000000,0.630000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1286.06

12,02:45-03:00,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.690000,58.430000,0.000000,20.300000,63.030000,0.000000,0.630000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1286.06

13,03:00-03:15,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.600000,0.000000,193.340000,20.300000,63.030000,0.000000,0.630000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1384.41

14,03:15-03:30,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.600000,0.000000,193.340000,20.300000,63.030000,0.000000,0.630000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1384.41

15,03:30-03:45,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.600000,0.000000,193.340000,20.300000,63.030000,0.000000,0.630000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1384.41

16,03:45-04:00,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.600000,0.000000,193.340000,20.300000,63.030000,0.000000,0.630000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1384.41

17,04:00-04:15,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.500000,0.000000,193.340000,20.300000,63.030000,0.000000,0.580000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1384.26

18,04:15-04:30,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.500000,0.000000,193.340000,20.300000,63.030000,0.000000,0.580000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1384.26

19,04:30-04:45,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.500000,0.000000,193.340000,20.300000,63.030000,0.000000,0.580000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1384.26

20,04:45-05:00,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.500000,0.000000,193.340000,20.300000,63.030000,0.000000,0.580000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1384.26

21,05:00-05:15,148.040000,0.000000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.420000,0.000000,193.340000,20.300000,63.030000,0.000000,0.580000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1354.6

22,05:15-05:30,148.040000,0.000000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.420000,0.000000,193.340000,20.300000,63.030000,0.000000,0.580000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1354.6

23,05:30-05:45,148.040000,0.000000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.420000,0.000000,193.340000,20.300000,63.030000,0.000000,0.580000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1354.6

24,05:45-06:00,148.040000,0.000000,29.000000,46.110000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,4.030000,67.670000,9.420000,0.000000,193.340000,20.300000,63.030000,0.000000,0.580000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1354.6

25,06:00-06:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.320000,0.000000,193.340000,20.300000,63.030000,0.000000,0.680000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1202.92

26,06:15-06:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.320000,0.000000,193.340000,20.300000,63.030000,0.000000,0.680000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1202.92

27,06:30-06:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.320000,0.000000,193.340000,20.300000,63.030000,0.000000,0.680000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1202.92

28,06:45-07:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,0.000000,0.000000,22.230000,6.050000,67.670000,9.320000,0.000000,193.340000,20.300000,63.030000,0.000000,0.680000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1202.92

29,07:00-07:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.320000,0.000000,193.340000,20.300000,63.030000,0.000000,0.680000,77.340000,0.000000,142.100000,100.050000,38.670000,0.23,2.000000,1256.2

30,07:15-07:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.320000,0.000000,193.340000,20.300000,63.030000,0.000000,0.680000,77.340000,0.000000,142.100000,100.050000,38.670000,0.44,2.000000,1256.41

31,07:30-07:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.320000,0.000000,193.340000,20.300000,63.030000,0.000000,0.680000,77.340000,0.000000,142.100000,100.050000,38.670000,0.45,2.000000,1256.42

32,07:45:08:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.320000,0.000000,193.340000,20.300000,63.030000,0.000000,0.680000,77.340000,0.000000,142.100000,100.050000,38.670000,0.52,2.000000,1256.49

33,08:00-08:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,1.010000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,1.3,2.000000,1255.45

34,08:15-08:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,1.010000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,1.61,2.000000,1255.76

35,08:30-08:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,1.010000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,1.36,2.000000,1255.51

36,08:45:09:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,1.010000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,2.18,2.000000,1256.33

37,09:00:09:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,3.66,2.000000,1259.83

38,09:15-09:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,4.35,2.000000,1260.52

39,09:30-09:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,4.46,2.000000,1260.63

40,09:45-10:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,4.16,2.000000,1260.33

41,10:00-10:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,4.55,2.000000,1260.63

42,10:15-10:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,5.7,2.000000,1261.78

43,10:30-10:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,7.53,2.000000,1263.61

44,10:45-11:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,8.05,2.000000,1264.13

45,11:00-11:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,7.98,2.000000,1264.06

46,11:15-11:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,6.06,2.000000,1262.14

47,11:30-11:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,3.68,2.000000,1259.76

48,11:45-12:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,2.41,2.000000,1258.49

49,12:00-12:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,3.96,2.000000,1260.04

50,12:15-12:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,2.94,2.000000,1259.02

51,12:30-12:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,5.21,2.000000,1261.29

52,12:45-13:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,3.030000,67.670000,9.140000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,2.85,2.000000,1258.93

53,13:00-13:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,5.050000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,4.2,2.000000,1262.39

54,13:15-13:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,5.050000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,6.79,2.000000,1264.98

55,13:30-13:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,5.050000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,3.26,2.000000,1261.45

56,13:45-14:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,5.050000,67.670000,9.230000,0.000000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,6.18,2.000000,1264.37

57,14:00-14:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,5.050000,67.670000,9.320000,58.430000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,4.44,2.000000,1321.15

58,14:15-14:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,5.050000,67.670000,9.320000,58.430000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,2.49,2.000000,1319.2

59,14:30-14:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,5.050000,67.670000,9.320000,58.430000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,3.51,2.000000,1320.22

60,14:45-15:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,5.050000,67.670000,9.320000,58.430000,193.340000,20.300000,63.030000,0.000000,0.970000,77.340000,0.000000,142.100000,100.050000,38.670000,1.87,2.000000,1318.58

61,15:00-15:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.420000,58.430000,193.340000,20.300000,63.030000,0.000000,0.870000,77.340000,0.000000,142.100000,100.050000,24.170000,2.43,2.000000,1307.66

62,15:15-15:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.420000,58.430000,193.340000,20.300000,63.030000,0.000000,0.870000,77.340000,0.000000,142.100000,100.050000,24.170000,1.85,2.000000,1307.08

63,15:30-15:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.420000,58.430000,193.340000,20.300000,63.030000,0.000000,0.870000,77.340000,0.000000,142.100000,100.050000,0.000000,1.9,2.000000,1282.96

64,15:45-16:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.420000,58.430000,193.340000,20.300000,63.030000,0.000000,0.870000,77.340000,0.000000,142.100000,100.050000,0.000000,1.87,2.000000,1282.93

65,16:00-16:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.500000,58.430000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0.95,2.000000,1282.04

66,16:15-16:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.500000,58.430000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,1.64,2.000000,1282.73

67,16:30-16:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.500000,58.430000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,1.52,2.000000,1282.61

68,16:45-17:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.500000,58.430000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0.51,2.000000,1281.6

69,17:00-17:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.600000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0.17,2.000000,1222.93

70,17:15-17:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.600000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0.39,2.000000,1223.15

71,17:30-17:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.600000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0.37,2.000000,1223.13

