Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2025/09/01/5590,GNA/NR/2025/09/01/7205,GNA/NR/2025/09/01/2909,GNA/NR/2025/09/01/5084,GNA/NR/2025/09/01/4314,GNA/NR/2025/09/01/6485,NR/30092023/26122029/SH-06,GNA/NR/2025/09/01/7215,GNA/NR/2025/09/01/7452,GNA/NR/2025/09/01/2039,GNA/NR/2025/09/01/4602,GNA/NR/2025/09/01/9239,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/9418,NR/2025/34682/A/102391,NR/2025/34712/A/102144,NR/2025/34681/A/102396,NR/2025/34683/A/102386,NR/2025/34713/A/102142,NR/2025/34681/A/102399,NR/2025/34683/A/102387,NR/2025/34682/A/102390,NR/2025/34710/A/102145,NR/2025/34615/A/102118,GNARE/NR/2024/12/20/3668,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/6755,NR/2025/29992/A/102343,NR/2025/34527/A/102442,NR/2025/34853/A/102131,NR/2025/33476/A/102432,NR/2025/33479/A/102433,NR/2025/34822/A/102094,NR/2025/29440/A/101971,NR/2025/34323/A/102565,NR/2025/34528/A/102439,NR/2025/34529/A/102443,NR/2025/34545/A/102544,NR/2025/33226/A/102466,NR/2025/34676/A/102463,NR/2025/34324/A/102564,NR/2025/34325/A/102550,NR/2025/34499/A/102134,NR/2025/29910/A/102573,Total
3,00:30-00:45,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.87,24.09,40.96,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.92

4,00:45-01:00,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.87,24.09,40.96,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.92

5,01:00-01:15,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.63,24.09,40.96,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.68

6,01:15-01:30,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.63,24.09,40.96,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.68

7,01:30-01:45,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.63,24.09,40.96,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.68

8,01:45-02:00,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.63,24.09,40.96,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.68

9,02:00-02:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.63,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.68

10,02:15-02:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.63,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.68

11,02:30-02:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.63,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.68

12,02:45-03:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.63,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.68

13,03:00-03:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.5799999999999

14,03:15-03:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.5799999999999

15,03:30-03:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.5799999999999

16,03:45-04:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.5799999999999

17,04:00-04:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.5799999999999

18,04:15-04:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.5799999999999

19,04:30-04:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.5799999999999

20,04:45-05:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,4.82,0,0,12.53,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,192.74,1009.5799999999999

21,05:00-05:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,0,0,0,12.53,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,840.9299999999998

22,05:15-05:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,0,0,0,12.53,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,840.9299999999998

23,05:30-05:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,0,0,0,11.56,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,839.9599999999999

24,05:45-06:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,0,0,0,0,11.56,0.53,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,839.9599999999999

25,06:00-06:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,44.33,0,0,0,0,11.56,0.82,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,840.2799999999999

26,06:15-06:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0,0,0,0,0,0,0,2,1.19,0,0,0,44.33,0,0,0,0,11.56,0.82,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,843.4399999999999

27,06:30-06:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0.04,0.11,0,0,0,0.07,0,6,3.92,0,0,0,44.33,0,0,0,0,11.56,0.82,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,850.39

28,06:45-07:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0.05,0.2,0,0,0,0.11,0,13,6.69,0,0,0,44.33,0,0,0,0,11.56,0.82,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,860.3

29,07:00-07:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0.16,0.33,0,0,0,0.16,0,19,10.2,0,0,0,44.33,0,0,0,0,11.56,0.87,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,870.15

30,07:15-07:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0.19,0.39,0,0,0,0.19,0,29,14.46,0,0,0,44.33,0,0,0,0,11.56,0.87,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,884.5299999999999

31,07:30-07:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0.13,0.27,0,0,0,0.13,0,39,19.34,0,0,0,44.33,0,0,0,0,11.56,0.87,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,899.1699999999998

32,07:45-08:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0.09,0.18,0,0,0,0.13,0,53,24.81,0,0,0,44.33,0,0,0,0,11.56,0.87,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,918.5099999999999

33,08:00-08:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0,0,0.07,0.13,1.16,0,0.96,0.1,1.64,63,30.84,0,0,0,44.33,0,0,0,0,11.56,0.96,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,938.2899999999998

34,08:15-08:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.67,0,0.06,0.13,1.16,0.58,0.96,0.1,1.64,77,37.31,0,0,0,44.33,0,0,0,0,11.56,0.96,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,28.91,960

35,08:30-08:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,0,0.06,0.13,1.16,0.58,0.96,0.1,1.64,91,43.9,0,0,0,44.33,0,0,0,0,13.49,0.96,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,31.97,985.6800000000001

36,08:45-09:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,0,0.06,0.13,1.16,0.67,0.96,0.1,1.64,105,50.44,0,0,0,44.33,0,0,0,0,13.49,0.96,24.09,0,81.91,40.96,48.18,48.18,24.09,24.09,122.87,31.97,1006.3100000000001

37,09:00-09:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,0,0.19,0.48,1.16,0.67,0.96,0.29,1.64,119,56.75,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,694.8300000000002

38,09:15-09:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,0,0.19,0.48,1.16,0.67,0.96,0.29,1.64,130,62.81,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,711.8900000000001

39,09:30-09:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,0,0.19,0.48,1.16,0.58,0.96,0.29,1.64,140,68.46,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,727.45

40,09:45-10:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,0,0.11,0.26,1.16,0.67,0.96,0.15,1.64,151,73.78,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,743.4200000000001

41,10:00-10:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.11,0.26,1.16,0.67,0.96,0.15,1.64,158,78.64,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,756.73

42,10:15-10:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.11,0.26,1.16,0.67,0.96,0.15,1.64,165,83.1,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,768.19

43,10:30-10:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,172,86.98,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,778.9200000000001

44,10:45-11:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,90.28,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,789.22

45,11:00-11:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,92.35,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,791.2900000000001

46,11:15-11:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,93.28,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,792.22

47,11:30-11:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,93.41,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,792.35

48,11:45-12:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,93.41,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,792.35

49,12:00-12:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,93.41,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,792.35

50,12:15-12:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,93.41,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,792.35

51,12:30-12:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,93.41,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,792.35

52,12:45-13:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,93.41,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,792.35

53,13:00-13:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,93.41,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,792.35

54,13:15-13:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,93.41,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,792.35

55,13:30-13:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,93.41,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,792.35

56,13:45-14:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,179,92.67,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,791.61

57,14:00-14:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,172,91.67,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,783.61

58,14:15-14:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.08,0.18,1.16,0.67,0.96,0.11,1.64,165,90,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,774.94

59,14:30-14:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.06,0.15,1.16,0.67,0.96,0.09,1.64,158,88.33,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,766.2

60,14:45-15:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.07,0.15,1.16,0.67,0.96,0.1,1.64,151,86,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,756.8900000000001

61,15:00-15:15,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.11,0.26,1.16,0.58,0.96,0.15,1.64,144,83.33,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,747.33

62,15:15-15:30,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.19,0.48,1.16,0.67,0.96,0.29,1.64,133,80.32,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,733.8500000000001

63,15:30-15:45,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.19,0.48,1.16,0.67,0.96,0.29,1.64,123,75.41,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,718.94

64,15:45-16:00,0,36.86,14.6,20.48,61.44,20.48,20.48,0,12.29,15.27,20.48,40.96,28.98,28.67,19.27,0.77,1.45,0.19,0.48,1.16,0.67,0.96,0.29,1.64,112,69.87,0,0,0,44.33,0,0,0,0,13.49,0.96,0,0,81.91,0,0,0,0,0,0,31.97,702.4000000000001

