Column1,Block,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/27356/A/81053,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/80654,NR/2025/26860/A/81085,NR/2025/26861/A/81188,NR/2025/27167/A/80826,NR/2025/27725/A/81243,NR/2025/27728/A/81241,NR/2025/27726/A/81242,NR/2025/27187/A/81246,NR/2025/27185/A/81247,NR/2025/26777/A/80703,NR/2025/28849/A/81048,NR/2025/28993/C,NR/2025/29159/C,NR/2025/27506/A/80658,NR/2025/26571/A/81190,NR/2025/27168/A/80828,NR/2025/26975/A/81249,NR/2025/26952/A/80632,NR/2025/26785/A/80602,NR/2025/28851/A/81050,NR/2025/27500/A/80659,NR/2025/27088/A/81123,NR/2025/27100/A/81097,NR/2025/26889/A/81116,NR/2025/27162/A/81248,NR/2025/27499/A/81115,NR/2025/26562/A/81194,NR/2025/27281/A/81226,NR/2025/27727/A/81240,NR/2025/27157/A/80728,NR/2025/27242/A/81080,NR/2025/28719/A/80753,NR/2025/29116/C,NR/2025/26565/A/81193,NR/2025/27782/A/81239,NR/2025/26566/A/81192,NR/2025/26085/A/80613,NR/2025/26445/A/81131,NR/2025/26572/A/81189,NR/2025/29137/C,NR/2025/29133/C,NR/2025/29067/C,NR/2025/29135/C,NR/2025/29126/C,NR/2025/29100/C,NR/2025/29134/C,NR/2025/29101/C,NR/2025/29127/C,NR/2025/29102/C,NR/2025/29128/C,NR/2025/29143/C,NR/2025/29066/C,NR/2025/29132/C,NR/2025/29106/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,NR/2025/29125/C,GNA/NR/2025/06/01/7782,NR/2025/29124/C,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/5280,NR/2025/29009/C,GNA/NR/2025/06/16/8791,Total
13,03:00-03:15,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.39,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,5.8,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.53,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2732.6499999999996

14,03:15-03:30,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.39,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,5.8,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.53,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2732.6499999999996

15,03:30-03:45,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.39,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,5.8,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.53,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2732.6499999999996

16,03:45-04:00,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.39,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,145.11,24.18,5.8,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,217.57,48.37,10.64,0,145.11,8.79,0,0.53,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2732.6499999999996

17,04:00-04:15,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.29,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,10.64,0,0,8.79,0,0.53,96.74,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2224.7599999999998

18,04:15-04:30,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.29,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,10.64,0,0,8.79,0,0.53,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,205.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2159.19

19,04:30-04:45,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.29,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,10.64,0,0,8.79,0,0.53,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1954.1000000000004

20,04:45-05:00,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.29,0,0,0,106.41,0,24.18,8.79,26.38,26.38,19.35,19.35,193.48,135.44,0,1.93,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,10.64,0,0,8.79,0,0.53,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1954.1000000000004

21,05:00-05:15,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.2,0,0,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,1.93,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,10.64,0,0,8.79,0,0.63,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1760.6200000000001

22,05:15-05:30,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.2,0,0,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,1.93,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,10.64,0,0,8.79,0,0.63,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1760.6200000000001

23,05:30-05:45,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.2,0,0.2,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,0.97,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,10.64,0,0,8.79,0,0.63,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1759.8600000000004

24,05:45-06:00,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.2,1,0.47,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,1.93,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,9.67,0,0,8.79,0,0.63,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1761.1200000000003

25,06:00-06:15,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.11,2,1.8,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,1.93,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,9.67,0,0,8.79,0,0.68,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1763.41

26,06:15-06:30,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.11,4,3.73,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,1.93,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,9.67,0,0,8.79,0,0.68,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1767.34

27,06:30-06:45,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.11,7,5.46,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,1.93,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,9.67,0,0,8.79,0,0.68,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1772.07

28,06:45-07:00,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.11,11,8.86,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,0.97,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,9.67,0,0,8.79,0,0.68,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1778.51

29,07:00-07:15,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.02,14,12.98,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,0.97,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,9.67,0,0,8.79,0,0.87,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1785.73

30,07:15-07:30,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,16.02,21,17.83,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,0.97,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,9.67,0,0,8.79,0,0.87,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1797.58

31,07:30-07:45,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,18.33,28,23.19,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,0.97,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,9.67,0,0,8.79,0,0.87,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1812.25

32,07:45-08:00,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,29.2,18.33,39,29.09,0,106.41,0,24.18,8.79,26.38,26.38,0,19.35,193.48,0,0,0.97,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,26.38,0,48.37,9.67,0,0,8.79,0,0.87,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1829.15

33,08:00-08:15,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,17.41,18.15,42,21.6,3.64,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,0,0,1.93,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,43.97,0,48.37,9.67,0,0,14.66,0,0.97,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,1875.3100000000002

34,08:15-08:30,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,17.41,18.15,53,29,4.27,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,0,0,0.97,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,43.97,0,48.37,10.64,0,0,14.66,0,0.97,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,135.44,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2029.7900000000004

