Time,Block,NR/2024/18265/C,WR/2023/20914/A/2727,WR/2023/20937/A/2730,NR/2024/18269/C,NR/2023/18074/A/2597,NR/2023/18204/A/2608,NR/2023/18183/A/2731,Total
78,19:15-19:30,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

79,19:30-19:45,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

80,19:45-20:00,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

81,20:00-20:15,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

82,20:15-20:30,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

83,20:30-20:45,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

84,20:45-21:00,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

85,21:00-21:15,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

86,21:15-21:30,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

87,21:30-21:45,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

88,21:45-22:00,0,55.000000,25.000000,0.000000,0.580000,5.760000,158.480000,244.82

89,22:00-22:15,0,55.000000,0.000000,0.000000,0.480000,5.760000,0.000000,61.24

90,22:15-22:30,0,55.000000,0.000000,0.000000,0.480000,5.760000,0.000000,61.24

91,22:30-22:45,0,55.000000,0.000000,0.000000,0.480000,5.760000,0.000000,61.24

92,22:45-23:00,0,55.000000,0.000000,0.000000,0.480000,5.760000,0.000000,61.24

93,23:00-23:15,0,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,6.24

94,23:15-23:30,0,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,6.24

95,23:30-23:45,0,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,6.24

96,23:45-24:00,0,0.000000,0.000000,0.000000,0.480000,5.760000,0.000000,6.24

