Time,Block,NER/2023/1773/C,NR/2023/18074/A/2079,NR/2023/18182/C,WR/2023/20577/A/2142,NR/2023/18105/A/2035,WR/2023/19446/A,WR/2023/20256/A/2157,NR/2023/17525/A,NR/2023/18062/A/2036,NR/2023/17270/A,Total
16,03:45-04:00,40.000000,0.340000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.21

17,04:00-04:15,40.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.25

18,04:15-04:30,40.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.25

19,04:30-04:45,40.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.25

20,04:45-05:00,40.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,172.25

21,05:00-05:15,0.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,132.25

22,05:15-05:30,0.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,132.25

23,05:30-05:45,0.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,132.25

24,05:45-06:00,0.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,132.25

25,06:00-06:15,0.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.14

26,06:15-06:30,0.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.14

27,06:30-06:45,0.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.14

28,06:45-07:00,0.000000,0.380000,0,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.14

29,07:00-07:15,0.000000,0.530000,0.17,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.46

30,07:15-07:30,0.000000,0.530000,0.43,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.72

31,07:30-07:45,0.000000,0.530000,0.61,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.9

32,07:45:08:00,0.000000,0.530000,1.07,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,182.36

33,08:00-08:15,0.000000,0.770000,1.83,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,133.36

34,08:15-08:30,0.000000,0.770000,1.68,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,133.21

35,08:30-08:45,0.000000,0.770000,1.62,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,133.15

36,08:45:09:00,0.000000,0.770000,1.68,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,133.21

37,09:00:09:15,0.000000,0.770000,2.3,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,133.83

38,09:15-09:30,0.000000,0.770000,3.18,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,134.71

39,09:30-09:45,0.000000,0.770000,4.08,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,135.61

40,09:45-10:00,0.000000,0.770000,4.23,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,135.76

41,10:00-10:15,0.000000,0.770000,5.07,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,136.6

42,10:15-10:30,0.000000,0.770000,4.88,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,136.41

43,10:30-10:45,0.000000,0.770000,5.52,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,137.05

44,10:45-11:00,0.000000,0.770000,5.82,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,50.000000,137.35

45,11:00-11:15,0.000000,0.770000,6.12,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,187.65

46,11:15-11:30,0.000000,0.770000,6.28,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,187.81

47,11:30-11:45,0.000000,0.770000,6.43,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,187.96

48,11:45-12:00,0.000000,0.770000,6.53,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,188.06

49,12:00-12:15,0.000000,0.770000,6.49,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,188.02

50,12:15-12:30,0.000000,0.770000,6.53,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,188.06

51,12:30-12:45,0.000000,0.770000,6.62,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,188.15

52,12:45-13:00,0.000000,0.770000,7.09,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,188.62

53,13:00-13:15,0.000000,0.770000,5.37,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,186.9

54,13:15-13:30,0.000000,0.770000,6.69,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,188.22

55,13:30-13:45,0.000000,0.770000,6.29,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,187.82

56,13:45-14:00,0.000000,0.770000,6.31,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,187.84

57,14:00-14:15,0.000000,0.770000,5.82,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,187.35

58,14:15-14:30,0.000000,0.770000,5.56,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,187.09

59,14:30-14:45,0.000000,0.770000,5.53,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,187.06

60,14:45-15:00,0.000000,0.770000,4.68,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,186.21

61,15:00-15:15,0.000000,0.620000,4.27,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,185.65

62,15:15-15:30,0.000000,0.620000,3.39,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,184.77

63,15:30-15:45,0.000000,0.620000,2.59,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,183.97

64,15:45-16:00,0.000000,0.620000,1.96,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,183.34

65,16:00-16:15,0.000000,0.480000,2.55,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,183.79

66,16:15-16:30,0.000000,0.480000,2.89,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,184.13

67,16:30-16:45,0.000000,0.480000,1.7,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,182.94

68,16:45-17:00,0.000000,0.480000,0.74,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.98

69,17:00-17:15,0.000000,0.480000,0.29,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.53

70,17:15-17:30,0.000000,0.480000,0.36,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.6

71,17:30-17:45,0.000000,0.480000,0.24,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.48

72,17:45-18:00,0.000000,0.480000,0,0.000000,0.960000,75.000000,0.000000,0.000000,4.800000,100.000000,181.24

73,18:00-18:15,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,100.000000,261.29

74,18:15-18:30,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,100.000000,261.29

75,18:30-18:45,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,100.000000,261.29

76,18:45-19:00,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,100.000000,261.29

77,19:00-19:15,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,100.000000,261.29

78,19:15-19:30,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,100.000000,261.29

79,19:30-19:45,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,100.000000,261.29

80,19:45-20:00,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,100.000000,261.29

81,20:00-20:15,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,0.000000,161.29

82,20:15-20:30,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,0.000000,161.29

83,20:30-20:45,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,0.000000,161.29

84,20:45-21:00,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,0.000000,161.29

85,21:00-21:15,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,0.000000,161.29

86,21:15-21:30,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,0.000000,161.29

87,21:30-21:45,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,0.000000,161.29

88,21:45-22:00,0.000000,0.530000,0,55.000000,0.960000,75.000000,25.000000,0.000000,4.800000,0.000000,161.29

89,22:00-22:15,0.000000,0.480000,0,55.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,187.35

90,22:15-22:30,0.000000,0.480000,0,55.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,187.35

91,22:30-22:45,0.000000,0.480000,0,55.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,187.35

92,22:45-23:00,0.000000,0.480000,0,55.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,187.35

93,23:00-23:15,0.000000,0.430000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,132.3

94,23:15-23:30,0.000000,0.430000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,132.3

95,23:30-23:45,0.000000,0.430000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,132.3

96,23:45-24:00,0.000000,0.430000,0,0.000000,0.960000,75.000000,0.000000,51.110000,4.800000,0.000000,132.3

