Block,Time,RIHAND3,SEWA2,JHAJJAR,AURY_LF,RAMPUR,URI2,RIHAND1,AURY_CRF,KOTESHWR,AURY_RF,BSIUL,DADRI_GF,SINGRAULI,ANTA_RF,UNCHAHAR2,RIHAND2,TEHRI,KISHANGANGA,DADRI_CRF,URI,TANAKPUR,TANDA2,UNCHAHAR1,PARBATI3,DULHASTI,RAPPB,KOLDAM,ANTA_LF,CHAMERA1,GANDHAR-NAPM,MOUDA_II,KSTPS I&II,KAPS,SIPAT II,DADRI_RF,MOUDA,SASAN,KHSTPP-I,VSTPS III,VSTPS IV,KSTPS7,SOLAPUR,DADRT2,ANTA_GF,KAWAS-ComGas,ANTA_CRF,UNCHAHAR4,GANDHAR-RLNG,KAWAS-RLNG,SIPAT I,VSTPS II,RAPPC,CHAMERA2,TALA,KHSTPP-II,CHAMERA3,UNCHAHAR3,KAWAS-zLIQ,DADRI_LF,NJPC,VSTPS I,KAWAS-NAPM,GADARWARA-I,LARA-I,GANDHAR-ComGas,NAPP,SALAL,SINGRAULI_HYDRO,GANDHAR-APM,AURY_GF,FSTPP I & II,KHARGONE-I,KAWAS-APM,DHAULIGNGA,BRBCL,VSTPS V,TAPS-II,SIMHST2,NLCTS2EXP,KGSU1AND2,RSTPSU7,NLCIIST2,NTPL,TALST2,NNTPP,RSTPSU1TO6,NLCEXP,KGSU3AND4,KUDGI,MAPS,VALLURNTECL,NLCIIST1,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
18,04:15-04:30,121.902020,16.552026,304.366856,0.000000,0.381296,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,17.820029,3.345696,51.937806,0.000000,0.000000,0.000000,0.000000,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,308.396406,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,22.031969,0.000000,0.000000,19.728169,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,0.000000,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.08,3.64,0.00,0.16,7.50,1.64,2.10,3.11,0.23,0.00,0.77,1.55,0,0,0,0,0

19,04:30-04:45,121.902020,16.552026,294.741491,0.000000,0.381296,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,29.817089,2.458347,0.000000,47.866680,0.000000,2.351036,17.820029,3.345696,51.937806,0.000000,0.000000,0.000000,13.536558,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,292.980406,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,22.031969,0.000000,0.000000,19.728169,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,8.999423,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.08,3.64,0.00,0.16,7.50,1.64,2.10,3.11,0.23,0.00,0.77,1.55,0,0,0,0,0

20,04:45-05:00,121.902020,16.552026,294.741491,0.000000,0.381296,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,19.741908,2.458347,0.000000,47.866680,0.000000,2.351036,17.820029,8.029671,51.937806,0.000000,0.000000,0.000000,13.536558,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,273.710406,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,22.031969,0.000000,0.000000,19.728169,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,8.999423,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.11,3.64,0.00,0.16,7.50,1.64,2.10,3.11,0.23,0.00,0.77,1.55,0,0,0,0,0

21,05:00-05:15,121.902020,16.552026,294.741491,0.000000,0.381296,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,0.000000,2.458347,0.000000,51.057792,0.000000,2.351036,17.820029,52.192864,51.937806,0.000000,0.000000,0.000000,27.073117,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,263.111906,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,22.031969,0.000000,0.000000,19.728169,2.276803,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,19.106467,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.14,3.64,0.00,0.16,7.50,1.64,2.10,3.11,0.23,0.00,0.78,1.55,0,0,0,0,0

22,05:15-05:30,121.902020,16.552026,294.741491,0.000000,0.762595,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,0.000000,2.458347,0.000000,51.057792,0.000000,2.351036,17.820029,52.192864,51.937806,0.000000,0.000000,0.000000,40.609675,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,248.723052,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,22.031969,0.000000,0.000000,39.456339,2.214424,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,19.106467,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.18,3.64,0.00,0.16,7.50,1.64,2.10,3.11,0.23,0.00,0.78,1.55,0,0,0,0,0

23,05:30-05:45,121.902020,16.552026,294.741491,0.000000,0.953244,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,0.000000,2.458347,0.000000,47.866680,0.000000,2.351036,17.820029,52.192864,51.937806,0.000000,0.000000,0.000000,40.609675,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,238.060906,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,22.031969,0.000000,0.000000,49.320423,2.152047,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,28.659701,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.22,3.64,0.00,0.16,7.50,1.64,2.10,3.11,0.23,0.00,0.79,1.55,0,0,0,0,0

24,05:45-06:00,121.902020,16.552026,294.741491,0.000000,1.300496,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,0.000000,2.458347,0.000000,47.866680,0.000000,2.351036,17.820029,52.192864,51.937806,0.000000,0.000000,0.000000,40.609675,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,217.827406,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,30.552328,22.031969,0.000000,0.000000,67.568979,2.110461,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,28.659701,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.26,3.64,0.00,0.16,7.50,1.64,2.10,3.11,0.23,0.00,0.84,1.55,0,0,0,0,0

25,06:00-06:15,121.902020,16.552026,285.106491,0.000000,1.143891,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,0.000000,2.458347,0.000000,47.866680,0.000000,2.351036,17.820029,52.192864,51.937806,0.000000,0.000000,0.000000,40.609675,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,217.827406,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,20.347692,22.031969,0.000000,0.000000,59.184508,2.110461,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,28.659701,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.29,3.64,0.00,0.16,7.50,1.64,2.10,3.11,0.23,0.00,0.85,1.55,0,0,0,0,0

26,06:15-06:30,121.902020,16.552026,285.106491,0.000000,1.409439,33.382780,90.877303,0.000000,8.394844,0.000000,18.943759,0.000000,138.769784,0.000000,41.956548,116.284815,0.000000,2.458347,0.000000,47.866680,0.000000,2.351036,17.820029,52.192864,51.937806,0.000000,0.000000,0.000000,40.609675,0.000000,3.383514,2.860953,0.799281,1.801965,0.000000,1.867362,266.648625,40.939115,1.888156,2.585733,1.292867,3.413167,217.827406,0.000000,0.000000,0.000000,1.375498,0.000000,0.000000,5.119751,1.872044,57.136865,42.042477,0.000000,140.922377,20.347692,22.031969,0.000000,0.000000,73.092867,2.110461,0.000000,2.068586,4.102703,0.000000,42.539088,51.501002,1.036106,0.000000,0.000000,18.214004,3.413168,0.000000,28.659701,10.839401,1.279076,2.691439,1.78,0.84,1.92,1.87,0.32,3.64,0.00,0.16,7.50,1.64,2.10,3.11,0.23,0.00,0.85,1.55,0,0,0,0,0

