Column1,Block,NR/2025/33550/C,NR/2025/33541/C,NR/2025/33552/C,NR/2025/33556/C,NR/2025/33559/C,NR/2025/33539/C,GNA/NR/2025/08/01/6209,NR/2025/32397/A/96266,NR/2025/29992/A/96400,NR/2025/32004/A/96706,NR/2025/31421/A/96838,NR/2025/31041/A/96799,NR/2025/32375/A/96831,NR/2025/31042/A/96800,NR/2025/32554/A/96737,NR/2025/32598/A/96822,NR/2025/29440/A/96339,NR/2025/33233/A/96818,NR/2025/32610/A/96701,NR/2025/32556/A/96703,NR/2025/31046/A/96802,NR/2025/32455/A/96882,NR/2025/31047/A/96801,NR/2025/32559/A/96702,NR/2025/32262/A/96357,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6475,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/2414,NR/2025/33502/C,NR/2025/32653/A/96570,NR/2025/32652/A/96567,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/96773,NR/2025/32535/A/96776,NR/2025/32599/A/96416,NR/2025/32534/A/96774,NR/2025/32857/A/96590,NR/2025/32535/A/96777,NR/2025/33487/C,NR/2025/32532/A/96772,NR/2025/33503/C,NR/2025/32534/A/96775,NR/2025/33449/C,NR/2025/33465/C,NR/2025/33536/C,NR/2025/33537/C,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/1196,Total
3,00:30-00:45,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.87,14.45,26.27,26.27,96.35,48.18,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,14.65,19.27,1498.9099999999996

4,00:45-01:00,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.87,14.45,26.27,26.27,96.35,48.18,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,15.64,19.27,1499.8999999999996

5,01:00-01:15,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.63,14.45,26.27,26.27,96.35,48.18,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,16.68,19.27,1500.6999999999996

6,01:15-01:30,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.63,14.45,26.27,26.27,96.35,48.18,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,17.71,19.27,1501.7299999999996

7,01:30-01:45,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.63,14.45,26.27,26.27,96.35,48.18,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,18.75,19.27,1502.7699999999995

8,01:45-02:00,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.63,14.45,26.27,26.27,96.35,48.18,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,19.74,19.27,1503.7599999999995

9,02:00-02:15,0,192.7,0,0,0,0,96.35,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.63,14.45,26.27,26.27,96.35,0,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,20.78,19.27,1504.7899999999995

10,02:15-02:30,0,192.7,0,0,0,0,96.35,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.63,14.45,26.27,26.27,96.35,0,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,20.78,19.27,1504.7899999999995

11,02:30-02:45,0,192.7,0,0,0,0,96.35,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.63,14.45,26.27,26.27,96.35,0,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,21.81,19.27,1505.8199999999995

12,02:45-03:00,0,192.7,0,0,0,0,96.35,8.67,44.32,105.98,48.18,96.35,48.18,0,163.8,81.9,0.63,14.45,26.27,26.27,96.35,0,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,22.85,19.27,1506.8599999999994

13,03:00-03:15,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,96.35,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,96.35,0,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,23.89,19.27,1478.5299999999997

14,03:15-03:30,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,96.35,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,96.35,0,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,23.89,19.27,1478.5299999999997

15,03:30-03:45,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,96.35,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,96.35,0,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,24.89,19.27,1479.5299999999997

16,03:45-04:00,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,96.35,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,96.35,0,0,26.27,54.2,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,25.92,19.27,1480.5599999999997

17,04:00-04:15,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,26.96,19.27,1234.6999999999996

18,04:15-04:30,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,26.96,19.27,1234.6999999999996

19,04:30-04:45,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,26.96,19.27,1234.6999999999996

20,04:45-05:00,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,27.99,19.27,1235.7299999999996

21,05:00-05:15,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,28.51,19.27,1236.2499999999995

22,05:15-05:30,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,28.51,19.27,1236.2499999999995

23,05:30-05:45,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,11.56,0,0,96.35,28.51,19.27,1235.2799999999995

24,05:45-06:00,0,192.7,0,0,0,0,96.35,8.67,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.53,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0.25,0,0,0,0,0,0,28.9,0,0,0,0,11.56,0,0,96.35,28.51,19.27,1235.5299999999995

25,06:00-06:15,0,192.7,0,0,0,0,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.82,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,0.86,0,0.01,1,0.01,0,0,28.9,0.02,0,0,0,11.56,0,0,96.35,28.51,19.27,1228.7999999999997

26,06:15-06:30,0,192.7,0,0,0,0,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.82,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,1.48,0,0.01,4,0.01,0,0,28.9,0.04,0,0,0,11.56,0,0,96.35,28.51,19.27,1232.4399999999998

27,06:30-06:45,0,192.7,0,0,0,0.84,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.82,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,3.28,0,0.02,8,0.04,0,0,28.9,0.07,0,0,0,11.56,0,0,96.35,28.51,19.27,1239.1499999999996

28,06:45-07:00,0,192.7,0,0,0,1.38,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.82,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,5.79,0,0.03,14,0.06,0,0,28.9,0.13,0,0,0,11.56,0,0,96.35,28.51,19.27,1248.2899999999997

29,07:00-07:15,0,192.7,0,0,0,1.98,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.87,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,8.84,0,0.19,18,0.11,0,0,28.9,0.2,0,0,0,11.56,0,0,96.35,28.51,19.27,1256.2699999999998

30,07:15-07:30,0,192.7,0,0,0,2.98,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.87,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,12.51,0,0.19,25,0.17,0,0,28.9,0.34,0,0,0,11.56,0,0,96.35,28.51,19.27,1268.1399999999996

31,07:30-07:45,0,192.7,0,0,0,3.86,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.87,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,16.8,0,0.19,28,0.19,0,0,28.9,0.39,0,0,0,11.56,0,0,96.35,28.51,19.27,1276.3799999999997

32,07:45-08:00,0,192.7,0,0,0,5.26,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.87,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,21.1,0,0,0,21.76,0.01,0.19,39,0.29,0,0.01,28.9,0.48,0,0.01,0,11.56,0,0,96.35,28.51,19.27,1293.9599999999996

33,08:00-08:15,0,192.7,0,0,0,6.2,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.96,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,20,0,0,1.64,25.09,0.13,0.19,53,0.29,1.16,0.09,28.9,0.48,0,0.1,0,11.56,0,0,96.35,28.51,19.27,1314.31

34,08:15-08:30,0,192.7,0,0,0,8.55,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.96,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,20,0,0,1.64,30.67,0.25,0.19,63,0.29,1.16,0.16,28.9,0.48,0,0.19,0,11.56,0,0,96.35,28.51,19.27,1332.5200000000002

35,08:30-08:45,0,192.7,0,0,0,5.89,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.96,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,20,0,0,1.64,36.25,0.38,0.19,84,0.29,1.16,0.25,28.9,0.48,0,0.29,0,13.49,0,0,96.35,28.51,19.27,1358.69

36,08:45-09:00,0,192.7,0,0,0,5.89,96.35,0,44.32,76.71,48.18,0,48.18,0,163.8,81.9,0.96,14.45,26.27,26.27,0,0,0,26.27,0,19.37,8.76,15.27,26.93,20.79,26.93,8.76,24.09,24.09,20,0,0,1.64,41.83,0.56,0.19,95,0.29,1.16,0.39,28.9,0.48,0,0.39,0,13.49,0,0,96.35,28.51,19.27,1375.69

37,09:00-09:15,76.71,192.7,43.79,43.79,37.23,5.89,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,20,0,0,1.64,48.49,0.69,0.19,105,0.29,1.16,0.48,192.7,0.48,0,0.55,18.09,13.49,48.18,48.18,96.35,28.51,19.27,1438.7500000000002

38,09:15-09:30,76.71,192.7,43.79,43.79,37.23,6.87,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,20,0,0,1.64,54.59,0.72,0.19,116,0.29,1.16,0.51,192.7,0.48,0,0.58,18.09,13.49,48.18,48.18,96.35,28.51,19.27,1456.92

39,09:30-09:45,76.71,192.7,43.79,43.79,37.23,6.87,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,20,0,0,1.64,59.51,0.75,0.19,126,0.29,1.16,0.52,192.7,0.48,0,0.6,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1472.3600000000001

40,09:45-10:00,76.71,192.7,43.79,43.79,37.23,7.84,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,20,0,0,1.64,64.09,0.8,0.19,137,0.29,1.16,0.56,192.7,0.48,0,0.65,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1489.0500000000002

41,10:00-10:15,76.71,192.7,43.79,43.79,37.23,7.84,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,48.18,0,1.45,1.64,71.7,0.57,0.1,151,0.29,1.16,0.4,192.7,0.25,0,0.45,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1539.3800000000006

42,10:15-10:30,76.71,192.7,43.79,43.79,37.23,7.84,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,48.18,0,1.45,1.64,75.74,0.75,0.11,158,0.29,1.16,0.53,192.7,0.26,0,0.6,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1550.9

43,10:30-10:45,76.71,192.7,43.79,43.79,37.23,11.55,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,48.18,0,1.45,1.64,79.58,0.64,0.19,140,0.29,1.16,0.36,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1540.3500000000004

44,10:45-11:00,76.71,192.7,43.79,43.79,37.23,12.83,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,48.18,0,1.45,1.64,83.15,0.64,0.19,140,0.29,1.16,0.36,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1545.2000000000003

45,11:00-11:15,76.71,192.7,43.79,43.79,37.23,14.11,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,48.18,0,1.45,1.64,85.36,0.64,0.19,175,0.29,1.16,0.36,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1583.6900000000003

46,11:15-11:30,76.71,192.7,43.79,43.79,37.23,15.55,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,48.18,0,1.45,1.64,87.22,0.64,0.19,179,0.29,1.16,0.36,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1590.9900000000002

47,11:30-11:45,76.71,192.7,43.79,43.79,37.23,16.93,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,48.18,0,1.45,1.64,83,0.39,0.19,161,0.29,1.16,0.39,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1569.9300000000003

48,11:45-12:00,76.71,192.7,43.79,43.79,37.23,18.21,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.94,20.79,26.94,8.76,24.09,24.09,48.18,0,1.45,1.64,85,0.39,0.19,161,0.29,1.16,0.39,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1573.2100000000005

49,12:00-12:15,76.71,192.7,43.79,43.79,37.23,19.4,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,48.18,0,1.45,1.64,96.67,0.39,0.19,168,0.29,1.16,0.39,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1593.0900000000004

50,12:15-12:30,76.71,192.7,43.79,43.79,37.23,19.69,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,48.18,0,1.45,1.64,96.67,0.39,0.19,168,0.29,1.16,0.39,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1593.3800000000003

