Time,Block,NR/2023/14217/D,NR/2023/11266/A,NR/2023/11953/A,NR/2023/13679/F,NR/2023/12916/F,NR/2023/12872/F,NR/2023/12922/F,NR/2023/12915/F,NR/2023/10651/A,NR/2023/14230/C,NR/2023/10460/A,NR/2023/10956/A,NR/2023/14223/C,NR/2023/10561/A,NR/2023/11068/A,NR/2023/10959/A,NR/2023/13369/F,NR/2023/14218/D,NR/2023/12921/F,NR/2023/12661/A,NR/2023/10436/A,NR/2023/11709/A,NR/2023/10435/A,NR/2023/12917/F,NR/2023/10947/A,NR/2023/14238/C,NR/2023/10786/A,NR/2023/10720/A,NR/2023/12919/F,NR/2023/12924/F,NR/2023/10432/A,NR/2023/12813/F,NR/2023/12169/A,NR/2023/12923/F,NR/2023/13985/F,NR/2023/10650/A,NR/2023/11712/A,NR/2023/12814/F,NR/2023/10705/A,NR/2023/10488/A,NR/2023/14212/D,NR/2023/11507/A,NR/2023/12706/A,NR/2023/14215/D,NR/2023/14245/C,NR/2023/12920/F,NR/2023/14220/D,NR/2023/14219/D,Total

3,00:30-00:45,38.720000,63.620000,36.520000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.68

4,00:45-01:00,38.720000,63.620000,36.520000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.68

5,01:00-01:15,38.720000,63.620000,36.520000,4.840000,0.520000,0.530000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.73

6,01:15-01:30,38.720000,63.620000,36.520000,4.840000,0.520000,0.530000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.73

7,01:30-01:45,38.720000,63.620000,36.520000,4.840000,0.520000,0.530000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.73

8,01:45-02:00,38.720000,63.620000,36.520000,4.840000,0.520000,0.530000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.73

9,02:00-02:15,38.720000,63.620000,36.520000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,19.460000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.6

10,02:15-02:30,38.720000,63.620000,36.520000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,19.460000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.6

11,02:30-02:45,38.720000,63.620000,36.520000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,19.460000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.6

12,02:45-03:00,38.720000,63.620000,36.520000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,19.460000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1885.6

13,03:00-03:15,38.720000,63.620000,0.000000,4.840000,0.520000,0.440000,1.020000,0.370000,63.160000,19.360000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1820.92

14,03:15-03:30,38.720000,63.620000,0.000000,4.840000,0.520000,0.440000,1.020000,0.370000,63.160000,19.360000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1820.92

15,03:30-03:45,38.720000,63.620000,0.000000,4.840000,0.520000,0.440000,1.020000,0.370000,63.160000,19.360000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1820.92

16,03:45-04:00,38.720000,63.620000,0.000000,4.840000,0.520000,0.440000,1.020000,0.370000,63.160000,19.360000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1820.92

17,04:00-04:15,38.720000,63.620000,0.000000,4.840000,0.520000,0.440000,1.020000,0.370000,63.160000,19.180000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1820.74

18,04:15-04:30,38.720000,63.620000,0.000000,4.840000,0.520000,0.440000,1.020000,0.370000,63.160000,19.180000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1820.74

19,04:30-04:45,38.720000,63.620000,0.000000,4.840000,0.520000,0.440000,1.020000,0.370000,63.160000,19.180000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1820.74

20,04:45-05:00,38.720000,63.620000,0.000000,4.840000,0.520000,0.440000,1.020000,0.370000,63.160000,19.180000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,98.740000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1820.74

21,05:00-05:15,38.720000,63.620000,0.000000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1716.49

22,05:15-05:30,38.720000,63.620000,0.000000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1716.49

23,05:30-05:45,38.720000,63.620000,0.000000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1716.49

24,05:45-06:00,38.720000,63.620000,0.000000,4.840000,0.520000,0.480000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,23.230000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,48.400000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1716.49

25,06:00-06:15,38.720000,63.620000,0.000000,4.840000,0.520000,0.530000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,1.4,0.6,1382.8

26,06:15-06:30,38.720000,63.620000,0.000000,4.840000,0.520000,0.530000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,6.3,2.7,1389.8

27,06:30-06:45,38.720000,63.620000,0.000000,4.840000,0.520000,0.530000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,10.5,4.5,1395.8

28,06:45-07:00,38.720000,63.620000,0.000000,4.840000,0.520000,0.530000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,17.5,7.5,1405.8

29,07:00-07:15,0.000000,63.620000,0.000000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,125.330000,0.000000,0.930000,24.5,10.5,1386.91

30,07:15-07:30,0.000000,63.620000,0.000000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,0.19,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,125.330000,0.000000,0.930000,24.5,10.5,1387.1

31,07:30-07:45,0.000000,63.620000,0.000000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,0.44,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,125.330000,0.000000,0.930000,35,15,1402.35

32,07:45:08:00,0.000000,63.620000,0.000000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,0.8,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.820000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,125.330000,0.000000,0.930000,42,18,1412.71

33,08:00-08:15,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,1.27,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,125.330000,0.000000,0.980000,58.1,24.9,1436.72

34,08:15-08:30,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,1.73,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,125.330000,0.000000,0.980000,66.5,28.5,1449.18

35,08:30-08:45,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,2.23,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,125.330000,0.000000,0.980000,84,36,1474.68

36,08:45:09:00,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,33.630000,48.400000,48.400000,21.280000,0.000000,2.56,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,125.330000,0.000000,0.980000,91,39,1485.01

37,09:00:09:15,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,24.200000,3.19,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,106.4,45.6,1497.89

38,09:15-09:30,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,24.200000,3.65,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,114.8,49.2,1510.35

39,09:30-09:45,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,24.200000,4.08,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,126,54,1526.78

40,09:45-10:00,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,24.200000,4.54,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,0.000000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,133,57,1537.24

41,10:00-10:15,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,5.01,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,140,60,1640.74

42,10:15-10:30,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,5.23,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,149.1,63.9,1653.96

43,10:30-10:45,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,5.23,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,155.4,66.6,1662.96

44,10:45-11:00,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,13.630000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,5.23,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,163.1,69.9,1673.96

