Time,Block,NR/2023/10947/A,NR/2023/13970/D,NR/2023/12169/A,NR/2023/13964/D,NR/2023/13997/C,NR/2023/13369/F,NR/2023/13679/F,NR/2023/10959/A,NR/2023/10432/A,WR/2023/16529/C,NR/2023/13968/D,NR/2023/13984/C,NR/2023/12814/F,NR/2023/12923/F,NR/2023/10956/A,NR/2023/10488/A,NR/2023/10786/A,NR/2023/12813/F,NR/2023/13053/F,NR/2023/10705/A,NR/2023/10650/A,NR/2023/11953/A,NR/2023/13990/C,NR/2023/10435/A,NR/2023/10460/A,NR/2023/12872/F,NR/2023/13971/D,NR/2023/10436/A,NR/2023/10651/A,NR/2023/12921/F,NR/2023/11507/A,NR/2023/14009/C,NR/2023/11709/A,NR/2023/10720/A,ER/2023/8620/C,NR/2023/10561/A,NR/2023/13969/D,NR/2023/12924/F,NR/2023/12915/F,NR/2023/11266/A,NR/2023/12916/F,NR/2023/13053/F/II,NR/2023/12919/F,NR/2023/12706/A,NR/2023/11712/A,NR/2023/12920/F,NR/2023/12661/A,NR/2023/11068/A,NR/2023/14008/C,NR/2023/12922/F,NR/2023/12917/F,Total

3,00:30-00:45,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,13.320000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,10.880000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,1892.27

4,00:45-01:00,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,13.320000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,10.880000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,53.250000,1.020000,0.920000,1875.81

5,01:00-01:15,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,8.600000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.530000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,15.610000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1822.62

6,01:15-01:30,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,8.600000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.530000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,15.610000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1822.62

7,01:30-01:45,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,8.600000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.530000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,15.610000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1822.62

8,01:45-02:00,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,8.600000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.530000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,15.610000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1822.62

9,02:00-02:15,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,8.340000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,15.870000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1822.57

10,02:15-02:30,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,8.340000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,15.870000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1822.57

11,02:30-02:45,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,8.340000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,15.870000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1822.57

12,02:45-03:00,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,8.340000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,15.870000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1822.57

13,03:00-03:15,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,24.200000,232.470000,48.410000,0.000000,19.600000,24.200000,23.240000,0.440000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1784.95

14,03:15-03:30,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,24.200000,232.470000,48.410000,0.000000,19.600000,24.200000,23.240000,0.440000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1784.95

15,03:30-03:45,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,24.200000,232.470000,48.410000,0.000000,19.600000,24.200000,23.240000,0.440000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1784.95

16,03:45-04:00,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,24.200000,232.470000,48.410000,0.000000,19.600000,24.200000,23.240000,0.440000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1784.95

17,04:00-04:15,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,24.200000,232.470000,48.410000,0.000000,19.600000,24.200000,23.240000,0.440000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1784.95

18,04:15-04:30,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,24.200000,232.470000,48.410000,0.000000,19.600000,24.200000,23.240000,0.440000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1784.95

19,04:30-04:45,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,24.200000,232.470000,48.410000,0.000000,19.600000,24.200000,23.240000,0.440000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1784.95

20,04:45-05:00,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,35.670000,85.690000,0.610000,85.170000,48.410000,98.760000,62.930000,24.200000,232.470000,48.410000,0.000000,19.600000,24.200000,23.240000,0.440000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1784.95

21,05:00-05:15,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,232.470000,48.410000,0.000000,19.410000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1685.02

22,05:15-05:30,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,232.470000,48.410000,0.000000,19.410000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1685.02

23,05:30-05:45,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,232.470000,48.410000,0.000000,19.410000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1685.02

24,05:45-06:00,23.240000,147.910000,54.220000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,232.470000,48.410000,0.000000,19.410000,24.200000,23.240000,0.480000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1685.02

25,06:00-06:15,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,19.230000,24.200000,23.240000,0.530000,0.6,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,1.4,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1352.11

26,06:15-06:30,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,19.230000,24.200000,23.240000,0.530000,2.65,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,6.18,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1358.94

27,06:30-06:45,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,19.230000,24.200000,23.240000,0.530000,4.55,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,10.62,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1365.28

28,06:45-07:00,0.000000,147.910000,0.000000,0.19,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,0.000000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,19.230000,24.200000,23.240000,0.530000,7.17,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,16.72,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1374.19

29,07:00-07:15,0.000000,147.910000,0.000000,0.39,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,38.730000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,19.040000,24.200000,23.240000,0.680000,10.12,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,23.63,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1465.94

30,07:15-07:30,0.000000,147.910000,0.000000,0.61,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,38.730000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,19.040000,24.200000,23.240000,0.680000,12,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,28,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1472.41

31,07:30-07:45,0.000000,147.910000,0.000000,1.13,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,38.730000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,19.040000,24.200000,23.240000,0.680000,15,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,35,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1482.93

32,07:45:08:00,0.000000,147.910000,0.000000,1.16,0.000000,0.000000,4.840000,21.280000,43.570000,57.000000,38.730000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,19.040000,24.200000,23.240000,0.680000,21,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,49,0.610000,0.370000,63.630000,0.520000,0.000000,0.820000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1502.96

33,08:00-08:15,0.000000,147.910000,0.000000,1.74,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,38.730000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,25.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,59.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1455.34

34,08:15-08:30,0.000000,147.910000,0.000000,2.03,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,38.730000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,30,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,70,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1470.63

35,08:30-08:45,0.000000,147.910000,0.000000,2.42,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,38.730000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,38.4,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,89.6,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1499.02

36,08:45:09:00,0.000000,147.910000,0.000000,2.9,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,38.730000,34.650000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,44.1,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,102.9,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1518.5

37,09:00:09:15,0.000000,147.910000,0.000000,3.68,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,36.690000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,48.6,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,113.4,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1560.52

38,09:15-09:30,0.000000,147.910000,0.000000,3.87,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,36.690000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,51,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,119,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1568.71

39,09:30-09:45,0.000000,147.910000,0.000000,4.07,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,36.690000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,58.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,136.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1593.91

40,09:45-10:00,0.000000,147.910000,0.000000,4.26,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,36.690000,85.690000,0.610000,85.170000,48.410000,0.000000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,60,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,140,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1599.1

41,10:00-10:15,0.000000,99.270000,0.000000,5.23,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,64.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,150.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1651.46

