Column1,Block,NR/2025/25301/C,NR/2025/25266/A/54018,NR/2025/25304/C,NR/2025/25265/A/54029,NR/2025/25267/A/54040,NR/30092023/26122029/SH-06,GNA/NR/2025/02/16/1380,GNA/NR/2025/02/01/5886,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/16/1676,GNA/NR/2025/02/01/4863,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,GNA/WR/2024/11/01/4200,NR/2025/24992/A/53694,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,WR/2025/26047/A/53945,NR/2025/24882/A/53695,GNA/WR/2025/01/01/9606,NR/2024/24418/A/53670,NR/2025/25070/A/54006,GNA/NR/2025/02/01/2594,GNA/SR/2025/02/01/7432,Total
3,00:30-00:45,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

4,00:45-01:00,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

5,01:00-01:15,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

6,01:15-01:30,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

7,01:30-01:45,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

8,01:45-02:00,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

9,02:00-02:15,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

10,02:15-02:30,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

11,02:30-02:45,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

12,02:45-03:00,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

13,03:00-03:15,0,0,0,0,0,26.99,7.93,8.65,75,1.19,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.68

14,03:15-03:30,0,0,0,0,0,26.99,7.93,8.65,75,1.19,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.68

15,03:30-03:45,0,0,0,0,0,26.99,7.93,8.65,75,1.19,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.68

16,03:45-04:00,0,0,0,0,0,26.99,7.93,8.65,75,1.19,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.68

17,04:00-04:15,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

18,04:15-04:30,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

19,04:30-04:45,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

20,04:45-05:00,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

21,05:00-05:15,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

22,05:15-05:30,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

23,05:30-05:45,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

24,05:45-06:00,0,0,0,0,0,26.99,7.93,8.65,75,1.29,23.78,8.65,26.99,0,0,6.73,23.07,23.07,0,2.88,0,0.38,17.3,23.07,0,275.78

25,06:00-06:15,0,0,0,0,0,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,9.61,23.07,23.07,0,4.81,0,0.43,17.3,23.07,0,248.93

26,06:15-06:30,0,0,0,0,0,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,9.61,23.07,23.07,0,4.81,0,0.43,17.3,23.07,0,248.93

27,06:30-06:45,0,0,0,0,0,3.58,0,13.46,75,1.29,0,13.46,32,0,0,9.61,36.53,43.25,0,4.81,0,0.43,17.3,36.53,0,287.25

28,06:45-07:00,0,0,0,0,0,3.58,0,13.46,75,1.29,0,13.46,32,0,0,9.61,36.53,43.25,0,4.81,0,0.43,17.3,36.53,0,287.25

29,07:00-07:15,0,0,0,0,0,31,0,13.46,75,1.19,0,13.46,31,0,0,9.61,36.53,43.25,0,4.81,0,0.48,17.3,36.53,0,313.62

30,07:15-07:30,0,0,0,0,0,31,0,13.46,75,1.19,0,13.46,31,0,0,9.61,36.53,43.25,0,4.81,0,0.48,17.3,36.53,0,313.62

31,07:30-07:45,0,0,0,0,0,31,0,13.46,75,1.19,0,13.46,31,0,0,9.61,36.53,43.25,0,4.81,0,0.48,17.3,36.53,0,313.62

32,07:45-08:00,0,0,0,0,0,31,0,13.46,75,1.19,0,13.46,31,0,0,9.61,36.53,43.25,0,4.81,0,0.48,17.3,36.53,0,313.62

33,08:00-08:15,0,0,0,0,0,31,0,13.46,75,1.29,0,13.46,31,0,0,9.61,36.53,43.25,0,4.81,0,0.87,17.3,36.53,0,314.11

34,08:15-08:30,0,0,0,0,0,31,0,13.46,75,1.29,0,13.46,31,0,0,9.61,36.53,43.25,0,4.81,0,0.87,17.3,36.53,0,314.11

35,08:30-08:45,0,0.01,0,0.01,0,32,0,13.46,75,1.29,0,13.46,32,0,0,9.61,36.53,43.25,0,4.81,0,0.87,17.3,36.53,0,316.13

36,08:45-09:00,0,0.12,0,0.1,0.05,32,0,13.46,75,1.29,0,13.46,32,0,0,9.61,36.53,43.25,0,4.81,0,0.87,17.3,36.53,0,316.38

37,09:00-09:15,0,0.28,0,0.19,0.12,32,0,13.46,75,1.29,0,13.46,9.13,0,0,9.61,36.53,43.25,0,4.81,0,0.87,17.3,36.53,0,293.83000000000004

38,09:15-09:30,0,0.51,0,0.38,0.19,32,0,13.46,75,1.29,0,13.46,9.13,0,0,9.61,36.53,43.25,0,4.81,0,0.87,17.3,36.53,0,294.31999999999994

39,09:30-09:45,16.92,0.64,35.95,0.48,0.33,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,9.61,23.07,23.07,0,4.81,0,0.87,17.3,23.07,0,303.69

40,09:45-10:00,14.42,0.96,38.45,0.67,0.38,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,9.61,23.07,23.07,0,4.81,0,0.87,17.3,23.07,0,304.25

41,10:00-10:15,14.42,0.96,38.45,0.58,0.38,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.25

42,10:15-10:30,14.42,1.06,38.45,0.58,0.38,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.35

43,10:30-10:45,14.42,1.06,38.45,0.58,0.38,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.35

44,10:45-11:00,14.42,1.06,38.45,0.77,0.38,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.54

45,11:00-11:15,14.42,1.06,38.45,0.77,0.38,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.64000000000004

46,11:15-11:30,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.74

47,11:30-11:45,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.74

48,11:45-12:00,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.74

49,12:00-12:15,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.74

50,12:15-12:30,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.74

51,12:30-12:45,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.74

52,12:45-13:00,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.74

53,13:00-13:15,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.64

54,13:15-13:30,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.64

55,13:30-13:45,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.64

56,13:45-14:00,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.64

57,14:00-14:15,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.74

58,14:15-14:30,14.42,0.96,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,299.64

59,14:30-14:45,5.16,0.96,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,290.38

60,14:45-15:00,5.74,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.87,17.3,23.07,0,291.06

61,15:00-15:15,14.42,1.06,38.45,0.77,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.67,17.3,23.07,0,299.54

62,15:15-15:30,14.42,1.06,38.45,0.67,0.48,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.67,17.3,23.07,0,299.44000000000005

63,15:30-15:45,14.42,0.96,38.45,0.67,0.38,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.67,17.3,23.07,0,299.24

64,15:45-16:00,14.42,0.8,38.45,0.54,0.36,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.67,17.3,23.07,0,298.93

65,16:00-16:15,14.42,0.61,38.45,0.45,0.22,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.53,17.3,23.07,0,298.27

66,16:15-16:30,18.36,0.42,34.22,0.3,0.18,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.53,17.3,23.07,0,297.59999999999997

67,16:30-16:45,25.76,0.23,27.11,0.18,0.1,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.53,17.3,23.07,0,297.5

68,16:45-17:00,22.97,0.12,20.38,0.09,0.06,26.99,0,8.65,75,1.19,0,8.65,26.99,0,0,5.77,23.07,23.07,0,3.84,0,0.53,17.3,23.07,0,287.74

69,17:00-17:15,0,0.04,0,0.02,0.02,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,9.61,31.72,31.72,0,4.81,0,0.53,17.3,31.72,0,275.06

70,17:15-17:30,0,0,0,0,0,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,9.61,31.72,31.72,0,4.81,0,0.53,17.3,31.72,0,274.98

71,17:30-17:45,0,0.03,0,0.02,0.02,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,9.61,31.72,31.72,0,4.81,0,0.53,17.3,31.72,0,275.05

72,17:45-18:00,0,0,0,0,0,26.99,0,8.65,75,1.29,0,8.65,26.99,0,0,9.61,31.72,31.72,0,4.81,0,0.53,17.3,31.72,0,274.98

73,18:00-18:15,0,0,0,0,0,20.46,0,13.46,75,1.29,0,13.46,32,0,50,9.61,36.53,43.25,38.45,4.81,200,0.53,17.3,36.53,0,592.68

74,18:15-18:30,0,0,0,0,0,3.58,0,13.46,75,1.29,0,13.46,32,0,50,9.61,36.53,43.25,38.45,4.81,200,0.53,17.3,36.53,0,575.7999999999998

75,18:30-18:45,0,0,0,0,0,31,0,13.46,75,1.29,0,13.46,31,0,50,9.61,36.53,43.25,38.45,4.81,200,0.53,17.3,36.53,50,652.2199999999999

76,18:45-19:00,0,0,0,0,0,31,0,13.46,75,1.29,0,13.46,31,0,50,9.61,36.53,43.25,38.45,4.81,200,0.53,17.3,36.53,50,652.2199999999999

77,19:00-19:15,0,0,0,0,0,31,0,13.46,75,1.29,0,13.46,31,0,50,9.61,36.53,43.25,38.45,4.81,200,0.62,17.3,36.53,50,652.31

78,19:15-19:30,0,0,0,0,0,31,0,13.46,75,1.29,0,13.46,31,0,50,9.61,36.53,43.25,38.45,4.81,200,0.62,17.3,36.53,50,652.31

79,19:30-19:45,0,0,0,0,0,32,0,13.46,75,1.29,0,13.46,32,0,50,9.61,36.53,43.25,38.45,4.81,200,0.62,17.3,36.53,50,654.31

80,19:45-20:00,0,0,0,0,0,32,0,13.46,75,1.29,0,13.46,32,0,50,9.61,36.53,43.25,38.45,4.81,200,0.62,17.3,36.53,50,654.31

81,20:00-20:15,0,0,0,0,0,32,0,8.65,75,1.29,0,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.62,17.3,23.07,50,542.78

82,20:15-20:30,0,0,0,0,0,32,0,8.65,75,1.29,0,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.62,17.3,23.07,50,542.78

83,20:30-20:45,0,0,0,0,0,32,0,8.65,75,1.29,0,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.62,17.3,23.07,50,542.78

84,20:45-21:00,0,0,0,0,0,32,0,8.65,75,1.29,0,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.62,17.3,23.07,50,542.78

85,21:00-21:15,0,0,0,0,0,26.36,0,8.65,75,1.29,0,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.58,17.3,23.07,50,537.0999999999999

86,21:15-21:30,0,0,0,0,0,26.36,0,8.65,75,1.29,0,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.58,17.3,23.07,50,537.0999999999999

87,21:30-21:45,0,0,0,0,0,26.36,0,8.65,75,1.29,0,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.58,17.3,23.07,50,537.0999999999999

88,21:45-22:00,0,0,0,0,0,26.36,0,8.65,75,1.29,0,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.58,17.3,23.07,50,537.0999999999999

89,22:00-22:15,0,0,0,0,0,26.36,7.93,8.65,75,1.29,23.78,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.53,17.3,23.07,50,568.76

90,22:15-22:30,0,0,0,0,0,26.36,7.93,8.65,75,1.29,23.78,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.53,17.3,23.07,50,568.76

91,22:30-22:45,0,0,0,0,0,26.36,7.93,8.65,75,1.29,23.78,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.53,17.3,23.07,50,568.76

92,22:45-23:00,0,0,0,0,0,26.36,7.93,8.65,75,1.29,23.78,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.53,17.3,23.07,50,568.76

93,23:00-23:15,0,0,0,0,0,26.36,7.93,8.65,75,1.29,23.78,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.48,17.3,23.07,50,568.71

94,23:15-23:30,0,0,0,0,0,26.36,7.93,8.65,75,1.29,23.78,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.48,17.3,23.07,50,568.71

95,23:30-23:45,0,0,0,0,0,26.36,7.93,8.65,75,1.29,23.78,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.48,17.3,23.07,50,568.71

96,23:45-24:00,0,0,0,0,0,26.36,7.93,8.65,75,1.29,23.78,8.65,32,0,50,5.77,23.07,23.07,38.45,3.84,150,0.48,17.3,23.07,50,568.71

