Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01032024/22032024/HP-56,NR/01032024/31032024/NVVN/OA/16997,NR/01012024/31032024/ ChanjuII,NR/01102023/19072037/LT-05,NR/16032024/22032024/HP-63,NR/01102023/06022042/L_NR_2012_07,NR/01032024/22032024/HP-59,NR/21032024/21032024/DD20240321NR23381,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/02012046/L_NR_2021_17,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,SR/01032024/31032024/SJVN010324NR1590,WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/02122045/L_NR_2021_13,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/26072023/25122043/L_NR_2023_10,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01032024/31032024/SJVN010324NR1588,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05
6,01:15-01:30,1.770000,0.000000,132.470000,1.440000,0.000000,0.000000,0.000000,129.450000,100.050000,1.790000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,26.070000,26.070000,26.070000,0,0,0,0,0,0,37.67,0,0,9.66,0,19.33,7.41,0,0,19.34,58,37.67,48.28,0,48.28,0,193.100000,0,0,0,0

7,01:30-01:45,1.770000,0.000000,132.470000,1.440000,0.000000,0.000000,0.000000,129.450000,100.050000,1.710000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,26.070000,26.070000,26.070000,0,0,0,0,0,0,37,0,0,9.34,0,19.83,7.41,0,0,19.84,59.5,37,48.28,0,48.28,0,193.100000,0,0,0,0

8,01:45-02:00,1.770000,0.000000,132.470000,1.440000,0.000000,0.000000,0.000000,129.450000,100.050000,1.710000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,26.070000,26.070000,26.070000,0,0,0,0,0,0,36.67,0,0,9.34,0,20.33,7.41,0,0,20.34,61,36.67,48.28,0,48.28,0,193.100000,0,0,0,0

9,02:00-02:15,1.690000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,105.320000,100.050000,1.710000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,25.530000,25.530000,26.070000,0,0,0,0,0,0,36,0,0,9.66,0,18.67,7.21,0,0,18.66,56,36,48.28,0,48.28,0,193.100000,0,0,0,0

10,02:15-02:30,1.690000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,99.410000,100.050000,1.710000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,25.530000,25.530000,26.070000,0,0,0,0,0,0,36.67,0,0,9.66,0,19,7.21,0,0,19,57,36.67,48.28,0,48.28,0,193.100000,0,0,0,0

11,02:30-02:45,1.690000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,99.410000,100.050000,1.710000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,25.530000,25.530000,26.070000,0,0,0,0,0,0,37.67,0,0,10,0,21.67,7.21,0,0,21.66,65,37.67,48.28,0,48.28,0,193.100000,0,0,0,0

12,02:45-03:00,1.690000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,99.410000,100.050000,1.710000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,25.530000,25.530000,26.070000,0,0,0,0,0,0,38.33,0,0,10.34,0,21.5,7.21,0,0,21.5,64.5,38.33,48.28,0,48.28,0,193.100000,0,0,0,0

13,03:00-03:15,1.610000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,99.410000,100.050000,1.630000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,25.530000,25.530000,26.070000,0,0,0,0,0,0,32.33,0,0,10.34,0,21.5,7.21,0,0,21.5,64.5,32.33,48.28,0,48.28,0,193.100000,0,0,0,0

14,03:15-03:30,1.610000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,99.410000,100.050000,1.630000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,25.530000,25.530000,26.070000,0,0,0,0,0,0,32.33,0,0,10.34,0,21.5,7.21,0,0,21.5,64.5,32.33,48.28,0,48.28,0,193.100000,0,0,0,0

15,03:30-03:45,1.840000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,99.410000,100.050000,1.630000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,25.530000,25.530000,25.100000,0,0,0,0,0,0,31.67,0,0,10.34,0,21.67,7.21,0,0,21.66,65,31.67,48.28,0,48.28,0,193.100000,0,0,0,0

16,03:45-04:00,1.840000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,99.410000,100.050000,1.630000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,25.530000,25.530000,25.100000,0,0,0,0,0,0,31.33,0,0,10.34,0,21.5,7.21,0,0,21.5,64.5,31.33,48.28,0,48.28,0,193.100000,0,0,0,0

17,04:00-04:15,1.840000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,99.410000,100.050000,1.550000,76.750000,48.280000,0.000000,57.910000,78.790000,57.610000,32.860000,0.000000,25.530000,25.530000,25.100000,0,0,0,0,0,0,31,0,0,10,0,18,7.21,0,0,18,54,31,48.28,0,48.28,0,193.100000,0,0,0,0

18,04:15-04:30,1.840000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,99.410000,100.050000,1.550000,76.750000,48.280000,0.000000,57.910000,78.790000,68.140000,32.860000,0.000000,25.530000,25.530000,25.100000,0,0,0,0,0,0,30,0,0,9.66,0,17.67,7.21,0,0,17.66,53,30,48.28,0,48.28,0,193.100000,0,0,0,0

19,04:30-04:45,1.840000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,123.550000,100.050000,1.550000,76.750000,48.280000,0.000000,57.910000,78.790000,87.090000,32.860000,0.000000,25.530000,25.530000,25.100000,0,0,0,0,0,0,29.67,0,0,9.34,0,16.67,7.21,0,0,16.66,50,29.67,48.28,0,48.28,0,193.100000,0,0,0,0

20,04:45-05:00,1.840000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,129.450000,100.050000,1.550000,76.750000,48.280000,0.000000,57.910000,78.790000,87.090000,32.860000,0.000000,25.530000,25.530000,25.100000,0,0,0,0,0,0,29,0,0,9,0,15.9,7.21,0,0,15.89,47.69,29,48.28,0,48.28,0,193.100000,0,0,0,0

21,05:00-05:15,1.770000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,129.450000,100.050000,1.550000,76.750000,48.280000,0.000000,57.910000,78.790000,87.090000,32.860000,0.000000,25.530000,25.530000,26.070000,0,0,0,0,0,0,40,0,0,8.34,0,20,7.21,0,0,20,60,40,48.28,0,48.28,0,193.100000,0,0,0,0

22,05:15-05:30,1.770000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,129.450000,100.050000,1.550000,76.750000,48.280000,0.000000,57.910000,78.790000,87.090000,32.860000,0.000000,25.530000,25.530000,26.070000,0,0,0,0,0,0,40,0,0,8,0,20,7.21,0,0,20,60,40,48.28,0,48.28,0,193.100000,0,0,0,0

23,05:30-05:45,1.770000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,129.450000,100.050000,1.550000,76.750000,48.280000,0.000000,57.910000,78.790000,87.090000,32.860000,0.000000,25.530000,25.530000,26.070000,0,0,0,0,0,0,31.67,0,0,7.66,0,19.83,7.21,0,0,19.84,59.5,31.67,48.28,0,48.28,0,193.100000,0,0,0,0

24,05:45-06:00,1.770000,0.000000,132.470000,1.390000,0.000000,0.000000,0.000000,129.450000,100.050000,1.550000,76.750000,48.280000,0.000000,57.910000,78.790000,87.090000,32.860000,0.000000,25.530000,25.530000,26.070000,0,0,0,0,0,0,30.33,0,0,7.34,0,19.33,7.21,0,0,19.34,58,30.33,48.28,0,48.28,0,193.100000,0,0,0,0

25,06:00-06:15,1.690000,0.000000,132.470000,1.340000,0.000000,0.000000,0.000000,129.450000,100.050000,1.550000,0.000000,48.280000,0.000000,57.910000,0.000000,84.280000,0.000000,0.000000,24.460000,30.900000,26.070000,0,0,0,0,0,0,31.67,0,0,7,0,15.83,7.21,0,0,15.84,47.5,31.67,48.28,0,48.28,0,96.550000,0,0,0,0

26,06:15-06:30,1.690000,0.000000,132.470000,1.340000,0.000000,0.000000,0.000000,129.450000,100.050000,1.550000,0.000000,48.280000,0.000000,57.910000,0.000000,84.280000,0.000000,0.000000,24.460000,30.900000,25.100000,0,0,0.01,0,0.408912,0,31.67,0,0,6.66,0,15.17,7.21,0,0,15.16,45.5,31.67,48.28,0,48.28,0,96.550000,0.5,0,1,0

27,06:30-06:45,1.690000,0.000000,132.470000,1.340000,0.000000,0.000000,0.000000,129.450000,100.050000,1.550000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,24.460000,30.900000,24.140000,0,0,0.01,0,3.641264,0,30.33,0,0,6,0,14.67,7.21,0,0,14.66,44,30.33,48.28,0,48.28,0,96.550000,5,0,8.14,1

28,06:45-07:00,1.690000,0.000000,132.470000,1.340000,0.030000,0.030000,0.030000,129.450000,100.050000,1.550000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,24.460000,30.900000,24.140000,0,0,0.01,0,9.628904,0,28.67,0,0.5,5.66,0,13.5,7.21,0.27,1,13.5,40.5,28.67,48.28,0,48.28,1,96.550000,15,0,14.94,3

29,07:00-07:15,1.690000,0.000000,132.470000,1.340000,0.200000,0.200000,0.200000,129.450000,100.050000,1.550000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,24.460000,30.900000,24.140000,0,0,2.28,2,16.414896,0,26.33,0,1,5.34,1,12.5,7.21,2.12,4,12.5,37.5,26.33,48.28,0.45,48.28,1,96.550000,25,0,24.12,10

30,07:15-07:30,1.690000,0.000000,132.470000,1.340000,0.710000,0.690000,0.690000,129.450000,100.050000,1.550000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,24.460000,30.900000,23.170000,0,0,10.02,6,24.349736,0,24.33,0,3,5,3,10.5,7.21,5.39,11,10.5,31.5,24.33,48.28,2,48.28,4,96.550000,29.22,0,29.21,29.22

31,07:30-07:45,1.690000,0.000000,132.470000,1.340000,1.380000,1.340000,1.340000,129.450000,100.050000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,24.460000,30.900000,22.210000,0,0,22.04,11,34.46544,0,21.67,0,7,5,5,9.17,7.21,10.19,14,9.16,27.5,21.67,48.28,4.41,48.28,6,96.550000,30.72,0,30.71,30.72

32,07:45:08:00,1.690000,0.000000,132.470000,1.340000,2.280000,2.230000,2.230000,129.450000,100.050000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,24.460000,30.900000,22.210000,0,0,39.28,17,46.207056,0,19.67,0,11,4.66,8,8.17,7.21,16.4,32,8.16,24.5,19.67,48.28,7.86,48.28,13,96.550000,30.72,0,30.71,30.72

33,08:00-08:15,1.610000,0.000000,132.470000,1.340000,3.290000,3.220000,3.220000,129.450000,100.050000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,24.460000,30.900000,22.210000,0,0,49.18,25,58.56204,0,17.67,0,10.7,4.34,13,7.17,7.21,23.33,49,7.16,21.5,17.67,48.28,9.84,48.28,21,96.550000,30.72,0,30.71,30.72

34,08:15-08:30,1.610000,0.000000,132.470000,1.340000,4.780000,4.660000,4.660000,129.450000,100.050000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,24.460000,30.900000,22.210000,0,0,67.13,35,70.24524,0,16,0,15.5,4,17,6.67,7.21,29.94,67,6.66,20,16,48.28,13.42,48.28,28,96.550000,30.72,0,30.71,30.72

35,08:30-08:45,1.610000,0.000000,132.470000,1.340000,4.700000,4.580000,4.580000,129.450000,100.050000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,24.460000,30.900000,22.210000,0,0,84.87,39,81.169032,0,21.67,0,21.1,0,19,10.67,7.21,30,81,10.66,32,21.67,48.28,16.97,48.28,34,96.550000,31.72,0,31.71,31.72

36,08:45:09:00,1.610000,0.000000,132.470000,1.340000,5.870000,5.730000,5.730000,129.450000,100.050000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,24.460000,30.900000,22.210000,0,0,102.41,47,91.674176,0,21,0,25.1,0,23,10.33,7.21,36.67,98,10.34,31,21,48.28,20.48,48.28,42,96.550000,31.72,0,31.71,31.72

37,09:00:09:15,1.540000,0.000000,132.470000,1.390000,7.340000,7.160000,7.160000,129.450000,100.050000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,24.460000,30.900000,22.210000,0,28.97,119.08,57,94.916264,0,20,0,27.4,0,28,9.83,7.01,43.33,116,9.84,29.5,20,48.28,23.82,48.28,49,96.550000,31.72,24.14,31.71,31.72

38,09:15-09:30,1.540000,0.000000,132.470000,1.390000,8.130000,7.930000,7.930000,129.450000,100.050000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,11.000000,30.900000,22.210000,0,28.97,120.59,65,103.98048,0,19,0,31,0,33,9,7.01,48.33,133,9,27,19,48.28,24.12,48.28,57,96.550000,31.72,24.14,31.71,31.72

39,09:30-09:45,1.540000,0.000000,132.470000,1.390000,8.270000,8.070000,8.070000,129.450000,100.050000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,11.000000,30.900000,23.170000,0,0,170.27,70,112.314496,0,18.33,0,34,0,35,10.83,7.01,46.67,147,10.84,32.5,18.33,48.28,34.05,48.28,63,96.550000,31.72,0,31.71,31.72

40,09:45-10:00,1.540000,0.000000,132.470000,1.390000,9.050000,8.830000,8.830000,129.450000,100.050000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,11.000000,30.900000,23.170000,0,0,185.89,75,119.616496,0,17.67,0,37,0,37,10.67,6.01,51.67,161,10.66,32,17.67,48.28,37.18,48.28,69,96.550000,32.05,0,32.05,32.05

41,10:00-10:15,1.770000,0.000000,132.470000,1.390000,10.230000,9.980000,9.980000,129.450000,100.050000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,11.000000,30.900000,24.140000,0,0,200.38,81,126.27592,0,16.67,0,39.6,0,41,10.5,6.01,56.67,172,10.5,31.5,16.67,48.28,40.07,48.28,73,96.550000,32.05,0,32.05,32.05

42,10:15-10:30,1.770000,0.000000,132.470000,1.390000,11.530000,11.250000,11.250000,129.450000,100.050000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,11.000000,30.900000,24.140000,0,0,211.7,85,131.844912,0,15.67,0,41.7,0,42,10.33,6.01,61.67,179,10.34,31,15.67,48.28,42.34,48.28,76,96.550000,32.05,0,32.05,32.05

43,10:30-10:45,1.770000,0.000000,132.470000,1.390000,14.670000,14.320000,14.320000,129.450000,100.050000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,20.950000,20.950000,24.140000,0,0,221.13,88,137.871496,0,15,0,43.3,0,44,10,6.01,80,186,10,30,15,48.28,44.23,48.28,79,96.550000,32.05,0,32.05,32.05

44,10:45-11:00,1.770000,0.000000,132.470000,1.390000,15.350000,14.970000,14.970000,129.450000,100.050000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,20.950000,20.950000,24.140000,0,0,221.13,90,141.80484,0,14,0,45,0,45,9.67,6.01,86.67,189,9.66,29,14,48.28,44.23,48.28,81,96.550000,32.05,0,32.05,32.05

45,11:00-11:15,1.770000,0.000000,132.470000,1.390000,15.990000,15.600000,15.600000,129.450000,100.050000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,20.950000,20.950000,24.140000,0,0,231.67,90,144.910624,0,13.33,0,45.8,0,45,9.33,6.01,89,189,9.34,28,13.33,48.28,46.33,48.28,81,96.550000,32.05,0,32.05,32.05

46,11:15-11:30,1.770000,0.000000,132.470000,1.390000,16.330000,15.930000,15.930000,129.450000,100.050000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,25.530000,25.530000,24.140000,0,0,231.67,90,147.30568,0,13.33,0,46,0,45,9,6.01,90.01,189,9,27,13.33,48.28,46.33,48.28,81,96.550000,32.05,0,32.05,32.05

47,11:30-11:45,1.770000,0.000000,132.470000,1.390000,16.500000,16.090000,16.090000,129.450000,100.050000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,25.530000,25.530000,24.140000,0,0,231.67,90,148.775816,0,13.33,0,46.1,0,45,8.67,6.01,90.01,189,8.66,26,13.33,48.28,46.33,48.28,81,96.550000,32.05,0,32.05,32.05

48,11:45-12:00,1.770000,0.000000,132.470000,1.390000,16.760000,16.360000,16.360000,129.450000,100.050000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,87.090000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,90,149.64232,0,13.33,0,46.7,0,45,8.33,6.01,90.01,189,8.34,25,13.33,48.28,46.33,48.28,81,96.550000,32.05,0,32.05,32.05

49,12:00-12:15,1.770000,0.000000,132.470000,1.440000,16.840000,16.430000,16.430000,129.340000,86.900000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,76.550000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,90,148.366904,14.48,20,0,46.7,0,45,11.67,6.81,90.01,189,11.66,35,20,48.28,46.33,48.28,81,96.550000,32.05,0,32.05,32.05

50,12:15-12:30,1.770000,0.000000,132.470000,1.440000,16.930000,16.520000,16.520000,129.340000,86.900000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,76.550000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,90,146.117888,14.48,19.67,0,48.2,0,45,11.33,7.21,90.01,189,11.34,34,19.67,48.28,46.33,48.28,81,96.550000,32.05,0,32.05,32.05

51,12:30-12:45,1.770000,0.000000,132.470000,1.440000,16.940000,16.520000,16.520000,129.340000,67.580000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,76.550000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,90,144.014912,14.48,28.33,0,48.2,0,45,13.33,7.61,90.01,189,13.34,40,28.33,48.28,46.33,48.28,81,96.550000,32.05,0,32.05,32.05

52,12:45-13:00,1.770000,0.000000,132.470000,1.440000,16.960000,16.550000,16.550000,129.340000,62.760000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,57.610000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,90,141.142792,14.48,27.67,0,48.2,0,45,13,8.81,89.95,189,13,39,27.67,48.28,46.33,48.28,81,96.550000,32.05,0,32.05,32.05

53,13:00-13:15,1.840000,0.000000,132.470000,1.440000,16.890000,16.480000,16.480000,123.550000,56.000000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,57.610000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,90,138.221992,14.48,27,0,48.2,0,45,12.67,13,90.16,189,12.66,38,27,48.28,46.33,48.28,81,96.550000,32.05,0,32.05,32.05

54,13:15-13:30,1.840000,0.000000,132.470000,1.440000,16.870000,16.450000,16.450000,99.410000,56.000000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,57.610000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,90,135.087,14.48,26.33,0,48.2,0,45,12.33,13.6,89.81,193,12.34,37,26.33,48.28,46.33,48.28,82,96.550000,32.05,0,32.05,32.05

55,13:30-13:45,1.690000,0.000000,132.470000,1.440000,16.750000,16.340000,16.340000,93.500000,56.000000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,57.610000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,90,128.992264,14.48,20,0,48,0,45,12,14.8,89.81,190,12,36,20,48.28,46.33,48.28,82,96.550000,32.05,0,32.05,32.05

56,13:45-14:00,1.690000,0.000000,132.470000,1.440000,16.400000,16.010000,16.010000,93.500000,56.000000,1.630000,0.000000,48.280000,0.000000,57.910000,0.000000,57.610000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,90,124.095056,14.48,19.67,0,48,0,45,11.67,15.6,89.62,190,11.66,35,19.67,48.28,46.33,48.28,82,96.550000,32.05,0,32.05,32.05

57,14:00-14:15,1.770000,0.000000,132.470000,1.490000,16.150000,15.760000,15.760000,99.290000,56.000000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,57.610000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,93,120.054616,14.48,19.33,0,48,0,47,11.33,17,89.33,190,11.34,34,19.33,48.28,46.33,48.28,82,96.550000,32.05,0,32.05,32.05

58,14:15-14:30,1.770000,0.000000,132.470000,1.490000,15.670000,15.290000,15.290000,99.290000,56.000000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,57.610000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,93,117.133816,14.48,19,0,48,0,47,10.83,16.6,88.87,190,10.84,32.5,19,48.28,46.33,48.28,82,96.550000,32.05,0,32.05,32.05

59,14:30-14:45,1.770000,0.000000,132.470000,1.490000,15.090000,14.730000,14.730000,99.290000,56.000000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,57.610000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,91,113.609384,0,18.67,0,43.8,0,45,9.17,19.6,90.27,189,9.16,27.5,18.67,48.28,46.33,48.28,81,96.550000,32.05,0,32.05,32.05

60,14:45-15:00,1.770000,0.000000,132.470000,1.490000,14.380000,14.030000,14.030000,99.290000,56.000000,1.710000,0.000000,48.280000,0.000000,57.910000,0.000000,57.610000,0.000000,0.000000,25.530000,25.530000,23.170000,0,0,231.67,88,109.09188,0,18.33,0,42.2,0,44,9.17,19.4,87.44,186,9.16,27.5,18.33,48.28,46.33,48.28,79,96.550000,32.05,0,32.05,32.05

