Column1,Time,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,GNA/SR/2024/08/12/8286,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/06022042/L_NR_2012_02,NR/01082024/15082024/APL-Raigarh,NR/01082024/30092024/LT_MEJA_DELHI,GNA/WR/2024/08/12/7836,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,GNA/WR/2024/08/12/5862
11,02:30-02:45,48.08,52.89,12.39,11.93,18.18,27.75,5.73,48.08,7,0,0,19.17,0,48,19.16,0,17.66,57.5,48,0,0,0,0,0,0,0,0,0,0,38.47,0,230.81,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

12,02:45-03:00,48.08,52.89,12.39,11.93,18.18,27.75,5.73,48.08,7,0,0,19.17,0,47.67,19.16,0,17.66,57.5,47.67,0,0,0,0,0,0,0,0,0,0,38.47,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

13,03:00-03:15,48.08,52.89,12.39,11.93,18.18,27.75,5.65,48.08,7,0,0,19.5,0,43.33,19.5,0,16.66,58.5,43.33,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

14,03:15-03:30,48.08,52.89,12.39,11.93,18.18,27.75,5.65,48.08,7,0,0,19.33,0,43,19.34,0,17,58,43,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

15,03:30-03:45,48.08,52.89,12.39,11.93,18.18,27.75,5.65,48.08,7,0,0,19,0,42.33,19,0,16.34,57,42.33,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

16,03:45-04:00,48.08,52.89,12.39,11.93,18.18,27.75,5.65,48.08,7,0,0,18.33,0,41.33,18.34,0,16.34,55,41.33,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

17,04:00-04:15,48.08,52.89,12.39,11.93,18.18,28.25,5.55,48.08,7,0,0,17.83,0,56.33,17.84,0,16.34,53.5,56.33,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

18,04:15-04:30,48.08,52.89,12.39,11.93,18.18,28.25,5.55,48.08,7,0,0,17.5,0,56,17.5,0,16.34,52.5,56,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

19,04:30-04:45,48.08,52.89,12.39,11.93,18.18,28.25,5.55,48.08,7,0,0,21.33,0,60.67,21.34,0,16.34,64,60.67,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

20,04:45-05:00,48.08,52.89,12.39,11.93,18.18,28.25,5.55,48.08,7,0,0,21,0,59.67,21,0,16,63,59.67,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

21,05:00-05:15,48.08,52.89,12.39,11.93,18.18,28.25,5.45,48.08,7,0,0,20.83,0,59.33,20.84,0,16.34,62.5,59.33,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

22,05:15-05:30,48.08,52.89,12.39,11.93,18.18,28.25,5.45,48.08,7,0,0,20.67,0,58.33,20.66,0,16.34,62,58.33,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

23,05:30-05:45,48.08,52.89,12.39,11.93,18.18,28.25,5.45,48.08,7,0,0,20.67,0,58.67,20.66,0,16.66,62,58.67,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

24,05:45-06:00,48.08,52.89,12.39,11.93,18.18,29.26,5.45,48.08,7,0,0,20.67,0,58,20.66,0.27,17,62,58,0,0,0,0,0,0,0,0,0,0,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

25,06:00-06:15,48.08,52.89,12.39,11.93,17.91,29.26,5.37,48.08,7,8.74,5.6,24,9.2,55.67,24,1.13,20.34,72,55.67,1,0,0.82,1,0,0,0.09,1,0.48,1,0,0,192.34,0,0,0,109.63,192.34,0,0,0,0,26.8708,0,57.41,26.8708,70.08,0

26,06:15-06:30,48.08,52.89,12.39,11.93,17.91,29.26,5.37,48.08,7,13.76,7.4,23.83,14.48,54.67,23.84,2.51,21,71.5,54.67,2,0,2.92,1,1,0,0.76,2,3.82,4,0,0.74,192.34,0,0,0,109.63,192.34,0,0,0.74,0,26.8708,0.76,57.41,26.8708,70.08,0

27,06:30-06:45,48.08,52.89,12.39,11.93,17.91,28.25,5.37,48.08,7,22.57,11.2,23.33,23.76,52.33,23.34,3.78,21.66,70,52.33,5,0,4.94,3,3,0,1.53,3,7.66,7,0,1.09,192.34,0,0,0,109.63,192.34,0,0,1.09,0,26.8708,1.12,57.41,26.8708,70.08,0

28,06:45-07:00,48.08,52.89,12.39,11.93,17.91,28.25,5.37,48.08,7,33,14.9,23,33,51,23,5.14,21.34,69,51,8,0,7.94,6,4,0,2.41,5,12.06,14,0,1.43,192.34,0,0,0,109.63,192.34,0,0,1.43,0,26.8708,1.47,57.41,26.8708,70.08,0

29,07:00-07:15,48.08,52.89,12.39,11.93,17.91,28.25,5.27,48.08,7,33,16.8,22.5,33,51,22.5,6.74,21.66,67.5,51,10,0,10,9,5,0,3.48,7,17.41,21,0,2.09,192.34,0,0,0,109.63,192.34,0,0,2.09,0,26.8708,2.14,57.41,26.8708,70.08,0

30,07:15-07:30,48.08,52.89,12.39,11.93,17.91,28.25,5.27,48.08,7,33,20.5,21.83,33,50.67,21.84,8.66,22.34,65.5,50.67,12,0,13,12,6,0,4.41,8,22.04,28,0,2.75,192.34,0,0,0,109.63,192.34,0,0,2.75,0,26.8708,2.81,57.41,26.8708,70.08,0

31,07:30-07:45,48.08,52.89,12.39,11.93,17.91,28.25,5.27,48.08,7,32.66,32.67,21.67,32.67,53.33,21.66,11.3,22.34,65,53.33,16,0,17,16,7,0,6.21,11,31.05,39,0,2.68,192.34,0,0,0,109.63,192.34,0,0,2.68,0,26.8708,2.76,57.41,26.8708,70.08,0

32,07:45-08:00,48.08,52.89,12.39,11.93,17.91,28.25,5.27,48.08,7,33,33,21.67,33,55,21.66,13.23,22,65,55,18,0,20,21,8,0,7.56,14,37.79,49,0,3.14,192.34,0,0,0,109.63,192.34,0,0,3.14,0,26.8708,3.2,57.41,26.8708,70.08,0

33,08:00-08:15,48.08,52.89,12.39,11.93,12.21,28.25,5.18,48.08,7,33,33,21.5,33,55,21.5,15.49,21.66,64.5,55,24,0,24,22,12,0,10.05,19,50.28,53,0,3.31,149.55,0,0,0,109.63,192.34,0,0,3.31,0,26.8708,3.39,57.41,26.8708,70.08,0

34,08:15-08:30,48.08,52.89,12.39,11.93,12.21,28.25,5.18,48.08,7,33,33,21,33,56.33,21,18.21,21.34,63,56.33,31,0,31,28,15,0,11.66,21.5,58.3,67,0,3.69,149.55,0,0,0,109.63,192.34,0,0,3.69,0,26.8708,3.78,57.41,26.8708,70.08,0

35,08:30-08:45,48.08,52.89,12.39,11.93,12.21,28.25,5.18,48.08,7,33,33,21.5,33,55,21.5,21.37,21.66,64.5,55,39,0,38,34,18,0,13.62,25.5,68.1,81,0,3.98,149.55,0,0,0,109.63,192.34,0,0,3.98,0,26.8708,4.09,57.41,26.8708,70.08,0

36,08:45-09:00,48.08,52.89,12.39,11.93,12.21,28.26,5.18,48.08,7,33,33,22,33,55,22,24.91,22,66,55,45,0,45,40,22,0,15.59,28.5,77.93,95,0,4.19,149.55,0,0,0,109.63,192.34,0,0,4.19,0,26.8708,4.31,57.41,26.8708,70.08,0

37,09:00-09:15,0,52.89,12.39,11.93,12.21,28.77,5.09,0,7,33,33,22.67,33,55,22.66,27.67,21.66,68,55,51,0,52,45,24,0,20.25,31.5,101.24,105,0,7.29,149.55,0,0,0,109.63,0,0,0,7.29,0,26.8708,7.47,57.41,26.8708,70.08,0

38,09:15-09:30,0,52.89,12.39,11.93,12.21,27.25,5.09,0,7,33,33,23.83,33,56.33,23.84,29.57,21.66,71.5,56.33,56,0,58,49,27,0,22.85,33.5,114.23,116,0,7.96,149.55,0,0,0,109.63,0,0,0,7.96,0,26.8708,8.16,57.41,26.8708,70.08,0

39,09:30-09:45,0,52.89,12.39,11.93,12.21,27.25,5.09,0,7,33,33,24.33,33,57,24.34,31.32,21.66,73,57,62,0,64,54,30,0,25.44,37.5,127.23,126,0,8.62,149.55,0,0,0,109.63,0,0,0,8.62,0,26.8708,8.83,57.41,26.8708,70.08,0

40,09:45-10:00,0,52.89,12.39,11.93,12.21,27.75,5.09,0,7,33,33,24.5,33,57.67,24.5,33.09,21.66,73.5,57.67,68,0,68,58,32,0,28.04,38.5,140.23,137,0,9.25,149.55,0,0,0,109.63,0,0,0,9.25,0,26.8708,9.48,57.41,26.8708,70.08,0

41,10:00-10:15,0,52.89,12.39,11.93,12.21,28.26,4.99,0,7,33,33,24.67,33,58.67,24.66,37.08,22.66,74,58.67,72,0,75,63,35,0,39.17,40.5,195.83,147,0,10.32,149.55,0,0,0,109.63,0,0,0,10.32,0,26.8708,10.58,57.41,26.8708,70.08,0

42,10:15-10:30,0,52.89,12.39,11.93,12.21,27.25,4.99,0,7,33,33,24.83,33,61,24.84,43.88,22.34,74.5,61,78,0,78,66,37,0,41.67,42.5,208.33,154,0,11.22,149.55,0,0,0,109.63,0,0,0,11.22,0,26.8708,11.51,57.41,26.8708,70.08,0

43,10:30-10:45,0,52.89,12.39,11.93,12.21,27.25,4.99,0,7,33,33,24.83,33,63,24.84,50.59,22,74.5,63,82,0,82,70,39,0,45,43.5,225,165,0,14.82,149.55,0,0,0,109.63,0,0,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

44,10:45-11:00,0,52.89,12.39,11.93,12.21,27.25,4.99,0,7,33,33,24.83,33,64.67,24.84,56.5,21.34,74.5,64.67,86,0,85,73,41,0,45,43.5,225,172,0,14.82,149.55,0,0,0,109.63,0,0,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

45,11:00-11:15,0,52.89,12.39,11.93,12.21,27.25,4.81,0,7.01,33,33,25.17,33,66,25.16,61.28,26.66,75.5,66,88,0,86,76,42,0,45,44.5,225,179,0,14.82,192.34,0,0,0,109.63,0,0,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

46,11:15-11:30,0,52.89,12.39,11.93,12.21,27.25,4.81,0,7.01,33,33,25.67,33,66,25.66,64.57,26.66,77,66,89,0,86,76,43,0,45,44.5,225,179,0,14.82,230.81,0,0,0,109.63,0,0,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

47,11:30-11:45,0,52.89,12.39,11.93,12.21,27.25,4.81,0,7.01,33,33,26,33,66,26,66.72,22,78,66,90,0,87,76,43,0,45,45.5,225,179,0,14.82,230.81,0,0,0,109.63,0,3.76,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

48,11:45-12:00,0,52.89,12.39,11.93,12.21,27.25,4.81,0,7.01,33,33,26.5,33,66,26.5,68.34,22,79.5,66,90,0,88,76,43,0,45,45.5,225,179,0,14.82,230.81,0,0,0,109.63,0,3.76,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

49,12:00-12:15,0,52.89,12.39,11.93,12.21,26.24,4.71,0,7.01,33,33,27.83,33,66,27.84,72.65,22,83.5,66,90,0,88,76,43,0,45,45.5,225,179,0,14.82,230.81,0,0,0,109.63,0,3.76,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

50,12:15-12:30,0,52.89,12.39,11.93,12.21,26.24,4.71,0,7.01,33,33,28.83,33,66,28.84,72.59,22,86.5,66,90,0,88,76,43,0,45,45.5,225,179,0,14.82,230.81,0,0,0,109.63,0,3.76,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

51,12:30-12:45,0,52.89,12.39,11.93,12.21,27.25,5.09,0,7.01,33,33,25.83,33,66,25.84,71.96,22.34,77.5,66,90,0,89,78,43,0,45,45.5,225,182,0,14.82,271.92,0,0,0,109.63,0,3.76,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

52,12:45-13:00,0,52.89,12.39,11.93,12.21,27.25,5.09,0,7.01,33,33,25.83,33,66,25.84,70.28,22.34,77.5,66,90,0,89,78,43,0,45,45.5,225,182,0,14.82,230.81,0,0,0,109.63,0,3.76,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

53,13:00-13:15,0,52.89,12.39,11.93,12.21,27.25,5.09,0,7.2,33,33,25.83,33,66,25.84,68.2,22.34,77.5,66,90,0,89,76,43,0,45,44.5,225,179,0,14.82,192.34,0,0,0,109.63,0,3.76,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

54,13:15-13:30,0,52.89,12.39,11.93,12.21,27.25,5.09,0,7.4,33,33,25.83,33,66,25.84,66.64,22.34,77.5,66,90,0,88,76,43,0,45,44.5,225,179,0,14.82,192.34,0,0,0,109.63,0,3.76,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

55,13:30-13:45,0,52.89,12.39,11.93,12.21,27.25,5.09,0,8,33,33,25.83,33,66,25.84,66.24,22.66,77.5,66,89,0,85,78,43,0,45,41.5,225,182,0,14.82,230.81,0,0,0,109.63,0,3.76,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

56,13:45-14:00,0,52.89,12.39,11.93,12.21,27.25,5.09,0,8.4,33,33,25.83,33,66,25.84,66.77,22.66,77.5,66,88,0,85,78,42,0,45,41.5,225,182,0,14.82,271.92,0,0,0,128.87,0,3.76,0,14.82,0,26.8708,15.2,57.41,26.8708,70.08,0

57,14:00-14:15,0,52.89,12.39,11.93,12.21,28.76,5.22,0,8.8,33,33,25.83,33,66,25.84,65.73,22.66,77.5,66,88,0,82,75,42,0,45,41,225,175,0,14.82,271.92,0,0,0,165.36,0,3.76,0,14.82,0,26.8708,15.2,62.19,26.8708,70.08,0

58,14:15-14:30,0,52.89,12.39,11.93,12.21,28.76,5.22,0,12.41,33,33,25.83,33,66,25.84,62.66,22.66,77.5,66,86,0,80,72,41,0,44.17,40,220.83,168,0,14.82,271.92,0,0,0,165.36,0,3.76,0,14.82,0,26.8708,15.2,62.19,26.8708,70.08,0

59,14:30-14:45,0,52.89,12.39,11.93,12.21,28.76,5.22,0,14.21,33,33,25.83,33,66,25.84,58.26,22.34,77.5,66,76,0,77,68,37,0,38.33,39.5,191.67,160,0,14.82,271.92,0,0,0,165.36,0,3.76,0,14.82,0,26.8708,15.2,62.19,26.8708,70.08,0

60,14:45-15:00,0,52.89,12.39,11.93,12.21,28.76,5.22,0,17.01,33,33,25.83,33,66,25.84,56,22.34,77.5,66,72,0,75,65,35,0,36.03,38.5,180.17,153,0,14.82,271.92,0,0,0,225.6,0,3.76,0,14.82,0,26.8708,15.2,76.25,26.8708,70.08,0

61,15:00-15:15,0,52.89,12.39,11.93,18.18,29.27,5.41,0,20.01,33,33,31.67,33,73.33,31.66,47.18,25,95,73.33,72,0,70,66,35,0,37.06,37.5,185.29,154,0,14.82,271.92,0,0,0,225.6,0,3.76,0,14.82,0,26.8708,15.2,76.25,26.8708,70.08,0

62,15:15-15:30,0,52.89,12.39,11.93,18.18,29.27,5.41,0,22.01,33,33,31.67,33,73.33,31.66,46.17,25,95,73.33,68,0,67,61,32,0,35.1,34.5,175.49,144,0,14.15,271.92,0,0,0,225.6,0,3.76,0,14.15,0,26.8708,14.49,76.25,26.8708,70.08,0

63,15:30-15:45,0,52.89,12.39,11.93,18.18,29.27,6.01,0,24.01,33,33,31.67,33,73.33,31.66,44.82,25,95,73.33,59,0,57,52,28,0,33.14,33,165.69,123,0,13.08,271.92,0,0,0,225.6,0,3.76,0,13.08,0,26.8708,13.41,76.25,26.8708,70.08,0

64,15:45-16:00,0,52.89,12.39,11.93,18.18,29.27,6.01,0,24.01,33,33,31.67,33,72.67,31.66,42.84,24.66,95,72.67,54,0,53,48,26,0,31.18,30,155.89,112,0,12.2,271.92,0,0,0,225.6,0,3.76,0,12.2,0,26.8708,12.51,76.25,26.8708,70.08,0

65,16:00-16:15,0,52.89,12.39,11.93,18.18,29.27,6.29,0,24.01,33,33,31.67,33,73,31.66,39.6,24.34,95,73,49,0,52,43,24,0,33.5,27,167.51,102,0,11.42,271.92,0,0,0,177.51,0,3.76,0,11.42,0,26.8708,11.7,62.19,26.8708,70.08,0

66,16:15-16:30,0,52.89,12.39,11.93,18.18,29.27,6.29,0,24.01,33,33,31.67,33,72.67,31.66,35.49,24.34,95,72.67,44,0,47,39,21,0,30.43,25,152.15,91,0,10.17,271.92,0,0,0,165.36,0,3.76,0,10.17,0,26.8708,10.43,62.19,26.8708,70.08,0

67,16:30-16:45,0,52.89,12.39,11.93,18.18,28.76,6.29,0,24.01,33,33,31.67,33,72,31.66,31.62,24,95,72,37,0,40,33,18,0,27.18,23,135.92,77,0,9.17,271.92,0,0,0,165.36,0,3.76,0,9.17,0,26.8708,9.4,62.19,26.8708,70.08,0

68,16:45-17:00,0,52.89,12.39,11.93,18.18,28.76,6.29,0,23.01,33,22.1,31.67,33,70.67,31.66,27.89,23.66,95,70.67,32,0,33,28,16,0,23.97,18,119.83,67,0,7.87,271.92,0,0,0,165.36,0,3.76,0,7.87,0,26.8708,8.07,62.19,26.8708,70.08,0

69,17:00-17:15,48.08,100.19,12.39,11.93,18.18,28.76,6.57,48.08,20.01,33,15.3,31.67,33,69.33,31.66,25.14,23.66,95,69.33,27,0,28,24,13,0,21.67,15,108.33,56,0,6.44,271.92,0,0,0,117.28,192.34,3.76,0,6.44,0,26.8708,6.62,57.41,26.8708,70.08,0

70,17:15-17:30,48.08,52.89,12.39,11.93,18.18,28.26,6.57,48.08,18.41,27.95,7.6,31.67,29.42,68.33,31.66,22.16,23.34,95,68.33,22,0,23,21,11,0,18.33,12,91.67,49,0,5.27,271.92,0,0,0,109.63,192.34,3.76,0,5.27,0,26.8708,5.4,57.41,26.8708,70.08,0

71,17:30-17:45,48.08,52.89,12.39,11.93,18.18,27.25,0,48.08,16.41,22.27,2.5,29.33,23.44,70,29.34,16.51,22.34,88,70,10,0,22,16,5,0,15,9,75,39,0,3.95,271.92,0,0,0,157.72,192.34,3.76,0,3.95,0,26.8708,4.05,57.41,26.8708,70.08,0

72,17:45-18:00,48.08,52.89,12.39,11.93,18.18,27.25,0,48.08,15.21,17.32,0,28.5,18.23,69.67,28.5,10.03,21.66,85.5,69.67,10,0,17,12,5,0,11.71,7,58.53,28,0,2.96,271.92,0,0,0,169.87,192.34,3.76,0,2.96,0,26.8708,3.03,57.41,26.8708,70.08,0

73,18:00-18:15,48.08,100.19,12.39,11.93,18.18,27.25,0,48.08,12.81,0,0,26.67,0,69.33,26.66,6.63,20.66,80,69.33,7,0,13,7,3,0,9.05,7,45.24,18,0,2.28,271.92,0,0,0,198.73,192.34,3.76,0,2.28,0,26.8708,2.35,57.41,26.8708,70.08,0

74,18:15-18:30,48.08,100.19,12.39,11.93,18.18,27.25,0,48.08,10.4,0,0,24.67,0,68.33,24.66,4.21,20,74,68.33,3,0,10,3,2,0,7.22,5,36.11,7,0,1.68,271.92,0,0,0,246.81,192.34,3.76,0,1.68,0,26.8708,1.73,86.75,26.8708,70.08,0

75,18:30-18:45,48.08,100.19,12.39,11.93,18.18,27.25,0,48.08,8,0,0,24.17,0,67.33,24.16,2.46,22.34,72.5,67.33,1,0,7,1,1,0,5.39,3,26.98,4,0,0.82,271.92,0,0,0,258.57,192.34,3.76,0,0.82,0,24.0835,0.85,86.75,24.0835,70.08,0

76,18:45-19:00,48.08,100.19,12.39,11.93,18.18,27.25,0,48.08,7,0,0,23.67,0,66,23.66,0.72,21,71,66,0,0,4,0,0,0,3.57,2,17.84,1,0,0.49,271.92,0,0,0,258.57,192.34,3.76,0,0.49,0,24.0835,0.51,86.75,24.0835,70.08,0

77,19:00-19:15,48.08,100.19,12.39,11.93,18.18,27.25,0,48.08,7,0,0,23.33,0,61.67,23.34,0,20.34,70,61.67,0,0,2,0,0,0,1.74,1,8.72,1,0,0.11,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0.11,0,18.5536,0.11,86.75,32,78.56,0

