Time,Block,NR/2023/12915/F,NR/2023/10959/A,NR/2023/10432/A,NR/2023/11507/A,NR/2023/13791/C,NR/2023/13772/D,NR/2023/13369/F,NR/2023/12169/A,NR/2023/12916/F,NR/2023/12923/F,NR/2023/11266/A,NR/2023/12919/F,NR/2023/11953/A,NR/2023/13773/D,NR/2023/13053/F,NR/2023/12872/F,NR/2023/13775/D,NR/2023/13053/F/II,NR/2023/13315/F,NR/2023/10488/A,NR/2023/10947/A,NR/2023/11709/A,NR/2023/12924/F,NR/2023/10651/A,NR/2023/10705/A,NR/2023/12813/F,NR/2023/10720/A,NR/2023/13799/C,NR/2023/10786/A,NR/2023/10561/A,NR/2023/13774/D,ER/2023/8491/C,NR/2023/13786/C,NR/2023/12814/F,NR/2023/10435/A,NR/2023/13777/D,NR/2023/12706/A,NR/2023/10436/A,NR/2023/11712/A,NR/2023/10650/A,NR/2023/12917/F,NR/2023/12922/F,NR/2023/10460/A,NR/2023/12920/F,NR/2023/13771/D,NR/2023/12921/F,NR/2023/10956/A,NR/2023/12661/A,ER/2023/8507/C,Total
11,02:30-02:45,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,17.570000,0.480000,0,6.630000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1784.96

12,02:45-03:00,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,36.530000,0,17.570000,0.480000,0,6.630000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1784.96

13,03:00-03:15,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.440000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1690.35

14,03:15-03:30,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.440000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1690.35

15,03:30-03:45,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.440000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1690.35

16,03:45-04:00,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.440000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1690.35

17,04:00-04:15,0.370000,21.280000,43.570000,255.520000,18.400000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.440000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1690.17

18,04:15-04:30,0.370000,21.280000,43.570000,255.520000,18.400000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.440000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1690.17

19,04:30-04:45,0.370000,21.280000,43.570000,255.520000,18.400000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.440000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1690.17

20,04:45-05:00,0.370000,21.280000,43.570000,255.520000,18.400000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.440000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,98.760000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1690.17

21,05:00-05:15,0.370000,21.280000,43.570000,255.520000,18.300000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.480000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,0.000000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1591.35

22,05:15-05:30,0.370000,21.280000,43.570000,255.520000,18.300000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.480000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,0.000000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1591.35

23,05:30-05:45,0.370000,21.280000,43.570000,255.520000,18.300000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.480000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,0.000000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1591.35

24,05:45-06:00,0.370000,21.280000,43.570000,255.520000,18.300000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.820000,0.000000,0,24.200000,0.480000,0,0.000000,4.840000,48.410000,23.240000,0.000000,0.610000,63.180000,232.470000,62.930000,23.720000,34.670000,0.000000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,48.410000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1591.35

25,06:00-06:15,0.370000,21.280000,43.570000,255.520000,18.120000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.820000,0.000000,1.4,24.200000,0.530000,0.6,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,33.640000,0.000000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1257.41

26,06:15-06:30,0.370000,21.280000,43.570000,255.520000,18.120000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.820000,0.000000,6.18,24.200000,0.530000,2.65,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,33.640000,0.000000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1264.24

27,06:30-06:45,0.370000,21.280000,43.570000,255.520000,18.120000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.820000,0.000000,10.62,24.200000,0.530000,4.55,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,33.640000,0.000000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1270.58

28,06:45-07:00,0.370000,21.280000,43.570000,255.520000,18.120000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.820000,0.000000,16.72,24.200000,0.530000,7.17,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,33.640000,0.000000,38.730000,0.000000,53.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.930000,0.19,0.930000,85.170000,62.930000,0.000000,1332.49

29,07:00-07:15,0.370000,21.280000,43.570000,255.520000,17.930000,146.200000,0.000000,0.000000,0.520000,0.610000,63.630000,0.820000,0.000000,23.63,24.200000,0.680000,10.12,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,32.630000,0.000000,38.730000,47.440000,100.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.930000,0.39,0.930000,85.170000,62.930000,0.000000,1435.92

30,07:15-07:30,0.370000,21.280000,43.570000,255.520000,17.930000,146.200000,0.000000,0.000000,0.520000,0.610000,63.630000,0.820000,0.000000,28,24.200000,0.680000,12,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,32.630000,0.000000,38.730000,47.440000,100.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.930000,0.61,0.930000,85.170000,62.930000,0.000000,1442.39

31,07:30-07:45,0.370000,21.280000,43.570000,255.520000,17.930000,146.200000,0.000000,0.000000,0.520000,0.610000,63.630000,0.820000,0.000000,35,24.200000,0.680000,15,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,32.630000,0.000000,38.730000,47.440000,100.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.930000,1.13,0.930000,85.170000,62.930000,0.000000,1452.91

32,07:45:08:00,0.370000,21.280000,43.570000,255.520000,17.930000,146.200000,0.000000,0.000000,0.520000,0.610000,63.630000,0.820000,0.000000,50.4,24.200000,0.680000,21.6,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,32.630000,0.000000,38.730000,47.440000,100.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.930000,1.16,0.930000,85.170000,62.930000,0.000000,1474.94

33,08:00-08:15,0.370000,21.280000,43.570000,255.520000,17.750000,146.200000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,59.5,24.200000,0.970000,25.5,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,32.630000,0.000000,38.730000,47.440000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,1.74,0.980000,85.170000,62.930000,0.000000,1551.8

34,08:15-08:30,0.370000,21.280000,43.570000,255.520000,17.750000,146.200000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,70,24.200000,0.970000,30,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,32.630000,0.000000,38.730000,47.440000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,2.03,0.980000,85.170000,62.930000,0.000000,1567.09

35,08:30-08:45,0.370000,21.280000,43.570000,255.520000,17.750000,146.200000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,89.6,24.200000,0.970000,38.4,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,33.640000,0.000000,38.730000,47.440000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,2.42,0.980000,85.170000,62.930000,0.000000,1596.49

36,08:45:09:00,0.370000,21.280000,43.570000,255.520000,17.750000,146.200000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,103.41,24.200000,0.970000,44.32,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,33.640000,0.000000,38.730000,47.440000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,2.9,0.980000,85.170000,62.930000,0.000000,1616.7

37,09:00:09:15,0.370000,21.280000,43.570000,255.520000,17.650000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,114.09,24.200000,0.970000,48.89,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,35.690000,0.000000,38.730000,56.160000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,3.68,0.980000,85.170000,62.930000,0.000000,1611.78

38,09:15-09:30,0.370000,21.280000,43.570000,255.520000,17.650000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,122.47,24.200000,0.970000,52.49,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,35.690000,0.000000,38.730000,56.160000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,3.87,0.980000,85.170000,62.930000,0.000000,1623.95

39,09:30-09:45,0.370000,21.280000,43.570000,255.520000,17.650000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,129.83,24.200000,0.970000,55.64,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,35.690000,0.000000,38.730000,56.160000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,4.07,0.980000,85.170000,62.930000,0.000000,1634.66

40,09:45-10:00,0.370000,21.280000,43.570000,255.520000,17.650000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,136.57,24.200000,0.970000,58.53,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,35.690000,0.000000,38.730000,56.160000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,4.26,0.980000,85.170000,62.930000,0.000000,1644.48

41,10:00-10:15,0.370000,21.280000,43.570000,255.520000,17.470000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,154,24.200000,0.970000,66,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,54.220000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,5.23,0.980000,85.170000,62.930000,0.000000,1761.28

42,10:15-10:30,0.370000,21.280000,43.570000,255.520000,17.470000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,157.5,24.200000,0.970000,67.5,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,54.220000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,5.23,0.980000,85.170000,62.930000,0.000000,1766.28

43,10:30-10:45,0.370000,21.280000,43.570000,255.520000,17.470000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,164.5,24.200000,0.970000,70.5,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,54.220000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,5.23,0.980000,85.170000,62.930000,0.000000,1776.28

