Block,Time Block,TANDA2,TEHRIPSP,TEHRI,TANAKPUR,TALA,TALST2,URI2,VALLURNTECL,URI,UNCHAHAR4,UNCHAHAR3,RIHAND1,RAPPB,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPD,RSTPSU7,SALAL,SEWA2,SINGRAULI,RAMPUR,RIHAND3,RAPPC,RIHAND2,SASAN,MAPS,PARBATI2,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,NTPL,PARBATI3,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,JHAJJAR,KOTESHWR,KGSU1AND2,KHSTPP-II,KKNP,KGSU3AND4,KUDGI,UNCHAHAR1,UNCHAHAR2,TelanganaSTPP,CHAMERA2,CHAMERA3,BRBCL,BSIUL,CHAMERA1,DHAULIGNGA,DULHASTI,DADRT2,FSTPP I & II,DADRI_CRF,ANTA_GF,AURY_CRF,DADRI_GF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,DADRI_LF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,2.22,50.3,38.27,11.77,29.01,0,32.7,0,12.82,1.93,26.54,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,44.05,127.7,10.1,0,143.47,0,0,0,20.79,43.04,0,47.31,33.95,13.51,12.61,40.78,42.42,56.27,502.55,20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,3.74,50.3,38.27,11.77,29.01,0,32.7,0,46.99,2.98,22.93,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,44.05,127.7,10.1,0,143.47,0,0,0,17.95,37.21,0,47.31,33.95,13.51,12.61,40.78,42.42,56.27,411.29,20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,3.74,50.3,38.27,11.77,29.01,0,32.7,0,46.99,1.99,22.93,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,44.05,127.7,10.1,0,143.47,0,0,0,17.95,37.21,0,47.31,33.95,13.5,12.61,40.78,42.42,56.27,362.92,20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,3.74,0,38.27,11.77,29.58,0,32.7,0,46.99,1.93,22.93,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,44.05,111.25,10.1,0,143.47,0,0,0,17.95,37.21,0,47.31,33.95,13.51,12.61,40.78,42.42,56.27,340.67,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,3.74,0,38.27,11.77,29.58,0,32.7,0,46.99,1.93,22.93,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,44.05,111.25,10.1,0,143.47,0,0,0,17.95,37.21,0,47.31,33.95,13.47,12.61,40.78,42.42,56.27,299.07,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,3.74,0,38.27,11.77,29.58,0,32.7,0,46.99,1.93,18.3,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,42.35,111.25,10.1,0,143.47,0,0,0,13.75,29.54,0,47.31,33.95,13.5,12.61,40.78,42.42,56.27,257.47,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,3.74,0,38.27,11.77,29.58,0,32.7,0,46.99,1.93,18.3,84.07,0,1.13,0,0,0,24.9,0,82.63,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,42.35,111.25,10.1,0,143.47,0,0,0,13.75,29.54,0,47.31,33.95,14.15,12.61,40.78,42.42,56.27,222.65,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,3.74,0,38.27,9.92,29.58,0,32.7,0,46.99,1.93,18.3,84.07,0,1.13,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,38.27,111.25,10.1,0,123.63,0,0,0,13.74,29.54,0,47.31,33.95,15.59,12.61,40.78,42.42,56.27,256.51,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,3.74,0,38.27,9.92,29.58,0,32.7,0,46.99,1.93,18.3,84.07,0,1.13,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,38.27,111.25,10.1,0,123.63,0,0,0,13.75,29.54,0,47.31,33.95,15.5,12.61,40.78,42.42,56.27,256.51,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,3.74,0,38.27,9.92,29.58,0,32.7,0,46.99,1.93,18.3,84.07,0,1.13,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,38.27,111.25,10.1,0,128.57,0,0,0,13.75,29.54,0,47.31,33.95,15.71,12.61,40.78,42.42,56.27,256.51,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,3.74,0,38.27,9.92,29.53,0,32.7,0,46.99,1.93,18.3,84.07,0,1.13,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,38.27,111.25,10.1,0,123.63,0,0,0,13.75,29.54,0,47.31,33.95,14.66,12.61,40.78,42.42,56.27,208.14,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,3.74,0,38.27,10.53,29.69,0,32.7,0,46.99,1.93,21.91,84.07,0,1.13,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,43.55,111.25,10.1,0,143.47,0,0,0,16.59,35.38,0,47.31,33.95,13.43,12.61,40.78,42.42,56.27,198.46,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,3.74,0,38.27,10.53,29.63,0,32.7,0,46.99,1.93,21.91,84.07,0,1.13,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,44.05,111.25,10.1,0,143.47,0,0,0,16.59,35.38,0,47.31,33.95,14.48,12.61,40.78,42.42,56.27,159.77,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,3.74,0,38.27,10.53,29.53,0,32.7,0,46.99,1.93,18.3,84.07,0,1.12,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,38.27,111.25,10.1,0,143.47,0,0,0,15.52,29.54,0,47.31,33.95,16.59,12.61,40.78,42.42,56.27,150.09,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,3.74,0,38.27,10.53,29.41,0,32.7,0,46.99,1.93,18.3,84.07,0,1.12,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,38.27,111.25,10.1,0,143.47,0,0,0,13.11,29.54,0,47.31,33.95,14.91,12.61,40.78,42.42,56.27,101.72,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,3.74,0,38.27,9.92,29.58,0,32.7,0,46.99,1.93,18.3,84.07,0,1.12,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,37.96,111.25,10.1,0,143.47,0,0,0,13.11,29.54,0,47.31,33.95,17.72,12.61,40.78,42.42,56.27,53.35,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,3.74,0,28.71,9.92,29.58,0,32.7,0,46.99,1.93,18.3,84.07,0,1.12,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,37.96,111.25,10.1,0,143.47,0,0,0,13.11,29.54,0,47.31,33.95,18.05,12.61,40.78,42.42,56.27,4.98,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,3.74,0,19.14,9.92,30.14,0,32.7,0,46.99,1.93,15.6,84.07,0,1.12,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,37.96,107.38,10.1,0,143.47,0,0,0,11.56,25.83,0,47.31,33.95,17.94,12.61,40.78,42.42,56.27,4.98,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,3.74,0,9.57,9.92,30.04,0,32.7,0,46.99,0.63,12.75,84.07,0,1.12,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,37.96,107.38,10.1,0,143.47,0,0,0,10.11,23.4,0,47.31,33.95,14.37,12.61,40.78,42.42,56.27,4.98,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,3.74,0,0,9.92,30.24,0,32.7,0,46.99,0.63,12.75,84.07,0,1.12,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,37.96,107.38,10.1,0,143.47,0,0,0,10.11,23.4,0,47.31,33.95,14.04,12.61,40.78,42.42,56.27,4.98,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,3.74,0,0,9.92,30.17,0,32.7,0,46.99,0.63,12.75,84.07,0,1.12,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,397.23,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,37.96,107.38,10.1,0,143.47,0,0,0,10.11,23.4,0,47.31,33.95,19.67,12.61,40.78,42.42,56.27,4.98,14.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,1.6,0,0,9.3,31.17,0,32.7,0,46.99,0.63,12.75,84.07,0,1.12,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,387.22,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,29.25,107.38,10.1,0,115.11,0,0,0,10.11,23.4,0,47.31,33.95,23.42,12.61,40.78,42.42,56.27,4.98,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,1.6,0,0,9.3,31.11,0,32.7,0,46.99,0.63,12.75,84.07,0,1.12,0,0,0,24.9,0,79.81,0,145.73,6.81,125.34,66.49,120.21,387.22,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,29.25,107.38,10.1,0,100.31,0,0,0,10.11,23.4,0,47.31,33.95,18.47,12.61,40.78,42.42,56.27,4.98,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,1.6,0,0,9.3,31.76,0,32.7,0,46.99,0.63,12.75,84.07,0,1.12,0,0,0,24.9,0,79.81,0,140.12,6.81,125.34,66.49,120.21,387.22,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,29.25,107.38,10.1,0,95.28,0,0,0,10.11,23.4,0,47.31,33.95,18.72,12.61,40.78,42.42,56.27,4.98,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,1.6,0,0,9.3,31.76,0,32.7,0,46.99,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,79.81,0,121.83,6.81,125.34,66.49,95.63,387.22,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,29.25,107.38,10.1,0,95.28,0,0,0,10.11,23.4,0,47.31,33.95,21.73,12.61,40.78,42.42,56.27,4.98,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,1.6,0,0,9.3,31.76,0,32.7,0,47.53,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,79.81,0,121.1,6.81,125.34,66.49,95.63,387.22,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,29.25,107.38,10.1,0,95.28,0,0,0,10.11,23.4,0,47.31,33.95,19.77,12.61,40.78,42.42,56.27,4.98,13.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,1.6,0,0,9.3,31.76,0,32.7,0,47.53,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,79.81,0,120.84,6.81,125.34,66.49,95.63,387.22,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,29.25,107.38,10.1,0,95.28,0,0,0,10.11,23.4,0,47.31,33.95,18.65,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,1.6,0,0,11.52,31.49,0,32.7,0,47.53,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,79.81,0,120.87,6.81,125.34,66.49,95.63,387.22,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,21.19,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,1.6,0,0,11.52,31.49,0,32.7,0,47.53,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,79.81,0,120.46,6.81,125.34,66.49,95.63,387.22,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,16.76,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,1.6,0,0,11.52,31.49,0,32.7,0,47.53,0.63,12.75,71.98,0,1.12,0,0,0,24.9,0,79.81,0,103.47,6.81,101.88,66.49,105.75,388.38,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,17.85,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,1.6,0,0,11.52,31.49,0,32.7,0,47.53,0.63,12.75,84.07,0,1.12,0,0,0,24.9,0,79.81,0,103.34,6.81,101.88,66.49,106,388.38,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,20.04,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,1.6,0,0,11.52,31.76,0,32.7,0,47.53,0.63,12.75,84.07,0,1.12,0,0,0,24.9,0,79.81,0,104.1,6.81,101.88,66.49,106,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,18.31,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,1.6,0,0,11.52,31.76,0,32.7,0,47.53,0.63,12.75,84.07,0,1.12,0,0,0,24.9,0,79.81,0,91.36,6.81,101.88,66.49,106,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,19.4,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,1.6,0,0,11.52,31.76,0,32.7,0,48.06,0.63,12.75,75.34,0,1.12,0,0,0,24.9,0,79.81,0,91.36,6.81,101.88,66.49,93.92,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,20.6,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,1.6,0,0,11.52,31.76,0,32.7,0,48.06,0.63,12.75,72.83,0,1.12,0,0,0,24.9,0,79.81,0,91.36,6.81,101.88,66.49,89.5,384.15,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,20.62,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,1.6,0,0,11.52,31.76,0,32.7,0,51.26,0.63,12.75,53.1,0,1.12,0,0,0,24.9,0,79.81,0,82.78,6.81,101.88,66.49,67.47,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,19.96,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,1.6,0,0,11.52,31.76,0,32.7,0,51.26,0.63,12.75,53.1,0,1.12,0,0,0,24.9,0,79.81,0,82.78,6.81,101.88,66.49,67.47,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,16.56,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,1.6,0,0,11.52,31.76,0,32.7,0,51.26,0.63,12.75,53.1,0,1.12,0,0,0,24.9,0,79.81,0,82.78,6.81,101.88,66.49,75.45,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,15.86,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,1.6,0,0,11.52,31.76,0,32.7,0,51.26,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,79.81,0,82.78,6.81,101.88,66.49,81.41,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,15.94,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,1.6,0,0,11.52,31.76,0,32.7,0,43.79,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,80.37,0,91.45,6.81,101.88,66.49,81.41,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,16.34,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,1.6,0,0,11.52,31.76,0,32.7,0,43.79,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,80.37,0,94,6.81,101.88,66.49,81.41,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.03,0,0,0,10.11,23.4,0,47.31,33.95,16.08,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,1.6,0,0,5.57,31.76,0,38.92,0,43.79,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,80.37,0,94,6.81,101.88,66.49,81.41,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.05,0,0,0,10.11,23.4,0,47.31,33.95,15.28,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,1.6,0,0,5.57,31.76,0,38.92,0,48.06,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,80.37,0,94,6.81,101.88,66.49,81.41,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.05,0,0,0,10.11,23.4,0,47.31,33.95,18.91,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,1.6,0,0,5.57,31.76,0,38.92,0,48.06,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,80.37,0,94,6.81,101.88,66.49,81.41,360.89,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.05,0,0,0,10.11,23.4,0,47.31,33.95,23.63,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,1.6,0,0,11.52,31.76,0,38.92,0,51.26,0.63,12.75,57.48,0,1.12,0,0,0,24.9,0,80.37,0,94,6.81,101.88,66.49,81.41,360.89,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.05,0,0,0,10.11,23.4,0,47.31,33.95,23.13,12.61,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,1.6,0,0,11.52,31.76,0,32.7,0,51.26,0.63,12.75,84.07,0,1.12,0,0,0,24.9,0,80.37,0,111.45,6.81,101.88,66.49,106,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.05,0,0,0,10.11,23.4,0,47.31,33.95,21.87,6.31,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,1.6,0,0,11.52,31.76,0,32.7,0,51.26,0.63,12.75,84.07,0,1.12,0,0,0,24.9,0,80.37,0,111.45,6.81,101.88,66.49,106,393.9,0,56.16,0,0,175.25,0,0,24.59,0,0,57.25,0,10.3,8.43,26.14,107.38,10.1,0,97.05,0,0,0,10.11,23.4,0,47.31,33.95,21.04,6.31,40.78,42.42,56.27,4.98,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

