Time,Block,NR/2023/13908/A,NR/2023/16656/C,NR/2023/13242/A,NR/2023/13385/A,NR/2023/13254/A,NR/2023/13165/A,NR/2023/13636/A,NR/2023/13387/A,NR/2023/16650/D,NR/2023/16191/A,NR/2023/16185/A,NR/2023/16291/F,NR/2023/13383/A,NR/2023/16520/F,NR/2023/16073/A,NR/2023/16638/D,NR/2023/13376/A,NR/2023/16077/A,NR/2023/13253/A,NR/2023/16437/F,NR/2023/13519/A,NR/2023/13148/A,NR/2023/16651/D,NR/2023/16669/C,NR/2023/16291/F/II,NR/2023/13150/A,NR/2023/16666/C,NR/2023/16648/D,NR/2023/15770/A,NR/2023/16647/D,NR/2023/16663/C,Total

3,00:30-00:45,175.160000,5.040000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.870000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1473.08

4,00:45-01:00,175.160000,5.040000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.870000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1473.08

5,01:00-01:15,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.130000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.500000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1473.86

6,01:15-01:30,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.130000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.500000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1473.86

7,01:30-01:45,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.130000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.500000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1473.86

8,01:45-02:00,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.130000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.500000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1473.86

9,02:00-02:15,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,0.000000,0.630000,63.070000,80.000000,67.710000,29.020000,4.840000,12.280000,1457.04

10,02:15-02:30,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,0.000000,0.630000,63.070000,80.000000,67.710000,29.020000,4.840000,12.280000,1457.04

11,02:30-02:45,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,0.000000,0.630000,63.070000,80.000000,67.710000,29.020000,4.840000,12.280000,1457.04

12,02:45-03:00,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,0.000000,0.630000,63.070000,80.000000,67.710000,29.020000,4.840000,12.280000,1457.04

13,03:00-03:15,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.630000,63.070000,80.000000,67.710000,29.020000,4.840000,12.190000,1361.99

14,03:15-03:30,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.630000,63.070000,80.000000,67.710000,29.020000,4.840000,12.190000,1361.99

15,03:30-03:45,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.630000,63.070000,80.000000,67.710000,29.020000,4.840000,12.190000,1361.99

16,03:45-04:00,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.630000,63.070000,80.000000,67.710000,29.020000,4.840000,12.190000,1361.99

17,04:00-04:15,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.580000,63.070000,50.000000,67.710000,29.020000,4.840000,12.000000,1331.75

18,04:15-04:30,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.580000,63.070000,50.000000,67.710000,29.020000,4.840000,12.000000,1331.75

19,04:30-04:45,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.580000,63.070000,50.000000,67.710000,29.020000,4.840000,12.000000,1331.75

20,04:45-05:00,175.160000,6.060000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.580000,63.070000,50.000000,67.710000,29.020000,4.840000,12.000000,1331.75

21,05:00-05:15,175.160000,6.060000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.580000,63.070000,50.000000,67.710000,29.020000,4.840000,11.920000,1302.07

22,05:15-05:30,175.160000,6.060000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.580000,63.070000,50.000000,67.710000,29.020000,4.840000,11.920000,1302.07

23,05:30-05:45,175.160000,6.060000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.580000,63.070000,50.000000,67.710000,29.020000,4.840000,11.920000,1302.07

24,05:45-06:00,175.160000,6.060000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,0.000000,24.180000,18.990000,20.310000,77.870000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.580000,63.070000,50.000000,67.710000,29.020000,4.840000,11.920000,1302.07

25,06:00-06:15,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.680000,63.070000,0.000000,67.710000,29.020000,4.840000,11.820000,1136.79

26,06:15-06:30,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.680000,63.070000,0.000000,67.710000,29.020000,4.840000,11.820000,1136.79

27,06:30-06:45,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0.11,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.680000,63.070000,0.000000,67.710000,29.020000,4.840000,11.820000,1136.9

28,06:45-07:00,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0.54,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.680000,63.070000,0.000000,67.710000,29.020000,4.840000,11.820000,1137.33

29,07:00-07:15,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0.81,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.680000,63.070000,0.000000,67.710000,29.020000,4.840000,11.640000,1137.42

30,07:15-07:30,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,1.42,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.680000,63.070000,0.000000,67.710000,29.020000,4.840000,11.640000,1138.03

31,07:30-07:45,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,1.85,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.680000,63.070000,0.000000,67.710000,29.020000,4.840000,11.640000,1138.46

32,07:45:08:00,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,2.47,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.680000,63.070000,0.000000,67.710000,29.020000,4.840000,11.640000,1139.08

33,08:00-08:15,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,3.02,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.540000,1139.82

34,08:15-08:30,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,3.8,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.540000,1140.6

35,08:30-08:45,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,4.44,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.540000,1141.24

36,08:45:09:00,175.160000,2.020000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,5.03,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.540000,1141.83

37,09:00:09:15,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,5.68,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1143.4

38,09:15-09:30,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.23,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1143.95

39,09:30-09:45,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.74,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1144.46

40,09:45-10:00,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,7.21,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1144.93

41,10:00-10:15,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,7.68,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1145.4

42,10:15-10:30,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.96,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1144.68

43,10:30-10:45,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.4,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1144.12

44,10:45-11:00,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,7.63,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1145.35

45,11:00-11:15,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,9.12,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1146.84

46,11:15-11:30,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.96,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1144.68

47,11:30-11:45,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,8.1,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1145.82

48,11:45-12:00,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,9.05,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1146.77

49,12:00-12:15,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,7.93,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1145.65

50,12:15-12:30,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,4.84,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1142.56

51,12:30-12:45,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.53,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1144.25

52,12:45-13:00,175.160000,3.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,5.97,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1143.69

53,13:00-13:15,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.01,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1144.73

54,13:15-13:30,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,9.28,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1148

55,13:30-13:45,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,8.31,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1147.03

56,13:45-14:00,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,8.15,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.450000,1146.87

57,14:00-14:15,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.46,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.640000,1203.83

58,14:15-14:30,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,5.42,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.640000,1202.79

59,14:30-14:45,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.63,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.640000,1204

60,14:45-15:00,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.67,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.970000,63.070000,0.000000,67.710000,29.020000,4.840000,11.640000,1204.04

61,15:00-15:15,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.59,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.870000,63.070000,0.000000,67.710000,29.020000,4.840000,11.820000,1204.04

62,15:15-15:30,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,6.21,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.870000,63.070000,0.000000,67.710000,29.020000,4.840000,11.820000,1203.66

63,15:30-15:45,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,4.69,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.870000,63.070000,0.000000,67.710000,29.020000,4.840000,11.820000,1202.14

64,15:45-16:00,175.160000,4.030000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,3.43,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.870000,63.070000,0.000000,67.710000,29.020000,4.840000,11.820000,1200.88

65,16:00-16:15,175.160000,7.060000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,4.39,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.000000,1205

66,16:15-16:30,175.160000,7.060000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,4.49,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.000000,1205.1

67,16:30-16:45,175.160000,7.060000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,4.06,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.000000,1204.67

68,16:45-17:00,175.160000,7.060000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,3.28,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,0.000000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.000000,1203.89

69,17:00-17:15,175.160000,8.070000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,2.73,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.190000,1146.08

70,17:15-17:30,175.160000,8.070000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,1.97,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.190000,1145.32

71,17:30-17:45,175.160000,8.070000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,1.26,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.190000,1144.61

