Column1,Block,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,NR/2025/25868/C,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,GNA/WR/2025/04/01/4420,WR/2025/27369/A/62097,WR/2025/27361/A/62001,GNA/NR/2025/04/01/1831,NR/2025/25883/C,WR/2025/27350/A/61703,GNA/NR/2025/04/01/6490,NR/2025/25791/A/61960,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/7459,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/5285,NR/30092023/31122025/SH-07,NR/2025/25752/A/61640,NR/2025/25792/A/61959,NR/2025/25794/A/61958,NR/2025/25795/A/61957,NR/2025/25828/A/61711,GNARE/NR/2024/12/20/3668,NR/2025/25790/A/61961,Total
10,02:15-02:30,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.98,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.3

11,02:30-02:45,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.98,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.3

12,02:45-03:00,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.98,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.3

13,03:00-03:15,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.9,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.2199999999999

14,03:15-03:30,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.9,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.2199999999999

15,03:30-03:45,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.9,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.2199999999999

16,03:45-04:00,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.9,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.2199999999999

17,04:00-04:15,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.9,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.2199999999999

18,04:15-04:30,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.9,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.2199999999999

19,04:30-04:45,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.9,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.2199999999999

20,04:45-05:00,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.9,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.2199999999999

21,05:00-05:15,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.1199999999999

22,05:15-05:30,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.1199999999999

23,05:30-05:45,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.1199999999999

24,05:45-06:00,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.1199999999999

25,06:00-06:15,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,681.1199999999999

26,06:15-06:30,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0.76,10.93,681.8799999999999

27,06:30-06:45,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0.19,10.93,681.31

28,06:45-07:00,48.1,2.89,151.02,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,1.46,10.93,682.5799999999999

29,07:00-07:15,48.1,2.89,178.91,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,4.24,10.93,713.2499999999999

30,07:15-07:30,48.1,2.89,178.91,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,8.22,10.93,717.2299999999999

31,07:30-07:45,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,13.73,10.93,543.83

32,07:45-08:00,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,144.28,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,20.86,10.93,550.96

33,08:00-08:15,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.7,9.62,30.5,2.89,30.5,3.85,32.79,32.79,10.93,0,28.91,10.93,418.4800000000001

34,08:15-08:30,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.7,9.62,30.5,2.89,30.5,3.85,32.79,32.79,10.93,0,36.37,10.93,425.94000000000005

35,08:30-08:45,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.7,9.62,30.5,2.89,30.5,3.85,32.79,32.79,10.93,0,44.77,10.93,434.34000000000003

36,08:45-09:00,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.7,9.62,30.5,2.89,30.5,3.85,32.79,32.79,10.93,0,52.61,10.93,442.18000000000006

37,09:00-09:15,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.7,9.62,30,2.89,30,6.73,32.79,32.79,10.93,0,60.55,10.93,452.00000000000006

38,09:15-09:30,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.7,9.62,30,2.89,30,6.73,32.79,32.79,10.93,0,67.88,10.93,459.33000000000004

39,09:30-09:45,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.7,9.62,30,2.89,30,6.73,32.79,32.79,10.93,0,74.9,10.93,466.3500000000001

40,09:45-10:00,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.7,9.62,30,2.89,30,6.73,32.79,32.79,10.93,0,81.48,10.93,472.93000000000006

41,10:00-10:15,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.62,9.62,30,2.89,30,8.66,32.79,32.79,10.93,0,87.31,10.93,480.61000000000007

42,10:15-10:30,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.62,9.62,30,2.89,30,8.66,32.79,32.79,10.93,0,92.85,10.93,486.15000000000003

43,10:30-10:45,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.62,9.62,30,2.89,30,8.66,32.79,32.79,10.93,0,97.34,10.93,490.64000000000004

44,10:45-11:00,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.62,9.62,30,2.89,30,8.66,32.79,32.79,10.93,0,100,10.93,493.30000000000007

45,11:00-11:15,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.62,9.62,30,2.89,30,8.66,32.79,32.79,10.93,0,100,10.93,493.30000000000007

46,11:15-11:30,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.62,9.62,30,2.89,30,8.66,32.79,32.79,10.93,0,100,10.93,493.30000000000007

47,11:30-11:45,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.62,9.62,30,2.89,30,8.66,32.79,32.79,10.93,0,100,10.93,493.30000000000007

48,11:45-12:00,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.62,9.62,30,2.89,30,8.66,32.79,32.79,10.93,0,100,10.93,493.30000000000007

49,12:00-12:15,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.52,9.62,29.5,2.89,29.5,8.66,32.79,32.79,10.93,0,100,10.93,492.2000000000001

50,12:15-12:30,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.52,9.62,29.5,2.89,29.5,8.66,32.79,32.79,10.93,0,100,10.93,492.2000000000001

51,12:30-12:45,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.52,9.62,29.5,2.89,29.5,8.66,32.79,32.79,10.93,0,100,10.93,492.2000000000001

52,12:45-13:00,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.52,9.62,29.5,2.89,29.5,8.66,32.79,32.79,10.93,0,100,10.93,492.2000000000001

53,13:00-13:15,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.52,9.62,29.5,2.89,29.5,8.66,32.79,32.79,10.93,0,100,10.93,492.2000000000001

54,13:15-13:30,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.52,9.62,29.5,2.89,29.5,8.66,32.79,32.79,10.93,0,100,10.93,492.2000000000001

55,13:30-13:45,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.52,9.62,29.5,2.89,29.5,8.66,32.79,32.79,10.93,0,100,10.93,492.2000000000001

56,13:45-14:00,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.52,9.62,29.5,2.89,29.5,8.66,32.79,32.79,10.93,0,100,10.93,492.2000000000001

57,14:00-14:15,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,7.7,32.79,32.79,10.93,0,100,10.93,491.15000000000003

58,14:15-14:30,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,7.7,32.79,32.79,10.93,0,100,10.93,491.15000000000003

59,14:30-14:45,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,7.7,32.79,32.79,10.93,0,100,10.93,491.15000000000003

60,14:45-15:00,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,7.7,32.79,32.79,10.93,0,100,10.93,491.15000000000003

61,15:00-15:15,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,6.73,32.79,32.79,10.93,0,100,10.93,490.18000000000006

62,15:15-15:30,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,6.73,32.79,32.79,10.93,0,94.08,10.93,484.26000000000005

63,15:30-15:45,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,6.73,32.79,32.79,10.93,0,88.41,10.93,478.5900000000001

64,15:45-16:00,48.1,2.89,0,0,25.97,0,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,6.73,32.79,32.79,10.93,0,82.57,10.93,472.75000000000006

65,16:00-16:15,48.1,2.89,0,0,25.97,50,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,3.85,32.79,32.79,10.93,1.92,76.79,10.93,516.0100000000001

66,16:15-16:30,48.1,2.89,0,0,25.97,50,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,3.85,32.79,32.79,10.93,1.92,70.6,10.93,509.8200000000001

67,16:30-16:45,48.1,2.89,0,0,25.97,50,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,3.85,32.79,32.79,10.93,1.92,63.21,10.93,502.43000000000006

68,16:45-17:00,48.1,2.89,0,0,25.97,50,48.1,48.1,1.92,0,0,9.62,21.86,2.89,9.62,5.43,9.62,29.5,2.89,29.5,3.85,32.79,32.79,10.93,1.92,55.76,10.93,494.9800000000001

69,17:00-17:15,48.1,2.89,0,0,25.97,50,48.1,48.1,1.92,0.96,0,9.62,21.86,2.89,9.62,5.62,9.62,29.5,2.89,29.5,0,32.79,32.79,10.93,1.92,47.74,10.93,484.26000000000005

70,17:15-17:30,48.1,2.89,0,0,25.97,50,48.1,48.1,1.92,0.96,0,9.62,21.86,2.89,9.62,5.62,9.62,29.5,2.89,29.5,0,32.79,32.79,10.93,1.92,40.87,10.93,477.39000000000004

71,17:30-17:45,48.1,2.89,0,0,25.97,50,48.1,48.1,1.92,1.92,0,9.62,21.86,2.89,9.62,5.62,9.62,29.5,2.89,29.5,0,32.79,32.79,10.93,1.92,32.46,10.93,469.94

72,17:45-18:00,48.1,2.89,231.82,0,25.97,50,48.1,48.1,1.92,1.92,0,9.62,21.86,2.89,9.62,5.62,9.62,29.5,2.89,29.5,0,32.79,32.79,10.93,1.92,23.18,10.93,692.4799999999998

73,18:00-18:15,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,21.86,2.89,9.62,5.8,9.62,25.98,2.89,30.5,0,32.79,32.79,10.93,1.92,15.96,10.93,741.5999999999999

74,18:15-18:30,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,21.86,2.89,9.62,5.8,9.62,25.98,2.89,30.5,0,32.79,32.79,10.93,1.92,9.91,10.93,735.5499999999998

75,18:30-18:45,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,5.37,10.93,735.5299999999999

76,18:45-19:00,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,2.89,48.1,9.62,21.86,2.89,9.62,5.8,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,2.68,10.93,733.8099999999997

77,19:00-19:15,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,2.89,48.1,9.62,21.86,2.89,9.62,5.98,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,731.3099999999998

78,19:15-19:30,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,2.89,48.1,9.62,21.86,2.89,9.62,5.98,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,731.3099999999998

79,19:30-19:45,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,2.89,48.1,9.62,21.86,2.89,9.62,5.98,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,731.3099999999998

80,19:45-20:00,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,2.89,48.1,9.62,21.86,2.89,9.62,5.98,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,731.3099999999998

81,20:00-20:15,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,21.86,2.89,9.62,6.17,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,730.5299999999999

82,20:15-20:30,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,21.86,2.89,9.62,6.17,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,730.5299999999999

83,20:30-20:45,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,21.86,2.89,9.62,6.17,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,730.5299999999999

84,20:45-21:00,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,21.86,2.89,9.62,6.17,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,730.5299999999999

85,21:00-21:15,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,21.86,2.89,9.62,6.35,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,730.7099999999999

86,21:15-21:30,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,21.86,2.89,9.62,6.35,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,730.7099999999999

87,21:30-21:45,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,21.86,2.89,9.62,6.35,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,730.7099999999999

88,21:45-22:00,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,0.96,48.1,9.62,21.86,2.89,9.62,6.35,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,1.92,0,10.93,729.7499999999999

89,22:00-22:15,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,20.64,2.89,9.62,6.54,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,727.7599999999999

90,22:15-22:30,48.1,2.89,231.82,0,36.55,50,48.1,48.1,1.92,1.92,48.1,9.62,19.5,2.89,9.62,6.54,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,726.6199999999999

91,22:30-22:45,48.1,2.89,190.46,0,36.55,50,48.1,48.1,1.92,0.96,48.1,9.62,18.36,2.89,9.62,6.54,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,683.1599999999999

92,22:45-23:00,48.1,2.89,190.46,0,36.55,50,48.1,48.1,1.92,0.96,48.1,9.62,17.44,2.89,9.62,6.54,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,682.2399999999998

93,23:00-23:15,48.1,2.89,190.46,0,36.55,50,48.1,48.1,1.92,0,48.1,9.62,16.28,2.89,9.62,6.54,9.62,16.16,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,665.7799999999999

94,23:15-23:30,48.1,2.89,190.46,0,36.55,50,48.1,48.1,1.92,0,48.1,9.62,15,2.89,9.62,6.54,9.62,16.16,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,664.4999999999999

95,23:30-23:45,48.1,2.89,135.63,0,36.55,50,48.1,48.1,1.92,0,48.1,9.62,13.38,2.89,9.62,6.54,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,622.3899999999999

96,23:45-24:00,48.1,2.89,135.63,0,36.55,50,48.1,48.1,1.92,0,48.1,9.62,11.49,2.89,9.62,6.54,9.62,30.5,2.89,30.5,0,32.79,32.79,10.93,0,0,10.93,620.5

