Time,Block,NR/2023/10236/A,NR/2023/10487/A,NR/2023/10944/A,NR/2023/11862/F,NR/2023/12428/C,NR/2023/11342/A,NR/2023/10613/A,NR/2023/11962/F,NR/2023/10434/A,NR/2023/11947/F,NR/2023/11955/F,NR/2023/10344/A,NR/2023/11957/F,NR/2023/11330/A,NR/2023/11963/F,NR/2023/11476/A,NR/2023/11952/F,NR/2023/11642/A,NR/2023/11956/F,NR/2023/11941/F,NR/2023/12404/D,NR/2023/12433/C,NR/2023/12415/C,NR/2023/10229/A,NR/2023/10611/A,NR/2023/11960/F,NR/2023/12423/C,NR/2023/11961/F,NR/2023/12436/C,NR/2023/11643/A,NR/2023/11958/F,NR/2023/11959/F,NR/2023/12405/D,NR/2023/12411/D,NR/2023/12412/D,Total
4,00:45-01:00,213.720000,41.430000,23.120000,2.890000,179.210000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.240000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,1026.84

5,01:00-01:15,213.720000,41.430000,23.120000,2.890000,134.890000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.140000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,982.42

6,01:15-01:30,213.720000,41.430000,23.120000,2.890000,91.530000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.140000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,939.06

7,01:30-01:45,213.720000,41.430000,23.120000,2.890000,52.030000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.140000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,899.56

8,01:45-02:00,213.720000,41.430000,23.120000,2.890000,9.640000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.140000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,857.17

9,02:00-02:15,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.050000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,847.44

10,02:15-02:30,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.050000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,847.44

11,02:30-02:45,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.050000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,847.44

12,02:45-03:00,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,12.050000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,847.44

13,03:00-03:15,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,11.960000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,811

14,03:15-03:30,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,11.960000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,811

15,03:30-03:45,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,11.960000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,811

16,03:45-04:00,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,29.550000,42.740000,9.920000,0.710000,11.960000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,811

17,04:00-04:15,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.960000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,809.99

18,04:15-04:30,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.960000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,809.99

19,04:30-04:45,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.960000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,809.99

20,04:45-05:00,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,12.620000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.960000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,809.99

21,05:00-05:15,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.870000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,797.28

22,05:15-05:30,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.870000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,797.28

23,05:30-05:45,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.870000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,797.28

24,05:45-06:00,213.720000,41.430000,23.120000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,53.960000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.870000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,797.28

25,06:00-06:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.770000,0.770000,0.000000,13.010000,0.640000,0.710000,0,0,0,720.1

26,06:15-06:30,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.770000,0.770000,0.000000,13.010000,0.640000,0.710000,0,1.5,3.5,725.1

27,06:30-06:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.770000,0.770000,0.000000,13.010000,0.640000,0.710000,0,3,7,730.1

28,06:45-07:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.710000,11.770000,0.770000,0.000000,13.010000,0.640000,0.710000,0,6,14,740.1

29,07:00-07:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,26.500000,42.740000,9.920000,0.710000,11.680000,0.770000,0.000000,13.010000,0.640000,0.710000,0,10.5,24.5,752.97

30,07:15-07:30,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,26.500000,42.740000,9.920000,0.710000,11.680000,0.770000,0.000000,13.010000,0.640000,0.710000,0.1,15.6,36.4,770.07

31,07:30-07:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,26.500000,42.740000,9.920000,0.710000,11.680000,0.770000,0.000000,13.010000,0.640000,0.710000,0.42,22.2,51.8,792.39

32,07:45:08:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.780000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,26.500000,42.740000,9.920000,0.710000,11.680000,0.770000,0.000000,13.010000,0.640000,0.710000,0.42,28.5,66.5,813.39

33,08:00-08:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,26.500000,42.740000,9.920000,0.730000,11.590000,0.770000,0.000000,13.010000,0.620000,0.730000,0.42,33.6,78.4,830.31

34,08:15-08:30,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,26.500000,42.740000,9.920000,0.730000,11.590000,0.770000,0.000000,13.010000,0.620000,0.730000,0.42,40.2,93.8,852.31

35,08:30-08:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,26.500000,42.740000,9.920000,0.730000,11.590000,0.770000,0.000000,13.010000,0.620000,0.730000,0.42,45.6,106.4,870.31

36,08:45:09:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,26.500000,42.740000,9.920000,0.730000,11.590000,0.770000,0.000000,13.010000,0.620000,0.730000,2.51,50.4,117.6,888.4

37,09:00:09:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.490000,0.770000,0.000000,13.010000,0.620000,0.730000,3.47,54.6,127.4,905.3

38,09:15-09:30,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.490000,0.770000,0.000000,13.010000,0.620000,0.730000,3.47,62.4,145.6,931.3

39,09:30-09:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.490000,0.770000,0.000000,13.010000,0.620000,0.730000,3.47,66.6,155.4,945.3

40,09:45-10:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.490000,0.770000,0.000000,13.010000,0.620000,0.730000,3.47,71.4,166.6,961.3

41,10:00-10:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.410000,0.770000,0.000000,13.010000,0.620000,0.730000,3.47,75,175,973.22

42,10:15-10:30,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.410000,0.770000,0.000000,13.010000,0.620000,0.730000,5.69,77.4,180.6,983.44

43,10:30-10:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.410000,0.770000,0.000000,13.010000,0.620000,0.730000,5.69,78,182,985.44

44,10:45-11:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.410000,0.770000,0.000000,13.010000,0.620000,0.730000,6.17,78.9,184.1,988.92

45,11:00-11:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.310000,0.770000,0.000000,13.010000,0.620000,0.730000,6.94,78.9,184.1,1019.59

46,11:15-11:30,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.310000,0.770000,0.000000,13.010000,0.620000,0.730000,7.14,78.3,182.7,1017.79

47,11:30-11:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.310000,0.770000,0.000000,13.010000,0.620000,0.730000,7.23,79.2,184.8,1020.88

48,11:45-12:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.310000,0.770000,0.000000,13.010000,0.620000,0.730000,7.81,79.2,184.8,1021.46

49,12:00-12:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.220000,0.770000,0.000000,13.010000,0.620000,0.730000,7.91,79.2,184.8,1021.47

50,12:15-12:30,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.220000,0.770000,0.000000,13.010000,0.620000,0.730000,8.01,79.2,184.8,1021.57

51,12:30-12:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.220000,0.770000,0.000000,13.010000,0.620000,0.730000,8.29,79.2,184.8,1021.85

52,12:45-13:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.220000,0.770000,0.000000,13.010000,0.620000,0.730000,7.72,79.2,184.8,1021.28

53,13:00-13:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.130000,0.770000,0.000000,13.010000,0.620000,0.730000,7.72,79.2,184.8,1021.19

54,13:15-13:30,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.130000,0.770000,0.000000,13.010000,0.620000,0.730000,7.72,79.2,184.8,1021.19

55,13:30-13:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.130000,0.770000,0.000000,13.010000,0.620000,0.730000,7.62,79.2,184.8,1021.09

56,13:45-14:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,30.000000,28.540000,42.740000,9.920000,0.730000,11.130000,0.770000,0.000000,13.010000,0.620000,0.730000,7.52,79.2,184.8,1020.99

57,14:00-14:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.040000,0.770000,0.000000,13.010000,0.620000,0.730000,7.23,78.6,183.4,988.61

58,14:15-14:30,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.040000,0.770000,0.000000,13.010000,0.620000,0.730000,7.14,78,182,986.52

59,14:30-14:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.040000,0.770000,0.000000,13.010000,0.620000,0.730000,7.04,78,182,986.42

60,14:45-15:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,28.540000,42.740000,9.920000,0.730000,11.040000,0.770000,0.000000,13.010000,0.620000,0.730000,6.94,75.3,175.7,977.32

61,15:00-15:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.730000,11.130000,0.770000,0.000000,13.010000,0.620000,0.730000,6.75,70.5,164.5,963.25

62,15:15-15:30,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.730000,11.130000,0.770000,0.000000,13.010000,0.620000,0.730000,6.27,67.5,157.5,952.77

63,15:30-15:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.730000,11.130000,0.770000,0.000000,13.010000,0.620000,0.730000,6.17,62.4,145.6,935.67

64,15:45-16:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.730000,11.130000,0.770000,0.000000,13.010000,0.620000,0.730000,5.79,57,133,917.29

