Column1,Block,GNA/NR/2025/08/01/5126,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4125,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5784,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/2414,NR/2025/32535/A/101133,NR/2025/32535/A/101132,NR/2025/32534/A/101131,NR/2025/33637/A/101147,NR/2025/32599/A/100946,NR/2025/33632/A/101149,NR/2025/33633/A/101148,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/101128,NR/2025/32532/A/101129,NR/2025/32534/A/101130,NR/2025/34680/C,NR/2025/32397/A/100687,NR/2025/31421/A/101210,NR/2025/32556/A/101113,NR/2025/31045/A/101237,NR/2025/31043/A/101239,NR/2025/32375/A/101207,NR/2025/32455/A/101268,NR/2025/32559/A/101112,NR/2025/32610/A/101111,NR/2025/29440/A/100730,NR/2025/34637/C,NR/2025/29992/A/100816,NR/2025/34638/C,NR/2025/32262/A/100766,NR/2025/34639/C,NR/2025/31049/A/101235,NR/2025/31048/A/101236,NR/2025/34263/A/101192,NR/2025/34626/C,NR/2025/34078/A/100811,NR/2025/34664/C,NR/2025/34247/A/101225,NR/2025/32004/A/101116,NR/2025/34658/C,NR/2025/34625/C,NR/2025/34622/C,NR/2025/34657/C,NR/2025/34647/C,Total
3,00:30-00:45,20.44,0,14.58,0,28.93,14.58,15.25,33.67,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,48.1,26.24,26.24,0.87,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1390.01

4,00:45-01:00,20.44,0,14.58,0,28.93,14.58,15.25,33.67,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,48.1,26.24,26.24,0.87,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1390.01

5,01:00-01:15,20.44,0,14.58,0,28.93,14.58,15.25,33.67,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,48.1,26.24,26.24,0.63,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1389.77

6,01:15-01:30,20.44,0,14.58,0,28.93,14.58,15.25,33.67,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,48.1,26.24,26.24,0.63,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1389.77

7,01:30-01:45,20.44,0,14.58,0,28.93,14.58,15.25,33.67,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,48.1,26.24,26.24,0.63,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1389.77

8,01:45-02:00,20.44,0,14.58,0,28.93,14.58,15.25,33.67,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,48.1,26.24,26.24,0.63,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1389.77

9,02:00-02:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,0,26.24,26.24,0.63,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1389.78

10,02:15-02:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,0,26.24,26.24,0.63,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1389.78

11,02:30-02:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,0,26.24,26.24,0.63,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1389.78

12,02:45-03:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,0,26.24,26.24,0.63,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1389.78

13,03:00-03:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,0,26.24,26.24,0.53,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,76.6,0,0,0,0,0,1360.45

14,03:15-03:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,0,26.24,26.24,0.53,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,76.6,0,0,0,0,0,1360.45

15,03:30-03:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,0,26.24,26.24,0.53,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,76.6,0,0,0,0,0,1360.45

16,03:45-04:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,96.21,48.1,0,26.24,26.24,0.53,0,44.26,0,54.12,0,0,96.21,81.78,0,12.51,192.42,163.56,76.6,0,0,0,0,0,1360.45

17,04:00-04:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,0,48.1,0,26.24,26.24,0.53,0,44.26,0,0,0,0,0,81.78,0,12.51,192.42,163.56,76.6,0,0,0,0,0,1113.9099999999999

18,04:15-04:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,0,48.1,0,26.24,26.24,0.53,0,44.26,0,0,0,0,0,81.78,0,12.51,192.42,163.56,76.6,0,0,0,0,0,1113.9099999999999

19,04:30-04:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,0,48.1,0,26.24,26.24,0.53,0,44.26,0,0,0,0,0,81.78,0,12.51,192.42,163.56,76.6,0,0,0,0,0,1113.9099999999999

20,04:45-05:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,0,48.1,0,26.24,26.24,0.53,0,44.26,0,0,0,0,0,81.78,0,12.51,192.42,163.56,76.6,0,0,0,0,0,1113.9099999999999

21,05:00-05:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,0,48.1,0,26.24,26.24,0.53,0,44.26,0,0,0,0,0,81.78,0,12.51,192.42,163.56,76.6,0,0,0,0,0,1113.9099999999999

22,05:15-05:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,0,48.1,0,26.24,26.24,0.53,0,44.26,0,0,0,0,0,81.78,0,12.51,192.42,163.56,76.6,0,0,0,0,0,1113.9099999999999

23,05:30-05:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,0,48.1,0,26.24,26.24,0.53,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1112.9499999999998

24,05:45-06:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,26.24,0,0,48.1,0,26.24,26.24,0.53,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1112.9499999999998

25,06:00-06:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0.75,0,0,0,0,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.82,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1105.33

26,06:15-06:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0,0,0,2,0,0,1.78,0,0,0,0,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.82,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1108.36

27,06:30-06:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.03,0,0,6,0,0,3.17,0.11,0,0.06,0.84,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.82,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1114.79

28,06:45-07:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.06,0,0,11,0,0,4.93,0.23,0,0.12,1.38,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.82,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1122.3

29,07:00-07:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.19,0,0,18,0,0,8.26,0.38,0,0.19,1.97,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.87,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1133.62

30,07:15-07:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.19,0,0,28,0,0,11.71,0.38,0,0.19,2.97,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.87,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1148.07

31,07:30-07:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.19,0,0,39,0,0,15.25,0.38,0,0.19,3.86,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.87,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1163.4999999999998

32,07:45-08:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.19,0,0,49,0,0,18.87,0.48,0,0.29,5.25,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.87,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1178.7099999999998

33,08:00-08:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.1,0.19,0.11,1.64,53,1.15,0,23.75,0.48,0.14,0.29,6.19,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.96,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1191.76

34,08:15-08:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.2,0.19,0.24,1.64,63,1.15,0,28.73,0.48,0.31,0.29,8.53,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.96,0,44.26,0,0,0,0,0,81.78,0,11.55,192.42,163.56,76.6,0,0,0,0,0,1209.4799999999998

35,08:30-08:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.3,0.19,0.36,1.64,77,1.15,0,33.85,0.48,0.45,0.29,5.88,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.96,0,44.26,0,0,0,0,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1228.23

36,08:45-09:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.44,0.19,0.44,1.64,91,1.15,0,38.96,0.48,0.63,0.29,5.88,0,48.1,26.24,0,0,48.1,0,26.24,26.24,0.96,0,44.26,0,0,0,0,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1247.74

37,09:00-09:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.53,0.19,0.61,1.64,109,1.15,0,45.09,0.48,0.75,0.29,5.88,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1318.1699999999996

38,09:15-09:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.59,0.19,0.67,1.64,119,1.15,0,51.38,0.48,0.84,0.29,6.86,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1335.6499999999996

39,09:30-09:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.67,0.19,0.77,1.64,130,1.15,0,60.54,0.48,0.96,0.29,6.86,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1356.1099999999997

40,09:45-10:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.67,0.19,0.77,1.64,140,1.15,0,66.99,0.48,0.96,0.29,7.83,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1373.5299999999997

41,10:00-10:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.63,0.19,0.71,1.64,158,1.15,1.44,72.77,0.48,0.89,0.29,7.83,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1398.5799999999997

42,10:15-10:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.57,0.19,0.65,1.64,168,1.15,1.44,78.54,0.48,0.94,0.29,7.83,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1414.2799999999997

43,10:30-10:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.16,0.19,0.16,1.64,175,1.15,1.44,87.2,0.48,0.25,0.29,11.54,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1432.0599999999997

44,10:45-11:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.16,0.19,0.16,1.64,182,1.15,1.44,91.19,0.48,0.25,0.29,12.82,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1444.33

45,11:00-11:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.16,0.19,0.16,1.64,186,1.15,1.44,93.17,0.48,0.25,0.29,14.09,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1451.5799999999997

46,11:15-11:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.16,0.19,0.16,1.64,186,1.15,1.44,94.85,0.48,0.25,0.29,15.53,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1454.6999999999998

47,11:30-11:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.11,1.64,186,1.15,1.44,95.98,0.48,0.15,0.29,16.9,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1457.2699999999998

48,11:45-12:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.11,1.64,186,1.15,1.44,96,0.48,0.15,0.29,18.18,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1458.5699999999997

49,12:00-12:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.11,1.64,186,1.15,1.44,96,0.48,0.15,0.29,19.37,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1459.7599999999998

50,12:15-12:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.11,1.64,186,1.15,1.44,96,0.48,0.15,0.29,19.67,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1460.0599999999997

51,12:30-12:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.11,1.64,186,1.15,1.44,96,0.48,0.15,0.29,19.93,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1460.3199999999997

52,12:45-13:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.11,1.64,186,1.15,1.44,96,0.48,0.15,0.29,20.2,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1460.5899999999997

53,13:00-13:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.11,1.64,154,1.15,1.44,95.22,0.48,0.15,0.29,8.81,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1416.4199999999996

54,13:15-13:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.11,1.64,151,1.15,1.44,93.85,0.48,0.15,0.29,8.81,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1412.0499999999997

55,13:30-13:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.26,1.64,154,1.15,1.44,92.63,0.48,0.39,0.29,8.81,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1414.2199999999996

