Column1,Block,NR/2025/29796/C,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/83088,NR/2025/28774/A/82619,GNA/NR/2025/06/01/7782,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/16/6051,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/5280,NR/2025/29718/C,NR/2025/29657/C,NR/2025/29786/C,GNA/NR/2025/06/01/2868,NR/2025/29795/C,NR/2025/29792/C,NR/2025/29777/C,NR/2025/29793/C,NR/2025/29778/C,NR/2025/29794/C,NR/2025/29719/C,NR/2025/29790/C,GNA/NR/2025/06/01/7762,NR/2025/29791/C,NR/2025/29663/C,NR/2025/29763/C,NR/2025/29683/C,NR/2025/29720/C,NR/2025/29724/C,NR/2025/28719/A/82727,NR/2025/27500/A/82626,NR/2025/27100/A/82768,NR/2025/26565/A/83098,NR/2025/26860/A/83145,NR/2025/29779/C,NR/2025/26889/A/83197,NR/2025/29451/A/83086,NR/2025/27727/A/83137,NR/2025/27187/A/83150,NR/2025/27506/A/82624,NR/2025/26562/A/83097,NR/2025/27281/A/83285,NR/2025/27185/A/83152,NR/2025/27168/A/83183,NR/2025/27157/A/82765,NR/2025/26777/A/82762,NR/2025/27176/A/83154,NR/2025/27725/A/83144,NR/2025/26785/A/82628,NR/2025/26445/A/83209,NR/2025/26566/A/83099,NR/2025/26861/A/83191,NR/2025/27728/A/83141,NR/2025/26085/A/82574,NR/2025/27726/A/83143,NR/2025/26572/A/83106,NR/2025/27782/A/83136,NR/2025/27088/A/83205,NR/2025/26571/A/83101,NR/2025/26975/A/83158,NR/2025/27499/A/83196,NR/2025/27167/A/83180,NR/2025/29814/C,NR/2025/27242/A/82834,NR/2025/26952/A/82656,Total
3,00:30-00:45,0,0,0,0,11.91,30,48.32,15.32,19.33,16,20.85,24.16,62.82,48.32,48.32,24.16,23.64,0,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,25.2,144.96,106.3,164.53,5.8,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,193.28,26.35,0.68,26.35,0,7.73,192.66,144.96,27.06,8.7,24.16,1.93,48.32,0,2619.999999999999

4,00:45-01:00,0,0,0,0,11.91,30,48.32,15.32,19.33,16,20.85,24.16,62.82,48.32,48.32,24.16,23.64,0,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,25.2,144.96,106.3,164.53,5.8,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,193.28,26.35,0.68,26.35,0,7.73,192.66,144.96,27.06,8.7,24.16,1.93,48.32,0,2619.999999999999

5,01:00-01:15,0,0,0,0,11.91,30,48.32,15.32,19.33,15.72,20.85,24.16,62.82,48.32,48.32,24.16,23.64,0,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,25.2,144.96,106.3,164.53,5.8,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,193.28,26.35,0.68,26.35,0,7.73,192.66,144.96,27.06,8.7,24.16,1.93,48.32,0,2619.7199999999993

6,01:15-01:30,0,0,0,0,11.91,30,48.32,15.32,19.33,15.72,20.85,24.16,62.82,48.32,48.32,24.16,23.64,0,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,25.2,144.96,106.3,164.53,5.8,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,193.28,26.35,0.68,26.35,0,7.73,192.66,144.96,27.06,8.7,24.16,1.93,48.32,0,2619.7199999999993

7,01:30-01:45,0,0,0,0,11.91,30,48.32,15.32,19.33,15.72,20.85,24.16,62.82,48.32,48.32,24.16,23.64,0,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,25.2,144.96,106.3,164.53,5.8,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,193.28,26.35,0.68,26.35,0,7.73,192.66,144.96,27.06,8.7,24.16,1.93,48.32,0,2619.7199999999993

8,01:45-02:00,0,0,0,0,11.91,30,48.32,15.32,19.33,15.72,20.85,24.16,62.82,48.32,48.32,24.16,23.64,0,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,25.2,144.96,106.3,164.53,5.8,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,193.28,26.35,0.68,26.35,0,7.73,192.66,144.96,27.06,8.7,24.16,1.93,48.32,0,2619.7199999999993

9,02:00-02:15,0,0,0,0,11.91,30,48.32,15.32,19.33,15.54,20.85,24.16,62.82,48.32,48.32,24.16,23.64,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,144.96,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,0,26.35,0.63,26.35,0,7.73,192.66,144.96,27.06,0,24.16,1.93,48.32,0,2579.7899999999995

10,02:15-02:30,0,0,0,0,11.91,30,48.32,15.32,19.33,15.54,20.85,24.16,62.82,48.32,48.32,24.16,25.88,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,144.96,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,0,26.35,0.63,26.35,0,7.73,192.66,144.96,27.06,0,24.16,1.93,48.32,0,2582.0299999999997

11,02:30-02:45,0,0,0,0,11.91,30,48.32,15.32,19.33,15.54,20.85,24.16,62.82,48.32,48.32,24.16,25.88,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,144.96,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,0,26.35,0.63,26.35,0,7.73,192.66,144.96,27.06,0,24.16,1.93,48.32,0,2582.0299999999997

12,02:45-03:00,0,0,0,0,11.91,30,48.32,15.32,19.33,15.54,20.85,24.16,62.82,48.32,48.32,24.16,25.88,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,144.96,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,106.3,8.78,0,96.64,0,0,26.35,0.63,26.35,0,7.73,192.66,144.96,27.06,0,24.16,1.93,48.32,0,2582.0299999999997

13,03:00-03:15,0,0,0,0,11.91,26.93,48.32,15.32,19.33,15.44,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,144.96,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,76.94,8.78,0,96.64,0,0,26.35,0.53,26.35,0,7.73,192.66,144.96,5.8,0,24.16,1.93,48.32,0,2529.19

14,03:15-03:30,0,0,0,0,11.91,26.93,48.32,15.32,19.33,15.44,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,144.96,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,76.94,8.78,0,96.64,0,0,26.35,0.53,26.35,0,7.73,192.66,144.96,5.8,0,24.16,1.93,48.32,0,2529.19

15,03:30-03:45,0,0,0,0,11.91,26.93,48.32,15.32,19.33,15.44,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,144.96,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,76.94,8.78,0,96.64,0,0,26.35,0.53,26.35,0,7.73,192.66,144.96,5.8,0,24.16,1.93,48.32,0,2529.19

16,03:45-04:00,0,0,0,0,11.91,26.93,48.32,15.32,19.33,15.44,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,144.96,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,217.34,193.28,76.94,8.78,0,96.64,0,0,26.35,0.53,26.35,0,7.73,192.66,144.96,5.8,0,24.16,1.93,48.32,0,2529.19

17,04:00-04:15,0,0,0,0,11.91,26.93,48.32,15.32,19.33,15.36,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,0,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.53,26.35,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,2021.85

18,04:15-04:30,0,0,0,0,11.91,26.93,48.32,15.32,19.33,15.36,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,0,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.53,26.35,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,2021.85

19,04:30-04:45,0,0,0,0,11.91,26.93,48.32,15.32,19.33,15.36,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,0,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.53,26.35,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,2021.85

20,04:45-05:00,0,0,0,0,11.91,26.93,48.32,15.32,19.33,15.36,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,0,106.3,164.53,0,96.64,26.35,19.33,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.53,26.35,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,2021.85

21,05:00-05:15,0,0,0,0,11.91,26.93,48.32,15.32,19.33,15.26,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.63,26.35,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,1905.88

22,05:15-05:30,0,0,0,0,11.91,26.93,48.32,15.32,19.33,15.26,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.63,26.35,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,1905.88

23,05:30-05:45,0,0,0,0,11.91,26.93,48.32,15.32,19.33,15.26,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.63,26.35,0,7.73,192.66,0,5.8,0,24.16,0.97,48.32,0,1904.92

24,05:45-06:00,0,1.26,1,0,11.91,26.93,48.32,15.32,19.33,15.26,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,9.66,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.63,26.35,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,1907.17

25,06:00-06:15,0,3.22,3,0,11.91,26.93,48.32,15.32,19.33,15.17,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,9.66,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.68,26.35,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,1911.09

26,06:15-06:30,0,5.17,7,0,11.91,26.93,48.32,15.32,19.33,15.17,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,9.66,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.68,26.35,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,1917.04

27,06:30-06:45,0,7.13,11,0,11.91,26.93,48.32,15.32,19.33,15.17,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,9.66,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.68,26.35,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,1923

28,06:45-07:00,0,9.08,16,0,11.91,26.93,48.32,15.32,19.33,15.17,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,9.66,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.68,26.35,0,7.73,192.66,0,5.8,0,24.16,0.97,48.32,0,1928.99

29,07:00-07:15,0,13.01,21,0,11.91,26.93,48.32,15.32,19.33,15.08,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,9.66,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.87,26.35,0,7.73,192.66,0,5.8,0,24.16,0.97,48.32,0,1938.0199999999998

30,07:15-07:30,0,16.95,28,0,11.91,26.93,48.32,15.32,19.33,15.08,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,9.66,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.87,26.35,0,7.73,192.66,0,5.8,0,24.16,0.97,48.32,0,1948.96

31,07:30-07:45,0,20.89,35,0,11.91,26.93,48.32,15.32,19.33,15.08,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,9.66,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.87,26.35,0,7.73,192.66,0,5.8,0,24.16,0.97,48.32,0,1959.8999999999999

32,07:45-08:00,0,24.82,46,0,11.91,26.93,48.32,15.32,19.33,15.08,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,9.66,7.73,0,0,106.3,164.53,0,0,26.35,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,8.78,0,96.64,0,0,26.35,0.87,26.35,0,7.73,192.66,0,5.8,0,24.16,0.97,48.32,0,1974.83

33,08:00-08:15,0,29.65,49,4.18,11.91,26.93,48.32,15.32,19.33,14.98,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,9.66,7.73,0,0,106.3,164.53,0,0,43.92,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,14.64,0,96.64,0,0,37.34,0.97,43.92,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,2039.7900000000006

34,08:15-08:30,0,34.48,60,4.85,11.91,26.93,48.32,15.32,19.33,14.98,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,15.49,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,0,106.3,164.53,0,0,43.92,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,14.64,0,96.64,0,0,37.34,0.97,43.92,0,7.73,192.66,0,5.8,0,24.16,0.97,48.32,0,2056.3000000000006

35,08:30-08:45,0,39.3,70,5.5,11.91,26.93,48.32,15.32,19.33,14.98,20.85,24.16,62.82,48.32,48.32,24.16,26.93,193.28,11.92,0,0,0,8.7,0,0,0,0,28.03,0,0,0,24.16,0,0,0,0,0,0,10.63,7.73,0,0,106.3,164.53,0,0,43.92,0,1.93,144.96,24.88,19.33,24.16,0,193.28,76.94,14.64,0,96.64,0,0,37.34,0.97,43.92,0,7.73,192.66,0,5.8,0,24.16,1.93,48.32,0,2065.9400000000005

