Time,Block,NR/2024/19121/A/17615,NR/2024/19024/A/17594,NR/2024/19764/A/17814,NR/2024/18919/A/18109,NR/2024/18986/A/17478,NR/2024/19043/A/17546,NR/2024/19975/C,NR/2024/19726/A/17578,NR/2024/19337/A/17592,NR/2024/19787/A/17735,NR/2024/18977/A/17492,NR/2024/19976/C,NR/2024/19143/A/17561,NR/2024/19290/A/18184,NR/2024/19245/A/17593,NR/2024/19656/A/17590,NR/2024/19739/A/17589,NR/2024/18935/A/17503,NR/2024/19970/C,NR/2024/19172/A/18185,NR/2024/18996/A/18079,NR/2024/19030/A/17551,NR/2024/18934/A/17504,NR/2024/19484/A/18173,NR/2024/18976/A/17493,NR/2024/19989/C,NR/2024/19075/A/17565,NR/2024/18855/A/17616,NR/2024/20007/C,NR/2024/19485/A/18174,NR/2024/19469/A/17591,NR/2024/19483/A/18172,NR/2024/19727/A/17573,NR/2024/20004/C,NR/2024/19115/A/17564,NR/2024/18978/A/17491,NR/2024/19984/C,NR/2024/18936/A/17502,Total
11,02:30-02:45,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,51.060000,0.000000,0.000000,0.970000,0.000000,0,87.550000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,496.37

12,02:45-03:00,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,51.060000,0.000000,0.000000,0.970000,0.000000,0,87.550000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,496.37

13,03:00-03:15,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.17

14,03:15-03:30,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.17

15,03:30-03:45,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.17

16,03:45-04:00,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.17

17,04:00-04:15,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.17

18,04:15-04:30,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,45.100000,0.000000,0.000000,0.970000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,480.17

19,04:30-04:45,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,45.100000,0.000000,0.000000,0.000000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,479.2

20,04:45-05:00,0.000000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,2.000000,45.100000,0.000000,0.000000,0.000000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,479.2

21,05:00-05:15,66.870000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,477.2

22,05:15-05:30,66.870000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,477.2

23,05:30-05:45,66.870000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,477.2

24,05:45-06:00,66.870000,4.830000,0.000000,9.660000,0.480000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,477.2

25,06:00-06:15,66.870000,4.830000,0.000000,0.000000,0.530000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,467.59

26,06:15-06:30,66.870000,4.830000,0.000000,0.000000,0.530000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,0,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,467.59

27,06:30-06:45,66.870000,4.830000,0.000000,0.000000,0.530000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,0.49,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,468.08

28,06:45-07:00,66.870000,4.830000,0.000000,0.000000,0.530000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,0.82,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,468.41

29,07:00-07:15,66.870000,4.830000,0.000000,0.000000,0.630000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,1.04,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,468.73

30,07:15-07:30,66.870000,4.830000,0.000000,0.000000,0.630000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,1.22,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,468.91

31,07:30-07:45,66.870000,4.830000,0.000000,0.000000,0.630000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,1.47,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,469.16

32,07:45:08:00,66.870000,4.830000,0.000000,0.000000,0.630000,0.000000,111.430000,0.000000,1.930000,0.000000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,1.5,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,469.19

33,08:00-08:15,66.870000,4.830000,72.480000,0.000000,0.970000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,1.89,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,590.72

34,08:15-08:30,66.870000,4.830000,72.480000,0.000000,0.970000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,2.3,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,591.13

35,08:30-08:45,66.870000,4.830000,72.480000,0.000000,0.970000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,2.71,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,591.54

36,08:45:09:00,66.870000,4.830000,72.480000,0.000000,0.970000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,3.64,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,592.47

37,09:00:09:15,66.870000,4.830000,72.480000,0.000000,0.970000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,3.83,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,592.66

38,09:15-09:30,66.870000,4.830000,72.480000,0.000000,0.970000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,3.94,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,592.77

39,09:30-09:45,66.870000,4.830000,72.480000,0.000000,0.970000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,4.1,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,592.93

40,09:45-10:00,66.870000,4.830000,72.480000,0.000000,0.970000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,0.000000,6.32,77.310000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,0.000000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,595.15

41,10:00-10:15,66.870000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,5.800000,5.54,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,3.870000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,768.32

42,10:15-10:30,66.870000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,5.800000,7.34,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,3.870000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,770.12

43,10:30-10:45,66.870000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,5.800000,6.71,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,3.870000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,769.49

44,10:45-11:00,66.870000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,5.800000,6.27,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,0.000000,0,37.330000,3.870000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,769.05

45,11:00-11:15,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,5.800000,7.88,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,3.870000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,770.66

46,11:15-11:30,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,5.800000,8.39,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,3.870000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,771.17

47,11:30-11:45,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,5.800000,8.51,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,3.870000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,771.29

48,11:45-12:00,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,0.000000,0.000000,0.000000,5.800000,8.24,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,3.870000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,771.02

49,12:00-12:15,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,5.62,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,863.1

50,12:15-12:30,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,4.25,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,861.73

51,12:30-12:45,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,6.12,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,863.6

52,12:45-13:00,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,6.19,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,863.67

53,13:00-13:15,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,3.66,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,861.14

54,13:15-13:30,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,4.14,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,861.62

55,13:30-13:45,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,4.96,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,862.44

56,13:45-14:00,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,5.28,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,862.76

57,14:00-14:15,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,6.17,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,863.65

