Time,Block,NR/2024/21425/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21076/A/26269,NR/2024/21146/A/26016,NR/2024/21173/A/26150,NR/2024/20688/A/26152,NR/2024/21023/A/25996,NR/2024/21104/A/26233,NR/2024/21062/A/26018,NR/2024/21376/A/26297,NR/2024/20930/A/26156,NR/2024/21426/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/2024/19779/A/25930,NR/2024/21156/A/26013,NR/2024/20573/A/26215,NR/2024/21186/A/26263,NR/2024/21072/A/26251,NR/2024/21142/A/25971,NR/2024/21089/A/26250,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21144/A/25999,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21150/A/26014,NR/2024/21148/A/26015,NR/2024/20711/A/26298,ER/09072024/09072024/HPX-TAMCTG-090724-01596,NR/09072024/09072024/IEX_240708_01445,NR/2024/21153/A/26020,NR/2024/21152/A/25955,NR/2024/20877/A/26264,NR/2024/21339/A/25967,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21312/A/25819,NR/2024/21183/A/26271,NR/2024/21160/A/26017,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30092023/31122025/SH-07,NR/01072024/31072024/R2,NR/01102023/23072042/L_NR_2012_04,NR/2024/21075/A/26270,NR/2024/21159/A/26019,NR/2024/20966/A/25956,NR/2024/21243/A/25998,NR/2024/21096/A/26238,NR/2024/21141/A/25973,NR/2024/21238/A/26275,NR/2024/21113/A/26249,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21087/A/26151,NR/2024/20574/A/26214,NR/2024/21108/A/26232,NR/2024/21099/A/25974,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21427/C,NR/2024/21199/A/25995,NR/2024/21227/A/26234,NR/2024/21103/A/26235,NR/2024/21210/A/25970,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21158/A/26023,Total

3,00:30-00:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.630000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,32.750000,12.410000,0.670000,2343.73

4,00:45-01:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.630000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,32.750000,12.410000,0.670000,2343.73

5,01:00-01:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.580000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,32.750000,12.410000,0.670000,2343.68

6,01:15-01:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.580000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,32.750000,12.410000,0.670000,2343.68

7,01:30-01:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.580000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,32.750000,12.410000,0.670000,2343.68

8,01:45-02:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.580000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,32.750000,12.410000,0.670000,2343.68

9,02:00-02:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.580000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,32.750000,12.410000,0.670000,2331.49

10,02:15-02:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.580000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,32.750000,12.410000,0.670000,2331.49

11,02:30-02:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.580000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,32.750000,12.410000,0.670000,2321.31

12,02:45-03:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.580000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,17.740000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,32.750000,12.410000,0.670000,2321.31

13,03:00-03:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2239.5

14,03:15-03:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2239.5

15,03:30-03:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2239.5

16,03:45-04:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2239.5

17,04:00-04:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2239.5

18,04:15-04:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2239.5

19,04:30-04:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2239.5

20,04:45-05:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,308.260000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2239.5

21,05:00-05:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2003.49

22,05:15-05:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2003.49

23,05:30-05:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2003.49

24,05:45-06:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.530000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2003.49

25,06:00-06:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.670000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1931.38

26,06:15-06:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.670000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,16.370000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1931.38

27,06:30-06:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.670000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,13.610000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1928.62

28,06:45-07:00,0.42,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.670000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,13.610000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1929.04

