Block,Time,NR/01112023/30112023/HP-09,NR/01102023/31052040/LT-31,NR/03112023/30112023/IEX-231101-05680,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/23112023/23112023/HPX-TAMCTG-221123-05264,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/23112023/23112023/IEX_231122_05732,NR/01102023/19072037/LT-05,NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01112023/30112023/HP-10,NR/01102023/30042040/GNA_LT_36,NR/03112023/30112023/HPX-TAMDLY-011123-05147,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10
36,08:45:09:00,0.000000,4.830000,48.200000,260.890000,25.340000,0.000000,22.170000,4.830000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,4.960000,48.200000,13.67,31.17,84,6.84,31.16,7.01,103.96,36,0,31.17,35.31,0,20.79,6.83,37,73.798749,144.62,21.19,20.5,6.34,18,13.67

37,09:00:09:15,0.000000,5.860000,48.200000,260.890000,20.050000,0.000000,22.170000,5.860000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,6.010000,48.200000,13.67,31.17,98,6.84,31.16,7.01,122.42,42,0,31.17,41.86,0,24.48,6.83,43,75.374523,144.62,24.57,20.5,6.34,21,13.67

38,09:15-09:30,0.000000,6.830000,48.200000,260.890000,20.050000,0.000000,22.170000,6.830000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,7.000000,48.200000,13.67,31.17,112,6.84,31.16,7.01,140.04,48,0,31.17,47.36,0,28.01,6.83,50,84.245547,144.62,27.94,20.5,6.34,25,13.67

39,09:30-09:45,0.000000,7.700000,48.200000,260.890000,20.050000,0.000000,22.170000,7.700000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,7.900000,48.200000,13.67,31.17,126,6.84,31.16,7.01,157.15,54,0,31.17,52.25,0,31.43,6.83,56,92.396773,144.62,31.08,20.5,6.34,28,13.67

40,09:45-10:00,0.000000,10.770000,48.200000,260.890000,20.050000,0.000000,22.170000,10.770000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,11.040000,48.200000,13.67,31,137,6.84,31,7.01,171.48,58,0,31,57.29,0,34.29,6.83,62,100.09083,144.62,33.86,20.5,6.34,31,13.67

41,10:00-10:15,0.000000,11.700000,48.200000,260.890000,20.050000,0.000000,23.140000,11.700000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,11.990000,48.200000,13.67,31,151,6.84,31,7.01,186.5,64,0,31,61.59,0,37.3,6.83,70,106.80246,144.62,36.02,20.5,6.34,35,13.67

42,10:15-10:30,0.000000,12.410000,48.200000,260.890000,20.050000,0.000000,23.140000,12.410000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,12.720000,48.200000,13.67,31,160,6.84,31,7.01,199.79,68,0,31,65.3,0,39.96,6.83,73,112.658114,144.62,38.02,20.5,6.34,37,13.67

43,10:30-10:45,0.000000,13.040000,48.200000,260.890000,20.050000,0.000000,23.140000,13.040000,30.850000,0.000000,118.010000,96.410000,2.080000,86.960000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,13.360000,48.200000,13.67,31.2,169,6.84,31.2,7.01,207.9,73,0,31.2,71.34,0,41.58,6.83,77,117.492433,144.62,39.82,20.5,6.34,39,13.67

44,10:45-11:00,0.000000,13.650000,48.200000,260.890000,20.050000,0.000000,23.140000,13.650000,30.850000,0.000000,118.010000,96.410000,2.080000,63.230000,271.150000,0.000000,100.980000,1.480000,1.610000,176.100000,13.990000,48.200000,13.67,31.03,175,6.84,31.04,7.01,211.7,75,0,31.03,74.08,0,42.34,6.83,80,121.78204,144.62,41.6,20.5,6.34,40,13.67

45,11:00-11:15,0.000000,14.150000,48.200000,260.890000,25.340000,0.000000,24.100000,14.150000,30.850000,0.000000,118.010000,96.410000,2.080000,63.230000,271.150000,0.000000,100.980000,1.480000,1.690000,176.100000,14.510000,48.200000,13.67,31.03,179,6.84,31.04,7.01,222.43,76,0,31.03,76.46,0,44.49,6.83,83,125.079493,144.62,42.39,20.5,6,42,13.67

46,11:15-11:30,0.000000,14.460000,48.200000,260.890000,25.340000,0.000000,24.100000,14.460000,30.850000,0.000000,118.010000,96.410000,2.080000,63.230000,271.150000,0.000000,100.980000,1.480000,1.690000,176.100000,14.820000,48.200000,13.67,31.03,182,6.84,31.04,7.01,227.76,78,0,31.03,78.63,0,45.55,6.83,87,127.598786,144.62,43.47,20.5,5.66,43,13.67

47,11:30-11:45,0.000000,14.740000,48.200000,260.890000,25.340000,0.000000,24.100000,14.740000,30.850000,0.000000,118.010000,96.410000,2.080000,63.230000,271.150000,0.000000,100.980000,1.480000,1.690000,176.100000,15.110000,48.200000,13.67,31.03,186,6.84,31.04,7.01,230.21,79,0,31.03,80.14,0,46.04,6.83,87,129.155106,144.62,44.73,20.5,5,43,13.67

48,11:45-12:00,0.000000,15.080000,48.200000,260.890000,25.340000,0.000000,23.140000,15.080000,30.850000,0.000000,118.010000,96.410000,2.080000,63.230000,271.150000,0.000000,100.980000,1.480000,1.690000,176.100000,15.450000,48.200000,13.67,31.03,189,6.84,31.04,7.01,230.21,81,0,31.03,81.05,0,46.04,6.83,88,130.3418,144.62,44.48,20.5,5,44,13.67

49,12:00-12:15,0.000000,15.180000,48.200000,212.680000,25.340000,0.000000,23.140000,15.180000,30.850000,0.000000,118.010000,96.410000,2.130000,63.230000,271.150000,0.000000,100.980000,1.400000,1.690000,176.100000,15.570000,48.200000,13.67,31.03,189,6.84,31.04,7.01,230.21,81,0,31.03,81.83,0,46.04,6.83,88,130.653064,144.62,44.31,20.5,5,44,13.67

50,12:15-12:30,0.000000,15.290000,48.200000,200.890000,25.340000,0.000000,23.140000,15.290000,30.850000,0.000000,118.010000,96.410000,2.130000,63.230000,271.150000,0.000000,100.980000,1.400000,1.690000,176.100000,15.670000,48.200000,13.67,31.03,189,6.84,31.04,7.01,230.21,81,0,31.03,82.54,0,46.04,6.83,88,130.225076,144.62,44,20.5,5,44,13.67

51,12:30-12:45,0.000000,15.100000,48.200000,200.890000,25.340000,0.000000,22.170000,15.100000,30.850000,0.000000,118.010000,96.410000,2.130000,63.230000,271.150000,0.000000,100.980000,1.400000,1.690000,176.100000,15.480000,48.200000,13.67,31.03,189,6.84,31.04,7.01,230.21,81,0,31.03,82.62,0,46.04,6.83,88,128.931385,144.62,44,20.5,5,44,13.67

52,12:45-13:00,0.000000,15.110000,48.200000,200.890000,26.020000,0.000000,22.170000,15.110000,26.020000,0.000000,96.410000,96.410000,2.130000,63.230000,271.150000,0.000000,100.980000,1.400000,1.690000,176.100000,15.480000,48.200000,13.67,31.03,189,6.84,31.04,7.01,230.21,81,0,31.03,82.24,0,46.04,6.83,87,126.801172,144.62,44,20.5,5,43,13.67

53,13:00-13:15,0.000000,14.610000,48.200000,200.890000,26.020000,0.000000,23.140000,14.610000,26.020000,0.000000,67.490000,96.410000,2.130000,44.260000,271.150000,0.000000,100.980000,1.480000,1.760000,176.100000,14.970000,48.200000,13.67,31.03,186,6.84,31.04,7.01,230.21,79,0,31.03,81.12,0,46.04,6.83,87,123.844164,144.62,42.46,20.5,5,43,13.67

54,13:15-13:30,0.000000,14.310000,48.200000,200.890000,26.020000,0.000000,22.170000,14.310000,26.020000,0.000000,67.490000,96.410000,2.130000,44.260000,271.150000,0.000000,100.980000,1.480000,1.760000,176.100000,14.670000,48.200000,13.67,31.03,179,6.84,31.04,7.01,230.21,76,0,31.03,79.65,0,46.04,6.83,86,119.93391,144.62,40.81,20.5,5,43,13.67

55,13:30-13:45,0.000000,14.060000,48.200000,200.890000,25.340000,0.000000,21.210000,14.060000,30.850000,0.000000,67.490000,96.410000,2.130000,63.230000,271.150000,0.000000,100.980000,1.480000,1.760000,176.100000,14.410000,48.200000,13.67,31.03,172,6.84,31.04,7.01,223.53,73,0,31.03,77.46,0,44.7,6.83,83,116.957448,144.62,40.09,20.5,5.34,41,13.67

56,13:45-14:00,0.000000,13.650000,48.200000,200.890000,25.340000,0.000000,21.210000,13.650000,30.850000,0.000000,77.130000,96.410000,2.130000,63.230000,271.150000,0.000000,100.980000,1.480000,1.760000,176.100000,13.990000,48.200000,13.67,31.03,165,6.84,31.04,7.01,217.1,70,0,31.03,75.65,0,43.42,6.83,79,111.948043,144.62,38,20.5,5.66,40,13.67

57,14:00-14:15,0.000000,12.660000,48.200000,200.890000,25.340000,0.000000,21.210000,12.660000,30.850000,0.000000,96.410000,96.410000,2.180000,63.230000,271.150000,0.000000,100.980000,1.550000,1.760000,176.100000,12.980000,48.200000,13.67,31.03,161,6.84,31.04,7.01,212.58,69,0,31.03,72.2,0,42.51,6.83,73,105.965938,144.62,38.01,20.5,6,37,13.67

58,14:15-14:30,0.000000,11.750000,48.200000,200.890000,25.340000,0.000000,22.170000,11.750000,30.850000,0.000000,118.010000,96.410000,2.180000,63.230000,271.150000,0.000000,100.980000,1.550000,1.760000,176.100000,12.040000,48.200000,13.67,31.03,154,6.84,31.04,7.01,203.92,66,0,31.03,68.56,0,40.78,6.83,72,98.904136,144.62,35.02,20.5,6,36,13.67

59,14:30-14:45,0.000000,10.990000,48.200000,200.890000,25.340000,0.000000,22.170000,10.990000,30.850000,0.000000,118.010000,96.410000,2.180000,63.230000,271.150000,0.000000,100.980000,1.550000,1.760000,176.100000,11.270000,48.200000,13.67,31.03,144,6.84,31.04,7.01,190.32,61,0,31.03,65.17,0,38.06,6.83,66,90.996085,144.62,34.87,20.5,6.34,33,13.67

60,14:45-15:00,0.000000,10.180000,48.200000,200.890000,25.340000,0.000000,22.170000,10.180000,30.850000,0.000000,118.010000,96.410000,2.180000,63.230000,271.150000,0.000000,100.980000,1.550000,1.760000,176.100000,10.430000,48.200000,13.67,31.2,133,6.84,31.2,7.01,178.43,57,0,31.2,60.56,0,35.68,6.83,63,82.154242,144.62,30.04,20.5,6.34,31,13.67

61,15:00-15:15,0.000000,9.960000,48.200000,249.090000,25.340000,0.000000,22.170000,9.960000,30.850000,0.000000,118.010000,96.410000,2.180000,63.230000,271.150000,0.000000,100.980000,1.710000,1.840000,176.100000,10.210000,48.200000,13.67,31.2,123,6.84,31.2,7.01,165.93,52,0,31.2,55.6,0,33.19,6.83,57,71.221094,144.62,27.88,20.5,6.34,28,13.67

62,15:15-15:30,0.000000,8.910000,48.200000,260.890000,25.340000,0.000000,24.100000,8.910000,30.850000,0.000000,118.010000,96.410000,2.180000,63.230000,271.150000,0.000000,100.980000,1.710000,1.840000,176.100000,9.140000,48.200000,13.67,31.2,109,6.84,31.2,7.01,149.25,46,0,31.2,49.85,0,29.85,6.83,51,61.824812,144.62,23.91,20.5,6.34,26,13.67

63,15:30-15:45,0.000000,7.750000,48.200000,260.890000,25.340000,0.000000,24.100000,7.750000,30.850000,0.000000,118.010000,96.410000,2.180000,86.960000,271.150000,0.000000,100.980000,1.710000,1.840000,176.100000,7.950000,48.200000,13.67,31.37,95,6.84,31.36,7.01,132.98,40,0,31.37,43.54,0,26.59,6.83,43,51.961634,144.62,20.26,20.5,6.34,22,13.67

64,15:45-16:00,0.000000,6.530000,48.200000,260.890000,25.340000,0.000000,24.100000,6.530000,30.850000,0.000000,118.010000,96.410000,2.180000,86.960000,271.150000,0.000000,100.980000,1.710000,1.840000,176.100000,6.690000,48.200000,13.67,30.15,81,6.84,31.97,7.01,115.67,34,0,31.98,37.88,0,23.13,6.83,37,41.806646,144.62,19.27,20.5,6.34,19,13.67

