Column1,Block,NR/2024/23885/C,NR/2024/23879/C,NR/2024/23884/C,NR/2024/23845/A/42574,NR/2024/23420/A/42567,NR/2024/23769/A/42571,NR/2024/23809/A/42570,WR/2024/24788/A/42708,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/4503,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/1868,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/5444,Total
12,02:45-03:00,0,0,0,1.92,0.48,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.39

13,03:00-03:15,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

14,03:15-03:30,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

15,03:30-03:45,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

16,03:45-04:00,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

17,04:00-04:15,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

18,04:15-04:30,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

19,04:30-04:45,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

20,04:45-05:00,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

21,05:00-05:15,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

22,05:15-05:30,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

23,05:30-05:45,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

24,05:45-06:00,0,0,0,1.92,0.43,5.76,4.8,0,0,0,87.2,26.17,8.72,26.87,8.72,26.87,3.48,261.61,26.17,17.45,26.17,532.34

25,06:00-06:15,0,0,0,1.92,0.43,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,183.53000000000003

26,06:15-06:30,0,0,0,1.92,0.43,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,183.53000000000003

27,06:30-06:45,0,0,0,1.92,0.43,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,183.53000000000003

28,06:45-07:00,0,0.15,0,1.92,0.43,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,183.68

29,07:00-07:15,0,0.59,0,1.92,0.58,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,184.26999999999998

30,07:15-07:30,0,1.01,0,1.92,0.58,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,184.69

31,07:30-07:45,0,1.48,0,1.92,0.58,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,185.16000000000003

32,07:45-08:00,0,1.97,0,1.92,0.58,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,185.65000000000003

33,08:00-08:15,0,2.49,0,1.92,0.96,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,186.55

34,08:15-08:30,0,3.07,0,1.92,0.96,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,187.13

35,08:30-08:45,0,3.62,0,1.92,0.96,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,187.68

36,08:45-09:00,0,4.11,0,1.92,0.96,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,188.17000000000002

37,09:00-09:15,23.99,4.57,28.79,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,241.31

38,09:15-09:30,23.99,5,28.79,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,241.74

39,09:30-09:45,23.99,5.53,28.79,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,242.26999999999998

40,09:45-10:00,23.99,6.02,28.79,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.48,0,26.17,17.45,26.17,242.76

41,10:00-10:15,23.99,6.44,28.79,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,243.08999999999997

42,10:15-10:30,23.99,6.77,28.79,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,243.42000000000002

43,10:30-10:45,23.99,5.82,28.79,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,242.46999999999997

44,10:45-11:00,23.99,7.15,28.79,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,243.8

45,11:00-11:15,23.99,7.46,28.79,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,244.11

46,11:15-11:30,23.99,7.53,28.79,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,244.18

47,11:30-11:45,23.99,6.88,24.37,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,239.11

48,11:45-12:00,23.99,7.72,24.47,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,240.05

49,12:00-12:15,23.99,7.78,24.47,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,240.11

50,12:15-12:30,23.99,7.74,24.47,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,240.07

51,12:30-12:45,23.99,7.76,24.47,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,240.08999999999997

52,12:45-13:00,23.99,7.62,24.37,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,239.85000000000002

53,13:00-13:15,23.99,7.5,24.28,1.92,0.77,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,239.55

54,13:15-13:30,23.99,7.44,24.28,1.92,0.77,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,239.49

55,13:30-13:45,23.99,7.41,24.18,1.92,0.77,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,239.36

56,13:45-14:00,23.99,7,24.09,1.92,0.77,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,238.86

57,14:00-14:15,23.99,6.84,23.89,1.92,0.96,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,238.69

58,14:15-14:30,23.99,6.6,23.7,1.92,0.96,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,238.26

59,14:30-14:45,23.99,5.82,23.41,1.92,0.96,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,237.19

60,14:45-15:00,23.99,5.54,23.13,1.92,0.96,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,236.63

61,15:00-15:15,23.99,5.11,22.84,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,235.81

62,15:15-15:30,23.99,4.62,22.36,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,234.84000000000003

63,15:30-15:45,24.37,4.05,20.92,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,233.20999999999998

64,15:45-16:00,17.85,3.31,16.51,1.92,0.86,5.76,4.8,0,0,0,0,26.17,8.72,26.87,8.72,26.87,3.39,0,26.17,17.45,26.17,221.54000000000002

65,16:00-16:15,12.86,0.91,11.52,1.92,0.77,5.76,4.8,0,0,0,0,26.17,8.72,24.08,8.72,24.08,3.39,0,26.17,17.45,26.17,203.49

66,16:15-16:30,7.2,0,7.68,1.92,0.77,5.76,4.8,0,0,0,0,26.17,8.72,24.08,8.72,24.08,3.39,0,26.17,17.45,26.17,193.07999999999998

67,16:30-16:45,2.69,1.48,4.51,1.92,0.77,5.76,4.8,0,0,0,0,26.17,8.72,24.08,8.72,24.08,3.39,0,26.17,17.45,26.17,186.88

68,16:45-17:00,0,1.1,1.92,1.92,0.77,5.76,4.8,0,0,0,0,26.17,8.72,24.08,8.72,24.08,3.39,0,26.17,17.45,26.17,181.21999999999997

69,17:00-17:15,0,0.64,0,1.92,0.58,5.76,4.8,0,0,0,0,28.79,9.6,31.5,9.6,31.5,3.39,0,28.79,19.19,28.79,204.84999999999997

70,17:15-17:30,0,0,0,1.92,0.58,5.76,4.8,0,0,0,0,28.79,9.6,31.5,9.6,31.5,3.39,0,28.79,19.19,28.79,204.20999999999998

71,17:30-17:45,0,0,0,1.92,0.58,5.76,4.8,0,0,0,0,28.79,9.6,31.5,9.6,31.5,3.39,0,28.79,19.19,28.79,204.20999999999998

72,17:45-18:00,0,0,0,1.92,0.58,5.76,4.8,0,0,0,0,28.79,9.6,31.5,9.6,31.5,3.39,0,28.79,19.19,28.79,204.20999999999998

73,18:00-18:15,0,0,0,1.92,0.62,5.76,4.8,38.38,50,150,0,28.79,9.6,31.5,9.6,31.5,3.39,0,28.79,19.19,28.79,442.6300000000001

74,18:15-18:30,0,0,0,1.92,0.62,5.76,4.8,38.38,50,150,0,28.79,9.6,31.5,9.6,31.5,3.39,0,28.79,19.19,28.79,442.6300000000001

75,18:30-18:45,0,0,0,1.92,0.62,5.76,4.8,38.38,50,150,0,28.79,9.6,31.5,9.6,31.5,3.39,0,28.79,19.19,28.79,442.6300000000001

76,18:45-19:00,0,0,0,1.92,0.62,5.76,4.8,38.38,50,150,0,28.79,9.6,31.5,9.6,0,3.39,0,28.79,19.19,28.79,411.1300000000001

77,19:00-19:15,0,0,0,1.92,0.62,5.76,4.8,38.38,50,150,0,28.79,9.6,32,9.6,0,3.48,0,28.79,19.19,28.79,411.72000000000014

78,19:15-19:30,0,0,0,1.92,0.62,5.76,4.8,38.38,50,150,0,28.79,9.6,32,9.6,0,3.48,0,28.79,19.19,28.79,411.72000000000014

79,19:30-19:45,0,0,0,1.92,0.62,5.76,4.8,38.38,50,150,0,28.79,9.6,32,9.6,0,3.48,0,28.79,19.19,28.79,411.72000000000014

80,19:45-20:00,0,0,0,1.92,0.62,5.76,4.8,38.38,50,150,0,28.79,9.6,32,9.6,0,3.48,0,28.79,19.19,28.79,411.72000000000014

81,20:00-20:15,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,0,26.17,8.72,0,8.72,0,3.48,0,26.17,17.45,26.17,418.3600000000001

82,20:15-20:30,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,0,26.17,8.72,0,8.72,0,3.48,0,26.17,17.45,26.17,418.3600000000001

83,20:30-20:45,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,0,26.17,8.72,18.98,8.72,18.98,3.48,0,26.17,17.45,26.17,456.32000000000016

84,20:45-21:00,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,0,26.17,8.72,18.98,8.72,18.98,3.48,0,26.17,17.45,26.17,456.32000000000016

85,21:00-21:15,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,0,26.17,8.72,18.98,8.72,18.98,3.57,0,26.17,17.45,26.17,456.41000000000014

86,21:15-21:30,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,0,26.17,8.72,18.98,8.72,18.98,3.57,0,26.17,17.45,26.17,456.41000000000014

87,21:30-21:45,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,0,26.17,8.72,18.98,8.72,18.98,3.57,0,26.17,17.45,26.17,456.41000000000014

88,21:45-22:00,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,0,26.17,8.72,18.98,8.72,18.98,3.57,0,26.17,17.45,26.17,456.41000000000014

89,22:00-22:15,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,87.2,26.17,8.72,18.98,8.72,18.98,3.57,261.61,26.17,17.45,26.17,805.22

90,22:15-22:30,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,87.2,26.17,8.72,18.98,8.72,18.98,3.57,261.61,26.17,17.45,26.17,805.22

91,22:30-22:45,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,87.2,26.17,8.72,18.98,8.72,18.98,3.57,261.61,26.17,17.45,26.17,805.22

92,22:45-23:00,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,87.2,26.17,8.72,18.98,8.72,18.98,3.57,261.61,26.17,17.45,26.17,805.22

93,23:00-23:15,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,87.2,26.17,8.72,18.98,8.72,18.98,3.48,261.61,26.17,17.45,26.17,805.1300000000001

94,23:15-23:30,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,87.2,26.17,8.72,18.98,8.72,18.98,3.48,261.61,26.17,17.45,26.17,805.1300000000001

95,23:30-23:45,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,87.2,26.17,8.72,18.98,8.72,18.98,3.48,261.61,26.17,17.45,26.17,805.1300000000001

96,23:45-24:00,0,0,0,1.92,0.62,5.76,4.8,38.38,50,200,87.2,26.17,8.72,18.98,8.72,18.98,3.48,261.61,26.17,17.45,26.17,805.1300000000001

