Column1,Block,NR/2024/24570/C,NR/2024/24052/A/47206,NR/2024/24051/A/47207,NR/2024/24071/A/47205,NER/2024/2770/A/47390,NR/2024/24097/A/47198,NR/2024/24571/C,NR/2024/24146/A/47194,NR/2024/24572/C,GNA/WR/2024/11/01/4200,NR/2024/24088/A/47201,NR/2024/24567/C,NR/2024/24060/A/47389,GNA/WR/2024/10/15/7089,NR/2024/23952/A/47178,WR/2024/25054/A/47396,NR/2024/24227/A/47341,NR/2024/24225/A/47335,NR/2024/24574/C,NR/2024/24224/A/47333,GNA/NR/2024/12/01/1899,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/3428,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1475,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/31/7325,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/2197,Total
3,00:30-00:45,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.43,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.10999999999996

4,00:45-01:00,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.43,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.10999999999996

5,01:00-01:15,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.38,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.06

6,01:15-01:30,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.38,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.06

7,01:30-01:45,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.38,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.06

8,01:45-02:00,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.38,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.06

9,02:00-02:15,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.38,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.06

10,02:15-02:30,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.38,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.06

11,02:30-02:45,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.38,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.06

12,02:45-03:00,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.38,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.06

13,03:00-03:15,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.34,0,0,0,0,0,8.73,1.56,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,464.93

14,03:15-03:30,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.34,0,0,0,0,0,8.73,1.56,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,464.93

15,03:30-03:45,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.34,0,0,0,0,0,8.73,1.56,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,464.93

16,03:45-04:00,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.34,0,0,0,0,0,8.73,1.56,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,464.93

17,04:00-04:15,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.43,0,0,0,0,0,8.73,1.56,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.02

18,04:15-04:30,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.43,0,0,0,0,0,8.73,1.56,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.02

19,04:30-04:45,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.43,0,0,0,0,0,8.73,1.56,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.02

20,04:45-05:00,0,2.88,0,0,0,7.69,0,5.76,0,0,0.96,0,17.29,0,0.43,0,0,0,0,0,8.73,1.56,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,465.02

21,05:00-05:15,0,2.88,0,0,38.43,7.69,0,5.76,0,0,4.8,0,17.29,0,0.43,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,507.38

22,05:15-05:30,0,2.88,0,0,38.43,7.69,0,5.76,0,0,4.8,0,17.29,0,0.43,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,507.38

23,05:30-05:45,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,17.29,0,0.43,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,516.98

24,05:45-06:00,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,17.29,0,0.43,0,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,22.27,47.56,0,142.69,22.27,516.98

25,06:00-06:15,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,17.29,0,0.43,0,0.19,0.19,0,0.29,8.73,1.65,8.73,150,26.2,0,0,24.02,0,0,0,24.02,330.9

26,06:15-06:30,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,17.29,0,0.43,0,0.19,0.19,0,0.29,11.53,1.65,11.53,150,26.2,0,0,24.02,0,0,0,24.02,336.49999999999994

27,06:30-06:45,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,17.29,0,0.43,0,0.19,0.19,0,0.29,11.53,1.65,11.53,150,26.2,0,0,24.02,0,0,0,24.02,336.49999999999994

28,06:45-07:00,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,17.29,0,0.43,0,0.19,0.29,0,0.29,13.45,1.65,13.45,150,33.63,0,0,24.02,0,0,0,24.02,347.87

29,07:00-07:15,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,28.82,0,0.53,0,0.19,0.29,0,0.38,13.45,1.56,13.45,150,33.63,0,0,24.02,0,72.06,0,24.02,431.55999999999995

30,07:15-07:30,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,28.82,0,0.53,0,0.19,0.38,0,0.48,13.45,1.56,13.45,150,33.63,0,0,24.02,0,72.06,0,24.02,431.74999999999994

31,07:30-07:45,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,28.82,0,0.53,0,0.29,0.38,0,0.58,13.45,1.56,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,466.54

32,07:45-08:00,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,28.82,0,0.53,0,0.29,0.38,0,0.58,13.45,1.56,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,466.54

33,08:00-08:15,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,28.82,0,0.82,0,0.29,0.38,0,0.67,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,468.93

34,08:15-08:30,0,2.88,2.88,0,38.43,14.41,0,5.76,0,0,4.8,0,28.82,0,0.82,0,0.29,0.48,0,0.67,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,469.03000000000003

35,08:30-08:45,0,2.88,0,0,38.43,7.69,0,5.76,0,0,4.8,0,28.82,0,0.82,0,0.29,0.48,0,0.67,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,459.43

36,08:45-09:00,0,2.88,0,0,38.43,7.69,0,5.76,0,0,4.8,0,28.82,0,0.82,0,0.29,0.48,0,0.77,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,459.53

37,09:00-09:15,0,2.88,0,3.84,0,7.69,0,5.76,0,0,4.8,30.75,28.82,0,0.82,0,0.38,0.48,0,0.77,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,455.69

38,09:15-09:30,0,2.88,0,3.84,0,7.69,0,5.76,0,0,4.8,30.75,28.82,0,0.82,0,0.38,0.48,0,0.77,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,455.69

39,09:30-09:45,0,2.88,0,3.84,0,7.69,0,5.76,0,0,4.8,78.79,28.82,0,0.82,0,0.38,0.48,0,0.77,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,503.72999999999996

40,09:45-10:00,0,2.88,0,3.84,0,7.69,0,5.76,0,0,4.8,78.79,28.82,0,0.82,0,0.38,0.48,0,0.77,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,503.72999999999996

41,10:00-10:15,0,2.88,0,4.8,0,7.69,0,5.76,0,0,4.8,78.79,28.82,0,0.82,0,0.38,0.58,0,0.86,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,504.97

42,10:15-10:30,13.84,2.88,0,4.8,0,7.69,7.49,5.76,16.81,0,4.8,78.79,28.82,0,0.82,0,0.38,0.58,14.7,0.86,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,557.81

43,10:30-10:45,0.58,2.88,0,4.8,0,7.69,7.49,5.76,16.81,0,4.8,98,28.82,0,0.82,0,0.38,0.58,11.63,0.86,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,560.69

44,10:45-11:00,1.73,2.88,0,4.8,0,7.69,7.49,5.76,16.81,0,4.8,98,28.82,0,0.82,0,0.38,0.58,15.66,0.86,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,565.8699999999999

45,11:00-11:15,3.17,3.84,0,6.73,0,7.69,7.49,5.76,16.81,0,0,98,28.82,0,0.82,0,0.38,0.58,19.22,0.86,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,568.87

46,11:15-11:30,4.8,3.84,0,6.73,0,7.69,7.49,5.76,16.81,0,0,98,28.82,0,0.82,0,0.38,0.58,21.14,0.86,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,572.4200000000001

47,11:30-11:45,6.92,3.84,0,6.73,0,7.69,7.49,5.76,16.81,0,0,98,28.82,0,0.82,0,0.38,0.58,21.62,0.86,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,575.02

48,11:45-12:00,10.76,3.84,0,6.73,0,7.69,7.49,5.76,16.81,0,0,98,28.82,0,0.82,0,0.38,0.58,17.77,0.86,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,575.01

49,12:00-12:15,17.87,3.84,0,6.73,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.82,0,0.38,0.58,10.66,0.86,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,477.00999999999993

50,12:15-12:30,27.96,3.84,0,6.73,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.82,0,0.38,0.58,0.58,0.96,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,477.11999999999995

51,12:30-12:45,28.54,3.84,0,6.73,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.82,0,0.38,0.58,0,0.96,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,477.11999999999995

52,12:45-13:00,28.54,3.84,0,6.73,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.82,0,0.48,0.58,0,0.96,14.41,1.56,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,477.21999999999997

53,13:00-13:15,27.38,3.84,0,5.76,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.77,0,0.38,0.58,0,0.96,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,475.03

54,13:15-13:30,27,3.84,0,5.76,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.77,0,0.38,0.58,0,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,472.72999999999996

55,13:30-13:45,27.19,3.84,0,5.76,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.77,0,0.38,0.58,0,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,472.91999999999996

56,13:45-14:00,27.38,3.84,0,5.76,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.77,0,0.38,0.58,0,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,473.10999999999996

57,14:00-14:15,27.48,3.84,0,4.8,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.77,0,0.38,0.58,0,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,472.24999999999994

58,14:15-14:30,27.77,3.84,0,4.8,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.77,0,0.38,0.67,0,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,472.62999999999994

59,14:30-14:45,27.86,3.84,0,4.8,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.77,0,0.38,0.67,0,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,472.71999999999997

60,14:45-15:00,28.06,3.84,0,4.8,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.77,0,0.38,0.58,0,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,472.83

61,15:00-15:15,28.06,3.84,0,4.8,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.62,0,0.38,0.67,0,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,472.77

62,15:15-15:30,24.69,3.84,0,4.8,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.62,0,0.38,0.58,3.27,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,472.58

63,15:30-15:45,28.15,3.84,0,4.8,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.62,0,0.38,0.58,0,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,472.77

64,15:45-16:00,27.86,3.84,0,4.8,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.62,0,0.38,0.67,0,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,472.57

65,16:00-16:15,24.69,3.84,0,2.88,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.48,0,0.38,0.77,2.31,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,469.74999999999994

66,16:15-16:30,20.85,3.84,0,2.88,0,7.69,7.49,5.76,16.81,0,0,0,28.82,0,0.48,0,0.38,0.77,7.49,0.96,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,471.09

67,16:30-16:45,0,3.84,0,2.88,0,7.69,0,5.76,0,0,0,0,28.82,0,0.48,0,0.38,0.67,0,0.86,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,418.25

68,16:45-17:00,0,3.84,0,2.88,0,7.69,0,5.76,0,0,0,0,28.82,0,0.48,0,0.38,0.58,0,0.86,13.45,1.65,13.45,150,43.24,0,0,36.51,0,72.06,0,36.51,418.15999999999997

69,17:00-17:15,0,3.84,0,0.96,0,7.69,0,5.76,0,0,3.84,0,28.82,0,0.48,0,0.38,0.58,0,0.96,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,422.09999999999997

70,17:15-17:30,0,3.84,0,0.96,0,7.69,0,5.76,0,0,3.84,0,28.82,0,0.48,0,0.38,0.58,0,0.96,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,422.09999999999997

71,17:30-17:45,0,3.84,0,0.96,0,7.69,0,5.76,0,0,3.84,0,28.82,0,0.48,0,0.38,0.58,0,0.96,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,422.09999999999997

72,17:45-18:00,0,3.84,0,0.96,0,7.69,0,5.76,0,0,3.84,0,28.82,0,0.48,0,0.38,0.58,0,0.86,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,422

73,18:00-18:15,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,150,0.53,38.43,0.38,0.58,0,0.86,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,697.95

74,18:15-18:30,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,150,0.53,38.43,0.38,0.58,0,0.86,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,697.95

75,18:30-18:45,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,150,0.53,38.43,0.29,0.58,0,0.86,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,697.8599999999999

76,18:45-19:00,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,150,0.53,38.43,0.38,0.58,0,0.86,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,697.95

77,19:00-19:15,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,150,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,696.1299999999999

78,19:15-19:30,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,150,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,696.1299999999999

79,19:30-19:45,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,150,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,696.1299999999999

80,19:45-20:00,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,150,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,36.51,0,72.06,0,36.51,696.1299999999999

81,20:00-20:15,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,250,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,28.82,0,72.06,0,28.82,780.7500000000001

82,20:15-20:30,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,250,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,28.82,0,72.06,0,28.82,780.7500000000001

83,20:30-20:45,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,250,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,28.82,0,72.06,0,28.82,780.7500000000001

84,20:45-21:00,0,3.84,0,0,38.43,7.69,0,5.76,0,50,3.84,0,28.82,250,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,28.82,0,72.06,0,28.82,780.7500000000001

85,21:00-21:15,0,3.84,0,0,0,7.69,0,5.76,0,50,3.84,0,28.82,250,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,28.82,0,72.06,0,28.82,742.32

86,21:15-21:30,0,3.84,0,0,0,7.69,0,5.76,0,50,3.84,0,28.82,250,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,28.82,0,72.06,0,28.82,742.32

87,21:30-21:45,0,3.84,0,0,0,7.69,0,5.76,0,50,3.84,0,28.82,250,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,28.82,0,72.06,0,28.82,742.32

88,21:45-22:00,0,3.84,0,0,0,7.69,0,5.76,0,50,3.84,0,28.82,250,0.53,38.43,0,0,0,0,14.41,1.65,14.41,150,43.24,0,0,28.82,0,72.06,0,28.82,742.32

89,22:00-22:15,0,2.88,0,0,0,7.69,0,5.76,0,50,0.96,0,28.82,250,0.48,38.43,0,0,0,0,13.45,1.65,13.45,150,28.82,0,0,25.94,47.56,72.06,142.69,25.94,906.5800000000002

90,22:15-22:30,0,2.88,0,0,0,7.69,0,5.76,0,50,0.96,0,28.82,250,0.48,38.43,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,24.02,47.56,72.06,142.69,24.02,890.6800000000001

91,22:30-22:45,0,2.88,0,0,0,7.69,0,5.76,0,50,0.96,0,28.82,250,0.48,38.43,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,24.02,47.56,72.06,142.69,24.02,890.6800000000001

92,22:45-23:00,0,2.88,0,0,0,7.69,0,5.76,0,50,0.96,0,28.82,250,0.48,38.43,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,24.02,47.56,72.06,142.69,24.02,890.6800000000001

93,23:00-23:15,0,2.88,0,0,0,7.69,0,5.76,0,50,0.96,0,28.82,250,0.43,38.43,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,24.02,47.56,72.06,142.69,24.02,890.6300000000001

94,23:15-23:30,0,2.88,0,0,0,7.69,0,5.76,0,50,0.96,0,28.82,250,0.43,38.43,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,24.02,47.56,72.06,142.69,24.02,890.6300000000001

95,23:30-23:45,0,2.88,0,0,0,7.69,0,5.76,0,50,0.96,0,28.82,250,0.43,38.43,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,24.02,47.56,72.06,142.69,24.02,890.6300000000001

96,23:45-24:00,0,2.88,0,0,0,7.69,0,5.76,0,50,0.96,0,28.82,250,0.43,38.43,0,0,0,0,8.73,1.65,8.73,150,26.2,0,0,24.02,47.56,72.06,142.69,24.02,890.6300000000001

