Column1,Block,NR/2024/21971/A/33830,NR/2024/21966/A/33608,NR/2024/21814/A/33832,NR/2024/21933/A/33576,NR/2024/21968/A/33828,NR/2024/22498/A/33884,NR/2024/21970/A/33829,NR/2024/22279/A/33558,NR/2024/22763/C,NR/2024/22623/A/33609,NR/2024/22014/A/33562,NR/2024/21961/A/33814,NR/2024/21938/A/33816,NR/2024/21860/A/33807,NR/2024/21954/A/33849,NR/2024/21940/A/33851,NR/2024/21911/A/33802,NR/2024/22010/A/33889,NR/2024/22042/A/33561,NR/2024/22751/C,NR/2024/21943/A/33847,NR/2024/22750/C,NR/2024/21918/A/33871,NR/2024/21956/A/33856,NR/2024/22610/A/33620,NR/01102023/14082046/L_NR_2021_16,NR/2024/22611/A/33619,NR/2024/22749/C,NR/01102023/02012046/L_NR_2021_17,SR/2024/13994/C,NR/2024/22756/C,NR/2024/22742/C,NR/2024/21974/A/33831,NR/2024/21658/A/33565,NR/2024/21983/A/33575,NR/30092023/31122025/SH-07,GNA/NR/2024/08/24/6404,NR/01082024/31082024/SKS-Raigarh,GNA/NR/2024/08/24/7149,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/jitpl,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/16082024/31082024/APL-Raigarh_august,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),Total
3,00:30-00:45,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.63,0,32,0,12.44,125.54,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,32,48.28,1641.6200000000001

4,00:45-01:00,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.63,0,32,0,12.44,125.54,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,32,48.28,1641.6200000000001

5,01:00-01:15,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,32,0,12.44,0,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,32,48.28,1516.03

6,01:15-01:30,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,32,0,12.44,0,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,32,48.28,1516.03

7,01:30-01:45,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,32,0,12.44,0,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,32,48.28,1516.03

8,01:45-02:00,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,32,0,12.44,0,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,32,48.28,1516.03

9,02:00-02:15,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,26.9071,0,12.44,0,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,26.9071,48.28,1505.8441999999998

10,02:15-02:30,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,26.9071,0,12.44,0,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,26.9071,48.28,1505.8441999999998

11,02:30-02:45,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,26.9071,0,12.44,0,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,26.9071,48.28,1505.8441999999998

12,02:45-03:00,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,26.9071,0,12.44,0,21.25,38.63,0,24.14,24.68,96.57,15.76,96.57,26.9071,48.28,1505.8441999999998

13,03:00-03:15,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1466.7641999999996

14,03:15-03:30,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1466.7641999999996

15,03:30-03:45,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1466.7641999999996

16,03:45-04:00,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.58,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1466.7641999999996

17,04:00-04:15,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.53,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1466.7141999999997

18,04:15-04:30,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.53,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1466.7141999999997

19,04:30-04:45,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.53,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1466.7141999999997

20,04:45-05:00,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,0,241.42,37.3,0.53,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1466.7141999999997

21,05:00-05:15,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0,0,157.41,0,241.42,37.3,0.53,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1580.6641999999997

22,05:15-05:30,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0,0,183.48,0,241.42,37.3,0.53,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1606.7341999999996

23,05:30-05:45,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0,0,188.31,0,241.42,37.3,0.53,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1611.5641999999998

24,05:45-06:00,37.3,0,48.28,0,37.3,0,12.44,4.83,0,7.73,1.93,97.78,32.59,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0,0,241.42,0,241.42,37.3,0.53,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.31,96.57,26.9071,48.28,1663.7141999999997

25,06:00-06:15,37.3,0,48.28,0,37.3,0,12.44,4.83,0,7.73,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0,0,207.63,0,241.42,37.3,0.63,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1499.3742

26,06:15-06:30,37.3,0,48.28,0,37.3,0,12.44,4.83,0,7.73,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0,0,197.97,0,241.42,37.3,0.63,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1489.7142

27,06:30-06:45,37.3,0,48.28,0,37.3,0,12.44,4.83,0,7.73,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0.07,0,193.14,0,241.42,37.3,0.63,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1484.9542

28,06:45-07:00,37.3,0,48.28,0,37.3,0,12.44,4.83,0,7.73,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0.7,0,197.97,0,241.42,37.3,0.63,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1490.4142

29,07:00-07:15,37.3,0,48.28,0,37.3,0,12.44,4.83,0,7.73,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0.94,0,207.63,0,241.42,37.3,0.72,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1500.4042

30,07:15-07:30,37.3,0,48.28,0,37.3,0,12.44,4.83,0,7.73,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,1.26,0,164.17,0,241.42,37.3,0.72,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1457.2641999999998

31,07:30-07:45,37.3,0,48.28,0,37.3,0,12.44,4.83,0,7.73,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,2.22,0,52.15,0,241.42,37.3,0.72,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1346.2042

32,07:45-08:00,37.3,0,48.28,0,37.3,0,12.44,4.83,0,7.73,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,3.34,0,19.31,0,241.42,37.3,0.72,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1314.4841999999996

33,08:00-08:15,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,3.65,0,0,0,241.42,37.3,0.97,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1296.6941999999997

34,08:15-08:30,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,3.21,0,0,0,241.42,37.3,0.97,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1296.2541999999996

35,08:30-08:45,37.3,0,48.28,0,37.3,0,12.44,4.83,0,8.69,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,2.51,0,0,0,241.42,37.3,0.97,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1295.5541999999996

36,08:45-09:00,37.3,0,48.28,0,37.3,0,12.44,4.83,0,9.66,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,2.62,0,0,0,241.42,37.3,0.97,0,26.9071,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.03,96.57,26.9071,48.28,1296.6341999999997

37,09:00-09:15,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,9.66,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,2.85,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,15.03,0,26.9071,0,1349.9741999999999

38,09:15-09:30,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,11.59,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,3.38,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,15.03,0,26.9071,0,1352.4341999999997

39,09:30-09:45,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,11.59,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,3.67,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,15.03,0,26.9071,0,1352.7241999999997

40,09:45-10:00,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,11.59,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,4.35,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,15.03,0,26.9071,0,1353.4041999999997

41,10:00-10:15,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,11.59,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,4.83,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1353.6941999999997

42,10:15-10:30,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,5.17,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1354.9941999999996

43,10:30-10:45,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,5.31,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1355.1341999999997

44,10:45-11:00,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,5.6,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1355.4241999999997

45,11:00-11:15,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,6.08,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1355.9041999999997

46,11:15-11:30,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,6.37,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1356.1941999999997

47,11:30-11:45,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,6.57,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1356.3941999999997

48,11:45-12:00,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,6.76,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1356.5841999999998

49,12:00-12:15,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,7.15,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1356.9741999999997

50,12:15-12:30,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,7.34,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1357.1641999999997

51,12:30-12:45,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,7.53,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1357.3541999999998

52,12:45-13:00,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,7.92,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1357.7441999999996

53,13:00-13:15,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,8.11,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1357.9341999999997

54,13:15-13:30,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,8.5,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1358.3241999999998

55,13:30-13:45,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,7.92,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1357.7441999999996

56,13:45-14:00,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,7.73,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,14.84,0,26.9071,0,1357.5541999999998

57,14:00-14:15,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,7.53,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,15.49,0,26.9071,0,1358.0041999999999

