Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9061,NR/2024/23769/A/43452,NR/2024/23809/A/43451,WR/2024/24788/A/43592,NR/2024/23963/A/43484,NR/2024/23420/A/43447,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/5444,NR/2024/23918/A/43450,NR/2024/24011/C,NR/2024/24012/C,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/1868,Total
5,01:00-01:15,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.60999999999996

6,01:15-01:30,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.60999999999996

7,01:30-01:45,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.60999999999996

8,01:45-02:00,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.60999999999996

9,02:00-02:15,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.60999999999996

10,02:15-02:30,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.60999999999996

11,02:30-02:45,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.60999999999996

12,02:45-03:00,0,25.94,5.76,4.8,0,0,0.48,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.60999999999996

13,03:00-03:15,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

14,03:15-03:30,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

15,03:30-03:45,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

16,03:45-04:00,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

17,04:00-04:15,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

18,04:15-04:30,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

19,04:30-04:45,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

20,04:45-05:00,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

21,05:00-05:15,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

22,05:15-05:30,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

23,05:30-05:45,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

24,05:45-06:00,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,63.42,190.26,25.94,8.65,379.56

25,06:00-06:15,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,0,0,25.94,8.65,125.88000000000001

26,06:15-06:30,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,0,0,25.94,8.65,125.88000000000001

27,06:30-06:45,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,0,0,25.94,8.65,125.88000000000001

28,06:45-07:00,0,25.94,5.76,4.8,0,0,0.43,0,25.94,0,0,0,17.29,8.65,0,2.48,0,0,0,25.94,8.65,125.88000000000001

29,07:00-07:15,0,34.59,5.76,4.8,0,0,0.58,0,34.59,0,0,0,17.29,8.65,0,2.48,0,0,0,34.59,8.65,151.98

30,07:15-07:30,0,34.59,5.76,4.8,0,0,0.58,0,34.59,0,0,0,17.29,8.65,0,2.48,0,0,0,34.59,8.65,151.98

31,07:30-07:45,0,34.59,5.76,4.8,0,0,0.58,0,34.59,0,0,0,17.29,8.65,0,2.48,0,0,0,34.59,8.65,151.98

32,07:45-08:00,0,34.59,5.76,4.8,0,0,0.58,0,34.59,0,0,0,17.29,8.65,0,2.48,0,0,0,34.59,8.65,151.98

33,08:00-08:15,0,35.55,5.76,4.8,0,0,0.96,0,35.55,0,0,0,17.29,8.65,0,2.48,0,0,0,35.55,8.65,155.24

34,08:15-08:30,0,35.55,5.76,4.8,0,0,0.96,0,35.55,0,0,0,17.29,8.65,0,2.48,0,0,0,35.55,8.65,155.24

35,08:30-08:45,0,35.55,5.76,4.8,0,0,0.96,0,35.55,0,0,0,17.29,8.65,0,2.48,0,0,0,35.55,8.65,155.24

36,08:45-09:00,0,35.55,5.76,4.8,0,0,0.96,0,35.55,0,0,0,17.29,8.65,0,2.48,0,0,0,35.55,8.65,155.24

37,09:00-09:15,0,28.82,5.76,4.8,0,0,0.86,0,28.82,3.84,14.31,26.32,17.29,8.65,0,2.48,0,0,0,28.82,8.65,179.42

38,09:15-09:30,0,28.82,5.76,4.8,0,0,0.86,0,28.82,3.84,18.93,30.55,17.29,8.65,0,2.48,0,0,0,28.82,8.65,188.27

39,09:30-09:45,0,28.82,5.76,4.8,0,0,0.86,0,28.82,3.84,22.1,30.74,17.29,8.65,0,2.48,0,0,0,28.82,8.65,191.63

40,09:45-10:00,0,28.82,5.76,4.8,0,0,0.86,0,28.82,3.84,22.1,30.74,17.29,8.65,0,2.48,0,0,0,28.82,8.65,191.63

41,10:00-10:15,0,31.7,5.76,4.8,0,0,0.86,0,31.7,4.8,22.1,30.74,17.29,8.65,0,2.48,0,0,0,31.7,8.65,201.23

42,10:15-10:30,0,31.7,5.76,4.8,0,0,0.86,0,31.7,4.8,22.1,30.74,17.29,8.65,0,2.48,0,0,0,31.7,8.65,201.23

43,10:30-10:45,0,31.7,5.76,4.8,0,0,0.86,0,31.7,4.8,22.1,30.74,17.29,8.65,0,2.48,0,0,0,31.7,8.65,201.23

44,10:45-11:00,0,31.7,5.76,4.8,0,0,0.86,0,31.7,4.8,22.1,30.74,17.29,8.65,0,2.48,0,0,0,31.7,8.65,201.23

45,11:00-11:15,0,31.7,5.76,4.8,0,0,0.86,0,31.7,6.72,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,203.04999999999998

46,11:15-11:30,0,31.7,5.76,4.8,0,0,0.86,0,31.7,6.72,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,203.04999999999998

47,11:30-11:45,0,31.7,5.76,4.8,0,0,0.86,0,31.7,6.72,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,203.04999999999998

48,11:45-12:00,0,31.7,5.76,4.8,0,0,0.86,0,31.7,6.72,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,203.04999999999998

49,12:00-12:15,0,31.7,5.76,4.8,0,0,0.86,0,31.7,6.72,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,203.04999999999998

50,12:15-12:30,0,31.7,5.76,4.8,0,0,0.86,0,31.7,6.72,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,203.04999999999998

51,12:30-12:45,0,31.7,5.76,4.8,0,0,0.86,0,31.7,6.72,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,203.04999999999998

52,12:45-13:00,0,31.7,5.76,4.8,0,0,0.86,0,31.7,6.72,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,203.04999999999998

53,13:00-13:15,0,31.7,5.76,4.8,0,0,0.77,0,31.7,5.76,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,202

54,13:15-13:30,0,31.7,5.76,4.8,0,0,0.77,0,31.7,5.76,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,202

55,13:30-13:45,0,31.7,5.76,4.8,0,0,0.77,0,31.7,5.76,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,202

56,13:45-14:00,0,31.7,5.76,4.8,0,0,0.77,0,31.7,5.76,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,202

57,14:00-14:15,0,31.7,5.76,4.8,0,0,0.96,0,31.7,4.8,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,201.23

58,14:15-14:30,0,31.7,5.76,4.8,0,0,0.96,0,31.7,4.8,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,201.23

59,14:30-14:45,0,31.7,5.76,4.8,0,0,0.96,0,31.7,4.8,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,201.23

60,14:45-15:00,0,31.7,5.76,4.8,0,0,0.96,0,31.7,4.8,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,201.23

61,15:00-15:15,0,31.7,5.76,4.8,0,0,0.86,0,31.7,4.8,22.1,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,201.13

62,15:15-15:30,0,31.7,5.76,4.8,0,0,0.86,0,31.7,4.8,21.81,30.74,17.29,8.65,0,2.38,0,0,0,31.7,8.65,200.83999999999997

63,15:30-15:45,0,31.7,5.76,4.8,0,0.96,0.86,0,31.7,4.8,16.91,28.24,17.29,8.65,0,2.38,0,0,0,31.7,8.65,194.39999999999998

64,15:45-16:00,0,31.7,5.76,4.8,0,0.96,0.86,0,31.7,4.8,12.01,24.02,17.29,8.65,0,2.38,0,0,0,31.7,8.65,185.28

65,16:00-16:15,0,36.51,5.76,4.8,0,0.96,0.77,0,36.51,2.88,9.03,19.69,17.29,8.65,0,2.38,0,0,0,36.51,8.65,190.39

66,16:15-16:30,0,36.51,5.76,4.8,0,0.96,0.77,0,36.51,2.88,4.42,15.56,17.29,8.65,0,2.38,0,0,0,36.51,8.65,181.65

67,16:30-16:45,0,36.51,5.76,4.8,0,0.96,0.77,0,36.51,2.88,0.1,11.72,17.29,8.65,0,2.38,0,0,0,36.51,8.65,173.48999999999998

68,16:45-17:00,0,36.51,5.76,4.8,0,0.96,0.77,0,36.51,2.88,0,8.26,17.29,8.65,0,2.38,0,0,0,36.51,8.65,169.93

69,17:00-17:15,0,36.51,5.76,4.8,0,1.92,0.58,0,36.51,0.96,0,0,17.29,8.65,0,2.38,0,0,0,36.51,8.65,160.51999999999998

70,17:15-17:30,32,36.51,5.76,4.8,0,1.92,0.58,0,36.51,0.96,0,0,17.29,8.65,0,2.38,0,0,0,36.51,8.65,192.51999999999998

71,17:30-17:45,32,36.51,5.76,4.8,0,1.92,0.58,0,36.51,0.96,0,0,17.29,8.65,0,2.38,0,0,0,36.51,8.65,192.51999999999998

72,17:45-18:00,32,36.51,5.76,4.8,0,1.92,0.58,0,36.51,0.96,0,0,17.29,8.65,0,2.38,0,0,0,36.51,8.65,192.51999999999998

73,18:00-18:15,32,36.51,5.76,4.8,38.43,1.92,0.62,0,36.51,0,0,0,17.29,8.65,50,2.38,150,0,0,36.51,8.65,430.03

74,18:15-18:30,32,36.51,5.76,4.8,38.43,1.92,0.62,0,36.51,0,0,0,17.29,8.65,50,2.38,150,0,0,36.51,8.65,430.03

75,18:30-18:45,0,36.51,5.76,4.8,38.43,1.92,0.62,0,36.51,0,0,0,17.29,8.65,50,2.38,150,0,0,36.51,8.65,398.03

76,18:45-19:00,0,36.51,5.76,4.8,38.43,1.92,0.62,0,36.51,0,0,0,17.29,8.65,50,2.38,150,0,0,36.51,8.65,398.03

77,19:00-19:15,0,36.51,5.76,4.8,38.43,1.92,0.62,0,36.51,0,0,0,17.29,8.65,50,2.48,150,0,0,36.51,8.65,398.13

78,19:15-19:30,0,36.51,5.76,4.8,38.43,0.96,0.62,0,36.51,0,0,0,17.29,8.65,50,2.48,150,0,0,36.51,8.65,397.16999999999996

79,19:30-19:45,0,36.51,5.76,4.8,38.43,0.96,0.62,0,36.51,0,0,0,17.29,8.65,50,2.48,150,0,0,36.51,8.65,397.16999999999996

80,19:45-20:00,0,36.51,5.76,4.8,38.43,0.96,0.62,0,36.51,0,0,0,17.29,8.65,50,2.48,150,0,0,36.51,8.65,397.16999999999996

81,20:00-20:15,0,36.51,5.76,4.8,38.43,0.96,0.62,0,36.51,0,0,0,17.29,8.65,50,2.57,200,0,0,36.51,8.65,447.26

82,20:15-20:30,0,36.51,5.76,4.8,38.43,0.96,0.62,0,36.51,0,0,0,17.29,8.65,50,2.57,200,0,0,36.51,8.65,447.26

83,20:30-20:45,0,36.51,5.76,4.8,38.43,0.96,0.62,0,36.51,0,0,0,17.29,8.65,50,2.57,200,0,0,36.51,8.65,447.26

84,20:45-21:00,0,36.51,5.76,4.8,38.43,0.96,0.62,0,36.51,0,0,0,17.29,8.65,50,2.57,200,0,0,36.51,8.65,447.26

85,21:00-21:15,0,34.59,5.76,4.8,38.43,0.96,0.62,0,34.59,0,0,0,17.29,8.65,50,2.57,200,0,0,34.59,8.65,441.5

86,21:15-21:30,0,34.59,5.76,4.8,38.43,0.96,0.62,0,34.59,0,0,0,17.29,8.65,50,2.57,200,0,0,34.59,8.65,441.5

87,21:30-21:45,0,34.59,5.76,4.8,38.43,0,0.62,0,34.59,0,0,0,17.29,8.65,50,2.57,200,0,0,34.59,8.65,440.53999999999996

88,21:45-22:00,0,34.59,5.76,4.8,38.43,0,0.62,0,34.59,0,0,0,17.29,8.65,50,2.57,200,0,0,34.59,8.65,440.53999999999996

89,22:00-22:15,0,25.94,5.76,4.8,38.43,0,0.62,0,25.94,0,0,0,17.29,8.65,50,2.48,200,63.42,190.26,25.94,8.65,668.18

90,22:15-22:30,0,25.94,5.76,4.8,38.43,0,0.62,0,25.94,0,0,0,17.29,8.65,50,2.48,200,63.42,190.26,25.94,8.65,668.18

91,22:30-22:45,0,25.94,5.76,4.8,38.43,0,0.62,0,25.94,0,0,0,17.29,8.65,50,2.48,200,63.42,190.26,25.94,8.65,668.18

92,22:45-23:00,0,25.94,5.76,4.8,38.43,0,0.62,0,25.94,0,0,0,17.29,8.65,50,2.48,200,63.42,190.26,25.94,8.65,668.18

93,23:00-23:15,0,25.94,5.76,4.8,38.43,0,0.62,0,25.94,0,0,0,17.29,8.65,50,2.48,200,63.42,190.26,25.94,8.65,668.18

94,23:15-23:30,0,25.94,5.76,4.8,38.43,0,0.62,0,25.94,0,0,0,17.29,8.65,50,2.48,200,63.42,190.26,25.94,8.65,668.18

95,23:30-23:45,0,25.94,5.76,4.8,38.43,0,0.62,0,25.94,0,0,0,17.29,8.65,50,2.48,200,63.42,190.26,25.94,8.65,668.18

96,23:45-24:00,0,25.94,5.76,4.8,38.43,0,0.62,0,25.94,0,0,0,17.29,8.65,50,2.48,200,63.42,190.26,25.94,8.65,668.18

