Block,Time Block,BSIUL,BRBCL,CHAMERA2,CHAMERA1,CHAMERA3,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KGSU1AND2,JHAJJAR,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KHSTPP-I,KISHANGANGA,KOTESHWR,KUDGI,NLCTS2EXP,RAMPUR,NAPP,NNTPP,NTPL,PARBATI3,NLCEXP,MAPS,NLCIIST1,NJPC,NLCIIST2,RAPPC,RIHAND3,RAPPB,RIHAND1,RIHAND2,SIMHST1,SIMHST2,SALAL,SEWA2,RSTPSU1TO6,RSTPSU7,SASAN,SINGRAULI,SINGRAULI_HYDRO,TALA,TALST2,URI,TEHRI,TANDA2,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,UNCHAHAR3,URI2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,ANTA_CRF,ANTA_RF,ANTA_LF,ANTA_GF,AURY_GF,AURY_CRF,AURY_LF,AURY_RF,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,0,12.66,42.53,40.54,30.85,0,11.25,34.97,585.23,0,272.25,0,131.15,0,0,5.15,34.92,2.77,37.16,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,64.26,0,0,0,389.49,97.39,0,9.78,0,31.85,51.12,2.1,16.79,1.56,0,26.01,22.74,11.33,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,12.42,42.53,40.54,30.85,0,11.25,34.97,585.23,0,225.66,0,131.15,0,0,5.15,34.92,2.77,37.16,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,64.26,0,0,0,389.49,97.39,0,9.78,0,31.85,51.12,2.1,15.49,1.56,0,23.41,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,14.36,42.53,40.54,30.85,0,11.25,34.97,556.76,0,206.43,0,131.15,0,0,5.15,34.92,2.77,37.16,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,64.26,0,0,0,389.49,97.39,0,9.78,0,31.85,51.12,2.1,15.49,1.56,0,23.41,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,15.03,42.53,40.54,30.85,0,12.35,34.97,508.67,0,177.58,0,131.15,0,0,5.15,34.92,2.77,27.87,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,9.9,0,31.85,51.12,2.1,15.49,1.56,0,23.41,21.31,12.44,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,14.74,42.53,40.54,30.85,0,12.35,34.97,460.59,0,148.73,0,131.15,0,0,5.15,34.92,2.77,27.87,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,9.95,0,31.85,51.12,2.1,15.49,1.56,0,23.41,21.31,12.44,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,16.92,42.53,40.54,30.85,0,11.42,34.97,412.5,0,119.88,0,131.15,0,0,5.15,34.92,2.77,27.87,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,9.9,0,44.59,51.12,2.1,15.49,1.56,0,23.41,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,16.42,42.53,40.54,30.85,0,11.42,34.97,366.34,0,119.88,0,131.15,0,0,5.15,34.92,2.77,27.87,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,10.04,0,44.59,51.12,2.1,13.33,1.56,0,19.47,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,17.31,42.53,40.54,30.85,0,11.42,34.97,366.34,0,119.88,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,10.13,0,33.98,51.12,2.1,13.33,1.56,0,19.47,34.67,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,16.53,42.53,40.54,30.85,0,11.42,34.97,366.34,0,119.88,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,10.13,0,33.98,51.12,2.1,13.33,1.56,0,19.47,34.67,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,15.43,42.53,40.54,30.85,0,11.42,34.97,366.34,0,119.88,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,10.04,0,33.98,51.12,2.1,13.33,1.56,0,19.47,34.67,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,17.06,42.53,40.54,30.85,0,11.42,34.97,366.34,0,119.88,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,10.04,0,33.98,51.12,2.1,13.33,1.56,0,19.47,34.67,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,19.23,42.53,40.54,30.85,0,11.42,34.97,366.34,0,116.23,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,10.01,0,33.98,51.12,2.1,11.76,1.56,0,14.57,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,19.23,42.53,40.54,30.85,0,11.42,34.97,366.34,0,116.23,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,9.9,0,33.98,51.12,2.1,11.76,1.56,0,14.57,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,19.23,42.53,40.54,30.85,0,11.42,34.97,366.34,0,116.23,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,9.84,0,33.98,51.12,2.1,11.76,1.56,0,14.57,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,19.23,42.53,40.54,30.85,0,11.42,34.97,366.34,0,116.23,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,80.47,0,0,0,389.49,97.39,0,9.75,0,33.98,51.12,2.1,11.76,1.56,0,14.57,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,19.23,42.53,40.54,30.85,0,11.42,34.97,366.34,0,116.23,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,9.56,0,33.98,51.12,2.1,11.76,1.56,0,14.57,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,19.23,42.53,40.54,30.85,0,11.42,34.97,366.34,0,116.23,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,9.39,0,33.98,51.12,2.1,13.07,1.56,0,18.51,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0,19.23,42.53,40.54,30.85,0,11.42,34.97,366.34,0,116.23,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,24.33,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,9.11,0,33.98,51.12,2.1,13.07,1.56,0,18.51,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,0,19.23,42.53,40.54,30.85,0,12.35,34.97,366.34,0,116.23,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,35.14,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,8.91,0,33.98,51.12,2.1,13.07,1.56,0,18.51,21.31,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,0,19.23,42.53,40.54,30.85,0,12.35,34.97,366.34,0,116.23,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,35.14,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,9.17,0,33.98,32.71,2.1,14.37,1.56,0,21.12,34.67,11.33,0,19.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,0,19.23,42.53,40.54,30.85,0,12.35,34.97,366.34,0,212.4,0,131.15,0,0,5.15,34.92,2.77,18.58,0,0,3.4,42.91,0,0,35.14,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,9.17,0,33.98,32.71,2.1,14.37,1.56,0,21.12,34.67,11.33,0,19.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,0,19.23,42.53,40.54,30.85,0,12.35,34.97,366.34,0,308.57,0,131.15,0,0,5.15,34.92,2.77,9.29,0,0,3.4,42.91,0,0,35.14,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,9.05,0,33.98,32.71,2.1,14.37,1.56,0,21.12,34.67,11.33,0,19.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,0,19.23,42.53,40.54,30.85,0,12.35,34.97,366.34,0,296.55,0,131.15,0,0,5.15,34.92,2.77,9.29,0,0,3.4,42.91,0,0,35.14,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,9.05,0,33.98,32.71,2.1,13.07,1.56,0,18.51,34.67,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,0,19.23,42.53,40.54,30.85,0,12.35,34.97,366.34,0,176.34,0,131.15,0,0,5.15,34.92,2.77,9.29,0,0,3.4,42.91,0,0,35.14,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,9.02,0,33.98,32.71,2.2,13.07,1.56,0,18.51,22.74,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,0,19.23,42.53,40.54,30.85,0,12.35,34.97,366.34,0,116.23,0,131.15,0,0,5.15,34.92,2.77,9.29,0,0,3.4,42.91,0,0,16.89,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,11.74,0,33.98,32.71,2.42,13.07,1.56,0,18.51,22.74,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,0,19.23,42.53,40.54,30.85,0,12.35,34.97,366.34,0,116.23,0,131.15,0,0,5.15,34.92,2.77,9.29,0,0,3.4,42.91,0,0,16.89,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,11.85,0,44.59,17.04,2.67,13.07,1.56,0,18.51,22.74,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,0,19.23,42.53,40.54,30.85,0,10.82,34.97,366.34,0,116.23,0,113.99,0,0,5.15,29.46,2.77,9.29,0,0,3.4,42.91,0,0,16.89,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,11.85,0,44.59,17.04,2.69,11.76,1.56,0,14.57,22.74,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,0,19.23,42.53,40.54,30.85,9.67,9.81,34.97,366.34,0,116.23,0,113.99,0,0,5.15,25.77,2.77,9.29,0,0,3.4,42.91,0,0,16.89,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,11.82,0,33.98,17.04,2.69,11.76,1.56,0,14.57,22.74,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,0,19.23,42.53,40.54,30.85,19.34,9.81,34.97,366.34,0,116.23,0,98.95,0,0,5.15,25.77,2.77,9.29,0,0,3.4,42.91,0,0,16.89,0,0,0,160.7,0,58.21,122.71,0,91.02,117.05,0,0,74.87,0,0,0,389.49,97.39,0,11.78,0,33.98,17.04,2.69,11.76,1.56,0,14.57,22.74,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,0,19.23,42.53,40.54,30.85,29,9.81,34.97,366.34,0,116.23,0,98.95,0,0,5.15,25.77,2.77,9.29,0,0,3.4,42.91,0,0,16.89,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,11.65,0,33.98,17.04,2.69,11.76,1.56,0,14.57,22.74,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,366.34,0,116.23,0,98.95,0,0,5.15,25.77,2.77,9.29,0,0,3.4,42.91,0,0,16.89,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,11.85,0,33.98,17.04,2.69,11.76,1.56,0,14.57,22.74,11.33,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,98.95,0,0,5.15,25.77,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,11.74,0,33.98,17.04,0,11.76,0,0,14.31,19.89,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,98.95,0,0,5.15,25.77,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,11.78,0,44.59,17.04,0,11.76,0,0,14.31,19.89,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,98.95,0,0,5.15,25.77,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,11.74,0,44.59,17.04,0,11.76,0,0,14.31,19.89,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,98.95,0,0,5.15,25.77,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,11.74,0,33.98,17.04,0,11.76,0,0,14.31,19.89,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,98.95,0,0,5.15,25.77,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,11.88,0,33.98,17.04,0,11.76,0,0,14.31,19.89,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,98.95,0,0,5.15,25.77,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,12.01,0,33.98,17.04,0,11.76,0,0,14.31,19.89,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,0,17.94,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,98.95,0,0,5.15,25.77,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,12.01,0,33.98,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,11.93,0,33.98,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,11.93,0,33.98,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,0,18.99,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,0,0,0,389.49,74.95,0,11.93,0,44.59,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,0,18.05,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,11.14,0,0,389.49,74.95,0,11.7,0,44.59,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,11.14,0,0,389.49,74.95,0,11.44,0,35.03,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,11.14,0,0,389.49,74.95,0,11.59,0,35.03,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,11.14,0,0,389.49,74.95,0,11.59,0,35.03,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,11.14,0,0,389.49,74.95,0,11.7,0,35.03,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,11.14,0,0,389.49,74.95,0,11.78,0,35.03,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

53,13:00-13:15,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,11.14,0,0,389.49,74.95,0,11.82,0,44.59,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

54,13:15-13:30,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,11.14,0,0,389.49,74.95,0,11.93,0,44.59,17.04,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

55,13:30-13:45,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,11.14,0,0,389.49,74.95,0,12.08,0,37.16,16.97,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

56,13:45-14:00,0,19.23,42.53,40.54,30.85,38.85,9.81,34.97,363.52,0,110.69,0,116.11,0,0,5.15,31.23,2.77,9.29,0,0,3.4,42.91,0,0,20.27,0,0,0,160.7,0,58.21,98.05,0,91.02,102.47,0,0,74.87,11.14,0,0,389.49,74.95,0,12.13,0,37.16,16.35,0,11.76,0,0,14.31,25.58,11.33,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

