Time,Block,NR/2023/11941/F,NR/2023/11959/F,NR/2023/11342/A,NR/2023/12650/D,NR/2023/11961/F,NR/2023/10223/A,NR/2023/10611/A,NR/2023/11284/A,NR/2023/10236/A,NR/2023/11947/F,NR/2023/11642/A,NR/2023/12657/C,NR/2023/11643/A,NR/2023/11962/F,ER/2023/7688/C,NR/2023/10229/A,NR/2023/11957/F,NR/2023/11958/F,NR/2023/12663/C,NR/2023/12675/C,NR/2023/11963/F,NR/2023/10613/A,NR/2023/10944/A,NR/2023/10487/A,NR/2023/10344/A,NR/2023/11862/F,NR/2023/11960/F,NR/2023/10434/A,NR/2023/11955/F,NR/2023/11476/A,NR/2023/11956/F,NR/2023/11330/A,NR/2023/11952/F,NR/2023/12648/D,NR/2023/12655/D,NR/2023/12653/D,Total

3,00:30-00:45,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.500000,150.270000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,1142.7

4,00:45-01:00,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.500000,131.970000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,1124.4

5,01:00-01:15,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.500000,98.260000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,1090.69

6,01:15-01:30,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.500000,36.610000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,1029.04

7,01:30-01:45,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.500000,13.490000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,1005.92

8,01:45-02:00,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.500000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,992.43

9,02:00-02:15,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.420000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,992.35

10,02:15-02:30,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.420000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,992.35

11,02:30-02:45,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.420000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,992.35

12,02:45-03:00,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.420000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,36.350000,0,0,0,992.35

13,03:00-03:15,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.320000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,954.89

14,03:15-03:30,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.320000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,954.89

15,03:30-03:45,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.320000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,954.89

16,03:45-04:00,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,0.000000,49.850000,0.780000,0.640000,12.320000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,954.89

17,04:00-04:15,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,40.000000,49.850000,0.780000,0.640000,12.140000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,994.71

18,04:15-04:30,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,40.000000,49.850000,0.780000,0.640000,12.140000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,994.71

19,04:30-04:45,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,40.000000,49.850000,0.780000,0.640000,12.140000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,994.71

20,04:45-05:00,62.610000,0.710000,115.600000,66.850000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,40.000000,49.850000,0.780000,0.640000,12.140000,0.000000,0.460000,12.620000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,994.71

21,05:00-05:15,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,40.000000,49.850000,0.780000,0.640000,12.050000,0.000000,0.460000,0.000000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,984.8

22,05:15-05:30,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,40.000000,49.850000,0.780000,0.640000,12.050000,0.000000,0.460000,0.000000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,984.8

23,05:30-05:45,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,40.000000,49.850000,0.780000,0.640000,12.050000,0.000000,0.460000,0.000000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,984.8

24,05:45-06:00,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,40.000000,49.850000,0.780000,0.640000,12.050000,0.000000,0.460000,0.000000,27.740000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,64.730000,0.000000,0,0,0,984.8

25,06:00-06:15,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,50.000000,49.850000,0.780000,0.640000,11.950000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,0.000000,0.000000,0,0,0,902.23

26,06:15-06:30,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,50.000000,49.850000,0.780000,0.640000,11.950000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,0.000000,0.000000,0,1.5,3.5,907.23

27,06:30-06:45,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,50.000000,49.850000,0.780000,0.640000,11.950000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,0.000000,0.000000,0.45,3,7,912.68

28,06:45-07:00,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,31.600000,13.000000,0.460000,50.000000,49.850000,0.780000,0.640000,11.950000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,0.000000,0.000000,0.78,6,14,923.01

29,07:00-07:15,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,29.550000,13.000000,0.460000,50.000000,49.850000,0.780000,0.640000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,0.000000,0.000000,1.2,10.5,24.5,936.2

30,07:15-07:30,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,29.550000,13.000000,0.460000,50.000000,49.850000,0.780000,0.640000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,0.000000,0.000000,1.72,15.6,36.4,953.72

31,07:30-07:45,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,29.550000,13.000000,0.460000,50.000000,49.850000,0.780000,0.640000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,0.000000,0.000000,2.29,22.2,51.8,976.29

32,07:45:08:00,62.610000,0.710000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,29.550000,13.000000,0.460000,50.000000,49.850000,0.780000,0.640000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.710000,24.080000,0.360000,48.160000,0.400000,0.000000,0.000000,2.89,24,56,982.89

33,08:00-08:15,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,29.550000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,3.48,30,70,1003.48

34,08:15-08:30,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,29.550000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,4.07,36,84,1024.07

35,08:30-08:45,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,29.550000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,4.38,42,98,1044.38

36,08:45:09:00,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,29.550000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,5.01,48.9,114.1,1068.01

37,09:00:09:15,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.680000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,5.35,52.8,123.2,1085.34

38,09:15-09:30,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.680000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,5.76,58.2,135.8,1103.75

39,09:30-09:45,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.680000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,5.78,63,147,1119.77

40,09:45-10:00,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.680000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,5.83,68.7,160.3,1138.82

41,10:00-10:15,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.590000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,6.07,72,168,1149.97

42,10:15-10:30,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.590000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,6.17,76.5,178.5,1165.07

43,10:30-10:45,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.590000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,6.36,76.5,178.5,1165.26

44,10:45-11:00,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,50.000000,49.850000,0.770000,0.620000,11.590000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,6.65,78,182,1170.55

45,11:00-11:15,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,6.94,81,189,1130.74

46,11:15-11:30,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,7.75,78,182,1121.55

47,11:30-11:45,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,7.8,81,189,1131.6

48,11:45-12:00,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,7.9,81,189,1131.7

49,12:00-12:15,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,0.000000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.09,81,189,1120.4

50,12:15-12:30,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,0.000000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.28,81,189,1120.59

51,12:30-12:45,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.72,81,189,1132.52

52,12:45-13:00,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.91,81,189,1132.71

53,13:00-13:15,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,9.25,81,189,1133.05

54,13:15-13:30,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.96,81,189,1132.76

55,13:30-13:45,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.77,81,189,1132.57

56,13:45-14:00,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.38,78,182,1122.18

57,14:00-14:15,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.410000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.33,77.4,180.6,1120.05

58,14:15-14:30,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.410000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.24,76.5,178.5,1116.96

59,14:30-14:45,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.410000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.14,75.6,176.4,1113.86

60,14:45-15:00,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,33.630000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.410000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.11,72,168,1101.83

61,15:00-15:15,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,35.670000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.410000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,8.09,66.6,155.4,1085.85

62,15:15-15:30,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,35.670000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.410000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,7.71,63,147,1073.47

