Time,Block,NR/2023/14895/A,NR/2023/16464/C,NR/2023/15309/F,NR/2023/16190/F,NR/2023/16468/C,NR/2023/16443/D,NR/2023/16466/C,NR/2023/12053/A,NR/2023/12431/A,NR/2023/12347/A,NR/2023/16441/D,NR/2023/13635/A,NR/2023/12591/A,NR/2023/16460/C,NR/2023/16453/C,NR/2023/12168/A,NR/2023/13862/A,NR/2023/12422/A,NR/2023/12592/A,NR/2023/14898/A,ER/2023/10236/C,NR/2023/12148/A,NR/2023/15402/F,NR/2023/12167/A,NR/2023/16467/C,NR/2023/16442/D,NR/2023/14746/A,NR/2023/16445/D,NR/2023/15057/F,NR/2023/12052/A,NR/2023/14745/A,NR/2023/14737/A,SR/2023/8973/C,Total

3,00:30-00:45,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.620000,5.040000,46.620000,23.150000,38.010000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.870000,63.120000,24.180000,62.870000,60.00,1402.08

4,00:45-01:00,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.620000,5.040000,46.620000,23.150000,38.010000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.870000,63.120000,24.180000,62.870000,60.00,1402.08

5,01:00-01:15,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.620000,5.040000,46.620000,23.150000,38.010000,100.120000,77.380000,70.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1511.89

6,01:15-01:30,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.620000,5.040000,46.620000,23.150000,38.010000,100.120000,77.380000,70.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1511.89

7,01:30-01:45,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.620000,4.030000,46.620000,23.150000,38.010000,100.120000,77.380000,70.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1510.88

8,01:45-02:00,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.620000,4.030000,46.620000,23.150000,38.010000,100.120000,77.380000,70.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1510.88

9,02:00-02:15,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.530000,4.030000,46.620000,23.150000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.580000,63.120000,24.180000,62.870000,0.00,1590.69

10,02:15-02:30,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.530000,4.030000,46.620000,23.150000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.580000,63.120000,24.180000,62.870000,0.00,1590.69

11,02:30-02:45,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.530000,5.040000,46.620000,23.150000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.580000,63.120000,24.180000,62.870000,0.00,1591.7

12,02:45-03:00,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,98.660000,0,25.030000,50.060000,13.530000,5.040000,46.620000,23.150000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.580000,63.120000,24.180000,62.870000,0.00,1591.7

13,03:00-03:15,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,98.660000,0,25.030000,50.060000,13.440000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,0.00,1531.91

14,03:15-03:30,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,98.660000,0,25.030000,50.060000,13.440000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,0.00,1531.91

15,03:30-03:45,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,98.660000,0,25.030000,50.060000,13.440000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,0.00,1531.91

16,03:45-04:00,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,98.660000,0,25.030000,50.060000,13.440000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,0.00,1531.91

17,04:00-04:15,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,98.660000,0,25.030000,50.060000,13.340000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,0.00,1531.81

18,04:15-04:30,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,98.660000,0,25.030000,50.060000,13.340000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,74.00,1605.81

19,04:30-04:45,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,98.660000,0,25.030000,50.060000,13.340000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,150.00,1681.81

20,04:45-05:00,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,98.660000,0,25.030000,50.060000,13.340000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,300.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,150.00,1681.81

21,05:00-05:15,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,0,25.030000,50.060000,13.250000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,200.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,85.00,1418.06

22,05:15-05:30,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,0,25.030000,50.060000,13.250000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,200.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,150.00,1483.06

23,05:30-05:45,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,0,25.030000,50.060000,13.250000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,200.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,150.00,1483.06

24,05:45-06:00,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,0,25.030000,50.060000,13.250000,5.040000,46.620000,0.000000,38.010000,100.120000,77.380000,200.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.530000,63.120000,24.180000,62.870000,150.00,1483.06

25,06:00-06:15,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,0,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,200.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1356.41

26,06:15-06:30,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,0,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,200.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1356.41

27,06:30-06:45,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,0.14,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,200.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1356.55

28,06:45-07:00,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,1.42,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,200.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1357.83

29,07:00-07:15,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,0.86,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1257.27

30,07:15-07:30,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,1.45,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1257.86

31,07:30-07:45,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,2.03,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1258.44

32,07:45:08:00,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,2.47,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.680000,63.120000,24.180000,62.870000,150.00,1258.88

33,08:00-08:15,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,3.32,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.970000,63.120000,24.180000,62.870000,150.00,1260.02

34,08:15-08:30,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,3.94,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.970000,63.120000,24.180000,62.870000,0.00,1110.64

35,08:30-08:45,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,4.55,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.970000,63.120000,24.180000,62.870000,0.00,1111.25

36,08:45:09:00,95.760000,0.000000,4.840000,193.460000,0,0.000000,0.000000,0.000000,125.110000,0.000000,4.47,25.030000,50.060000,13.160000,5.040000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.970000,63.120000,24.180000,62.870000,0.00,1111.17

37,09:00:09:15,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,0.000000,4.86,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1193.06

38,09:15-09:30,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,0.000000,5.34,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1193.54

39,09:30-09:45,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,0.000000,4.42,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1192.62

40,09:45-10:00,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,0.000000,5.9,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1194.1

41,10:00-10:15,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,7.01,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1286.14

42,10:15-10:30,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,7.25,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1286.38

43,10:30-10:45,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,7.01,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1286.14

44,10:45-11:00,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,6.05,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1285.18

45,11:00-11:15,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,5.66,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1284.79

46,11:15-11:30,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,4.35,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1283.48

47,11:30-11:45,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,3.87,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1283

48,11:45-12:00,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,4.98,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1284.11

49,12:00-12:15,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,7.98,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1287.11

50,12:15-12:30,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,7.25,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1286.38

51,12:30-12:45,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,7.01,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1286.14

52,12:45-13:00,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,6.63,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1285.76

53,13:00-13:15,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,6.05,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1285.18

54,13:15-13:30,95.760000,0.000000,4.840000,193.460000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,4.84,25.030000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1283.97

55,13:30-13:45,95.760000,0.000000,4.840000,144.090000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,4.92,18.650000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1228.3

56,13:45-14:00,95.760000,0.000000,4.840000,144.090000,17.41,19.350000,0.000000,0.000000,125.110000,90.930000,5.35,18.650000,50.060000,13.160000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1228.73

57,14:00-14:15,95.760000,0.000000,4.840000,144.090000,17.41,19.350000,0.000000,0.000000,125.110000,106.400000,5.18,18.650000,50.060000,13.160000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1267.18

58,14:15-14:30,95.760000,0.000000,4.840000,144.090000,17.41,19.350000,0.000000,0.000000,125.110000,106.400000,4.84,18.650000,50.060000,13.160000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1266.84

59,14:30-14:45,95.760000,0.000000,4.840000,144.090000,17.41,19.350000,0.000000,0.000000,125.110000,106.400000,4.59,18.650000,50.060000,13.160000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1266.59

60,14:45-15:00,95.760000,0.000000,4.840000,144.090000,17.41,19.350000,0.000000,0.000000,125.110000,106.400000,4.11,18.650000,50.060000,13.160000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,17.410000,0.970000,63.120000,24.180000,62.870000,0.00,1266.11

61,15:00-15:15,95.760000,0.000000,4.840000,144.090000,4.84,0.000000,0.000000,0.000000,125.110000,106.400000,3.14,18.650000,50.060000,13.340000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,0.000000,0.920000,63.120000,24.180000,62.870000,0.00,1215.94

62,15:15-15:30,95.760000,0.000000,4.840000,144.090000,4.84,0.000000,0.000000,0.000000,125.110000,106.400000,3.24,18.650000,50.060000,13.340000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,0.000000,0.920000,63.120000,24.180000,62.870000,0.00,1216.04

63,15:30-15:45,95.760000,0.000000,4.840000,144.090000,4.84,0.000000,0.000000,0.000000,125.110000,106.400000,2.3,18.650000,50.060000,13.340000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,0.000000,0.920000,63.120000,24.180000,62.870000,0.00,1215.1

64,15:45-16:00,95.760000,0.000000,4.840000,144.090000,4.84,0.000000,0.000000,0.000000,125.110000,106.400000,4.54,18.650000,50.060000,13.340000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,0.000000,0.920000,63.120000,24.180000,62.870000,0.00,1217.34

65,16:00-16:15,95.760000,0.000000,4.840000,144.090000,4.84,0.000000,0.000000,0.000000,125.110000,106.400000,3.77,18.650000,50.060000,13.530000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,0.000000,0.820000,63.120000,24.180000,62.870000,0.00,1216.66

66,16:15-16:30,95.760000,0.000000,4.840000,144.090000,4.84,0.000000,0.000000,0.000000,125.110000,106.400000,2.42,18.650000,50.060000,13.530000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,0.000000,0.820000,63.120000,24.180000,62.870000,0.00,1215.31

67,16:30-16:45,95.760000,0.000000,4.840000,144.090000,4.84,0.000000,0.000000,0.000000,125.110000,106.400000,2.06,18.650000,50.060000,13.530000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,0.000000,0.820000,63.120000,24.180000,62.870000,0.00,1214.95

68,16:45-17:00,95.760000,0.000000,4.840000,144.090000,4.84,0.000000,0.000000,0.000000,125.110000,106.400000,1.84,18.650000,50.060000,13.530000,11.090000,46.620000,23.150000,0.000000,100.120000,77.380000,100.000000,22.250000,6.770000,24.180000,14.510000,72.550000,0.000000,0.000000,0.820000,63.120000,24.180000,62.870000,0.00,1214.73

