Column1,Block,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2025/26825/A/74861,NR/2025/26379/A/74840,NR/2025/26829/A/74858,NR/2025/26879/A/74519,NR/2025/26289/A/74875,NR/2025/26755/A/74370,NR/2025/27365/C,NR/2025/27366/C,NR/2025/25967/A/74841,NR/2025/27348/C,NR/2025/27349/C,NR/2025/26335/A/74520,NR/2025/26233/A/74877,GNARE/NR/2024/12/20/3668,NR/2025/26827/A/74860,NR/2025/25861/A/74847,NR/2025/26085/A/74350,NR/2025/26005/A/74473,NR/2025/27296/C,NR/2025/25860/A/74846,NR/2025/26202/A/74910,NR/2025/27300/C,NR/2025/27336/C,NR/2025/26232/A/74878,NR/2025/27337/C,NR/2025/26004/A/74472,GNA/NR/2025/05/01/2474,NR/2025/26153/A/74377,NR/2025/26191/A/74470,GNA/NR/2025/05/01/4138,NR/2025/26828/A/74859,NR/2025/27340/C,NR/2025/26291/A/74874,NR/2025/27312/C,NR/2025/26785/A/74373,NR/2025/26822/A/74866,NR/2025/27346/C,NR/2025/25859/A/74844,NR/2025/27347/C,NR/2025/26101/A/74550,NR/2025/26082/A/74911,NR/2025/26265/A/74876,NR/2025/27283/C,NR/2025/27303/C,NR/2025/27149/A/74516,NR/2025/27294/C,NR/2025/27304/C,NR/2025/27325/C,NR/2025/26959/A/74517,NR/2025/26336/A/74521,NR/2025/27301/C,NR/2025/27354/C,NR/2025/27302/C,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6363,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/8954,Total
3,00:30-00:45,30,24.25,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.77,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,0,14.49,16,28.98,0,13.52,0,164.22,28.98,67.62,82.11,5.8,1953.08

4,00:45-01:00,30,24.25,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.77,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,0,14.49,16,28.98,0,13.52,0,164.22,28.98,67.62,82.11,5.8,1953.08

5,01:00-01:15,24.25,24.25,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.68,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,0,14.49,15.53,28.98,0,13.52,0,164.22,28.98,67.62,82.11,5.8,1946.77

6,01:15-01:30,24.25,24.25,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.68,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,0,14.49,15.53,28.98,0,13.52,0,164.22,28.98,67.62,82.11,5.8,1946.77

7,01:30-01:45,26.5,26.5,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.68,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,0,14.49,15.53,28.98,0,13.52,0,164.22,28.98,67.62,82.11,5.8,1951.27

8,01:45-02:00,26.5,26.5,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.68,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,0,14.49,15.53,28.98,0,13.52,0,164.22,28.98,67.62,82.11,5.8,1951.27

9,02:00-02:15,26.5,26.5,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.63,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,15.07,0,0,13.52,0,164.22,28.98,0,82.11,0,1833.87

10,02:15-02:30,26.5,26.5,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.63,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,15.07,0,0,13.52,0,164.22,28.98,0,82.11,0,1833.87

11,02:30-02:45,26.5,26.5,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.63,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,15.07,0,0,13.52,0,164.22,28.98,0,82.11,0,1833.87

12,02:45-03:00,26.5,26.5,37.32,164.22,37.32,33.81,48.3,0,88.6,86.94,164.22,0,0,0,4.83,0,37.32,0,0.63,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,15.07,0,0,13.52,0,164.22,28.98,0,82.11,0,1833.87

13,03:00-03:15,26.5,26.5,37.32,164.22,37.32,33.81,48.3,0,0,0,164.22,0,0,0,4.83,0,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,14.42,0,0,13.52,0,164.22,28.98,0,82.11,0,1657.53

14,03:15-03:30,26.5,26.5,37.32,164.22,37.32,33.81,48.3,0,0,0,164.22,0,0,0,4.83,0,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,14.42,0,0,13.52,0,164.22,28.98,0,82.11,0,1657.53

15,03:30-03:45,26.5,26.5,37.32,164.22,37.32,33.81,48.3,0,0,0,164.22,0,0,0,4.83,0,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,14.42,0,0,13.52,0,164.22,28.98,0,82.11,0,1657.53

16,03:45-04:00,26.5,26.5,37.32,164.22,37.32,33.81,48.3,0,0,0,164.22,0,0,0,4.83,0,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,0,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,14.42,0,0,13.52,0,164.22,28.98,0,82.11,0,1657.53

17,04:00-04:15,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,0,4.83,0,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.96,0,0,13.52,0,164.22,28.98,0,82.11,0,1666.7299999999998

18,04:15-04:30,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,0,4.83,0,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.96,0,0,13.52,0,164.22,28.98,0,82.11,0,1666.7299999999998

19,04:30-04:45,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,0,4.83,0,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.96,0,0,13.52,0,164.22,28.98,0,82.11,0,1666.7299999999998

20,04:45-05:00,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,0,4.83,0,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.96,0,0,13.52,0,164.22,28.98,0,82.11,0,1666.7299999999998

21,05:00-05:15,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,0,4.83,0,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.22,0,0,13.52,0,164.22,28.98,0,82.11,0,1665.9899999999998

22,05:15-05:30,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,0,4.83,0,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,6.76,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.22,0,0,13.52,0,164.22,28.98,0,82.11,0,1665.9899999999998

23,05:30-05:45,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,0,4.83,0,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,5.8,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.22,0,0,13.52,0,164.22,28.98,0,82.11,0,1665.0299999999997

24,05:45-06:00,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,0,4.83,0.07,37.32,0,0.48,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,5.8,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.22,0,0,13.52,0,164.22,28.98,0,82.11,0,1665.0999999999997

25,06:00-06:15,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,1,4.83,0.47,37.32,0,0.58,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,5.8,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.22,0,0,13.52,0,164.22,28.98,0,82.11,0,1666.5999999999997

26,06:15-06:30,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,4,4.83,0.85,37.32,0,0.58,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,5.8,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.22,0,0,13.52,0,164.22,28.98,0,82.11,0,1669.9799999999998

27,06:30-06:45,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,7,4.83,4.88,37.32,0,0.58,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,5.8,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.22,0,0,13.52,0,164.22,28.98,0,82.11,0,1677.0099999999998

28,06:45-07:00,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,14,4.83,8,37.32,0,0.58,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,5.8,111.09,0,0,0,10.63,20.53,14.49,96.6,0,13.22,0,0,13.52,0,164.22,28.98,0,82.11,0,1687.1299999999999

29,07:00-07:15,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,25,4.83,12.07,37.32,0,0.68,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,5.8,0,0,0,0,10.63,20.53,14.49,96.6,0,13.03,0,0,13.52,0,164.22,28.98,0,82.11,0,1591.0199999999998

30,07:15-07:30,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,35,4.83,17.34,37.32,0,0.68,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,5.8,0,0,0,0,10.63,20.53,14.49,96.6,0,13.03,0,0,13.52,0,164.22,28.98,0,82.11,0,1606.29

31,07:30-07:45,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,49,4.83,23.52,37.32,0,0.68,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,5.8,0,0,0,0,10.63,20.53,14.49,96.6,0,13.03,0,0,13.52,0,164.22,28.98,0,82.11,0,1626.4699999999998

32,07:45-08:00,26.5,26.5,37.32,164.22,37.32,0,48.3,0,0,0,164.22,0,0,63,4.83,30.37,37.32,0,0.68,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,0,0,0,1.93,0,0,0,5.8,0,0,0,0,10.63,20.53,14.49,96.6,0,13.03,0,0,13.52,0,164.22,28.98,0,82.11,0,1647.32

33,08:00-08:15,26.5,26.5,37.32,164.22,37.32,0,48.3,7.73,0,0,164.22,0,0,84,4.83,37.69,37.32,0,0.97,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,5.8,0,0,0,0,10.63,20.53,14.49,0,0,12.85,0,0,13.52,0,164.22,28.98,0,82.11,0,1683.48

34,08:15-08:30,26.5,26.5,37.32,164.22,37.32,0,48.3,7.73,0,0,164.22,0,0,98,4.83,45.04,37.32,0,0.97,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,5.8,0,0,0,0,10.63,20.53,14.49,0,0,12.85,0,0,13.52,0,164.22,28.98,0,82.11,0,1704.83

35,08:30-08:45,26.5,26.5,37.32,164.22,37.32,0,48.3,7.73,0,0,164.22,0,0,112,4.83,52.42,37.32,0,0.97,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,5.8,0,0,0,0,10.63,20.53,14.49,0,0,12.85,0,0,13.52,0,164.22,28.98,0,82.11,0,1726.2099999999998

36,08:45-09:00,26.5,26.5,37.32,164.22,37.32,0,48.3,7.73,0,0,164.22,0,0,126,4.83,59.78,37.32,0,0.97,48.3,0,0,96.6,0,0,4.83,95.03,48.3,17.56,62.79,48.3,0,5.8,43.47,24.15,0,0,12.44,0,0,0,0,47.33,96.6,0,0,1.93,0,0,0,5.8,0,0,0,0,10.63,20.53,14.49,0,0,12.85,0,0,13.52,0,164.22,28.98,0,82.11,0,1747.57

37,09:00-09:15,26.61,26.61,0,0,0,0,0,10.63,0,0,164.22,37.32,37.32,140,0,66.72,0,0,0.97,48.3,53.13,0,0,96.6,96.6,0,95.03,48.3,17.56,9.95,0,0,0,43.47,0,164.22,0,0,12.44,0,37.32,0,47.33,0,48.3,4.83,2.9,52.84,4.83,0,6.76,0,48.3,5.8,24.15,10.63,20.53,14.49,0,0,12.76,0,0,13.52,0,164.22,28.98,0,82.11,0,1826.5999999999997

38,09:15-09:30,26.61,26.61,0,0,0,0,0,10.63,0,0,164.22,37.32,37.32,154,0,73.01,0,0,0.97,48.3,53.13,0,0,96.6,96.6,0,95.03,48.3,17.56,9.95,0,0,0,43.47,0,164.22,0,0,12.44,0,37.32,0,47.33,0,48.3,4.83,2.9,52.84,4.83,0,6.76,0,48.3,5.8,24.15,10.63,20.53,14.49,0,0,12.76,0,0,13.52,0,164.22,28.98,0,82.11,0,1846.8899999999996

39,09:30-09:45,26.61,26.61,0,0,0,0,0,10.63,0,0,164.22,37.32,37.32,165,0,79.1,0,0,0.97,48.3,53.13,0,0,96.6,96.6,0,95.03,48.3,17.56,9.95,0,0,0,43.47,0,164.22,0,0,12.44,0,37.32,0,47.33,0,48.3,4.83,2.9,52.84,4.83,59.89,6.76,0,48.3,5.8,24.15,10.63,20.53,14.49,0,0,12.76,0,0,13.52,0,164.22,28.98,0,82.11,0,1923.8699999999997

40,09:45-10:00,26.61,26.61,0,0,0,0,0,10.63,0,0,164.22,37.32,37.32,175,0,84.76,0,0,0.97,48.3,53.13,0,0,96.6,96.6,0,95.03,48.3,17.56,9.95,0,0,0,43.47,0,164.22,0,0,12.44,0,37.32,0,47.33,0,48.3,4.83,2.9,52.84,4.83,59.89,6.76,0,48.3,5.8,24.15,10.63,20.53,14.49,0,0,12.76,0,0,13.52,0,164.22,28.98,0,82.11,0,1939.5299999999997

