Column1,Block,NR/2024/24071/A/44649,NR/2024/24169/C,NR/2024/24168/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,NR/30092023/31122025/SH-07,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/3428,GNA/WR/2024/11/01/4200,NR/2024/24060/A/44831,WR/2024/25054/A/44811,NR/2024/24097/A/44642,NR/2024/24088/A/44644,NR/2024/24051/A/44651,NR/2024/23952/A/44639,GNA/NR/2024/12/01/7739,NR/2024/24052/A/44650,NR/2024/24170/C,NR/2024/24171/C,NR/30092023/26122029/SH-06,Total
5,01:00-01:15,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.38,31.71,2.88,0,0,0,402.87999999999994

6,01:15-01:30,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.38,31.71,2.88,0,0,0,402.87999999999994

7,01:30-01:45,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.38,31.71,2.88,0,0,0,402.87999999999994

8,01:45-02:00,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.38,31.71,2.88,0,0,0,402.87999999999994

9,02:00-02:15,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.38,31.71,2.88,0,0,0,402.9699999999999

10,02:15-02:30,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.38,31.71,2.88,0,0,0,402.9699999999999

11,02:30-02:45,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.38,31.71,2.88,0,0,0,402.9699999999999

12,02:45-03:00,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.38,31.71,2.88,0,0,0,402.9699999999999

13,03:00-03:15,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.34,31.71,2.88,0,0,0,402.9299999999999

14,03:15-03:30,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.34,31.71,2.88,0,0,0,402.9299999999999

15,03:30-03:45,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.34,31.71,2.88,0,0,0,402.9299999999999

16,03:45-04:00,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.34,31.71,2.88,0,0,0,402.9299999999999

17,04:00-04:15,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.43,31.71,2.88,0,0,0,403.0199999999999

18,04:15-04:30,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.43,31.71,2.88,0,0,0,403.0199999999999

19,04:30-04:45,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.43,31.71,2.88,0,0,0,403.0199999999999

20,04:45-05:00,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,0.96,0,0.43,31.71,2.88,0,0,0,403.0199999999999

21,05:00-05:15,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,4.8,0,0.43,31.71,2.88,0,0,0,406.85999999999996

22,05:15-05:30,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,7.67,4.8,0,0.43,31.71,2.88,0,0,0,406.85999999999996

23,05:30-05:45,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,14.39,4.8,2.88,0.43,31.71,2.88,0,0,0,416.4599999999999

24,05:45-06:00,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,0,25.9,8.63,0,17.27,0,14.39,4.8,2.88,0.43,31.71,2.88,0,0,0,416.4599999999999

25,06:00-06:15,0,0,0,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,14.39,4.8,2.88,0.43,0,2.88,0,0,0,289.62

26,06:15-06:30,0,0,0,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,14.39,4.8,2.88,0.43,0,2.88,0,0,0,289.62

27,06:30-06:45,0,0,0,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,14.39,4.8,2.88,0.43,0,2.88,0,0,0,289.62

28,06:45-07:00,0,0,0,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,14.39,4.8,2.88,0.43,0,2.88,0,0,0,289.62

29,07:00-07:15,0,0,0,2.01,31.66,31.66,0,150,8.63,0,0,31.66,8.63,0,17.27,0,14.39,4.8,2.88,0.53,0,2.88,0,0,0,306.99999999999994

30,07:15-07:30,0,0,0,2.01,31.66,31.66,0,150,8.63,0,0,31.66,8.63,0,17.27,0,14.39,4.8,2.88,0.53,0,2.88,0,0,0,306.99999999999994

31,07:30-07:45,0,0,0,2.01,31.66,31.66,0,150,8.63,0,0,31.66,8.63,0,17.27,0,14.39,4.8,2.88,0.53,0,2.88,0,0,0,306.99999999999994

32,07:45-08:00,0,0,0,2.01,31.66,31.66,0,150,8.63,0,0,31.66,8.63,0,17.27,0,14.39,4.8,2.88,0.53,0,2.88,0,0,0,306.99999999999994

33,08:00-08:15,0,0,0,2.01,31.66,31.66,0,150,8.63,0,0,31.66,8.63,0,17.27,0,14.39,4.8,2.88,0.82,0,2.88,0,0,0,307.28999999999996

34,08:15-08:30,0,0,0,2.01,31.66,31.66,0,150,8.63,0,0,31.66,8.63,0,17.27,0,14.39,4.8,2.88,0.82,0,2.88,0,0,0,307.28999999999996

35,08:30-08:45,0,0,0,2.01,31.66,31.66,0,150,8.63,0,0,31.66,8.63,0,17.27,0,7.67,4.8,0,0.82,0,2.88,0,0,0,297.69

36,08:45-09:00,0,0,0,2.01,31.66,31.66,0,150,8.63,0,0,31.66,8.63,0,17.27,0,7.67,4.8,0,0.82,0,2.88,0,0,0,297.69

37,09:00-09:15,3.84,25.9,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,4.8,0,0.82,0,2.88,0,0,0,319.73999999999995

38,09:15-09:30,3.84,30.03,22.74,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,4.8,0,0.82,0,2.88,0,0,0,337.0199999999999

39,09:30-09:45,3.84,33.96,18.8,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,4.8,0,0.82,0,2.88,0,0,0,337.00999999999993

40,09:45-10:00,3.84,37.51,15.25,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,4.8,0,0.82,0,2.88,0,0,0,337.00999999999993

41,10:00-10:15,4.8,40.77,11.99,1.92,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,4.8,0,0.82,0,2.88,0,0,0,337.87999999999994

42,10:15-10:30,4.8,43.17,9.59,1.92,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,4.8,0,0.82,0,2.88,0,0,0,337.87999999999994

43,10:30-10:45,4.8,43.17,9.59,1.92,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,4.8,0,0.82,0,2.88,0,0,0,337.87999999999994

44,10:45-11:00,4.8,43.17,9.59,1.92,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,4.8,0,0.82,0,2.88,0,0,0,337.87999999999994

45,11:00-11:15,6.72,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.82,0,3.84,0,0,0,336.0499999999999

46,11:15-11:30,6.72,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.82,0,3.84,0,0,0,336.0499999999999

47,11:30-11:45,6.72,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.82,0,3.84,0,0,0,336.0499999999999

48,11:45-12:00,6.72,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.82,0,3.84,0,0,0,336.0499999999999

49,12:00-12:15,6.72,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.82,0,3.84,0,0,0,336.0499999999999

50,12:15-12:30,6.72,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.82,0,3.84,0,0,0,336.0499999999999

51,12:30-12:45,6.72,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.82,0,3.84,0,0,0,336.0499999999999

52,12:45-13:00,6.72,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.82,0,3.84,0,0,0,336.0499999999999

53,13:00-13:15,5.76,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.77,0,3.84,0,0,0,335.0399999999999

54,13:15-13:30,5.76,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.77,0,3.84,0,0,0,335.0399999999999

55,13:30-13:45,5.76,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.77,0,3.84,0,0,0,335.0399999999999

56,13:45-14:00,5.76,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.77,0,3.84,0,0,0,335.0399999999999

57,14:00-14:15,4.8,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.77,0,3.84,0,0,0,334.0799999999999

58,14:15-14:30,4.8,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.77,0,3.84,0,0,0,334.0799999999999

59,14:30-14:45,4.8,43.17,9.59,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.77,0,3.84,0,0,0,334.0799999999999

60,14:45-15:00,4.8,40.19,12.57,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.77,0,3.84,0,0,0,334.0799999999999

61,15:00-15:15,4.8,36.93,15.83,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.62,0,3.84,0,0,0,333.92999999999995

62,15:15-15:30,4.8,33.38,19.38,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.62,0,3.84,0,0,0,333.92999999999995

63,15:30-15:45,4.8,29.55,18.9,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.62,0,3.84,0,0,0,329.61999999999995

64,15:45-16:00,4.8,25.61,10.55,2.01,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.62,0,3.84,0,0,0,317.33

65,16:00-16:15,2.88,21.58,9.59,1.92,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.48,0,3.84,0,0,0,310.18999999999994

66,16:15-16:30,2.88,17.46,9.59,1.92,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.48,0,3.84,0,0,0,306.07

67,16:30-16:45,2.88,13.53,9.59,1.92,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.48,0,3.84,0,0,0,302.14

68,16:45-17:00,2.88,9.88,9.59,1.92,25.9,25.9,0,150,8.63,0,0,25.9,8.63,0,17.27,0,7.67,0,0,0.48,0,3.84,0,0,0,298.48999999999995

69,17:00-17:15,0.96,0,0,2.01,34.53,34.53,0,150,8.63,0,0,34.53,8.63,0,17.27,0,7.67,3.84,0,0.48,0,3.84,47.96,28.78,0,383.65999999999997

70,17:15-17:30,0.96,0,0,2.01,34.53,34.53,0,150,8.63,0,0,34.53,8.63,0,17.27,0,7.67,3.84,0,0.48,0,3.84,47.96,28.78,0,383.65999999999997

71,17:30-17:45,0.96,0,0,2.01,34.53,34.53,0,150,8.63,0,0,34.53,8.63,0,17.27,0,7.67,3.84,0,0.48,0,3.84,47.96,28.78,0,383.65999999999997

72,17:45-18:00,0.96,0,0,2.01,34.53,34.53,0,150,8.63,0,0,34.53,8.63,0,17.27,0,7.67,3.84,0,0.48,0,3.84,47.96,28.78,0,383.65999999999997

73,18:00-18:15,0,0,0,2.01,34.53,34.53,0,150,8.63,0,150,34.53,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,47.96,28.78,0,621.12

74,18:15-18:30,0,0,0,2.01,34.53,34.53,0,150,8.63,0,150,34.53,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,47.96,28.78,0,621.12

75,18:30-18:45,0,0,0,2.01,34.53,34.53,0,150,8.63,0,150,34.53,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,47.96,28.78,0,621.12

76,18:45-19:00,0,0,0,2.01,34.53,34.53,0,150,8.63,0,150,34.53,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,47.96,28.78,0,621.12

77,19:00-19:15,0,0,0,2.01,31.66,31.66,0,150,8.63,0,150,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,535.77

78,19:15-19:30,0,0,0,2.01,31.66,31.66,0,150,8.63,0,150,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,535.77

79,19:30-19:45,0,0,0,2.01,31.66,31.66,0,150,8.63,0,150,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,535.77

80,19:45-20:00,0,0,0,2.01,31.66,31.66,0,150,8.63,0,150,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,535.77

81,20:00-20:15,0,0,0,2.01,31.66,31.66,0,150,8.63,0,250,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,635.77

82,20:15-20:30,0,0,0,2.01,31.66,31.66,0,150,8.63,0,250,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,635.77

83,20:30-20:45,0,0,0,2.01,31.66,31.66,0,150,8.63,0,250,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,635.77

84,20:45-21:00,0,0,0,2.01,31.66,31.66,0,150,8.63,0,250,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,635.77

85,21:00-21:15,0,0,0,2.01,31.66,31.66,0,150,8.63,0,250,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,635.77

86,21:15-21:30,0,0,0,2.01,31.66,31.66,0,150,8.63,0,250,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,635.77

87,21:30-21:45,0,0,0,2.01,31.66,31.66,0,150,8.63,0,250,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,635.77

88,21:45-22:00,0,0,0,2.01,31.66,31.66,0,150,8.63,0,250,31.66,8.63,50,17.27,38.37,7.67,3.84,0,0.53,0,3.84,0,0,0,635.77

89,22:00-22:15,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,250,25.9,8.63,50,17.27,38.37,7.67,0.96,0,0.48,31.71,2.88,0,0,0,741.4399999999999

90,22:15-22:30,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,250,25.9,8.63,50,17.27,38.37,7.67,0.96,0,0.48,31.71,2.88,0,0,0,741.4399999999999

91,22:30-22:45,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,250,25.9,8.63,50,17.27,38.37,7.67,0.96,0,0.48,31.71,2.88,0,0,0,741.4399999999999

92,22:45-23:00,0,0,0,2.01,25.9,25.9,0,150,8.63,95.13,250,25.9,8.63,50,17.27,38.37,7.67,0.96,0,0.48,31.71,2.88,0,0,0,741.4399999999999

93,23:00-23:15,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,250,25.9,8.63,50,17.27,38.37,7.67,0.96,0,0.43,31.71,2.88,0,0,0,741.3

94,23:15-23:30,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,250,25.9,8.63,50,17.27,38.37,7.67,0.96,0,0.43,31.71,2.88,0,0,0,741.3

95,23:30-23:45,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,250,25.9,8.63,50,17.27,38.37,7.67,0.96,0,0.43,31.71,2.88,0,0,0,741.3

96,23:45-24:00,0,0,0,1.92,25.9,25.9,0,150,8.63,95.13,250,25.9,8.63,50,17.27,38.37,7.67,0.96,0,0.43,31.71,2.88,0,0,0,741.3

