Column1,Block,NR/2024/23427/C,NR/2024/23428/C,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/16/2535,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/8090,NR/30092023/26122029/SH-06,NR/2024/23119/A/39686,NR/2024/23038/A/39411,NR/2024/23412/C,NR/2024/23393/A/39596,NR/2024/23217/A/39477,NR/2024/21658/A/39457,NR/2024/22874/A/39689,NR/2024/22754/A/39632,NR/2024/22848/A/39665,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119,NR/2024/23121/A/39687,NR/2024/22835/A/39699,NR/2024/22820/A/39423,NR/2024/23122/A/39685,NR/2024/22803/A/39690,NR/2024/23118/A/39684,NR/2024/23213/A/39476,NR/2024/23426/C,NR/2024/23214/A/39475,Total
5,01:00-01:15,162.89,29.96,32.86,24.16,8.3,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.68,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1266.9999999999998

6,01:15-01:30,162.89,29.96,32.86,24.16,8.3,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.68,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1266.9999999999998

7,01:30-01:45,162.89,29.96,32.86,24.16,8.3,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.68,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1266.9999999999998

8,01:45-02:00,162.89,29.96,32.86,24.16,8.3,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.68,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1266.9999999999998

9,02:00-02:15,162.89,29.96,32.86,24.16,8.21,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.68,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1266.9099999999999

10,02:15-02:30,162.89,29.96,32.86,24.16,8.21,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.68,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1266.9099999999999

11,02:30-02:45,162.89,29.96,32.86,24.16,8.21,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.68,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1266.9099999999999

12,02:45-03:00,162.89,29.96,32.86,24.16,8.21,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.68,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1266.9099999999999

13,03:00-03:15,162.89,29.96,0,24.16,8.12,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.63,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.91

14,03:15-03:30,162.89,29.96,0,24.16,8.12,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.63,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.91

15,03:30-03:45,162.89,29.96,0,24.16,8.12,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.63,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.91

16,03:45-04:00,162.89,29.96,0,24.16,8.12,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.63,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.91

17,04:00-04:15,162.89,29.96,0,24.16,8.03,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.58,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.77

18,04:15-04:30,162.89,29.96,0,24.16,8.03,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.58,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.77

19,04:30-04:45,162.89,29.96,0,24.16,8.03,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.58,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.77

20,04:45-05:00,162.89,29.96,0,24.16,8.03,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.58,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.77

21,05:00-05:15,162.89,29.96,0,24.16,8.03,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.58,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.77

22,05:15-05:30,162.89,29.96,0,24.16,8.03,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.58,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.77

23,05:30-05:45,162.89,29.96,0,24.16,8.03,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.58,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.77

24,05:45-06:00,162.89,29.96,0,24.16,8.03,0,163.08,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.58,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1233.77

25,06:00-06:15,162.89,29.96,0,24.16,7.93,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.68,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1016.3299999999999

26,06:15-06:30,162.89,29.96,0,24.16,7.93,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.68,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0.08,0,1016.41

27,06:30-06:45,162.89,29.96,0,24.16,7.93,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0,6.76,0.68,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0.27,0,1015.6299999999999

28,06:45-07:00,162.89,29.96,0,24.16,7.93,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,5.8,0.68,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0.77,0,1016.1399999999999

29,07:00-07:15,162.89,29.96,0,24.16,7.93,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,5.8,0.68,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,1.58,0,1016.9499999999999

30,07:15-07:30,162.89,29.96,0,24.16,7.93,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,5.8,0.68,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,2.26,0,1017.6299999999999

31,07:30-07:45,162.89,29.96,0,24.16,7.93,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,5.8,0.68,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,2.79,0,1018.1599999999999

32,07:45-08:00,162.89,29.96,0,24.16,7.93,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,5.8,0.68,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,3.4,0,1018.7699999999999

33,08:00-08:15,162.89,29.96,0,24.16,7.84,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,5.8,0.97,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,4.11,0,1019.6800000000001

34,08:15-08:30,162.89,29.96,0,24.16,7.84,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,1.93,5.8,0.97,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,4.71,0,1021.24

35,08:30-08:45,162.89,29.96,0,24.16,7.84,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,1.93,5.8,0.97,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,5.16,0,1021.6899999999999

36,08:45-09:00,162.89,29.96,0,24.16,7.84,0,0,24.08,96.64,8.78,24.08,26.35,3.87,241.6,0.97,6.76,0.97,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,5.37,0,1021.9000000000001

37,09:00-09:15,162.89,29.96,0,24.16,7.84,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,0.97,6.76,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,6.47,42.52,1123.7100000000003

38,09:15-09:30,162.89,29.96,0,24.16,7.84,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,0,7.73,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,6.05,42.52,1123.2900000000002

39,09:30-09:45,162.89,29.96,0,24.16,7.84,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,0.97,7.73,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,6.34,42.52,1124.5500000000002

40,09:45-10:00,162.89,29.96,0,24.16,7.84,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,0.97,7.73,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,6.82,42.52,1125.0300000000002

41,10:00-10:15,162.89,29.96,0,24.16,7.75,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,1.93,7.73,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,7.1,42.52,1126.18

42,10:15-10:30,162.89,29.96,0,24.16,7.75,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,1.93,7.73,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,6.78,42.52,1125.8600000000001

43,10:30-10:45,162.89,29.96,0,24.16,7.75,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,2.9,8.7,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,8.05,42.52,1129.0700000000002

44,10:45-11:00,162.89,29.96,0,24.16,7.75,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,2.9,8.7,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,6.66,42.52,1127.6800000000003

45,11:00-11:15,162.89,29.96,0,24.16,7.75,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,2.9,8.7,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,5.62,42.52,1126.64

46,11:15-11:30,162.89,29.96,0,24.16,7.75,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,7.17,42.52,1128.1800000000003

47,11:30-11:45,162.89,29.96,0,24.16,7.75,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,4.74,42.52,1131.4100000000003

48,11:45-12:00,162.89,29.96,0,24.16,7.75,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,6.47,42.52,1133.1400000000003

49,12:00-12:15,162.89,29.96,0,24.16,7.65,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,4.78,42.52,1131.3500000000001

50,12:15-12:30,162.89,29.96,0,24.16,7.65,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,4.14,42.52,1130.7100000000003

51,12:30-12:45,162.89,29.96,0,24.16,7.65,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,3.14,42.52,1129.7100000000003

52,12:45-13:00,162.89,29.96,0,24.16,7.65,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,6.6,42.52,1133.17

53,13:00-13:15,162.89,29.96,0,24.16,7.65,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,5.55,42.52,1132.1200000000001

54,13:15-13:30,162.89,29.96,0,24.16,7.65,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,6.03,42.52,1132.6000000000001

55,13:30-13:45,162.89,29.96,0,24.16,7.65,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,5.28,42.52,1131.8500000000001

56,13:45-14:00,162.89,29.96,0,24.16,7.65,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,4.05,42.52,1130.6200000000001

57,14:00-14:15,162.89,29.96,0,24.16,7.84,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,4.86,42.52,1131.6200000000001

58,14:15-14:30,162.89,29.96,0,24.16,7.84,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,5.7,42.52,1132.4600000000003

59,14:30-14:45,162.89,29.96,0,24.16,7.84,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,7.3,42.52,1134.0600000000002

60,14:45-15:00,162.89,29.96,0,24.16,7.84,0,0,26.91,96.64,12.45,26.91,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,5.56,42.52,1132.3200000000002

61,15:00-15:15,162.89,29.96,0,24.16,8.21,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,1.93,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,6.64,42.52,1128.1100000000004

62,15:15-15:30,162.89,29.96,0,24.16,8.21,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,2.9,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,6.56,42.52,1129.0000000000002

63,15:30-15:45,162.89,29.96,0,24.16,8.21,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,2.9,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,5.78,42.52,1128.2200000000003

64,15:45-16:00,162.89,29.96,0,24.16,8.21,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,2.9,9.66,0.97,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,4.78,42.52,1127.2200000000003

65,16:00-16:15,162.89,29.96,0,24.16,8.48,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,2.9,9.66,0.87,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,3.15,42.52,1125.7600000000002

66,16:15-16:30,162.89,29.96,0,24.16,8.48,0,0,24.08,96.64,12.45,24.08,37.33,3.87,241.6,2.9,9.66,0.87,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,2.33,37.21,1119.63

67,16:30-16:45,162.89,29.96,0,24.16,8.48,0,0,26.78,96.64,12.45,26.78,37.33,3.87,241.6,2.9,9.66,0.87,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,3.34,28.7,1117.5300000000002

68,16:45-17:00,162.89,29.96,0,24.16,8.48,0,0,26.78,96.64,12.45,26.78,37.33,3.87,241.6,2.9,9.66,0.87,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,10.63,2.15,21.07,1108.7100000000003

69,17:00-17:15,162.89,29.96,0,24.16,8.67,0,0,24.66,96.64,12.45,24.66,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,1.36,0,1072.1200000000001

70,17:15-17:30,162.89,29.96,0,24.16,8.67,0,0,24.66,96.64,12.45,24.66,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0.61,0,1071.3700000000001

71,17:30-17:45,162.89,29.96,0,24.16,8.67,0,0,16.67,96.64,12.45,16.67,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0.45,0,1055.2300000000002

72,17:45-18:00,162.89,29.96,0,24.16,8.67,0,0,16.67,96.64,12.45,16.67,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0.21,0,1054.9900000000002

73,18:00-18:15,162.89,29.96,0,24.16,8.67,0,0,32,96.64,12.45,1.35,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0.04,0,1054.8300000000002

74,18:15-18:30,162.89,29.96,0,24.16,8.67,0,0,32,96.64,12.45,1.35,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0.03,0,1054.8200000000002

75,18:30-18:45,162.89,29.96,0,24.16,8.67,0,0,32,96.64,12.45,1.35,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0,0,1054.7900000000002

76,18:45-19:00,162.89,29.96,0,24.16,8.67,0,0,32,96.64,12.45,1.35,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0,0,1054.7900000000002

77,19:00-19:15,162.89,29.96,0,24.16,8.67,0,0,32,96.64,12.45,32,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0,0,1085.44

78,19:15-19:30,162.89,29.96,0,24.16,8.67,0,0,32,96.64,12.45,32,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0,0,1085.44

79,19:30-19:45,162.89,29.96,0,24.16,8.67,0,0,32,96.64,12.45,32,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0,0,1085.44

80,19:45-20:00,162.89,29.96,0,24.16,8.67,0,0,32,96.64,12.45,32,37.33,3.87,241.6,2.9,9.66,0.82,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0,0,1085.44

81,20:00-20:15,162.89,29.96,0,24.16,8.58,0,0,32,96.64,12.45,32,37.33,3.87,241.6,1.93,9.66,0.77,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0,0,1084.3300000000002

82,20:15-20:30,162.89,29.96,0,24.16,8.58,0,0,32,96.64,12.45,32,37.33,3.87,241.6,1.93,9.66,0.77,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0,0,1084.3300000000002

83,20:30-20:45,162.89,29.96,0,24.16,8.58,0,0,32,96.64,12.45,32,37.33,3.87,241.6,1.93,9.66,0.77,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0,0,1084.3300000000002

84,20:45-21:00,162.89,29.96,0,24.16,8.58,0,0,32,96.64,12.45,32,37.33,3.87,241.6,2.9,8.7,0.77,0,0,83.9,2.42,24.75,37.33,90.84,4.83,37.33,96.64,12.45,0,0,0,1084.3400000000001

85,21:00-21:15,162.89,29.96,0,24.16,8.48,0,0,32,96.64,8.78,32,26.35,3.87,241.6,2.9,8.7,0.77,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1036.68

86,21:15-21:30,162.89,29.96,0,24.16,8.48,0,0,32,96.64,8.78,32,26.35,3.87,241.6,2.9,8.7,0.77,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1036.68

87,21:30-21:45,162.89,29.96,0,24.16,8.48,0,0,32,96.64,8.78,32,26.35,3.87,241.6,2.9,8.7,0.77,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1036.68

88,21:45-22:00,162.89,29.96,0,24.16,8.48,0,0,32,96.64,8.78,32,26.35,3.87,241.6,2.9,8.7,0.77,0,0,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1036.68

89,22:00-22:15,162.89,29.96,0,24.16,8.4,0,163.08,32,96.64,8.78,32,26.35,3.87,241.6,0.97,8.7,0.77,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1252.11

90,22:15-22:30,162.89,29.96,0,24.16,8.4,0,163.08,32,96.64,8.78,32,26.35,3.87,241.6,0.97,8.7,0.77,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1252.11

91,22:30-22:45,162.89,29.96,0,24.16,8.4,0,163.08,32,96.64,8.78,32,26.35,3.87,241.6,0.97,8.7,0.77,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1252.11

