Block,Time Block,BRBCL,BSIUL,CHAMERA1,NAPP,KKNP,MAPS,KKNPPU2,KUDGI,KOLDAM,KOTESHWR,JHAJJAR,KISHANGANGA,KHSTPP-I,KGSU1AND2,KGSU3AND4,KHSTPP-II,DULHASTI,DHAULIGNGA,FSTPP I & II,CHAMERA3,CHAMERA2,DADRT2,AURY_LF,ANTA_LF,DADRI_GF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,DADRI_RF,AURY_RF,ANTA_CRF,ANTA_RF,DADRI_LF,TelanganaSTPP,UNCHAHAR3,UNCHAHAR2,URI2,URI,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,TALA,TEHRI,TALST2,TANAKPUR,TANDA2,SIMHST2,SIMHST1,SEWA2,SINGRAULI,SINGRAULI_HYDRO,NLCTS2EXP,NNTPP,NLCEXP,NJPC,NLCIIST1,NLCIIST2,RAMPUR,RAPPC,RSTPSU1TO6,RAPPD,RSTPSU7,NTPL,PARBATI3,SALAL,PARBATI2,RIHAND3,RAPPB,RIHAND2,SASAN,RIHAND1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
10,02:15-02:30,10.69,6.3,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,26.91,0,0,95.17,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.83,24.49,36.81,49.07,0,11.34,1.05,4.54,29.3,0,6.06,3.96,0,0,5.82,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,81.38,47.18,51.14,0,96.23,326.06,64.91,0,0,0,0,0

11,02:30-02:45,10.63,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,26.91,0,0,101.79,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.83,24.49,36.81,49.07,0,11.34,1.05,4.54,29.3,0,6.06,3.96,0,0,5.82,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,81.38,42.1,51.14,0,96.23,326.06,64.91,0,0,0,0,0

12,02:45-03:00,12.74,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,26.91,0,0,114.96,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.83,24.49,36.81,49.07,0,11.34,1.05,4.54,29.3,0,6.06,3.96,0,0,5.82,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,81.38,42.1,51.14,0,96.23,326.06,64.91,0,0,0,0,0

13,03:00-03:15,16.6,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.65,0,0,90.39,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84,24.56,36.81,49.07,0,11.34,1.05,1.99,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,51.14,0,96.23,326.06,64.91,0,0,0,0,0

14,03:15-03:30,18.67,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.65,0,0,94.03,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84,24.56,36.81,49.07,0,11.34,1.05,1.99,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,51.14,0,96.23,326.06,64.91,0,0,0,0,0

15,03:30-03:45,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.65,0,0,92.84,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84,24.56,36.81,49.07,0,11.34,1.05,1.99,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,51.14,0,96.23,326.06,64.91,0,0,0,0,0

16,03:45-04:00,18.85,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.65,0,0,92.1,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84,24.56,36.81,49.07,0,11.34,1.05,2.25,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,51.14,0,96.23,326.06,64.91,0,0,0,0,0

17,04:00-04:15,18.82,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.65,0,0,106.26,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84,24.56,36.81,49.07,0,11.34,1.05,2.67,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

18,04:15-04:30,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.65,0,0,106.62,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84,24.56,36.81,49.07,0,11.34,1.05,2.52,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

19,04:30-04:45,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.65,0,0,105.69,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,24.4,36.81,49.07,0,11.34,1.05,2.07,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,37.06,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

20,04:45-05:00,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.65,0,0,104.62,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,24.4,36.81,49.07,0,11.34,1.05,2.02,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,37.06,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

21,05:00-05:15,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.65,0,0,80.69,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,24.4,36.81,49.07,0,11.34,1.05,2.71,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,37.06,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

22,05:15-05:30,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.65,0,0,89.33,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,24.4,36.81,49.07,0,11.34,1.05,2.52,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,37.06,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

23,05:30-05:45,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.81,0,0,104.41,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,24.74,36.81,49.07,0,11.34,1.05,2.3,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,37.06,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

24,05:45-06:00,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.81,0,0,103.81,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,24.74,36.81,49.07,0,11.34,1.05,1.99,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,37.06,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

25,06:00-06:15,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,33.43,0,0,97.9,56.7,10.58,11.57,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,17.81,28.67,36.81,49.07,0,13.55,1.05,1.99,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

26,06:15-06:30,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,33.57,0,0,97.9,56.7,10.58,11.57,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,17.81,28.67,36.81,49.07,0,13.55,1.05,1.99,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

27,06:30-06:45,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.81,0,0,85.93,56.7,21.14,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,24.74,36.81,49.07,0,11.34,1.05,1.99,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

28,06:45-07:00,19.32,12.6,40.72,24.52,0,0,0,0,9.26,20.14,236.23,8.34,24.81,0,0,82.1,56.7,21.14,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,24.74,36.81,49.07,0,11.34,1.05,3.28,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

29,07:00-07:15,19.32,12.6,40.72,24.52,0,0,0,0,9.26,10.08,236.23,8.34,27.97,0,0,78.8,56.7,21.14,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,49.07,0,11.34,1.05,2.56,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

30,07:15-07:30,19.32,12.6,40.72,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,78.8,56.7,21.14,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,49.07,0,11.34,1.05,2.56,29.3,0,4.83,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

31,07:30-07:45,19.32,12.6,40.72,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,78.8,56.7,21.14,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,49.07,0,11.34,1.05,0,29.3,0,5.2,3.96,0,0,0,130.6,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,92.72,0,96.23,326.06,64.91,0,0,0,0,0

32,07:45-08:00,19.32,12.6,40.72,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,78.8,56.7,31.72,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,49.07,0,11.34,1.05,0,29.3,0,5.2,3.96,0,0,0,84.81,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,72.88,0,69,326.06,54.12,0,0,0,0,0

33,08:00-08:15,19.32,12.6,40.72,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,96.9,56.7,31.72,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0,29.3,0,5.2,3.96,0,0,0,84.81,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,73.67,0,69.88,327.47,54.91,0,0,0,0,0

34,08:15-08:30,19.32,12.6,40.72,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,96.9,56.7,31.72,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0,29.3,0,5.2,3.96,0,0,0,84.81,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,73.67,0,70.19,331.49,54.91,0,0,0,0,0

35,08:30-08:45,19.32,12.6,40.72,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,96.9,56.7,31.72,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0.85,29.3,0,5.2,3.96,0,0,0,85.08,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,74.05,0,70.35,331.49,55.12,0,0,0,0,0

36,08:45-09:00,19.32,12.6,40.72,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,96.9,56.7,31.72,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0.85,29.3,0,5.2,3.96,0,0,0,85.08,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,74.05,0,70.29,331.49,55.12,0,0,0,0,0

37,09:00-09:15,19.32,12.6,40.72,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,96.9,56.7,31.72,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0.85,29.3,0,5.2,3.96,0,0,0,85.08,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,74.05,0,72.91,331.49,55.12,0,0,0,0,0

38,09:15-09:30,19.32,12.6,40.72,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,96.9,56.7,31.72,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0.85,29.3,0,5.2,3.96,0,0,0,85.08,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,74.05,0,76.19,331.49,55.12,0,0,0,0,0

39,09:30-09:45,19.32,12.6,40.72,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,96.9,56.7,31.72,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0.85,29.3,0,5.2,3.96,0,0,0,85.08,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,74.05,0,80.62,259.03,55.12,0,0,0,0,0

40,09:45-10:00,19.32,12.6,23.05,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,96.9,56.7,31.72,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0.85,29.3,0,5.2,3.96,0,0,0,85.08,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,42.1,74.05,0,80.62,203.49,55.12,0,0,0,0,0

41,10:00-10:15,19.32,12.6,23.05,24.52,0,0,0,0,9.26,10.08,236.23,8.34,28.04,0,0,96.9,56.7,31.72,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0.85,29.3,0,5.2,3.96,0,0,0,79.89,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,39.93,69.49,0,66.2,238.51,51.67,0,0,0,0,0

42,10:15-10:30,19.32,12.6,23.05,24.52,0,0,0,0,4.53,0,236.23,8.34,28.04,0,0,96.9,56.7,10.58,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0.85,0,0,5.2,3.96,0,0,0,79.89,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,39.93,69.49,0,66.2,247.09,51.67,0,0,0,0,0

43,10:30-10:45,19.32,6.3,11.45,24.52,0,0,0,0,3.75,0,236.23,8.34,28.04,0,0,96.9,56.7,0,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0.85,0,0,5.2,3.96,0,0,0,79.89,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,39.93,69.49,0,78.22,193.83,55.14,0,0,0,0,0

44,10:45-11:00,19.32,6.3,0,24.52,0,0,0,0,1.98,0,236.23,8.34,28.04,0,0,96.9,56.7,0,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,51.19,0,11.34,1.05,0.85,0,0,5.2,3.96,0,0,0,79.89,1.07,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,41.5,77.46,39.93,69.49,0,78.22,193.83,55.88,0,0,0,0,0

45,11:00-11:15,19.32,6.3,0,24.52,0,0,0,0,1.98,0,236.23,8.34,28.04,0,0,96.9,49.24,0,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,30.73,32,0,11.34,1.05,0.85,0,0,5.2,3.96,0,0,0,79.89,1.07,0,0,0,151.49,0,0,5.84,65.58,0,18.49,0,0,37.95,77.46,39.93,69.49,0,78.22,193.83,56.63,0,0,0,0,0

46,11:15-11:30,19.06,6.3,0,24.52,0,0,0,0,1.98,0,236.23,8.34,28.04,0,0,96.9,49.24,0,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,30.73,32,0,11.34,1.05,0.85,0,0,5.2,3.96,0,0,0,79.89,1.07,0,0,0,151.49,0,0,5.84,65.58,0,18.49,0,0,37.95,77.46,39.93,69.49,0,78.22,193.83,58,0,0,0,0,0

47,11:30-11:45,19.32,6.3,0,24.52,0,0,0,0,1.98,0,236.23,8.34,28.04,0,0,97.89,49.24,0,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,30.73,32,0,11.34,1.05,1.7,29.3,0,5.2,3.96,0,0,0,82.12,1.07,0,0,0,151.49,0,0,5.84,65.58,0,18.49,0,0,37.95,77.46,39.93,69.49,0,78.22,219.12,62.75,0,0,0,0,0

48,11:45-12:00,19.32,6.3,0,24.52,0,0,0,0,1.98,10.08,236.23,8.34,28.04,0,0,97.89,49.24,0,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,30.73,32,0,11.34,1.05,1.7,29.3,0,5.2,3.96,0,0,0,89.34,1.07,0,0,0,151.49,0,0,5.84,65.58,0,18.49,0,0,37.95,77.46,39.93,69.49,0,78.22,265.2,62.75,0,0,0,0,0

49,12:00-12:15,19.32,6.3,0,24.52,0,0,0,0,1.98,10.08,236.23,8.34,28.04,0,0,97.89,49.24,0,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,32,0,11.34,1.05,1.7,29.3,0,5.2,3.96,0,0,0,89.34,1.09,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,37.95,77.46,39.93,69.49,0,78.22,309.38,62.75,0,0,0,0,0

50,12:15-12:30,19.32,6.3,0,24.52,0,0,0,0,1.98,10.08,236.23,8.34,28.04,0,0,97.89,49.24,0,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,32,0,11.34,1.05,1.7,29.3,0,5.2,3.96,0,0,0,89.34,1.09,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,37.95,77.46,39.93,69.49,0,78.22,309.38,62.75,0,0,0,0,0

51,12:30-12:45,19.32,6.3,12.21,24.52,0,0,0,0,1.98,10.08,236.23,8.34,28.04,0,0,97.89,56.7,0,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,32,0,11.34,1.05,1.7,29.3,0,5.2,3.96,0,0,0,89.34,1.09,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,37.95,77.46,39.93,69.49,0,78.22,309.38,62.75,0,0,0,0,0

52,12:45-13:00,19.32,6.3,23.66,24.52,0,0,0,0,1.98,10.08,236.23,8.34,28.04,0,0,97.89,56.7,0,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,49.28,0,11.34,1.05,1.7,29.3,0,5.2,3.96,0,0,0,89.34,1.09,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,32.62,77.46,39.93,69.49,0,78.22,309.38,62.75,0,0,0,0,0

53,13:00-13:15,19.32,6.3,23.66,24.52,0,0,0,0,6.95,10.08,236.23,8.34,28.04,0,0,96.9,56.7,0,9.26,33.84,47.16,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,26.68,36.81,49.28,0,11.34,1.05,1.7,29.3,0,5.2,3.96,0,0,0,79.89,1.09,0,0,0,174.76,0,0,6.74,65.58,0,18.49,0,0,32.62,77.46,39.93,70.53,0,78.22,331.49,56.16,0,0,0,0,0

