Column1,Time,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,NR/01102023/19072037/LT-05,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/9582,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/16/2350,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/10/01/8106,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/16/4393,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9072,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/01/6101,NR/01102023/31052040/LT-31
11,02:30-02:45,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,16.61,70.29,0,12.42,272.57,28.26,30.57,0,12.42,2.99,26.87,0,3.34,69.41,2.97,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

12,02:45-03:00,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,15.21,70.29,0,12.42,272.57,28.26,30.57,0,12.42,2.99,26.87,0,3.34,69.41,2.97,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

13,03:00-03:15,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,14.41,70.29,0,12.42,272.57,28.26,30.57,0,12.42,2.99,26.87,0,3.26,69.41,2.97,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

14,03:15-03:30,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,13.21,70.29,0,12.42,272.57,28.26,30.57,0,12.42,2.99,26.87,0,3.26,69.41,2.97,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

15,03:30-03:45,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,24.61,70.29,0,12.42,272.57,28.26,30.57,0,12.42,2.99,26.87,0,3.26,69.41,2.97,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

16,03:45-04:00,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,23.61,70.29,0,12.42,272.57,28.26,30.57,0,12.42,2.99,26.87,0,3.26,69.41,2.97,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

17,04:00-04:15,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,21.21,70.29,0,12.42,272.57,29.27,30.57,0,12.42,2.99,26.87,0,3.26,69.41,2.97,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

18,04:15-04:30,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,20.41,70.29,0,12.42,272.57,29.27,30.57,0,12.42,2.99,26.87,0,3.18,69.41,2.97,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

19,04:30-04:45,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,19.01,70.29,0,12.42,272.57,28.77,30.57,0,12.42,2.99,26.87,0,3.18,69.41,2.97,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

20,04:45-05:00,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,16.81,70.29,0,12.42,272.57,28.77,30.57,0,12.42,2.99,26.87,0,3.18,69.41,2.97,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

21,05:00-05:15,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,16.01,70.29,0,12.42,272.57,28.77,30.57,0,12.42,2.99,26.87,0,3.18,69.41,2.87,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

22,05:15-05:30,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,15.61,70.29,0,12.42,272.57,28.77,30.57,0,12.42,2.99,26.87,0,3.18,69.41,2.87,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

23,05:30-05:45,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,15.01,70.29,0,12.42,272.57,28.77,30.57,0,12.42,2.99,26.87,0,3.18,69.41,2.87,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

24,05:45-06:00,6.66,0,0,6.67,20,6,0,0,12.86,12.86,0,0,0,0,0,0,0,0,13.81,70.29,0,12.42,272.57,28.77,30.57,0,12.42,2.99,26.87,0,3.18,69.41,2.87,169.79,26.87,37.24,91.71,5.16,37.24,0,37.24,0

25,06:00-06:15,6.66,0,8.48,6.67,20,6,9.08,3,12.86,12.86,0,0,0,0,0,0,0,1,12.01,70.29,0,12.42,272.57,28.26,0,0,12.42,2.99,26.87,0,3.1,69.41,2.87,169.79,26.87,37.24,0,5.16,37.24,0,37.24,0

26,06:15-06:30,6.66,0.02,18.15,6.67,20,6,19.42,9,12.86,12.86,0,0,0,0,0,1,1,2,10.8,70.29,0,12.42,272.57,28.26,0,0,12.42,2.99,26.87,0,3.1,69.41,2.87,169.79,26.87,37.24,0,5.16,37.24,0,37.24,0

27,06:30-06:45,6.66,3.21,30.23,6.67,20,6,31.68,12,12.86,12.86,0.09,2,0,0.47,1,3,4,5,9.6,70.29,0,12.42,272.57,27.25,0,0.4,12.42,2.99,26.87,0,3.1,69.41,2.87,169.79,26.87,37.24,0,5.16,37.24,0.39,37.24,0.39

28,06:45-07:00,6.66,9.06,33,6.67,20,6,33,15,12.86,12.86,0.46,3,2,2.3,3,4,7,8,8.6,70.29,0,12.42,272.57,27.25,0,0.72,12.42,2.99,26.87,0,3.1,69.41,2.87,169.79,26.87,37.24,0,5.16,37.24,0.7,37.24,0.7

29,07:00-07:15,6.66,16.66,32.5,6.67,20,6,32.5,18,12.74,12.74,1.62,7,5,8.1,6,5,14,10,8.4,70.29,0,12.42,272.57,26.24,0,1.2,12.42,2.99,26.87,0,3.1,86.95,2.87,169.79,26.87,37.24,0,5.16,37.24,1.17,37.24,1.17

30,07:15-07:30,6.66,25.43,33,6.67,20,6,33,25,12.74,12.74,3.19,10,7,15.95,10,7,25,15,8.4,70.29,0,12.42,272.57,26.24,0,2.28,12.42,2.99,26.87,0,3.1,67.99,2.87,169.79,26.87,37.24,0,5.16,37.24,2.23,37.24,2.23

31,07:30-07:45,6.66,34.73,32.5,6.67,20,6,32.5,32.5,12.74,12.74,6.36,15,9,31.8,16,10,39,20,8.4,70.29,0,12.42,272.57,26.24,0,3.1,12.42,2.99,26.87,0,3.1,67.99,2.87,169.79,26.87,37.24,0,5.16,37.24,3.03,37.24,3.03

32,07:45-08:00,6.66,44.27,32.83,6.67,20,6,32.84,32.83,12.74,12.74,9.95,19,13,49.75,22,13,53,27,8,70.29,0,12.42,272.57,26.24,0,3.92,12.42,2.99,26.87,0,3.1,67.99,2.87,169.79,26.87,37.24,0,5.16,37.24,3.82,37.24,3.82

33,08:00-08:15,6.66,53.73,33,6.67,20,6,33,33,12.74,12.74,13.52,28,18,67.61,28,16,67,34,7.8,70.29,0,12.42,243.66,27.25,0,4.87,12.42,2.91,26.87,0,3.1,67.99,2.87,169.79,26.87,37.24,0,5.16,37.24,4.76,37.24,4.76

34,08:15-08:30,6.66,63.18,33,6.67,20,6,33,33,12.74,12.74,17.45,36,22,87.26,34,19,81,41,7.8,70.29,0,12.42,243.66,27.25,0,5.83,12.42,2.91,26.87,0,3.1,67.99,2.87,169.79,26.87,37.24,0,5.16,37.24,5.68,37.24,5.68

35,08:30-08:45,6.66,72.11,33,6.67,20,0,33,33,15,15,21.26,45,26,106.3,40,23,95,48,7.4,70.29,0,12.42,243.76,27.25,0,6.78,12.42,2.91,26.87,0,3.1,67.99,2.87,205.86,26.87,37.24,0,5.16,37.24,6.61,37.24,6.61

36,08:45-09:00,6.66,80.71,33,6.67,20,0,33,33,15,15,24.82,52,29,124.12,46,27,109,55,7.2,70.29,0,12.42,243.76,28.26,0,7.73,12.42,2.91,26.87,0,3.1,67.99,2.87,205.86,26.87,37.24,0,5.16,37.24,7.53,37.24,7.53

37,09:00-09:15,6.66,89.16,33,6.67,20,0,33,33,12.67,12.67,28.13,62,31,140.66,52,30,123,63,8.4,66.13,0,12.42,243.76,28.26,0,8.56,12.42,2.91,26.87,0,2.8,67.99,2.87,205.86,26.87,37.24,0,5.16,37.24,8.35,37.24,8.35

38,09:15-09:30,6.66,96.68,33,6.67,20,0,33,33,12.67,12.67,31.29,67,34,156.48,58,33,137,69,8.4,66.13,0,12.42,243.76,28.26,0,9.44,12.42,2.91,26.87,0,2.8,67.99,2.87,205.86,26.87,37.24,0,5.16,37.24,9.21,37.24,9.21

39,09:30-09:45,6.66,103.66,33,6.67,20,0,33,33,6,6,34.07,73,36,170.37,64,36,151,74,8,66.13,0,12.42,243.76,28.77,0,10.34,12.42,2.91,26.87,0,2.8,67.99,2.87,205.86,26.87,37.24,0,5.16,37.24,10.08,37.24,10.08

40,09:45-10:00,6.66,110.11,33,6.67,20,0,33,33,6.67,6.67,36.9,80,38,184.52,69,38,161,80,8,66.13,0,12.42,243.76,28.77,0,11.49,12.42,2.91,26.87,0,2.8,67.99,2.87,205.86,26.87,37.24,0,5.16,37.24,11.2,37.24,11.2

41,10:00-10:15,6.66,115.61,33,6.67,20,0,33,33,6.67,6.67,39.52,83,40,197.59,73,40,172,85,11.2,66.13,0,12.42,243.76,28.77,0,12.12,12.42,2.91,26.87,0,2.8,67.99,2.97,205.86,26.87,37.24,0,5.16,37.24,11.82,37.24,11.82

42,10:15-10:30,6.66,119.97,33,6.67,20,0,33,33,6.67,6.67,41.95,88,42,209.75,78,43,182,89,11.61,66.13,0,12.42,243.76,28.26,0,13.25,12.42,2.91,26.87,0,2.8,67.99,2.97,205.86,26.87,37.24,0,5.16,37.24,12.92,37.24,12.92

43,10:30-10:45,6.66,123.63,33,6.67,20,0,33,33,6.33,6.33,44.26,89,43,221.33,81,44,189,91,12.01,66.13,0,12.42,243.76,27.75,0,13.94,12.42,2.91,26.87,0,2.8,86.95,2.97,234.78,26.87,37.24,0,5.16,37.24,13.6,37.24,13.6

44,10:45-11:00,6.66,126.31,33,6.67,20,0,33,33,6.33,6.33,46.44,90,44,232.2,84,45,196,95,12.41,66.13,0,12.42,243.76,27.75,0,14.7,12.42,2.91,26.87,0,2.8,86.95,2.97,234.78,26.87,37.24,0,5.16,37.24,14.34,37.24,14.34

45,11:00-11:15,6.66,128.74,33,6.67,20,0,33,33,6.33,6.33,46.67,91,45,233.33,84,45,196,95,9.4,66.13,0,12.42,243.76,27.75,0,15.35,12.42,2.91,26.54,0,2.87,86.95,2.97,234.78,26.54,37.24,0,5.06,37.24,14.97,37.24,14.97

46,11:15-11:30,6.66,130.6,33,6.67,20,0,33,33,6.33,6.33,46.67,91,45,233.33,84,45,196,95,9.8,66.13,0,12.42,243.76,27.75,0,15.69,12.42,2.91,24.8,0,2.87,86.95,2.97,234.78,24.8,37.24,0,5.06,37.24,15.31,37.24,15.31

47,11:30-11:45,6.66,131.81,33,6.67,20,0,33,33,6.33,6.33,46.67,91,46,233.33,84,45,196,95,9.8,66.13,0,12.42,243.76,27.75,0,15.69,12.42,2.91,24.8,0,2.87,86.95,2.97,234.78,24.8,37.24,0,5.06,37.24,15.31,37.24,15.31

48,11:45-12:00,7.16,132.83,33,7.17,21.5,0,33,33,6.33,6.33,46.67,91,46,233.33,84,45,196,95,10.2,66.13,0,12.42,243.76,27.75,0,15.69,12.42,2.91,24.8,0,2.87,86.95,2.97,234.78,24.8,37.24,0,5.06,37.24,15.31,37.24,15.31

49,12:00-12:15,7.16,133.52,33,7.17,21.5,0,33,33,6.33,6.33,46.67,91,46,233.33,84,45,196,95,7.8,70.29,0,12.42,243.76,27.75,0,15.69,12.42,2.91,24.8,0,2.87,86.95,3.06,234.78,24.8,37.24,0,5.06,37.24,15.31,37.24,15.31

50,12:15-12:30,7.16,133.32,33,7.17,21.5,0,33,33,6.33,6.33,46.67,91,46,233.33,84,45,196,95,7.8,70.29,0,12.42,243.76,27.75,0,15.69,12.42,2.91,24.8,0,2.87,86.95,3.06,234.78,24.8,37.24,0,5.06,37.24,15.31,37.24,15.31

51,12:30-12:45,7.16,132.53,33,7.17,21.5,0,33,33,6.33,6.33,46.67,91,46,233.33,84,45,196,95,10.6,70.29,0,12.42,243.76,27.75,0,15.69,12.42,2.91,8.28,0,2.87,86.95,3.06,234.78,8.28,37.24,0,5.06,37.24,15.31,37.24,15.31

52,12:45-13:00,7.16,131.18,33,7.17,21.5,0,33,33,6.33,6.33,46.67,91,46,233.33,84,45,196,95,11,70.29,0,12.42,243.76,27.75,0,15.69,12.42,2.91,8.28,0,2.87,86.95,3.06,234.78,8.28,37.24,0,5.06,37.24,15.31,37.24,15.31

53,13:00-13:15,7.16,128.71,33,7.17,21.5,0,33,33,6.33,6.33,46.67,91,45,233.33,84,45,196,95,11.41,70.29,0,12.42,231.36,27.75,0,15.69,12.42,2.91,14.58,0,2.95,67.99,3.06,205.86,14.58,37.24,0,5.06,37.24,15.31,37.24,15.31

54,13:15-13:30,7.16,125.08,33,7.17,21.5,0,33,33,6.33,6.33,46.67,91,44,233.33,84,45,196,95,11.41,70.29,0,12.42,212.08,27.75,0,15.69,12.42,2.91,14.58,0,2.95,67.99,3.06,205.86,14.58,37.24,0,5.06,37.24,15.31,37.24,15.31

55,13:30-13:45,7.16,120.76,33,7.17,21.5,0,33,33,9,9,46.67,90,42,233.33,82,45,193,93,11.81,70.29,0,12.42,192.8,28.26,0,15.69,12.42,2.91,19.58,0,2.95,67.99,3.06,205.86,19.58,37.24,0,5.06,37.24,15.31,37.24,15.31

56,13:45-14:00,7.16,115.56,33,7.17,21.5,0,33,33,9,9,46.67,90,42,233.33,81,43,189,91,11.81,70.29,0,12.42,192.8,28.26,0,14.75,12.42,2.91,17.08,0,2.95,67.99,3.06,205.86,17.08,37.24,0,5.06,37.24,14.4,37.24,14.4

57,14:00-14:15,7.16,110.08,33,7.17,21.5,0,33,33,14,14,46.67,85,38,233.33,79,41,186,87,12.21,70.29,0,12.42,192.8,28.26,0,14.33,12.42,3.07,29.04,0,3.03,67.99,3.15,205.86,29.04,37.24,0,5.06,37.24,13.98,37.24,13.98

58,14:15-14:30,7.16,104.12,33,7.17,21.5,0,33,33,14,14,46.44,82,37,232.2,78,40,182,83,12.21,70.29,0,12.42,192.8,28.26,0,13.78,12.42,3.07,27.3,0,3.03,67.99,3.15,205.86,27.3,37.24,0,5.06,37.24,13.45,37.24,13.45

59,14:30-14:45,7.16,97.75,33,7.17,21.5,0,33,33,14,14,39.35,78,35,196.75,73,38,172,79,12.61,70.29,0,12.42,192.8,29.27,0,13.42,12.42,3.07,18.28,0,3.03,67.99,3.15,205.86,18.28,37.24,0,5.06,37.24,13.09,37.24,13.09

60,14:45-15:00,7.16,91,33,7.17,21.5,0,33,33,14,14,37.57,73,34,187.86,69,36,161,74,12.81,70.29,0,12.42,212.08,30.28,0,12.78,12.42,3.07,9.28,0,3.03,67.99,3.15,205.86,9.28,37.24,0,5.06,37.24,12.46,37.24,12.46

61,15:00-15:15,7.16,84.55,33,7.17,21.5,0,33,33,14,14,35.58,67,30,177.92,64,33,151,69,10.2,70.29,0,12.42,231.36,30.28,0,11.9,12.42,3.22,9.28,0,3.1,67.99,3.15,205.86,9.28,37.24,0,5.06,37.24,11.61,37.24,11.61

62,15:15-15:30,7.16,76.88,33,7.17,21.5,0,33,33,14,14,32.99,62,27,164.95,60,31,140,65,10.8,70.29,0,12.42,246.65,30.28,0,11.02,12.42,3.22,9.28,0,3.1,67.99,3.15,261.73,9.28,37.24,0,5.06,37.24,10.75,37.24,10.75

63,15:30-15:45,7.16,68.63,33,7.17,21.5,0,33,33,14,14,28.6,56,24,143.02,54,28,126,59,10.6,70.29,0,12.42,246.65,31.29,0,10.15,12.42,3.22,9.28,0,3.1,67.99,3.15,261.73,9.28,37.24,0,5.06,37.24,9.9,37.24,9.9

64,15:45-16:00,7.16,60.1,33,7.17,21.5,0,33,33,14,14,26.25,48,22,131.27,48,25,112,53,10.8,70.29,0,12.42,246.65,31.29,0,9.27,12.42,3.22,9.28,0,3.1,67.99,3.15,261.73,9.28,37.24,0,5.06,37.24,9.04,37.24,9.04

65,16:00-16:15,7.16,50.76,33,7.17,21.5,0,33,33,14,14,23.06,43,20,115.32,42,19,98,41,10.8,66.13,0,12.42,272.57,31.29,0,8.23,12.42,3.45,4.28,0,3.26,86.95,3.15,261.73,4.28,37.24,0,5.06,37.24,8.03,37.24,8.03

66,16:15-16:30,7.16,41,33,7.17,21.5,0,33,33,14,14,19.74,37,16,98.68,36,16,84,34,11,66.13,0,12.42,272.57,31.29,0,7.4,12.42,3.45,4.28,0,3.26,86.95,3.15,261.73,4.28,37.24,0,5.06,37.24,7.22,37.24,7.22

67,16:30-16:45,7.16,31.43,33,7.17,21.5,0,33,33,14,14,14.61,30,12,73.05,30,12,70,26,10.6,66.13,0,12.42,272.57,31.29,0,6.52,12.42,3.45,1.78,0,3.26,86.95,3.15,261.73,1.78,37.24,0,5.06,37.24,6.37,37.24,6.37

68,16:45-17:00,7.16,22.92,33,7.17,21.5,0,33,21,14,14,11.19,23,11,55.97,24,9,56,18,10.8,66.13,0,12.42,272.57,31.29,0,5.56,12.42,3.45,1.78,0,3.26,86.95,3.15,261.73,1.78,37.24,0,5.06,37.24,5.41,37.24,5.41

69,17:00-17:15,7.16,15.25,29.61,7.17,21.5,0,31.16,15,14,14,8.62,19,7,43.11,19,6,46,14,12.41,66.13,0,12.42,272.57,31.29,0,4.62,12.42,3.61,1.78,0,3.49,80.98,3.15,261.73,1.78,37.24,0,5.06,37.24,4.51,37.24,4.51

70,17:15-17:30,7.16,8.31,13.27,7.17,21.5,0,13.34,8,14,14,6.25,13,5,31.24,12,4,28,8,12.21,66.13,0,12.42,272.57,31.29,0,3.77,12.42,3.61,1.78,0,3.49,80.98,3.15,261.73,1.78,37.24,0,5.06,37.24,3.68,37.24,3.68

71,17:30-17:45,7.16,0.69,2.16,7.17,21.5,0,1.23,2,14.33,14.33,3.24,10,2,16.21,6,2,14,4,15.61,66.13,0,12.42,272.57,31.29,0,2.87,12.42,3.61,31.59,0,3.49,80.98,3.15,261.73,0,37.24,0,5.06,37.24,2.81,37.24,2.81

72,17:45-18:00,7.16,0,0,7.17,21.5,0,0,0,14.33,14.33,1.62,8,0,8.13,3,0,7,1,15.61,66.13,0,12.42,272.57,31.29,0,2.07,12.42,3.61,31.59,0,3.49,80.98,3.15,261.73,0,37.24,0,5.06,37.24,2.02,37.24,2.02

73,18:00-18:15,7.16,0,0,7.17,21.5,0,0,0,14.33,14.33,0.66,4,0,3.29,1,0,2,0,15.21,115.26,120.5,12.42,272.57,31.29,0,1.59,12.42,3.68,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.16,37.24,1.55,37.24,1.55

74,18:15-18:30,7.16,0,0,7.17,21.5,0,0,0,14.33,14.33,0.19,2,0,0.97,0,0,0,0,15.01,115.26,120.5,12.42,272.57,31.29,0,1.13,12.42,3.68,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.16,37.24,1.1,37.24,1.1

75,18:30-18:45,7.16,0,0,7.17,21.5,0,0,0,14.33,14.33,0,0,0,0,0,0,0,0,14.81,115.26,120.5,12.42,272.57,31.29,0,0.57,12.42,3.68,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.16,37.24,0.55,37.24,0.55

76,18:45-19:00,7.16,0,0,7.17,21.5,0,0,0,14.33,14.33,0,0,0,0,0,0,0,0,14.61,115.26,120.5,12.42,272.57,31.29,0,0.21,12.42,3.68,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.16,37.24,0.2,37.24,0.2

77,19:00-19:15,6.85,0,0,6.83,20.5,6.25,0,0,14,14,0,0,0,0,0,0,0,0,12.81,115.26,120.5,12.42,272.57,31.29,0,0,12.42,3.53,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.24,37.24,0,37.24,0

78,19:15-19:30,6.85,0,0,6.83,20.5,6.25,0,0,14,14,0,0,0,0,0,0,0,0,13.41,115.26,120.5,12.42,272.57,31.29,0,0,12.42,3.53,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.24,37.24,0,37.24,0

79,19:30-19:45,6.85,0,0,6.83,20.5,6.66,0,0,14,14,0,0,0,0,0,0,0,0,14.01,115.26,120.5,12.42,272.57,31.29,0,0,12.42,3.53,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.24,37.24,0,37.24,0

80,19:45-20:00,6.85,0,0,6.83,20.5,6.66,0,0,14,14,0,0,0,0,0,0,0,0,15.61,115.26,120.5,12.42,272.57,31.29,0,0,12.42,3.53,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.24,37.24,0,37.24,0

81,20:00-20:15,6.85,0,0,6.83,20.5,6.66,0,0,14,14,0,0,0,0,0,0,0,0,17.61,66.13,192.8,12.42,272.57,31.29,0,0,12.42,3.45,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.24,37.24,0,37.24,0

82,20:15-20:30,6.85,0,0,6.83,20.5,6.66,0,0,14,14,0,0,0,0,0,0,0,0,18.01,66.13,192.8,12.42,272.57,31.29,0,0,12.42,3.45,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.24,37.24,0,37.24,0

83,20:30-20:45,6.85,0,0,6.83,20.5,6.66,0,0,14,14,0,0,0,0,0,0,0,0,20.01,66.13,192.8,12.42,272.57,31.29,0,0,12.42,3.45,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.24,37.24,0,37.24,0

84,20:45-21:00,6.85,0,0,6.83,20.5,6.66,0,0,14,14,0,0,0,0,0,0,0,0,21.81,66.13,192.8,12.42,272.57,31.29,0,0,12.42,3.45,31.5,0,3.49,80.98,3.06,261.73,31.5,37.24,0,5.24,37.24,0,37.24,0

