Block,Time Block,JHAJJAR,FSTPP I & II,DULHASTI,MAPS,BSIUL,CHAMERA3,BRBCL,CHAMERA2,CHAMERA1,DHAULIGNGA,DADRT2,KUDGI,KOTESHWR,KHSTPP-II,KISHANGANGA,KHSTPP-I,KGSU3AND4,KGSU1AND2,KOLDAM,KKNP,KKNPPU2,TEHRIPSP,URI2,UNCHAHAR3,TEHRI,ANTA_CRF,TelanganaSTPP,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,RIHAND2,RIHAND1,RAPPB,RSTPSU1TO6,RAPPD,RIHAND3,RAPPC,SASAN,TALA,SINGRAULI_HYDRO,SIMHST1,SIMHST2,RSTPSU7,TANDA2,SALAL,SEWA2,SINGRAULI,TALST2,TANAKPUR,NAPP,NNTPP,NTPL,PARBATI3,PARBATI2,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,RAMPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,196.42,20.02,53.3,0,18.83,32.67,10,45.35,40.57,40.87,524.78,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,23.25,26.65,51.65,0,0,43.31,25.5,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.12,1.02,0,0,0,5.34,82.21,0,137.96,0,12.33,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

7,01:30-01:45,167.54,20.02,53.3,0,18.83,32.67,10.03,45.35,40.57,40.87,524.78,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,37.51,26.65,51.65,0,0,43.31,50.4,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.12,1.02,0,0,0,5.34,82.21,0,137.96,0,12.33,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

8,01:45-02:00,138.67,20.02,53.3,0,18.83,32.67,11.13,45.35,40.57,40.87,524.78,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,37.51,26.65,51.65,0,0,43.31,50.4,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.12,1.02,0,0,0,5.34,82.21,0,137.96,0,12.33,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

9,02:00-02:15,138.67,20.02,53.3,0,18.83,32.67,10.01,45.35,40.57,40.87,455,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,37.51,26.65,51.65,0,0,43.31,50.4,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.12,1.02,0,0,0,5.34,82.21,0,138.83,0,12.33,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

10,02:15-02:30,138.67,20.02,53.3,0,18.83,32.67,11.08,45.35,40.57,40.87,371.84,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,37.51,26.65,51.65,0,0,43.31,50.4,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.12,1.02,0,0,0,5.34,82.21,0,138.83,0,12.33,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

11,02:30-02:45,138.67,20.02,53.3,0,18.83,32.67,11.27,45.35,40.57,40.87,294.84,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,37.51,26.65,51.65,0,0,43.31,31.88,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.24,1.02,0,0,0,5.34,82.21,0,138.83,0,12.33,23.32,0,0,35.78,0,0,0,169.2,0,0,5.49,0,0,0,0,0

12,02:45-03:00,138.67,20.02,53.3,0,18.83,32.67,12.64,45.35,40.57,40.87,217.84,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,37.51,26.65,51.65,0,0,43.31,31.88,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.24,1.02,0,0,0,5.34,82.21,0,138.83,0,12.33,23.32,0,0,35.78,0,0,0,169.2,0,0,5.49,0,0,0,0,0

13,03:00-03:15,134.49,20.02,53.3,0,12.55,32.67,15.02,45.35,40.57,40.87,217.84,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,26.31,51.65,0,0,37.17,31.88,17.92,2.7,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.53,1.02,0,0,0,4.17,79.41,0,138.83,0,12.33,23.32,0,0,35.78,0,0,0,169.2,0,0,5.49,0,0,0,0,0

14,03:15-03:30,134.49,20.02,53.3,0,12.55,32.67,15.73,45.35,40.57,40.87,287.62,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,23.96,51.65,0,0,37.17,31.88,17.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.53,1.02,0,0,0,4.17,79.41,0,138.83,0,12.33,23.32,0,0,35.78,0,0,0,169.2,0,0,5.49,0,0,0,0,0

15,03:30-03:45,134.49,20.02,53.3,0,12.55,32.67,17.3,45.35,40.57,40.87,356.11,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.89,51.65,0,0,37.17,31.88,17.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.53,1.02,0,0,0,4.17,79.41,0,138.83,0,12.33,23.32,0,0,35.78,0,0,0,169.2,0,0,5.49,0,0,0,0,0

16,03:45-04:00,134.49,17.26,53.3,0,12.55,32.67,17.29,45.35,40.57,40.87,349.84,0,39.05,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.89,51.65,0,0,37.17,31.88,17.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.53,1.02,0,0,0,4.17,79.41,0,138.83,0,12.33,23.32,0,0,35.78,0,0,0,169.2,0,0,5.49,0,0,0,0,0

17,04:00-04:15,134.49,20.02,53.3,0,12.55,32.67,16.93,45.35,40.57,40.87,307.98,0,29.29,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,26.39,51.65,0,0,42.79,36.12,20.69,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.53,1.02,0,0,0,4.17,79.41,0,138.83,0,11.46,23.32,0,0,40.06,0,0,0,169.2,0,0,5.49,0,0,0,0,0

18,04:15-04:30,134.49,20.02,53.3,0,12.55,32.67,18.73,45.35,40.57,40.87,259.86,0,29.29,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,26.39,51.65,0,0,42.79,36.12,20.69,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.53,1.02,0,0,0,4.17,79.41,0,138.83,0,11.46,23.32,0,0,47.22,0,0,0,169.2,0,0,5.49,0,0,0,0,0

19,04:30-04:45,134.49,20.02,53.3,0,12.55,32.67,18.63,45.35,40.57,40.87,230.98,0,29.29,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.89,51.65,0,0,37.17,29.75,17.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.43,1.02,0,0,0,4.17,79.41,0,138.83,0,11.46,23.32,0,0,47.22,0,0,0,169.2,0,0,5.49,0,0,0,0,0

20,04:45-05:00,134.49,20.02,53.3,0,12.55,32.67,18.83,45.35,40.57,40.87,271.89,0,29.29,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.89,51.65,0,0,37.17,29.75,17.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.18,1.02,0,0,0,4.17,79.41,0,138.83,0,11.46,23.32,0,0,40.06,0,0,0,169.2,0,0,5.49,0,0,0,0,0

21,05:00-05:15,134.49,20.02,53.3,0,12.55,32.67,24.05,45.35,40.57,40.87,377.76,0,19.53,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.89,51.65,0,0,37.17,29.75,17.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,27.83,1.02,0,0,0,4.17,79.41,0,138.83,0,11.46,23.32,0,0,32.91,0,0,0,169.2,0,0,5.49,0,0,0,0,0

22,05:15-05:30,134.49,20.02,53.3,0,12.55,32.67,24.05,45.35,40.57,40.87,338.06,0,19.53,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.89,51.65,0,0,37.17,29.75,17.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,27.61,1.02,0,0,0,4.17,79.41,0,138.83,0,11.46,23.32,0,0,32.91,0,0,0,169.2,0,0,5.49,0,0,0,0,0

23,05:30-05:45,134.49,20.02,53.3,0,12.55,32.67,23.13,45.35,40.57,40.87,318.81,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.89,51.65,0,0,37.17,29.75,17.92,2.35,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,27.22,1.02,0,0,0,3.64,79.41,0,138.83,0,11.46,23.32,0,0,32.91,0,0,0,169.2,0,0,5.49,0,0,0,0,0

24,05:45-06:00,134.49,20.02,53.3,0,12.55,32.67,20.15,45.35,40.57,40.87,299.56,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.89,51.65,0,0,37.17,29.75,17.92,2.1,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,27.11,1.02,0,0,0,3.64,79.41,0,138.83,0,11.46,23.32,0,0,32.91,0,0,0,169.2,0,0,5.49,0,0,0,0,0

25,06:00-06:15,134.49,20.02,53.3,0,12.55,32.67,20.52,45.35,40.57,40.87,251.43,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.89,51.65,0,0,37.17,29.75,17.92,2.12,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,27.11,1.02,0,0,0,3.76,79.41,0,138.83,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

26,06:15-06:30,134.49,20.02,53.3,0,12.55,32.67,24.05,45.35,40.57,40.87,212.93,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.89,51.65,0,0,37.17,29.75,17.92,2.68,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,27.11,1.02,0,0,0,4.17,79.41,0,138.83,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

27,06:30-06:45,134.49,20.02,53.3,0,18.83,32.67,24.05,45.35,40.57,40.87,184.06,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.77,51.65,0,0,36.79,29.75,17.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,27.16,1.02,0,0,0,4.17,79.41,0,138.83,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

28,06:45-07:00,130.64,18.63,53.3,0,18.83,32.67,22.81,45.35,40.57,40.87,141.57,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,22.5,22.77,51.65,0,0,36.79,29.75,17.91,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,27.19,1.02,0,0,0,4.17,79.41,0,138.83,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

29,07:00-07:15,130.64,18.55,53.3,0,18.83,32.67,21.94,45.35,40.57,40.87,112.7,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,24,16.92,51.65,0,0,27.31,29.75,13.06,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.58,1.02,0,0,0,4.17,79.41,0,138.83,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

30,07:15-07:30,130.64,17.26,53.3,0,18.83,32.67,21,45.35,40.57,40.87,93.45,0,9.76,142.74,6.79,37.77,0,0,8.3,0,0,0,24,16.92,25.82,0,0,27.31,29.75,13.06,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.58,1.02,0,0,0,4.17,79.41,0,138.83,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

31,07:30-07:45,130.64,14.76,53.3,0,18.83,32.67,21.29,45.35,40.57,40.87,93.45,0,9.76,142.74,6.79,37.77,0,0,8.3,0,0,0,24,16.92,12.92,0,0,26.92,29.75,13.06,1.56,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.58,1.02,0,0,0,3.01,79.41,0,138.83,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

32,07:45-08:00,130.64,12.79,53.3,0,18.83,32.67,17.23,45.35,40.57,40.87,93.45,0,9.76,142.74,6.79,37.77,0,0,8.3,0,0,0,24,16.92,0,0,0,26.92,29.75,13.06,1.56,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,251.21,28.58,1.02,0,0,0,3.01,79.41,0,138.83,0,11.46,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

33,08:00-08:15,120.05,17.26,53.3,0,18.83,32.67,16.78,45.35,40.57,40.87,47.25,0,9.76,142.74,6.79,37.77,0,0,8.3,0,0,0,24,16.18,0,0,0,29.74,34.01,12.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,256.99,28.58,1.02,0,0,0,4.17,77.73,0,138.83,0,11.46,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

34,08:15-08:30,120.05,17.26,53.3,0,18.83,32.67,21.98,45.35,40.57,40.87,47.25,0,9.76,142.74,6.79,37.77,0,0,8.3,0,0,0,24,16.18,0,0,0,29.74,34.01,12.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,259.88,30.62,1.02,0,0,0,4.17,77.73,0,138.83,0,11.46,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

35,08:30-08:45,120.05,14.1,53.3,0,18.83,32.67,17.33,45.35,40.57,40.87,47.25,0,9.76,123.76,6.79,37.77,0,0,8.3,0,0,0,24,16.18,0,0,0,29.74,34.01,12.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,259.88,30.62,1.02,0,0,0,4.17,77.73,0,140.63,0,11.46,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

36,08:45-09:00,120.05,14.1,53.3,0,18.83,32.67,22.66,45.35,40.57,40.87,47.25,0,9.76,123.03,6.79,37.77,0,0,8.3,0,0,0,24,16.18,0,0,0,29.74,34.01,12.92,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,259.88,30.62,1.02,0,0,0,4.17,77.73,0,140.63,0,11.46,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

37,09:00-09:15,120.05,14.1,53.3,0,18.83,32.67,20.44,45.35,40.57,40.87,47.25,0,9.76,123.03,6.79,37.77,0,0,8.3,0,0,0,24,13.35,0,0,0,23.93,34.01,10.27,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,259.88,30.62,1.02,0,0,0,4.17,77.73,0,140.63,0,11.46,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

38,09:15-09:30,120.05,14.1,53.3,0,18.83,32.67,19.43,45.35,40.57,40.87,47.25,0,9.76,142.74,6.79,37.77,0,0,8.3,0,0,0,24,13.35,0,0,0,23.93,34.01,10.27,2.44,0,0,0,0,0,0,0,0,0,0,0,0,120.57,94.63,0,0,23.28,125.93,62.97,259.88,30.62,1.02,0,0,0,4.17,77.73,0,140.63,0,11.46,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

39,09:30-09:45,115.5,14.1,53.3,0,18.83,32.67,18.98,45.35,40.57,40.87,45.38,0,9.76,142.74,6.79,37.77,0,0,8.3,0,0,0,37.51,12.95,0,0,0,23.1,50.4,10.01,1.46,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.62,1.02,0,0,0,2.51,77.73,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

40,09:45-10:00,115.5,14.1,53.3,0,18.83,32.67,18.28,45.35,40.57,40.87,45.38,0,9.76,142.74,6.79,37.77,0,0,8.3,0,0,0,37.51,12.95,0,0,0,23.1,50.4,10.01,1.46,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.62,1.02,0,0,0,2.51,77.73,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

41,10:00-10:15,115.5,14.1,53.3,0,18.83,32.67,18.76,45.35,40.57,40.87,45.38,0,9.76,142.74,6.79,37.77,0,0,8.3,0,0,0,37.51,12.95,0,0,0,23.1,50.4,10.01,1.46,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.62,1.02,0,0,0,2.51,78.29,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

42,10:15-10:30,115.5,14.1,53.3,0,18.83,32.67,17.81,45.35,40.57,40.87,45.38,0,9.76,142.74,6.79,37.77,0,0,8.3,0,0,0,37.51,12.95,0,0,0,23.1,50.4,10.01,1.46,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.62,1.02,0,0,0,2.51,78.29,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

43,10:30-10:45,115.5,14.1,53.3,0,0,32.67,13.91,45.35,40.57,40.87,45.38,0,9.76,142.74,6.79,37.77,0,0,8.3,0,0,0,37.51,12.95,0,0,0,23.1,21.25,10.01,1.46,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.28,1.02,0,0,0,2.51,78.29,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

44,10:45-11:00,115.5,16.86,53.3,0,0,32.67,13.95,45.35,40.57,40.87,45.38,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,37.51,12.95,0,0,0,23.1,21.25,10.01,1.46,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.28,1.02,0,0,0,2.51,78.29,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

45,11:00-11:15,115.5,16.86,53.3,0,0,32.67,15.68,45.35,40.57,40.87,45.38,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,23.25,12.95,0,0,0,23.1,21.25,10.01,1.46,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.42,1.02,0,0,0,2.51,78.29,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

46,11:15-11:30,115.5,16.86,53.3,0,0,32.67,18.71,45.35,40.57,40.87,45.38,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,23.25,12.95,0,0,0,23.1,21.25,10.01,1.46,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.42,1.02,0,0,0,2.51,78.29,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

47,11:30-11:45,115.5,16.86,53.3,0,0,32.67,19.11,45.35,40.57,40.87,45.38,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,23.25,12.95,0,0,0,23.1,21.25,10.01,1.46,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.56,1.02,0,0,0,2.51,78.29,0,138.34,0,11.46,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

48,11:45-12:00,115.5,16.86,53.3,0,0,32.67,19.67,45.35,40.57,40.87,45.38,0,9.76,142.74,6.79,43.82,0,0,8.3,0,0,0,23.25,12.95,0,0,0,23.1,21.25,10.01,1.46,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.56,1.02,0,0,0,2.51,78.29,0,138.34,0,11.46,23.32,0,0,31.48,0,0,0,169.2,0,0,5.49,0,0,0,0,0

49,12:00-12:15,115.5,12.4,53.3,0,0,32.67,18.64,45.35,40.57,40.87,45.38,0,9.76,113.74,6.79,34.2,0,0,8.3,0,0,0,23.25,12.95,0,0,0,23.1,21.25,10.01,0.59,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.56,1.02,0,0,0,1.59,78.29,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

50,12:15-12:30,115.5,12.4,53.3,0,0,32.67,19.4,45.35,40.57,40.87,45.38,0,9.76,113.74,6.79,34.2,0,0,8.3,0,0,0,23.25,12.95,0,0,0,23.1,21.25,10.01,0.59,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.56,1.02,0,0,0,1.59,78.29,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

51,12:30-12:45,115.5,12.4,53.3,0,0,32.67,16.7,45.35,40.57,40.87,45.38,0,9.76,113.74,6.79,34.2,0,0,8.3,0,0,0,23.25,12.95,0,0,0,23.1,34.01,10.01,0.59,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.56,1.02,0,0,0,1.59,78.85,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

52,12:45-13:00,115.5,12.4,53.3,0,0,32.67,19.18,45.35,40.57,40.87,45.38,0,9.76,113.74,6.79,34.2,0,0,8.3,0,0,0,23.25,12.95,0,0,0,23.1,34.01,10.01,0.59,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.56,1.02,0,0,0,1.59,78.85,0,138.34,0,11.46,23.32,0,0,21.46,0,0,0,169.2,0,0,5.49,0,0,0,0,0

53,13:00-13:15,115.5,10.71,53.3,0,0,32.67,18.48,45.35,40.57,40.87,45.38,0,9.76,113.74,6.79,29.86,0,0,8.3,0,0,0,23.25,12.95,0,0,0,23.1,34.01,10.01,0.59,0,0,0,0,0,0,0,0,0,0,0,0,119.19,93.34,0,0,23.28,124.55,62.97,259.88,30.56,1.02,0,0,0,1.59,78.85,0,138.34,0,11.46,23.32,0,0,17.88,0,0,0,169.2,0,0,5.49,0,0,0,0,0

