Column1,Block,NR/2025/33178/C,NR/2025/33160/C,NR/2025/33235/C,NR/2025/33207/C,NR/2025/33159/C,GNA/NR/2025/08/01/4125,NR/2025/33184/C,NR/2025/33212/C,GNA/NR/2025/08/01/6187,NR/2025/33202/C,NR/2025/33113/C,NR/2025/33182/C,NR/2025/33154/C,NR/2025/33239/C,NR/2025/33180/C,NR/2025/32598/A/95302,NR/2025/32556/A/95474,NR/2025/32262/A/95054,NR/2025/31041/A/95425,NR/2025/29440/A/94997,NR/2025/31042/A/95426,NR/2025/32559/A/95473,NR/2025/33234/C,NR/2025/32554/A/95429,NR/2025/29992/A/95065,NR/2025/32610/A/95472,NR/2025/32004/A/95477,NR/2025/32397/A/95037,NR/2025/32455/A/95521,NR/2025/31421/A/95517,NR/2025/32702/A/95080,NR/2025/31046/A/95427,NR/2025/32375/A/95514,NR/2025/31047/A/95428,NR/2025/33229/C,NR/2025/32652/A/95157,NR/2025/32534/A/95415,NR/2025/32653/A/95156,NR/2025/32532/A/95413,NR/2025/32534/A/95416,NR/2025/32532/A/95414,NR/2025/32535/A/95418,NR/2025/32857/A/95146,NR/2025/32599/A/95170,NR/2025/33238/C,NR/2025/32535/A/95419,GNARE/NR/2024/12/20/3668,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/08/3642,GNA/NR/2025/08/01/3698,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6209,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5126,Total
3,00:30-00:45,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.86,0,26.17,0,163.17,44.15,26.17,105.58,8.64,47.99,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,14.51,19.2,20.4,33.59,11.74,40.79,81.58,30.5,20.71,20.4,1425.71

4,00:45-01:00,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.86,0,26.17,0,163.17,44.15,26.17,105.58,8.64,47.99,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,14.51,19.2,20.4,33.59,11.74,40.79,81.58,30.5,20.71,20.4,1425.71

5,01:00-01:15,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.62,0,26.17,0,163.17,44.15,26.17,105.58,8.64,47.99,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,33.59,25.94,40.79,81.58,30.5,20.71,20.4,1442.43

6,01:15-01:30,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.62,0,26.17,0,163.17,44.15,26.17,105.58,8.64,47.99,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,33.59,25.94,40.79,81.58,30.5,20.71,20.4,1442.43

7,01:30-01:45,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.62,0,26.17,0,163.17,44.15,26.17,105.58,8.64,47.99,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,33.59,26.64,40.79,81.58,26.64,20.71,20.4,1439.2700000000002

8,01:45-02:00,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.62,0,26.17,0,163.17,44.15,26.17,105.58,8.64,47.99,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,33.59,26.64,40.79,81.58,26.64,20.71,20.4,1439.2700000000002

9,02:00-02:15,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.62,0,26.17,0,163.17,44.15,26.17,105.58,8.64,0,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1439.8500000000001

10,02:15-02:30,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.62,0,26.17,0,163.17,44.15,26.17,105.58,8.64,0,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1439.8500000000001

11,02:30-02:45,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.62,0,26.17,0,163.17,44.15,26.17,105.58,8.64,0,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1439.8500000000001

12,02:45-03:00,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.62,0,26.17,0,163.17,44.15,26.17,105.58,8.64,0,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1439.8500000000001

13,03:00-03:15,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1410.6000000000001

14,03:15-03:30,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1410.6000000000001

15,03:30-03:45,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1410.6000000000001

16,03:45-04:00,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,53.99,95.98,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,12.48,95.98,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1410.6000000000001

17,04:00-04:15,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,12.48,0,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1161.71

18,04:15-04:30,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,12.48,0,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1161.71

19,04:30-04:45,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,12.48,0,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1161.71

20,04:45-05:00,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,12.48,0,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1161.71

21,05:00-05:15,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,12.48,0,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1161.71

22,05:15-05:30,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,12.48,0,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1161.71

23,05:30-05:45,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,11.52,0,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1160.75

24,05:45-06:00,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.53,0,26.17,0,163.17,44.15,26.17,76.42,8.64,0,47.99,11.52,0,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1160.9

25,06:00-06:15,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.82,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,11.52,0,47.99,0,0,0,0,0,0,0,0,0,0,1,0,0,0.75,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1154.15

26,06:15-06:30,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.82,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,11.52,0,47.99,0,0,0,0,0,0,0,0,0,0,5,0,0,1.78,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1159.18

27,06:30-06:45,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.82,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,11.52,0,47.99,0,0.84,0,0.14,0,0.29,0,0,0.07,0,10,0,0,3.38,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1167.1200000000001

28,06:45-07:00,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.82,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,11.52,0,47.99,0,1.37,0,0.19,0,0.38,0,0,0.1,0,17,0,0,5.75,15.21,0,14.54,14.33,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1177.1900000000003

29,07:00-07:15,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.86,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,11.52,0,47.99,0,1.97,0,0.19,0,0.38,0,0,0.19,0,24,0,0,9.18,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1191.2900000000002

30,07:15-07:30,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.86,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,11.52,0,47.99,0,2.97,0,0.19,0,0.38,0,0,0.19,0,34,0,0,13.21,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1206.3200000000002

31,07:30-07:45,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.86,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,11.52,0,47.99,0,3.85,0,0.19,0,0.38,0.05,0.06,0.19,0,46,0,0.04,18.09,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1224.23

32,07:45-08:00,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.86,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,11.52,0,47.99,0,5.24,0,0.29,0,0.48,0.15,0.19,0.19,0,60,0,0.11,23.85,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1245.88

33,08:00-08:15,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.96,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,11.52,0,47.99,0,6.17,1.63,0.29,0,0.48,0.26,0.33,0.19,1.15,74,0,0.22,30.19,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1270.39

34,08:15-08:30,0,0,0,0,0,14.54,0,191.96,11.15,0,0,0,0,0,0,81.58,26.17,0,0,0.96,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,11.52,0,47.99,0,8.51,1.63,0.29,0,0.48,0.36,0.47,0.19,1.15,91,0,0.32,36.76,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1296.64

35,08:30-08:45,0,0,0,0,0,14.54,0,191.96,11.82,0,0,0,0,0,0,81.58,26.17,0,0,0.96,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,13.44,0,47.99,0,5.86,1.63,0.29,0,0.48,0.47,0.6,0.19,1.15,102,0,0.4,43.52,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1314.66

36,08:45-09:00,0,0,0,0,0,14.54,0,191.96,11.82,0,0,0,0,0,0,81.58,26.17,0,0,0.96,0,26.17,0,163.17,44.15,26.17,76.42,0,0,47.99,13.44,0,47.99,0,5.86,1.63,0.29,0,0.48,0.56,0.8,0.19,1.15,119,0,0.56,50.14,15.21,0,14.54,17.27,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,20.4,1338.73

37,09:00-09:15,76.42,0,0,47.99,0,14.54,37.09,191.96,11.82,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,5.86,1.63,0.29,0,0.48,0.73,0.91,0.19,1.15,132,0,0.64,59.18,15.21,0,14.54,17.27,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1406.97

38,09:15-09:30,76.42,0,0,47.99,0,14.54,37.09,191.96,11.82,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,6.84,1.63,0.29,0,0.48,0.77,0.96,0.19,1.15,144,0,0.67,65.23,15.21,0,14.54,17.27,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1426.1200000000001

39,09:30-09:45,76.42,0,0,47.99,0,14.54,37.09,191.96,11.82,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,6.84,1.63,0.29,0,0.48,0.77,0.96,0.19,1.15,158,0,0.67,75.41,15.21,0,14.54,17.27,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1450.3000000000002

40,09:45-10:00,76.42,0,0,47.99,0,14.54,37.09,191.96,11.82,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,7.81,1.63,0.29,0,0.48,0.74,0.92,0.19,1.15,172,0,0.65,81.26,15.21,0,14.54,17.27,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1471.0300000000002

41,10:00-10:15,76.42,0,0,47.99,0,14.54,37.09,191.96,13.21,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,7.81,1.63,0.29,1.44,0.48,0.61,0.78,0.19,1.15,182,0,0.54,85.54,15.21,0,14.54,14.33,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1484.8200000000002

42,10:15-10:30,76.42,0,0,47.99,0,14.54,37.09,191.96,13.21,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,7.81,1.63,0.29,1.44,0.48,0.48,0.6,0.19,1.15,193,0,0.42,89.68,15.21,0,14.54,14.33,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1499.5300000000002

43,10:30-10:45,76.42,0,0,47.99,0,14.54,37.09,191.96,13.21,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,11.51,1.63,0.29,1.44,0.48,0.45,0.67,0.19,1.15,189,0,0.36,93.72,15.21,0,14.54,14.33,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1503.2500000000002

44,10:45-11:00,76.42,0,0,47.99,0,14.54,37.09,191.96,13.21,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,12.78,1.63,0.29,1.44,0.48,0.45,0.67,0.19,1.15,189,0,0.36,97.76,15.21,0,14.54,14.33,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1508.5600000000002

45,11:00-11:15,76.42,0,0,47.99,0,14.54,37.09,191.96,15.4,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,14.05,1.63,0.29,1.44,0.48,0.45,0.67,0.19,1.15,189,0,0.36,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1514.2600000000002

46,11:15-11:30,76.42,0,0,47.99,0,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,15.49,1.63,0.29,1.44,0.48,0.48,0.67,0.19,1.15,189,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1517.9100000000003

47,11:30-11:45,76.42,0,0,47.99,0,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,16.86,1.63,0.29,1.44,0.48,0.48,0.67,0.19,1.15,182,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1512.2800000000004

48,11:45-12:00,76.42,0,0,47.99,0,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,18.14,1.63,0.29,1.44,0.48,0.48,0.67,0.19,1.15,182,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.94,40.79,81.58,26.94,20.71,20.4,1513.5600000000002

