Time,Block,NR/2023/12646/A,NR/2023/15013/C,NR/2023/15037/C,NR/2023/13983/F,NR/2023/15019/C,NR/2023/11470/A,NR/2023/15039/C,NR/2023/11954/A,NR/2023/11697/A,NR/2023/13573/A,NR/2023/15028/C,NR/2023/13283/A,NR/2023/13983/F/II,NR/2023/11203/A,NR/2023/11315/A,NR/2023/15006/D,NR/2023/15026/C,NR/2023/11469/A,NR/2023/15034/C,NR/2023/13284/A,NR/2023/11739/A,NR/2023/15008/D,NR/2023/11458/A,NR/2023/13858/A,NR/2023/13859/A,NR/2023/11654/A,NR/2023/15002/D,NR/2023/15004/D,NR/2023/15036/C,NR/2023/15007/D,NR/2023/11328/A,NR/2023/11325/A,NR/2023/14187/F,NR/2023/15000/D,Total
14,03:15-03:30,0.000000,1.930000,14.480000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,12.550000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1231.61

15,03:30-03:45,0.000000,1.930000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,0.000000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1204.58

16,03:45-04:00,0.000000,1.930000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,0.000000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1204.58

17,04:00-04:15,0.000000,1.930000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,0.000000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1204.58

18,04:15-04:30,0.000000,1.930000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,0.000000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1204.58

19,04:30-04:45,0.000000,1.930000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,0.000000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1204.58

20,04:45-05:00,0.000000,1.930000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,0.000000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1204.58

21,05:00-05:15,0.000000,1.930000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,0.000000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1106.11

22,05:15-05:30,0.000000,1.930000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,0.000000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1106.11

23,05:30-05:45,0.000000,0.970000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,0.000000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1105.15

24,05:45-06:00,0.000000,0.970000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,0.000000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1105.15

25,06:00-06:15,0.000000,0.970000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.680000,62.990000,22.200000,1.4,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0,0.6,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,984.7

26,06:15-06:30,0.000000,0.970000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.680000,62.990000,22.200000,6.3,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0,2.7,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,991.7

27,06:30-06:45,0.000000,0.970000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.680000,62.990000,22.200000,10.5,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0,4.5,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,997.7

28,06:45-07:00,0.000000,0.970000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.680000,62.990000,22.200000,17.5,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0,7.5,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1007.7

29,07:00-07:15,0.000000,3.860000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.680000,62.990000,22.200000,31.5,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0.26,13.5,0.000000,0.000000,48.270000,24.140000,0.970000,193.080000,1027.96

30,07:15-07:30,0.000000,3.860000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.680000,62.990000,22.200000,42,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0.49,18,0.000000,0.000000,48.270000,24.140000,0.970000,193.080000,1043.19

31,07:30-07:45,0.000000,3.860000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.680000,62.990000,22.200000,51.8,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0.72,22.2,0.000000,0.000000,48.270000,24.140000,0.970000,193.080000,1057.42

32,07:45:08:00,0.000000,3.860000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.680000,62.990000,22.200000,60.2,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0.82,25.8,0.000000,0.000000,48.270000,24.140000,0.970000,193.080000,1069.52

33,08:00-08:15,0.000000,3.860000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,70,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,0.97,30,0.000000,0.000000,48.270000,24.140000,0.970000,193.080000,1083.96

34,08:15-08:30,0.000000,3.860000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,80.5,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,1.45,34.5,0.000000,0.000000,48.270000,24.140000,0.970000,193.080000,1099.44

35,08:30-08:45,0.000000,6.760000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,87.5,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,1.74,37.5,0.000000,0.000000,48.270000,24.140000,0.970000,193.080000,1112.63

36,08:45:09:00,0.000000,6.760000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,99.4,0.000000,84.940000,6.760000,0.000000,42.470000,0.000000,0.000000,84.470000,181.010000,152.530000,1.74,42.6,0.000000,0.000000,48.270000,24.140000,0.970000,193.080000,1129.63

37,09:00:09:15,0.000000,6.760000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,108.5,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,0.000000,84.470000,181.010000,152.530000,1.93,46.5,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1166.96

38,09:15-09:30,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,115.5,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,0.000000,84.470000,181.010000,152.530000,1.93,49.5,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1177.92

39,09:30-09:45,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,122.5,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,0.000000,84.470000,181.010000,152.530000,2.12,52.5,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1188.11

40,09:45-10:00,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,133,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,0.000000,84.470000,181.010000,152.530000,2.12,57,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1203.11

41,10:00-10:15,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,138.6,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,2.12,59.4,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1301.86

42,10:15-10:30,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,147,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,2.41,63,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1314.15

43,10:30-10:45,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,154,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,2.9,66,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1324.64

44,10:45-11:00,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,159.6,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,2.9,68.4,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1332.64

45,11:00-11:15,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,164.5,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,3.04,70.5,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1339.78

46,11:15-11:30,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,168,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,3.23,72,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1344.97

47,11:30-11:45,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,171.5,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,3.33,73.5,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1350.07

48,11:45-12:00,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,175,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,3.38,75,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1355.12

49,12:00-12:15,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,175,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,3.48,75,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1355.22

50,12:15-12:30,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,175,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,3.86,75,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1355.6

51,12:30-12:45,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,175,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,3.86,75,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1355.6

52,12:45-13:00,0.000000,7.720000,0.000000,0.000000,0.000000,21.230000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,175,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,3.09,75,0.000000,8.210000,48.270000,24.140000,0.970000,193.080000,1354.83

53,13:00-13:15,0.000000,7.720000,0.000000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,175,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,2.9,75,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1301.02

54,13:15-13:30,0.000000,7.720000,0.000000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,175,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,2.9,75,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1301.02

55,13:30-13:45,0.000000,7.720000,0.000000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,171.5,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,2.12,73.5,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1295.24

56,13:45-14:00,0.000000,7.720000,0.000000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,169.4,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,90.750000,84.470000,181.010000,152.530000,1.45,72.6,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1291.57

57,14:00-14:15,23.100000,7.720000,0.000000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,168,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,106.190000,84.470000,181.010000,152.530000,1.26,72,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1327.92

58,14:15-14:30,23.100000,7.720000,0.000000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,161,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,106.190000,84.470000,181.010000,152.530000,1.26,69,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1317.92

59,14:30-14:45,23.100000,7.720000,4.830000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,0.000000,24.140000,0.970000,62.990000,22.200000,156.8,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,106.190000,84.470000,181.010000,152.530000,1.21,67.2,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1316.7

60,14:45-15:00,23.100000,7.720000,40.550000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,24.140000,24.140000,0.970000,62.990000,22.200000,154,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,106.190000,84.470000,181.010000,152.530000,1.21,66,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1372.56

61,15:00-15:15,23.100000,7.720000,40.550000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,86.890000,24.140000,0.970000,62.990000,22.200000,147,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,106.190000,84.470000,181.010000,152.530000,1.21,63,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1425.31

62,15:15-15:30,23.100000,7.720000,40.550000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,111.020000,24.140000,0.970000,62.990000,22.200000,133,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,106.190000,84.470000,181.010000,152.530000,1.11,57,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1429.34

63,15:30-15:45,23.100000,8.690000,40.550000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,154.460000,24.140000,0.970000,62.990000,22.200000,126.7,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,106.190000,84.470000,181.010000,152.530000,1.11,54.3,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1464.75

64,15:45-16:00,23.100000,8.690000,40.550000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,173.770000,24.140000,0.970000,62.990000,22.200000,119,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,106.190000,84.470000,181.010000,152.530000,0.97,51,0.000000,8.210000,48.270000,24.140000,0.970000,144.770000,1472.92

65,16:00-16:15,23.100000,5.790000,40.550000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,177.630000,24.140000,0.820000,62.990000,22.200000,108.5,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,106.190000,84.470000,181.010000,152.530000,0.77,46.5,0.000000,8.210000,48.270000,24.140000,3.860000,144.770000,1461.42

66,16:15-16:30,23.100000,5.790000,40.550000,0.000000,0.000000,15.920000,0.000000,0.000000,0.000000,28.960000,150.600000,24.140000,0.820000,62.990000,22.200000,94.5,0.000000,84.940000,6.760000,0.000000,42.470000,15.930000,106.190000,84.470000,181.010000,152.530000,0.68,40.5,0.000000,8.210000,48.270000,24.140000,3.860000,144.770000,1414.3

