Time,Block,NR/2023/12053/A,NR/2023/12347/A,NR/2023/16064/C,NR/2023/16063/C,NR/2023/15057/F,NR/2023/15309/F,NR/2023/15694/F,NR/2023/12592/A,NR/2023/15402/F,NR/2023/16043/C,NR/2023/16039/C,NR/2023/14898/A,NR/2023/12422/A,NR/2023/16059/C,NR/2023/16040/C,NR/2023/14737/A,NR/2023/16024/D,NR/2023/12052/A,NR/2023/13635/A,NR/2023/12431/A,NR/2023/12591/A,NR/2023/14745/A,NR/2023/16041/C,NR/2023/14895/A,NR/2023/16038/C,NR/2023/12167/A,NR/2023/16042/C,NR/2023/16053/C,NR/2023/16023/D,NR/2023/12148/A,NR/2023/16044/C,NR/2023/14746/A,ER/2023/9990/C,NR/2023/16022/D,NR/2023/16032/C,NR/2023/12168/A,NR/2023/13862/A,Total
27,06:30-06:45,0.000000,0.000000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.570000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0.1,5.050000,46.520000,0.000000,1042.09

28,06:45-07:00,0.000000,0.000000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.570000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0.47,5.050000,46.520000,0.000000,1042.46

29,07:00-07:15,0.000000,0.000000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0.88,5.050000,46.520000,0.000000,1042.77

30,07:15-07:30,0.000000,0.000000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,1.34,5.050000,46.520000,0.000000,1043.23

31,07:30-07:45,0.000000,0.000000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,1.81,5.050000,46.520000,0.000000,1043.7

32,07:45:08:00,0.000000,0.000000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,2.33,5.050000,46.520000,0.000000,1044.22

33,08:00-08:15,0.000000,0.000000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,45.000000,2.99,5.050000,46.520000,0.000000,1090.17

34,08:15-08:30,0.000000,0.000000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,45.000000,3.55,5.050000,46.520000,0.000000,1090.73

35,08:30-08:45,0.000000,0.000000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,145.000000,4.16,5.050000,46.520000,0.000000,1229.94

36,08:45:09:00,0.000000,0.000000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,200.000000,4.75,5.050000,46.520000,0.000000,1285.53

37,09:00:09:15,0.000000,0.000000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,200.000000,5.35,9.080000,46.520000,0.000000,1335.52

38,09:15-09:30,0.000000,0.000000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,200.000000,5.51,9.080000,46.520000,0.000000,1335.68

39,09:30-09:45,0.000000,0.000000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,200.000000,6.49,9.080000,46.520000,0.000000,1336.66

40,09:45-10:00,0.000000,0.000000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,200.000000,6.42,9.080000,46.520000,0.000000,1336.59

41,10:00-10:15,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,200.000000,7.03,10.090000,46.520000,0.000000,1428.93

42,10:15-10:30,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,200.000000,7.25,10.090000,46.520000,0.000000,1429.15

43,10:30-10:45,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,200.000000,7.93,10.090000,46.520000,0.000000,1429.83

44,10:45-11:00,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.470000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,200.000000,8.04,10.090000,46.520000,0.000000,1429.94

45,11:00-11:15,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,150.000000,8.09,10.090000,46.520000,0.000000,1379.91

46,11:15-11:30,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,150.000000,8.1,10.090000,46.520000,0.000000,1379.92

47,11:30-11:45,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,150.000000,7.05,10.090000,46.520000,0.000000,1378.87

48,11:45-12:00,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,150.000000,7.33,10.090000,46.520000,0.000000,1379.15

49,12:00-12:15,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,100.000000,7.24,10.090000,46.520000,0.000000,1329.06

50,12:15-12:30,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,100.000000,6.48,10.090000,46.520000,0.000000,1328.3

51,12:30-12:45,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,100.000000,5.58,10.090000,46.520000,0.000000,1327.4

52,12:45-13:00,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,100.000000,7.6,10.090000,46.520000,0.000000,1329.42

53,13:00-13:15,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,100.000000,8.11,10.090000,46.520000,0.000000,1329.93

54,13:15-13:30,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,38.600000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,100.000000,6.99,10.090000,46.520000,0.000000,1328.81

55,13:30-13:45,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,100.000000,7.91,10.090000,46.520000,0.000000,1291.13

56,13:45-14:00,0.000000,90.720000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,100.000000,7.91,10.090000,46.520000,0.000000,1291.13

57,14:00-14:15,0.000000,106.160000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,8.17,10.090000,46.520000,23.090000,1229.92

58,14:15-14:30,0.000000,106.160000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,8,10.090000,46.520000,23.090000,1229.75

59,14:30-14:45,0.000000,106.160000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,6.41,10.090000,46.520000,23.090000,1228.16

