Column1,Block,NR/2024/23510/A/40501,NR/2024/23383/A/40472,NR/2024/23382/A/40631,NR/2024/23446/A/40630,NR/2024/23389/A/40523,NR/2024/23414/A/40473,NR/2024/23356/A/40524,NR/2024/23384/A/40474,NR/2024/23657/C,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/9072,Total
6,01:15-01:30,2.91,0.53,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.52999999999997

7,01:30-01:45,2.91,0.53,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.52999999999997

8,01:45-02:00,2.91,0.53,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.52999999999997

9,02:00-02:15,2.91,0.49,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.48999999999998

10,02:15-02:30,2.91,0.49,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.48999999999998

11,02:30-02:45,2.91,0.49,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.48999999999998

12,02:45-03:00,2.91,0.49,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.48999999999998

13,03:00-03:15,2.91,0.44,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.43999999999997

14,03:15-03:30,2.91,0.44,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.43999999999997

15,03:30-03:45,2.91,0.44,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.43999999999997

16,03:45-04:00,2.91,0.44,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.43999999999997

17,04:00-04:15,2.91,0.44,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.43999999999997

18,04:15-04:30,2.91,0.44,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.43999999999997

19,04:30-04:45,2.91,0.44,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.43999999999997

20,04:45-05:00,2.91,0.44,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.43999999999997

21,05:00-05:15,2.91,0.49,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,179.4

22,05:15-05:30,2.91,0.49,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,179.4

23,05:30-05:45,2.91,0.49,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,179.4

24,05:45-06:00,2.91,0.49,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,179.4

25,06:00-06:15,2.91,0.53,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,179.44

26,06:15-06:30,2.91,0.53,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,179.44

27,06:30-06:45,2.91,0.53,17.64,0,0,0,0,6.79,0.08,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,179.52

28,06:45-07:00,2.91,0.53,17.64,0,0,0,0,6.79,0.65,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,180.09

29,07:00-07:15,2.91,0.58,17.64,0,0,0,0,6.79,1.4,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,180.89

30,07:15-07:30,2.91,0.58,17.64,0,0,0,0,6.79,1.84,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,181.33

31,07:30-07:45,2.91,0.58,17.64,0,0,0,0,6.79,2.33,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,181.82

32,07:45-08:00,2.91,0.58,17.64,0,0,0,0,6.79,3.11,24.14,24.14,8.82,26.45,26.45,6.3,8.82,26.45,182.6

33,08:00-08:15,2.91,0.97,17.64,0,0,0,0,0,3.13,26.87,26.87,8.82,26.45,26.45,6.3,8.82,26.45,181.68

34,08:15-08:30,2.91,0.97,17.64,0,0,0,0,0,2.32,26.87,26.87,8.82,26.45,26.45,6.3,8.82,26.45,180.87

35,08:30-08:45,2.91,0.97,17.64,0,0,0,0,0,2.89,26.87,26.87,8.82,26.45,26.45,6.3,8.82,26.45,181.44

36,08:45-09:00,2.91,0.97,17.64,0,0,0,0,0,3.29,26.87,26.87,8.82,26.45,26.45,6.3,8.82,26.45,181.84

37,09:00-09:15,2.91,0.87,9.7,7.94,42.68,0,10.67,0,4.41,26.87,26.87,8.82,26.45,26.45,6.3,8.82,26.45,236.20999999999995

38,09:15-09:30,2.91,0.87,9.7,7.94,42.68,0,10.67,0,6,26.87,26.87,8.82,26.45,26.45,6.3,8.82,26.45,237.79999999999995

39,09:30-09:45,2.91,0.87,9.7,7.94,42.68,0,10.67,0,4.73,26.87,26.87,8.82,26.45,26.45,6.3,8.82,26.45,236.52999999999997

40,09:45-10:00,2.91,0.87,9.7,7.94,42.68,0,10.67,0,4.98,26.87,26.87,8.82,26.45,26.45,6.3,8.82,26.45,236.77999999999997

41,10:00-10:15,2.91,0.87,9.7,7.94,42.68,0,10.67,0,4.67,26.87,26.87,8.82,26.45,26.45,6.3,8.82,26.45,236.46999999999997

42,10:15-10:30,2.91,0.87,9.7,7.94,42.68,0,10.67,0,4.2,26.87,26.87,8.82,26.45,26.45,6.3,8.82,26.45,235.99999999999997

43,10:30-10:45,2.91,0.87,9.7,7.94,42.68,0,10.67,0,5.38,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,236.80999999999995

44,10:45-11:00,2.91,0.87,9.7,7.94,42.68,0,10.67,0,4.58,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,236.00999999999996

45,11:00-11:15,2.91,0.87,9.7,7.94,42.68,0,10.67,0,6.74,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,238.16999999999996

46,11:15-11:30,2.91,0.87,9.7,7.94,42.68,0,10.67,0,7.27,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,238.69999999999996

47,11:30-11:45,2.91,0.87,9.7,7.94,42.68,0,10.67,0,6.37,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,237.79999999999995

48,11:45-12:00,2.91,0.87,9.7,7.94,42.68,0,10.67,0,5.9,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,237.32999999999996

49,12:00-12:15,2.91,0.87,9.7,7.94,42.68,0,10.67,0,7.6,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,238.92999999999995

50,12:15-12:30,2.91,0.87,9.7,7.94,42.68,0,10.67,0,6.97,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,238.39999999999995

51,12:30-12:45,2.91,0.87,9.7,7.94,42.68,0,10.67,0,4.93,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,236.35999999999996

52,12:45-13:00,2.91,0.87,9.7,7.94,42.68,0,10.67,0,7.18,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,238.60999999999996

53,13:00-13:15,2.91,0.78,9.7,7.94,42.68,0,10.67,0,7.45,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,238.68999999999997

54,13:15-13:30,2.91,0.78,9.7,7.94,42.68,0,10.67,0,6.62,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,237.85999999999999

55,13:30-13:45,2.91,0.78,9.7,7.94,42.68,0,10.67,0,6.78,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,238.01999999999998

56,13:45-14:00,2.91,0.78,9.7,7.94,42.68,0,10.67,0,4.87,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,236.10999999999999

57,14:00-14:15,2.91,0.92,9.7,7.94,42.68,0,10.67,0,7.62,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,238.99999999999997

58,14:15-14:30,2.91,0.92,9.7,7.94,42.68,0,10.67,0,3.2,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,234.57999999999998

59,14:30-14:45,2.91,0.92,9.7,7.94,42.68,0,10.67,0,3.53,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,234.90999999999997

60,14:45-15:00,2.91,0.92,9.7,7.94,42.68,0,10.67,0,7.15,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,238.52999999999997

61,15:00-15:15,2.91,0.92,9.7,7.94,42.68,0,10.67,0,7.04,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,238.42

62,15:15-15:30,2.91,0.92,9.7,7.94,42.68,0,10.67,0,6.6,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,237.97999999999996

63,15:30-15:45,2.91,0.92,9.7,7.94,42.68,0,10.67,0,6.1,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,237.47999999999996

64,15:45-16:00,2.91,0.92,9.7,7.94,42.68,0,10.67,0,5.56,26.87,26.87,8.82,26.45,26.45,5.83,8.82,26.45,236.93999999999997

65,16:00-16:15,2.91,0.78,17.64,0,42.68,0,10.67,0,5.69,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,237.02999999999997

66,16:15-16:30,2.91,0.78,17.64,0,42.68,0,10.67,0,2.76,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,234.09999999999997

67,16:30-16:45,2.91,0.78,17.64,0,42.68,0,10.67,0,0.81,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,232.14999999999998

68,16:45-17:00,2.91,0.78,17.64,0,42.68,0,10.67,0,0.91,26.87,26.87,8.82,26.45,26.45,5.93,8.82,26.45,232.24999999999997

69,17:00-17:15,2.91,0.73,17.64,0,0,0,0,0,0.96,0,0,8.82,26.45,26.45,5.93,8.82,26.45,125.16000000000001

70,17:15-17:30,2.91,0.73,17.64,0,0,0,0,0,0.81,0,0,8.82,26.45,26.45,5.93,8.82,26.45,125.01

71,17:30-17:45,2.91,0.73,17.64,0,0,0,0,0,0.48,0,0,8.82,26.45,26.45,5.93,8.82,26.45,124.67999999999999

72,17:45-18:00,2.91,0.73,17.64,0,0,0,0,0,0.17,0,0,8.82,26.45,26.45,5.93,8.82,26.45,124.36999999999999

73,18:00-18:15,2.91,0.73,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.02,8.82,26.45,124.29

74,18:15-18:30,2.91,0.73,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.02,8.82,26.45,124.29

75,18:30-18:45,2.91,0.73,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.02,8.82,26.45,124.29

76,18:45-19:00,2.91,0.73,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.02,8.82,26.45,124.29

77,19:00-19:15,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.11,8.82,26.45,124.33

78,19:15-19:30,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.11,8.82,26.45,124.33

79,19:30-19:45,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.11,8.82,26.45,124.33

80,19:45-20:00,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.11,8.82,26.45,124.33

81,20:00-20:15,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.11,8.82,26.45,124.33

82,20:15-20:30,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.11,8.82,26.45,124.33

83,20:30-20:45,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.11,8.82,26.45,124.33

84,20:45-21:00,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.11,8.82,26.45,124.33

85,21:00-21:15,2.91,0.73,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.48

86,21:15-21:30,2.91,0.73,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.48

87,21:30-21:45,2.91,0.73,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.48

88,21:45-22:00,2.91,0.73,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.48

89,22:00-22:15,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.42999999999999

90,22:15-22:30,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.42999999999999

91,22:30-22:45,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.42999999999999

92,22:45-23:00,2.91,0.68,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.42999999999999

93,23:00-23:15,2.91,0.58,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.33

94,23:15-23:30,2.91,0.58,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.33

95,23:30-23:45,2.91,0.58,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.33

96,23:45-24:00,2.91,0.58,17.64,0,0,0,0,0,0,0,0,8.82,26.45,26.45,6.21,8.82,26.45,124.33

