Time,Block,NR/2024/22218/C,NR/01102023/14082046/L_NR_2021_16,NR/2024/22239/C,NR/01102023/02012046/L_NR_2021_17,NR/01082024/31082024/jitpl,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21870/A/30159,NR/2024/21974/A/30387,NR/2024/21909/A/30320,NR/2024/21954/A/30377,NR/2024/21918/A/30414,NR/2024/22219/C,NR/03082024/03082024/IEX_240802-01871,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/22226/C,NR/2024/21966/A/30145,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21869/A/30163,NR/2024/22236/C,NR/2024/21971/A/30386,NR/03082024/03082024/DD20240803NR26018,NR/2024/22042/A/30112,NR/2024/21876/A/30157,NR/2024/22080/A/30043,NR/03082024/03082024/HPX-TAMCTG-020824-01969,NR/01082024/31082024/SKS-Raigarh,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/2024/21872/A/30162,NR/2024/21658/A/30123,NR/2024/21814/A/30389,NR/30092023/31122025/SH-07,NR/2024/22081/A/30341,NR/2024/21940/A/30379,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21983/A/30274,NR/2024/21968/A/30383,NR/2024/21943/A/30376,NR/2024/22014/A/30113,NR/01082024/15082024/APL-Raigarh,NR/2024/21961/A/30353,NR/2024/22229/C,NR/2024/22010/A/30410,NR/2024/22231/C,NR/30092023/26122029/SH-06,NR/2024/22227/C,NR/2024/22238/C,NR/2024/21868/A/30160,NR/2024/21970/A/30384,NR/2024/21875/A/30156,NR/2024/21932/A/30146,NR/2024/21956/A/30385,NR/2024/21873/A/30158,NR/2024/22220/C,NR/2024/21860/A/30342,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21871/A/30161,NR/2024/21938/A/30355,Total

3,00:30-00:45,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,32.000000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,48.160000,32.000000,36.100000,96.320000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1996.3

4,00:45-01:00,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,32.000000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,48.160000,32.000000,35.910000,96.320000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1996.11

5,01:00-01:15,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,14.550000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,32.000000,36.150000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1834.18

6,01:15-01:30,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,14.550000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,32.000000,33.630000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1831.66

7,01:30-01:45,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,14.550000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,32.000000,33.300000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1831.33

8,01:45-02:00,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,14.550000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,32.000000,31.660000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1829.69

9,02:00-02:15,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,26.540000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1804.56

10,02:15-02:30,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,26.540000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1804.56

11,02:30-02:45,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,26.540000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1804.56

12,02:45-03:00,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,26.540000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1804.56

13,03:00-03:15,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,26.540000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1764.6

14,03:15-03:30,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,26.540000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1764.6

15,03:30-03:45,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,26.540000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1764.6

16,03:45-04:00,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.630000,48.160000,26.540000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1764.6

17,04:00-04:15,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.530000,48.160000,26.540000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1764.5

18,04:15-04:30,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.530000,48.160000,26.540000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1764.5

19,04:30-04:45,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,7.710000,96.320000,12.410000,0.000000,0.000000,0.000000,0.530000,48.160000,26.540000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1763.54

20,04:45-05:00,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,7.710000,96.320000,12.410000,0.000000,0.000000,0.000000,0.530000,48.160000,26.540000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.540000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1763.54

21,05:00-05:15,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,7.710000,96.320000,12.410000,0.000000,0.000000,0.000000,0.530000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1720.94

22,05:15-05:30,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,7.710000,96.320000,12.410000,0.000000,0.000000,0.000000,0.530000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1720.94

23,05:30-05:45,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,7.710000,96.320000,12.410000,0.000000,0.000000,0.000000,0.530000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1720.94

24,05:45-06:00,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,7.710000,96.320000,12.410000,0.000000,0.000000,0.000000,0.530000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,16.360000,0.000000,27.090000,1720.94

25,06:00-06:15,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,7.710000,96.320000,12.410000,0.000000,0.000000,0.000000,0.670000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,15.910000,0.000000,0.000000,1612.27

26,06:15-06:30,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,7.710000,96.320000,12.410000,0.000000,0.000000,0.000000,0.670000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,15.910000,0.000000,0.000000,1612.27

27,06:30-06:45,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.670000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,15.910000,0.000000,0.000000,1613.23

28,06:45-07:00,0.41,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.670000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,15.910000,0.000000,0.000000,1613.64

29,07:00-07:15,0.59,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.770000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,15.910000,0.000000,0.000000,1613.92

30,07:15-07:30,0.74,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.770000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,15.910000,0.000000,0.000000,1614.07

31,07:30-07:45,1.01,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.770000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,15.910000,0.000000,0.000000,1614.34

32,07:45:08:00,1.52,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.770000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,15.910000,0.000000,0.000000,1614.85

33,08:00-08:15,2.49,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1613.71

