Time,Block,NR/2023/12956/F,NR/2023/13145/F,NR/2023/11953/A,NR/2023/10959/A,NR/2023/10561/A,NR/2023/10432/A,NR/2023/11712/A,NR/2023/12922/F,NR/2023/12924/F,NR/2023/12872/F,NR/2023/12915/F,NR/2023/11717/A,NR/2023/10956/A,NR/2023/12920/F,NR/2023/11266/A,NR/2023/10786/A,NR/2023/11447/A,NR/2023/12661/A,NR/2023/13326/D,NR/2023/13338/C,NR/2023/13350/C,NR/2023/11507/A,NR/2023/10947/A,NR/2023/10460/A,SR/2023/6041/C,NR/2023/11709/A,NR/2023/12921/F,NR/2023/13336/C,NR/2023/13325/D,NR/2023/12169/A,NR/2023/13151/F,NR/2023/12706/A,NR/2023/10720/A,NR/2023/12814/F,NR/2023/12919/F,SR/2023/6046/C,NR/2023/12813/F,NR/2023/12923/F,NR/2023/10436/A,NR/2023/12917/F,SR/2023/6045/C,NR/2023/10488/A,NR/2023/12916/F,NR/2023/13331/C,NR/2023/10435/A,NR/2023/10651/A,ER/2023/8197/C,NR/2023/13327/D,NR/2023/13324/D,NR/2023/13323/D,Total

3,00:30-00:45,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,11.420000,85.080000,0.930000,17.200000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,15.050000,23.800000,54.160000,33.650000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,0.000000,0,0,0,1334.77

4,00:45-01:00,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,11.420000,85.080000,0.930000,17.200000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,15.050000,23.800000,54.160000,33.650000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,0.000000,0,0,0,1334.77

5,01:00-01:15,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.530000,0.370000,11.420000,85.080000,0.930000,27.520000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,14.960000,23.800000,54.160000,23.330000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,0.000000,0,0,0,1334.73

6,01:15-01:30,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.530000,0.370000,11.420000,85.080000,0.930000,27.520000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,14.960000,23.800000,54.160000,23.330000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,0.000000,0,0,0,1334.73

7,01:30-01:45,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.530000,0.370000,11.420000,85.080000,0.930000,27.520000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,14.960000,23.800000,54.160000,23.330000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,0.000000,0,0,0,1334.73

8,01:45-02:00,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.530000,0.370000,11.420000,85.080000,0.930000,27.520000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,14.960000,23.800000,54.160000,23.330000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,0.000000,0,0,0,1334.73

9,02:00-02:15,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,14.960000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,100.000000,0,0,0,1423.26

10,02:15-02:30,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,14.960000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,100.000000,0,0,0,1423.26

11,02:30-02:45,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,14.960000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,100.000000,0,0,0,1423.26

12,02:45-03:00,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,14.960000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,100.000000,0,0,0,1423.26

13,03:00-03:15,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.440000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.870000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,150.000000,0,0,0,1413.49

14,03:15-03:30,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.440000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.870000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,150.000000,0,0,0,1413.49

15,03:30-03:45,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.440000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.870000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,150.000000,0,0,0,1413.49

16,03:45-04:00,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.440000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.870000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,150.000000,0,0,0,1413.49

17,04:00-04:15,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.440000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.770000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,0,0,0,1411.87

18,04:15-04:30,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.440000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.770000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,0,0,0,1411.87

19,04:30-04:45,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.440000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.770000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,0,0,0,1411.87

20,04:45-05:00,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.440000,0.370000,0.000000,85.080000,0.930000,37.840000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.770000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,0,0,0,1411.87

21,05:00-05:15,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.770000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,0,0,0,1313.26

22,05:15-05:30,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.770000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,0,0,0,1313.26

23,05:30-05:45,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.770000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,0,0,0,1313.26

24,05:45-06:00,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,0.000000,0.930000,14.770000,23.800000,54.160000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,0,0,0,1313.26

25,06:00-06:15,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.530000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.930000,14.680000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,0.6,1.4,0,1237.85

26,06:15-06:30,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.530000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.930000,14.680000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,1.8,4.2,0,1241.85

27,06:30-06:45,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.530000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.930000,14.680000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,2.7,6.3,0,1244.85

28,06:45-07:00,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.530000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.930000,14.680000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,150.000000,4.05,9.45,0.19,1249.54

29,07:00-07:15,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.930000,14.680000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,5.4,12.6,0.39,1138.24

30,07:15-07:30,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.930000,14.680000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,7.65,17.85,0.61,1145.96

31,07:30-07:45,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.930000,14.680000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,9,21,1.13,1150.98

32,07:45:08:00,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.930000,37.840000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.930000,14.680000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,11.4,26.6,2.32,1160.17

33,08:00-08:15,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,37.840000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.590000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,16.5,38.5,2.8,1178.1

34,08:15-08:30,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,37.840000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.590000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,19.5,45.5,3.58,1188.88

35,08:30-08:45,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,37.840000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.590000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,23.1,53.9,3.77,1201.07

36,08:45:09:00,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,37.840000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.590000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,24.6,57.4,4.26,1206.56

37,09:00:09:15,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,37.840000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.590000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,27,63,4.26,1238.74

38,09:15-09:30,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,37.840000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.590000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,29.7,69.3,5.13,1248.61

39,09:30-09:45,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,37.840000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.590000,23.800000,0.000000,13.010000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,31.5,73.5,5.03,1254.51

40,09:45-10:00,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,25.800000,0.000000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.590000,23.800000,0.000000,25.040000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,29.050000,24.180000,63.110000,0.000000,33.6,78.4,5.13,1261.6

41,10:00-10:15,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.500000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,36,84,5.13,1362.98

42,10:15-10:30,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.500000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,39,91,5.13,1372.98

