Column1,Block,NR/2025/26082/A/72620,NR/2025/26202/A/72618,NR/2025/26909/C,NR/2025/26005/A/72174,NR/2025/26379/A/72573,NR/2025/26336/A/72297,NR/2025/25967/A/72572,NR/2025/26153/A/72206,NR/2025/26198/A/72771,NR/2025/26291/A/72661,NR/2025/26910/C,NR/2025/26197/A/72764,NR/2025/26200/A/72762,NR/2025/26191/A/72171,NR/2025/26913/C,NR/2025/26289/A/72663,NR/2025/26912/C,NR/2025/26233/A/72668,NR/2025/26232/A/72670,NR/2025/26199/A/72763,NR/2025/26201/A/72761,NR/2025/26085/A/72221,NR/2025/26265/A/72666,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/72312,NR/2025/26335/A/72298,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/7791,GNA/SR/2025/05/16/7915,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6363,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/ER/2025/05/16/9578,GNA/NR/2025/05/01/5800,NR/2025/26956/C,NR/2025/26878/C,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/4138,NR/2025/26689/A/72256,NR/2025/26004/A/72173,ER/2025/17598/C,NR/2025/26871/C,NR/2025/26899/C,NR/2025/26902/C,NR/2025/26911/C,NR/2025/26880/C,NR/2025/26900/C,GNA/NR/2025/05/01/8954,NR/2025/26901/C,GNA/NR/2025/05/01/2474,NR/2025/26904/C,NR/2025/25861/A/72567,NR/2025/25860/A/72566,NR/2025/26845/C,NR/2025/26843/C,NR/2025/25859/A/72565,NR/2025/26101/A/72309,GNA/NR/2025/05/01/9252,NR/2025/26846/C,NR/2025/26842/C,GNA/NR/2025/05/01/2069,NR/2025/26847/C,NR/2025/26844/C,NR/2025/26312/A/72135,GNA/NR/2025/05/01/6957,NR/2025/26891/C,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/3877,Total
3,00:30-00:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,0,100,30,30,14.44,11.33,286,67.41,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,5.78,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,165.64,14.44,28.89,0,11.24,2884.6299999999997

4,00:45-01:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,0,100,30,30,14.44,11.33,335,67.41,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,5.78,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,165.64,14.44,28.89,0,11.24,2933.6299999999997

5,01:00-01:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,0,0,0,96.3,24.08,0,100,30,30,14.44,11.25,378,67.41,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,5.78,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,165.64,14.44,28.89,0,11.24,2976.4499999999994

6,01:15-01:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,0,0,0,96.3,24.08,0,100,30,30,14.44,11.25,419,67.41,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,5.78,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,165.64,14.44,28.89,0,11.24,3017.4499999999994

7,01:30-01:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,0,0,0,96.3,24.08,0,100,30,30,14.44,11.25,454,67.41,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,5.78,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,165.64,14.44,28.89,0,11.24,3052.4499999999994

8,01:45-02:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,0,0,0,96.3,24.08,0,100,30,30,14.44,11.25,477,67.41,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,5.78,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,165.64,14.44,28.89,0,11.24,3075.4499999999994

9,02:00-02:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.63,0,0,0,0,96.3,24.08,0,100,30,30,0,11.15,436,0,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,0,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,11.24,2917.79

10,02:15-02:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.63,0,0,0,0,96.3,24.08,0,100,30,30,0,11.15,477,0,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,0,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2976.44

11,02:30-02:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.63,0,0,0,0,96.3,24.08,0,100,16.43,16.43,0,11.15,477,0,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,0,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2949.3

12,02:45-03:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.63,0,0,0,0,96.3,24.08,0,100,16.43,16.43,0,11.15,477,0,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,0,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2949.3

13,03:00-03:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0,0,0,96.3,24.08,0,100,16.43,16.43,0,11.06,477,0,0,0,10.59,0,6.74,48.15,0,0,0,0,0,33.7,0,0,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2820.98

14,03:15-03:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0,0,0,96.3,24.08,0,100,16.43,16.43,0,11.06,477,0,0,0,10.59,0,6.74,48.15,0,0,0,0,0,33.7,0,0,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2820.98

15,03:30-03:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0,0,0,96.3,24.08,0,100,21.13,21.13,0,11.06,477,0,0,0,10.59,0,6.74,48.15,0,0,0,0,0,33.7,0,0,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2830.38

16,03:45-04:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0,0,0,96.3,24.08,0,100,21.13,21.13,0,11.06,477,0,0,0,10.59,0,6.74,48.15,0,0,0,0,0,33.7,0,0,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2830.38

17,04:00-04:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0,0,0,96.3,24.08,0,100,21.13,21.13,0,10.87,487,0,0,0,10.59,0,6.74,48.15,0,0,0,0,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2662.04

18,04:15-04:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0,0,0,96.3,24.08,0,100,21.13,21.13,0,10.87,447,0,0,0,10.59,0,6.74,48.15,0,0,0,0,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2622.04

19,04:30-04:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0,0,0,96.3,24.08,0,100,21.13,21.13,0,10.87,407,0,0,0,10.59,0,6.74,48.15,0,0,0,0,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2582.04

20,04:45-05:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0,0,0,96.3,24.08,0,100,21.13,21.13,0,10.87,367,0,0,0,10.59,0,6.74,48.15,0,0,0,0,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2542.04

21,05:00-05:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0,0,0,96.3,24.08,0,0,26.93,26.93,0,10.79,0,0,0,0,10.59,0,6.74,48.15,0,0,0,0,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2086.56

22,05:15-05:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0.02,0,0,96.3,24.08,0,0,26.93,26.93,0,10.79,0,0,0,0,10.59,0,6.74,48.15,0,0,0,0,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2086.58

23,05:30-05:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0.12,0,0,96.3,24.08,0,0,26.93,26.93,0,10.79,0,0,0,0,10.59,0,5.78,48.15,0,0,0,0,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2085.72

24,05:45-06:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.48,0,0.13,0,0,96.3,24.08,0,0,26.93,26.93,0,10.79,0,0,0,0,10.59,0,5.78,48.15,0,0,0,0,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2085.73

25,06:00-06:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.58,0,0.68,0,0,96.3,24.08,0,0,26.93,26.93,0,10.69,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2099.7599999999998

26,06:15-06:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.58,0,1.44,0,0,96.3,24.08,0,0,26.93,26.93,0,10.69,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,165.64,14.44,0,0,28.89,2100.52

27,06:30-06:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.58,0,4.78,0,1,96.3,24.08,0,0,26.93,26.93,0,10.69,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,0,14.44,0,0,28.89,1939.22

28,06:45-07:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.58,0,7.97,0,4,96.3,24.08,0,0,26.93,26.93,0,10.69,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,0,14.44,0,0,28.89,1945.41

29,07:00-07:15,47.19,96.3,0,48.15,192.6,0,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,0,11.99,0,14,96.3,24.08,0,0,26.93,26.93,0,10.41,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,0,14.44,0,0,28.89,1737.7500000000002

30,07:15-07:30,47.19,96.3,0,48.15,192.6,0,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,0,17.19,0,28,96.3,24.08,0,0,26.93,26.93,0,10.41,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,0,14.44,0,0,28.89,1756.9500000000003

31,07:30-07:45,47.19,96.3,0,48.15,192.6,0,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,0,23.38,0,42,96.3,24.08,0,0,26.93,26.93,0,10.41,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,0,14.44,0,0,28.89,1777.1400000000003

32,07:45-08:00,47.19,96.3,0,48.15,192.6,0,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,0,30.25,0,56,96.3,24.08,0,0,26.93,26.93,0,10.41,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,96.3,0,0,0,192.6,0,14.44,0,0,28.89,1798.0100000000002

33,08:00-08:15,47.19,96.3,0,48.15,192.6,0,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.96,96.3,37.64,7.7,70,96.3,24.08,0,0,26.93,26.93,0,10.23,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,0,14.44,0,0,28.89,1827.2100000000003

34,08:15-08:30,47.19,96.3,0,48.15,192.6,0,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.96,96.3,45.09,7.7,88,96.3,24.08,0,0,26.93,26.93,0,10.23,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,0,14.44,0,0,28.89,1852.6600000000003

35,08:30-08:45,47.19,96.3,0,48.15,192.6,0,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.96,96.3,52.52,7.7,105,96.3,24.08,0,0,26.93,26.93,0,10.23,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,77.04,14.44,0,0,28.89,1954.1300000000003

36,08:45-09:00,47.19,96.3,0,48.15,192.6,0,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.96,96.3,60.1,7.7,123,96.3,24.08,0,0,26.93,26.93,0,10.23,0,0,0,0,10.59,0,4.82,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,0,0,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,77.04,14.44,0,0,28.89,1979.7100000000003

37,09:00-09:15,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,67.46,10.59,137,96.3,24.08,0,0,26.94,26.94,0,10.04,0,0,0,52.68,10.59,0,5.78,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,77.04,14.44,0,0,28.89,2009.5599999999997

38,09:15-09:30,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,73.73,10.59,151,96.3,24.08,0,0,26.94,26.94,0,10.04,0,0,0,52.68,10.59,0,5.78,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,77.04,14.44,0,0,28.89,2029.8299999999997

