Time,Block,NR/2023/15349/D,NR/2023/13859/A,NR/2023/11315/A,NR/2023/11203/A,ER/2023/9449/C,NR/2023/11739/A,NR/2023/13858/A,NR/2023/11697/A,NR/2023/11328/A,NR/2023/11325/A,NR/2023/11654/A,NR/2023/13284/A,NR/2023/12646/A,NR/2023/15348/D,NR/2023/11458/A,NR/2023/14187/F,NR/2023/15357/C,NR/2023/11954/A,NR/2023/11469/A,NR/2023/13573/A,NR/2023/13983/F,NR/2023/15346/D,NR/2023/15358/C,NR/2023/15353/C,NR/2023/15355/C,NR/2023/15356/C,NR/2023/13283/A,NR/2023/14688/F,NR/2023/15361/C,NR/2023/13983/F/II,NR/2023/14688/F/II,NR/2023/11470/A,Total
5,01:00-01:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.540000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.140000,24.150000,21.240000,1326.27

6,01:15-01:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.540000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.140000,24.150000,21.240000,1326.27

7,01:30-01:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.540000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.140000,24.150000,21.240000,1326.27

8,01:45-02:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.540000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.140000,24.150000,21.240000,1326.27

9,02:00-02:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.460000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.120000,24.150000,21.240000,1326.17

10,02:15-02:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.460000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.120000,24.150000,21.240000,1326.17

11,02:30-02:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.460000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.120000,24.150000,21.240000,1326.17

12,02:45-03:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.460000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.120000,24.150000,21.240000,1326.17

13,03:00-03:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,98.530000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,20.290000,18.210000,0.000000,3.860000,21.240000,1266.55

14,03:15-03:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,98.530000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,20.290000,18.210000,0.000000,3.860000,21.240000,1266.55

15,03:30-03:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,98.530000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,20.290000,18.210000,0.000000,3.860000,21.240000,1266.55

16,03:45-04:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,98.530000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,20.290000,18.210000,0.000000,3.860000,21.240000,1266.55

17,04:00-04:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,98.530000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1266.55

18,04:15-04:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,98.530000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1266.55

19,04:30-04:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,98.530000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1266.55

20,04:45-05:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,98.530000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1266.55

21,05:00-05:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,0.000000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1168.02

22,05:15-05:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,0.000000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1168.02

23,05:30-05:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,0.000000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1168.02

24,05:45-06:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,0.000000,18.350000,0.000000,3.860000,0.000000,0.000000,84.990000,28.980000,0.530000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1168.02

25,06:00-06:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,3.860000,0.000000,0.000000,84.990000,28.980000,0.680000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1051.28

26,06:15-06:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,3.860000,0.000000,0.000000,84.990000,28.980000,0.680000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1051.28

27,06:30-06:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,3.860000,0.000000,0.000000,84.990000,28.980000,0.680000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1051.28

28,06:45-07:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,3.860000,0.000000,0.000000,84.990000,28.980000,0.680000,0,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1051.28

29,07:00-07:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.680000,0.26,5.040000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1051.72

30,07:15-07:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.680000,0.49,5.040000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1051.95

31,07:30-07:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.680000,0.72,5.040000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1052.18

32,07:45:08:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.680000,0.82,5.040000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1052.28

33,08:00-08:15,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,0.97,5.040000,0.000000,0.000000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1131.8

34,08:15-08:30,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,1.45,5.040000,0.000000,0.000000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1132.28

35,08:30-08:45,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,1.93,5.040000,0.000000,0.000000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1132.76

36,08:45:09:00,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,2.13,5.040000,0.000000,0.000000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1132.96

37,09:00:09:15,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,2.7,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1170.72

38,09:15-09:30,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,2.9,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1170.92

39,09:30-09:45,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,3.09,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1171.11

40,09:45-10:00,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,0.000000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,3.38,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1171.4

41,10:00-10:15,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,3.38,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1262.2

42,10:15-10:30,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,3.86,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1262.68

43,10:30-10:45,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,4.06,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1262.88

44,10:45-11:00,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,4.64,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,21.240000,1263.46

45,11:00-11:15,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,4.83,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,16.450000,1215.31

46,11:15-11:30,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,5.31,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,16.450000,1215.79

47,11:30-11:45,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,5.8,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,16.450000,1216.28

48,11:45-12:00,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,6.04,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,17.290000,0.000000,0.000000,16.450000,1216.52

49,12:00-12:15,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,6.76,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,16.450000,1218.16

50,12:15-12:30,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,6.96,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,16.450000,1218.36

51,12:30-12:45,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,6.57,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,16.450000,1217.97

52,12:45-13:00,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,6.28,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,16.450000,1217.68

53,13:00-13:15,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,5.8,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,16.450000,1217.2

54,13:15-13:30,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,5.6,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,16.450000,1217

55,13:30-13:45,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,5.31,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,16.450000,1216.71

56,13:45-14:00,149.650000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,90.800000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,4.64,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,16.450000,1216.04

57,14:00-14:15,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,4.35,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1297.14

58,14:15-14:30,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,3.38,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1296.17

59,14:30-14:45,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,2.9,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1295.69

60,14:45-15:00,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,2.7,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1295.49

61,15:00-15:15,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,2.42,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1295.21

62,15:15-15:30,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,2.13,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1294.92

63,15:30-15:45,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,1.74,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1294.53

64,15:45-16:00,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,0.000000,0.000000,0.000000,84.990000,28.980000,0.970000,1.45,5.040000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1294.24

65,16:00-16:15,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,3.860000,0.000000,0.000000,84.990000,28.980000,0.820000,1.16,1.000000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1293.62

66,16:15-16:30,193.200000,188.370000,22.220000,63.030000,80.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,3.860000,0.000000,0.000000,84.990000,28.980000,0.820000,1.06,1.000000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1293.52

67,16:30-16:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,3.860000,0.000000,0.000000,84.990000,28.980000,0.820000,0.97,1.000000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1213.43

68,16:45-17:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,23.120000,18.350000,106.260000,3.860000,0.000000,0.000000,84.990000,28.980000,0.820000,0.77,1.000000,8.210000,28.980000,6.760000,24.150000,24.150000,12.680000,0.000000,0.000000,21.240000,1213.23

69,17:00-17:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,48.300000,3.860000,0.000000,0.000000,84.990000,28.980000,0.820000,0.29,1.000000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1100.01

