Time,Block,NER/2024/2023/A/7243,WR/2024/21675/A/7247,NR/2024/18740/C,NR/2024/18388/A/6996,WR/2024/21740/A/7260,WR/2024/21710/A/7262,SR/2024/12123/C,NR/2024/18691/A/7256,Total
76,18:45-19:00,25.000000,57.760000,0,0.530000,50.000000,25.000000,0.00,81.610000,239.9

77,19:00-19:15,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

78,19:15-19:30,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

79,19:30-19:45,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

80,19:45-20:00,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

81,20:00-20:15,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

82,20:15-20:30,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

83,20:30-20:45,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

84,20:45-21:00,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

85,21:00-21:15,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

86,21:15-21:30,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

87,21:30-21:45,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

88,21:45-22:00,25.000000,57.760000,0,0.630000,50.000000,25.000000,0.00,81.610000,240

89,22:00-22:15,25.000000,57.760000,0,0.530000,50.000000,0.000000,0.00,0.000000,133.29

90,22:15-22:30,25.000000,57.760000,0,0.530000,50.000000,0.000000,0.00,0.000000,133.29

91,22:30-22:45,25.000000,57.760000,0,0.530000,50.000000,0.000000,0.00,0.000000,133.29

92,22:45-23:00,25.000000,57.760000,0,0.530000,50.000000,0.000000,0.00,0.000000,133.29

93,23:00-23:15,25.000000,0.000000,0,0.480000,50.000000,0.000000,100.00,0.000000,175.48

94,23:15-23:30,25.000000,0.000000,0,0.480000,50.000000,0.000000,100.00,0.000000,175.48

95,23:30-23:45,25.000000,0.000000,0,0.480000,50.000000,0.000000,100.00,0.000000,175.48

96,23:45-24:00,25.000000,0.000000,0,0.480000,50.000000,0.000000,100.00,0.000000,175.48

