Time,Block,NR/2023/11953/A,NR/2023/10956/A,NR/2023/13925/D,NR/2023/10435/A,NR/2023/13928/D,NR/2023/11712/A,NR/2023/10786/A,NR/2023/12814/F,NR/2023/13053/F,NR/2023/10460/A,NR/2023/12917/F,NR/2023/12924/F,NR/2023/12872/F,NR/2023/10947/A,NR/2023/13929/D,NR/2023/13935/D,NR/2023/10651/A,NR/2023/12919/F,NR/2023/13951/C,NR/2023/12706/A,NR/2023/12923/F,NR/2023/13954/C,NR/2023/11266/A,ER/2023/8598/C,NR/2023/13369/F,NR/2023/13923/D,NR/2023/12915/F,NR/2023/10650/A,NR/2023/12921/F,NR/2023/13955/C,NR/2023/10720/A,NR/2023/13679/F,NR/2023/13053/F/II,NR/2023/12920/F,NR/2023/10561/A,NR/2023/10488/A,NR/2023/13939/C,NR/2023/13937/C,NR/2023/11709/A,NR/2023/12916/F,NR/2023/10432/A,NR/2023/13934/D,NR/2023/10959/A,NR/2023/10705/A,NR/2023/12661/A,NR/2023/10436/A,NR/2023/11507/A,NR/2023/12813/F,NR/2023/12169/A,NR/2023/11068/A,NR/2023/12922/F,Total

3,00:30-00:45,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,12.070000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,12.130000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.06

4,00:45-01:00,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,12.070000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,12.130000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.06

5,01:00-01:15,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,7.350000,23.240000,0.920000,0.610000,0.530000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,16.860000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.12

6,01:15-01:30,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,7.350000,23.240000,0.920000,0.610000,0.530000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,16.860000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.12

7,01:30-01:45,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,7.350000,23.240000,0.920000,0.610000,0.530000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,16.860000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.12

8,01:45-02:00,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,7.350000,23.240000,0.920000,0.610000,0.530000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,16.860000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.12

9,02:00-02:15,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,7.090000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,17.120000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.07

10,02:15-02:30,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,7.090000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,17.120000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.07

11,02:30-02:45,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,7.090000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,17.120000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.07

12,02:45-03:00,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,7.090000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,17.120000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.07

13,03:00-03:15,0.000000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,24.200000,23.240000,0.920000,0.610000,0.440000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,35.160000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1751.45

14,03:15-03:30,0.000000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,24.200000,23.240000,0.920000,0.610000,0.440000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,35.160000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1751.45

15,03:30-03:45,0.000000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,24.200000,23.240000,0.920000,0.610000,0.440000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,35.160000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1751.45

16,03:45-04:00,0.000000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,24.200000,23.240000,0.920000,0.610000,0.440000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,35.160000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1751.45

17,04:00-04:15,0.000000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,24.200000,23.240000,0.920000,0.610000,0.440000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,35.160000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1751.45

18,04:15-04:30,0.000000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,24.200000,23.240000,0.920000,0.610000,0.440000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,35.160000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1751.45

19,04:30-04:45,0.000000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,24.200000,23.240000,0.920000,0.610000,0.440000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,35.160000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1751.45

20,04:45-05:00,0.000000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,24.200000,23.240000,0.920000,0.610000,0.440000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,35.160000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1751.45

21,05:00-05:15,0.000000,85.170000,0,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.230000,33.640000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1651.03

22,05:15-05:30,0.000000,85.170000,0,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.230000,33.640000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1651.03

23,05:30-05:45,0.000000,85.170000,0,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.230000,33.640000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1651.03

24,05:45-06:00,0.000000,85.170000,0,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,48.410000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.230000,33.640000,0.000000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1651.03

25,06:00-06:15,0.000000,85.170000,0,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.530000,0.000000,0.000000,1.4,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,7.750000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.040000,33.640000,0.000000,0.520000,43.570000,0.6,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1318.11

26,06:15-06:30,0.000000,85.170000,0,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.530000,0.000000,0.000000,6.18,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,7.750000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.040000,33.640000,0.000000,0.520000,43.570000,2.65,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1324.94

27,06:30-06:45,0.000000,85.170000,0,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.530000,0.000000,0.000000,10.62,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,7.750000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.040000,33.640000,0.000000,0.520000,43.570000,4.55,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1331.28

28,06:45-07:00,0.000000,85.170000,0.19,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.530000,0.000000,0.000000,16.72,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,53.000000,0.000000,0.000000,0.370000,7.750000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.040000,33.640000,0.000000,0.520000,43.570000,7.17,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1393.19

29,07:00-07:15,0.000000,85.170000,0.39,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,45.510000,23.63,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,0.000000,0.000000,0.370000,7.750000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,18.860000,33.640000,0.000000,0.520000,43.570000,10.12,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1495.73

30,07:15-07:30,0.000000,85.170000,0.61,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,45.510000,28,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,0.000000,0.000000,0.370000,7.750000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,18.860000,33.640000,0.000000,0.520000,43.570000,12,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1502.2

31,07:30-07:45,0.000000,85.170000,1.13,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,45.510000,35,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,0.000000,0.000000,0.370000,7.750000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,18.860000,33.640000,0.000000,0.520000,43.570000,15,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1512.72

32,07:45:08:00,0.000000,85.170000,1.16,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,45.510000,50.4,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,0.000000,0.000000,0.370000,7.750000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,18.860000,33.640000,0.000000,0.520000,43.570000,21.6,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1534.75

33,08:00-08:15,0.000000,85.170000,1.74,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,59.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,0.000000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.860000,33.640000,0.000000,0.520000,43.570000,25.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1573.07

34,08:15-08:30,0.000000,85.170000,2.03,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,70,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,0.000000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.860000,33.640000,0.000000,0.520000,43.570000,30,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1588.36

35,08:30-08:45,0.000000,85.170000,2.42,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,89.6,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,0.000000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.860000,33.640000,0.000000,0.520000,43.570000,38.4,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1616.75

36,08:45:09:00,0.000000,85.170000,2.9,24.200000,147.910000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,102.9,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,0.000000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.860000,33.640000,0.000000,0.520000,43.570000,44.1,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1636.23

37,09:00:09:15,0.000000,85.170000,3.68,24.200000,99.270000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,113.4,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,35.670000,0.000000,0.520000,43.570000,48.6,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1622.41

38,09:15-09:30,0.000000,85.170000,3.87,24.200000,99.270000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,119,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,35.670000,0.000000,0.520000,43.570000,51,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1630.6

39,09:30-09:45,0.000000,85.170000,4.07,24.200000,99.270000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,136.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,35.670000,0.000000,0.520000,43.570000,58.5,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1655.8

40,09:45-10:00,0.000000,85.170000,4.26,24.200000,99.270000,64.390000,0.000000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,147,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,35.670000,0.000000,0.520000,43.570000,63,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1670.99

41,10:00-10:15,0.000000,85.170000,5.23,24.200000,99.270000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,154,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,37.710000,0.000000,0.520000,43.570000,66,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1775.01

