Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/02/01/2143,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/02/01/5886,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/4863,NR/01102023/19072037/LT-05,GNA/SR/2025/02/01/7432,GNA/SR/2025/02/01/6460,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/2594,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,GNARE/SR/2025/01/13/4532
10,02:15-02:30,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,23.33,0,0,0,15.66,70.01,23.33,60,60,0,0,0,0,0,0,0,0,0,0,6

11,02:30-02:45,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,23.33,0,0,0,15.34,70.01,23.33,49.34,49.33,0,0,0,0,0,0,0,0,0,0,6

12,02:45-03:00,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,23,0,0,0,15,69,23,48.66,48.67,0,0,0,0,0,0,0,0,0,0,6

13,03:00-03:15,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,22.83,0,0,0,14.34,68.51,22.83,38.66,38.67,0,0,0,0,0,0,0,0,0,0,6

14,03:15-03:30,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,22.33,0,0,0,13.66,67.01,22.33,38,38,0,0,0,0,0,0,0,0,0,0,6

15,03:30-03:45,0,26.12,0,0,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,22,0,0,0,12,66,22,47,47,0,0,0,0,0,0,0,0,0,0,6

16,03:45-04:00,0,26.12,0,0,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,21.83,0,0,0,11.34,65.51,21.83,47.34,47.33,0,0,0,0,0,0,0,0,0,0,6

17,04:00-04:15,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,21.5,0,0,0,12,64.5,21.5,47.66,47.67,0,0,0,0,0,0,0,0,0,0,6

18,04:15-04:30,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,21.5,0,0,0,11.67,64.5,21.5,48.34,48.33,0,0,0,0,0,0,0,0,0,0,6

19,04:30-04:45,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,21.33,0,0,0,11.33,64.01,21.33,49.34,49.33,0,0,0,0,0,0,0,0,0,0,6

20,04:45-05:00,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,21.17,0,0,0,11,63.49,21.17,50,50,0,0,0,0,0,0,0,0,0,0,6

21,05:00-05:15,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,21,0,0,0,10.67,63,21,49.66,49.67,0,0,0,0,0,0,0,0,0,0,6

22,05:15-05:30,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,20.5,0,0,0,10.33,61.5,20.5,49.66,49.67,0,0,0,0,0,0,0,0,0,0,6

23,05:30-05:45,0,26.12,0,0,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,16.5,0,0,0,10,49.5,16.5,48.66,48.67,0,0,0,0,0,0,0,0,0,0,6

24,05:45-06:00,0,26.12,0,0,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,66,0,75,0,0,0,23.08,16.17,0,0,0,9.67,48.49,16.17,48.66,48.67,0,0,0,0,0,0,0,0,0,0,6

25,06:00-06:15,0,25.35,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,66,0,75,0,0,0,23.08,15.67,0,0,0.13,9,46.99,15.67,39.66,39.67,0,0,0,0,0,0,0,0,0,0,6

26,06:15-06:30,0,25.35,0,0.63,59.46,0,198.97,23.08,0.92,100.18,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,66,0,75,0,0,0,23.08,14.67,0,0,1.35,8.33,43.99,14.67,37.34,37.33,0,0,0,0,0,0,0,0,0,0,6

27,06:30-06:45,0,25.35,0,0.63,76.25,0,261.07,25.96,0.92,100.18,1.29,32,25.73,271.89,8.65,1.25,23.08,8.65,66,0,75,0,0,0,25.96,14,0,0,2.98,7.67,42,14,35.34,35.33,0,0,0,0,0,0,0,0,0,0,6

28,06:45-07:00,0,25.35,0,0.63,86.74,0,261.07,25.96,0.92,100.18,1.29,32,25.23,271.89,8.65,1.25,23.08,8.65,82.95,0,75,0,0,0,25.96,13,1,1.46,6.06,7.33,39,13,33,33,0,0,0,0,0,0,0,0,0,0,6

29,07:00-07:15,0,32,0,0.63,86.74,0,261.07,25.96,0.92,100.18,1.29,32,24.72,271.89,8.65,1.25,23.08,8.65,115.03,0,75,0,0,0,25.96,12.33,3,5.84,13.78,7.33,37.01,12.33,32.66,32.67,0,2,0,0,1,0,0,1,0,1.42,6

30,07:15-07:30,0,32,0,0.63,86.74,0,261.07,25.96,0.92,100.18,1.29,32,24.22,271.89,8.65,1.25,23.08,8.65,115.03,0,75,0,0,0,25.96,11.5,7,13.14,24.16,7.67,34.5,11.5,31.66,31.67,0,3,0,1,4,1,1,2,0,7.17,6

31,07:30-07:45,0.14,32,0.14,0,86.74,0.14,261.07,25.96,0.92,100.18,1.29,32,24.22,271.89,8.65,1.25,23.08,8.65,115.03,0,75,0,0,0,25.96,10.83,11,26.35,26.35,7,32.51,10.83,31,31,2.13,5,0,2,7,3,2,3,0.43,14.65,6

32,07:45-08:00,0.57,32,0.56,0,86.74,0.56,261.07,25.96,0.92,100.18,1.29,32,23.72,271.89,8.65,1.25,25.96,8.65,115.03,0,75,0,0,0,25.96,10.67,18,25.35,25.35,7,31.99,10.67,30.66,30.67,8.54,7,1.14,5,18,7,3,10,1.71,22.31,6

33,08:00-08:15,1.3,32,1.27,0.63,86.74,1.27,261.07,34.62,0.92,100.18,1.29,32,23.72,271.89,8.65,1.3,34.62,8.65,115.03,0,75,0,0,0,34.62,9.83,23.9,23.9,23.9,7,29.51,9.83,28.66,28.67,19.23,13,4.56,5,14,6,5,10,3.85,31.93,6

34,08:15-08:30,1.87,32,1.82,0.63,86.74,1.82,261.07,34.62,0.92,100.18,1.29,32,23.72,271.89,8.65,1.3,34.62,8.65,115.03,0,75,0,0,0,34.62,9.17,23.9,23.9,23.9,7,27.49,9.17,26.34,26.33,42.26,17,9.76,7,28,12,7,13,8.45,43.55,6

35,08:30-08:45,2.92,32,2.86,0.63,86.74,2.86,261.07,34.62,0.92,100.18,1.29,32,23.72,271.89,8.65,1.3,34.62,8.65,115.03,0,75,0,0,0,34.62,8.33,24.34,24.33,24.33,7,25.01,8.33,23.34,23.33,64.57,25,17.57,13,63,27,12,27,12.91,56.12,6

36,08:45-09:00,4.19,32,4.1,0.63,86.74,4.1,261.07,34.62,0.92,100.18,1.29,32,23.21,271.89,8.65,1.3,34.62,8.65,115.03,0,75,0,0,0,34.62,7.5,24.66,24.67,24.67,7,22.5,7.5,21.34,21.33,85.89,37,26.48,17,81,34,16,33,17.18,68.45,6

37,09:00-09:15,5.42,32,5.29,0.63,86.74,5.29,261.07,23.08,0.92,100.18,1.29,32,23.21,271.89,8.65,1.3,23.08,8.65,66,0,75,0,0,0,23.08,7.17,24.66,24.67,24.67,7,21.49,7.17,15,15,105.75,46,35.88,22,95,40,21,43,21.15,79.89,6

38,09:15-09:30,6.53,32,6.37,0.63,86.74,6.37,261.07,23.08,0.92,100.18,1.29,32,22.71,271.89,8.65,1.3,23.08,8.65,66,0,75,0,0,0,23.08,7,24.66,24.67,24.67,7,21,7,15,15,124.37,53,43.4,26,119,51,25,52,24.88,90.52,6

39,09:30-09:45,7.72,32,7.53,0,86.74,7.53,261.07,23.08,0.92,100.18,1.29,32,22.2,271.89,8.65,1.3,23.08,8.65,66,0,75,0,0,0,23.08,7.5,25,25,25,7,22.5,7.5,15,15,141.72,63,50.85,28,123,52,30,57,28.35,100.41,6

40,09:45-10:00,8.85,32,8.63,0,86.74,8.63,261.07,23.08,0.92,100.18,1.29,32,22.2,271.89,8.65,1.3,23.08,8.65,66,0,75,0,0,0,23.08,7.5,25,25,25,7,22.5,7.5,15,15,163.07,68,58.3,32,140,60,34,63,32.61,109.5,6

41,10:00-10:15,10.05,26.12,9.8,0.63,86.74,9.8,261.07,23.08,0.92,100.18,1.29,32,22.2,271.89,8.65,1.35,23.08,8.65,66,0,75,0,0,0,23.08,7.5,25,25,25,7,22.5,7.5,14.66,14.67,178.16,78,64.47,36,158,67,37,72,35.63,117.65,6

42,10:15-10:30,10.83,26.12,10.56,0.63,86.74,10.56,261.07,23.08,0.92,100.18,1.29,32,22.2,271.89,8.65,1.35,23.08,8.65,66,0,75,0,0,0,23.08,7.5,25,25,25,7,22.5,7.5,14.34,14.33,195.59,83,70.91,39,175,75,39,77,39.12,124.73,6

43,10:30-10:45,13.46,26.12,14.56,0.63,86.74,14.56,261.07,23.08,0.92,100.18,1.29,32,21.7,271.89,8.65,1.35,23.08,8.65,66,0,75,0,0,0,23.08,7.33,25,25,25,7,22.01,7.33,14.34,14.33,208.22,88,79.27,41,189,81,41,82,41.64,130.77,6

44,10:45-11:00,14.12,26.12,15.3,0.63,64.06,15.3,230.35,23.08,0.92,100.18,1.29,32,21.19,271.89,8.65,1.35,23.08,8.65,66,0,75,0,0,0,23.08,7.17,25,25,25,7,21.49,7.17,14.34,14.33,218.94,91,84.75,45,196,84,43,90,43.79,135.95,6

45,11:00-11:15,14.71,26.12,15.93,0.63,64.06,15.93,226.53,23.08,0.96,100.18,1.29,32,20.18,271.89,8.65,1.35,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,25,25,25,7,21.49,7.17,14.34,14.33,233.33,92,91.06,47,203,87,44,93,46.67,140.5,6

46,11:15-11:30,15.18,26.12,16.45,0.63,64.06,16.45,226.53,23.08,0.96,85.58,1.29,32,19.68,271.89,8.65,1.35,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,26,26,26,7,21.49,7.17,14.34,14.33,233.33,93,92,48,203,87,45,97,46.67,144.36,6

47,11:30-11:45,15.56,26.12,16.85,0,76.25,16.85,226.53,23.08,0.96,75.97,1.29,32,19.68,271.89,8.65,1.35,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,26.34,26.33,26.33,7,21.49,7.17,14.34,14.33,233.33,95,92,48,203,87,46,97,46.67,148.02,6

48,11:45-12:00,15.88,26.12,17.21,0,76.25,17.21,226.53,23.08,0.96,66.35,1.29,32,19.68,271.89,8.65,1.35,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,26.5,26.5,26.5,7,21.49,7.17,14.34,14.33,233.33,96,92,48,203,87,47,97,46.67,151.04,6

49,12:00-12:15,16.16,26.12,17.51,0.63,76.25,17.51,226.53,23.08,0.96,66.35,1.29,32,19.68,271.89,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,15,15,233.33,96,92,50,203,87,47,100,46.67,153.11,6

50,12:15-12:30,16.38,26.12,17.73,0.63,76.25,17.73,226.53,23.08,0.96,52.89,1.29,32,19.68,271.89,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,15.66,15.67,233.33,96,92,50,203,87,47,100,46.67,154.08,6

51,12:30-12:45,16.45,26.99,17.81,0.63,64.06,17.81,226.53,23.08,0.96,52.89,1.29,26.99,20.18,271.89,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,16,16,233.33,96,92,50,203,87,47,100,46.67,153.92,6.2

52,12:45-13:00,16.43,26.99,17.79,0.63,64.06,17.79,226.53,23.08,0.96,52.89,1.29,26.99,20.69,271.89,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,16.34,16.33,233.33,96,92,50,203,87,47,100,46.67,152.9,6.4

53,13:00-13:15,16.35,26.99,17.71,0.63,64.06,17.71,174.05,23.08,0.96,61.18,1.29,26.99,20.69,230.78,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,17,17,233.33,96,92,50,203,87,48,100,46.67,151.04,6.6

54,13:15-13:30,16.2,26.99,17.54,0.63,59.46,17.54,135.59,23.08,0.96,59.33,1.29,26.99,20.69,192.32,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,17.66,17.67,233.33,96,92,50,203,87,47,100,46.67,148.54,6.8

55,13:30-13:45,15.94,26.99,17.27,0,59.46,17.27,135.59,23.08,0.96,52.89,1.29,26.99,20.69,149.54,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,20.66,20.67,233.33,93,100,50,203,87,47,100,46.67,145.5,7.2

56,13:45-14:00,15.65,26.99,16.95,0,59.46,16.95,135.59,23.08,0.96,52.89,1.29,26.99,20.69,149.54,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,21.66,21.67,233.33,93,100,49,203,87,46,99,46.67,141.27,7.4

57,14:00-14:15,15.33,26.99,16.6,0.78,59.46,16.6,135.59,23.08,0.96,52.89,1.29,26.99,20.69,149.54,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,22.66,22.67,233.33,92,100,49,200,85,45,97,46.67,136.33,11

58,14:15-14:30,14.8,26.99,16.02,0.78,59.46,16.02,135.59,23.08,0.96,52.89,1.29,26.99,20.69,192.32,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,23.34,23.33,233.33,91,100,47,196,84,44,93,46.67,130.69,11.41

59,14:30-14:45,14.36,26.99,15.55,0.78,59.46,15.55,135.59,23.08,0.96,52.89,1.29,26.99,20.69,192.32,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,24.34,24.33,233.33,90,100,45,189,81,43,91,46.67,124.29,12.01

60,14:45-15:00,13.78,26.99,14.93,0.78,59.46,14.93,135.59,23.08,0.96,52.89,1.29,26.99,20.69,192.32,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,7.17,27,27,27,6.67,21.49,7.17,24.66,24.67,233.33,88,100,43,182,78,42,86,46.67,117.1,12.41

61,15:00-15:15,13.04,26.99,14.12,0.78,59.46,14.12,135.59,23.08,1,52.89,1.29,26.99,20.69,192.32,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,9.17,27.16,27.17,27.17,6.67,27.49,9.17,30.66,30.67,226.9,85,93.52,40,172,73,40,81,45.38,108.92,13.61

62,15:15-15:30,12.23,26.99,13.26,0.78,59.46,13.26,135.59,23.08,1,52.89,1.29,26.99,20.69,230.78,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,9.67,27.16,27.17,27.17,6.67,28.99,9.67,30,30,213.99,81,88.84,38,161,69,38,77,42.8,99.84,14.01

63,15:30-15:45,11.31,26.99,12.24,0,59.46,12.24,135.59,23.08,1,52.89,1.29,26.99,21.19,230.78,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,10.17,27,27.25,27.25,9.33,30.49,10.17,35,35,198.87,77,83.5,38,151,64,35,75,39.78,90.04,14.01

64,15:45-16:00,10.28,26.99,11.14,0,59.46,11.14,135.59,23.08,1,52.89,1.29,26.99,21.7,230.78,8.65,1.39,23.08,8.65,70.15,0,75,0,0,0,23.08,10.5,18.99,31.2,31.2,8.67,31.5,10.5,35,35,182.41,70,77.52,34,140,60,32,68,36.48,79.45,14.01

65,16:00-16:15,9.13,26.99,9.89,0.78,59.46,9.89,135.59,23.08,1,52.89,1.29,26.99,21.7,271.89,8.65,1.35,23.08,8.65,70.15,0,75,0,0,0,23.08,15,11,32.92,32.92,9.33,45,15,50,50,163.22,63,70.81,31,126,54,29,61,32.65,68.39,18.41

66,16:15-16:30,7.93,26.99,8.58,0.78,59.46,8.58,135.59,23.08,1,52.89,1.29,26.99,22.2,271.89,8.65,1.35,23.08,8.65,70.15,0,75,0,0,0,23.08,14.67,5,32.87,32.87,9,43.99,14.67,46.66,46.67,143.51,55,63.14,27,109,46,26,54,28.7,57.02,18.01

67,16:30-16:45,6.57,26.99,7.11,0.78,59.46,7.11,135.59,23.08,1,100.18,1.29,26.99,22.71,271.89,8.65,1.35,23.08,8.65,70.15,0,75,0,0,0,23.08,17,1,33,33,13.33,51,17,46.66,46.67,123.19,47,54.6,23,95,40,22,47,24.64,45.21,17.61

68,16:45-17:00,5.16,26.99,5.59,0.78,59.46,5.59,170.13,23.08,1,100.18,1.29,26.99,23.21,271.89,8.65,1.35,23.08,8.65,70.15,0,75,0,0,0,23.08,16.17,0,33,33,13,48.49,16.17,45,45,102.2,40,45.48,18,74,31,17,37,20.44,33.28,17.41

69,17:00-17:15,3.58,26.12,3.87,0,59.46,3.87,198.97,36.54,1,100.18,1.29,32,23.72,271.89,8.65,1.35,36.54,8.65,70.15,0,75,0,0,0,36.54,20.67,0,19.71,24.48,16.67,61.99,20.67,50,50,81.72,32,36.12,13,53,22,12,27,16.35,22.28,17.41

70,17:15-17:30,2.48,26.12,2.69,0,64.06,2.69,230.35,36.54,1,100.18,1.29,32,24.72,271.89,8.65,1.35,36.54,8.65,70.15,0,75,0,0,0,36.54,20,0,11.09,14.87,16.67,60,20,48.34,48.33,61.31,20,26.99,8,35,15,5,16,12.26,13.54,17.61

71,17:30-17:45,1.59,26.12,1.72,0.63,86.74,1.72,261.07,36.54,1,100.18,1.29,32,25.73,271.89,8.65,1.35,36.54,8.65,70.15,0,75,0,0,0,36.54,19.17,0,0,7.71,16.33,57.49,19.17,46.66,46.67,35.06,13,18.71,4,18,7,3,8,7.01,7.49,17.61

72,17:45-18:00,0.9,26.12,0.96,0.63,86.74,0.96,261.07,36.54,1,100.18,1.29,32,26.24,271.89,8.65,1.35,36.54,8.65,70.15,0,75,0,0,0,36.54,18.67,0,0,2.64,16,55.99,18.67,43.34,43.33,19.72,9,11.63,2,7,3,2,4,3.95,2.88,17.41

73,18:00-18:15,0.4,25.35,0.44,0.63,86.74,0.44,261.07,36.54,1,100.18,1.29,32,26.24,271.89,8.65,1.35,36.54,8.65,66,0,75,50,200,0,36.54,18,0,0,0,18.33,54,18,40,40,8.77,5,6.43,0,2,1,1,1,1.75,0.05,17.21

74,18:15-18:30,0.1,25.35,0.11,0.63,86.74,0.11,261.07,36.54,1,100.18,1.29,32,26.24,271.89,8.65,1.35,36.54,8.65,74.49,0,75,50,200,0,36.54,17.5,0,0,0,17.67,52.5,17.5,36.66,36.67,2.19,2,0,0,0,0,1,0,0.44,0,16.81

75,18:30-18:45,0,19.31,0,0.63,86.74,0,261.07,36.54,1,100.18,1.29,32,26.74,271.89,8.65,1.35,36.54,8.65,82.97,50,75,50,200,0,36.54,20.33,0,0,0,17,61.01,20.33,35,35,0,0,0,0,0,0,0,0,0,0,17.61

76,18:45-19:00,0,19.31,0,0.63,86.74,0,261.07,36.54,1,100.18,1.29,32,26.74,271.89,8.65,1.35,36.54,8.65,91.46,50,75,50,200,0,36.54,20,0,0,0,16.33,60,20,33.34,33.33,0,0,0,0,0,0,0,0,0,0,17.41

77,19:00-19:15,0,19.31,0,0,86.74,0,261.07,36.54,0.96,100.18,1.29,32,26.74,271.89,8.65,1.35,36.54,8.65,99.94,50,75,50,200,0,36.54,13.83,0,0,0,15.67,41.51,13.83,31.66,31.67,0,0,0,0,0,0,0,0,0,0,17.21

78,19:15-19:30,0,19.31,0,0,86.74,0,261.07,36.54,0.96,100.18,1.29,32,26.74,271.89,8.65,1.35,36.54,8.65,115.03,50,75,50,200,0,36.54,13.5,0,0,0,15,40.5,13.5,31.34,31.33,0,0,0,0,0,0,0,0,0,0,17.01

79,19:30-19:45,0,25.35,0,0.63,86.74,0,261.07,36.54,0.96,100.18,1.29,32,26.74,271.89,8.65,1.35,36.54,8.65,66,50,75,50,200,0,36.54,10.33,0,0,0,10.67,31.01,10.33,25,25,0,0,0,0,0,0,0,0,0,0,17.01

80,19:45-20:00,0,25.35,0,0.63,86.74,0,261.07,36.54,0.96,100.18,1.29,32,26.74,271.89,8.65,1.35,36.54,8.65,66,50,75,50,200,0,36.54,10.33,0,0,0,10.33,31.01,10.33,22.66,22.67,0,0,0,0,0,0,0,0,0,0,16.81

81,20:00-20:15,0,25.35,0,0.63,86.74,0,261.07,36.54,0.96,100.18,1.29,32,26.24,271.89,8.65,1.3,36.54,8.65,89.57,50,75,50,150,0,36.54,10.17,0,0,0,10,30.49,10.17,23.34,23.33,0,0,0,0,0,0,0,0,0,0,16.41

