Time,Block,NR/2024/19735/C,NR/2024/19043/A/16618,NR/2024/19656/A/17172,NR/2024/19730/C,NR/2024/18978/A/16660,NR/2024/18986/A/16681,NR/2024/19731/C,NR/2024/18976/A/16658,NR/2024/18996/A/17293,NR/2024/19469/A/16687,NR/2024/19622/A/16944,NR/2024/19789/C,NR/2024/19737/C,NR/2024/19172/A/17368,NR/2024/18919/A/17214,NR/2024/19121/A/16749,NR/2024/19785/C,NR/2024/19115/A/16608,NR/2024/19677/A/17280,NR/2024/19734/C,NR/2024/19075/A/16610,NR/2024/19024/A/16690,NR/2024/19774/C,NR/2024/19772/C,NR/2024/19771/C,NR/2024/19484/A/17289,NR/2024/18855/A/16750,NR/2024/19609/A/17183,NR/2024/19485/A/17288,NR/2024/19030/A/16624,NR/2024/19143/A/16606,NR/2024/19245/A/16689,NR/2024/18977/A/16659,NR/2024/18936/A/16649,NR/2024/19841/C,NR/2024/19761/C,NR/2024/19483/A/17291,NR/2024/18935/A/16648,NR/2024/19679/A/17286,NR/2024/19290/A/17367,NR/2024/19337/A/16688,NR/2024/18934/A/16647,NR/2024/19768/C,NR/2024/19733/C,NR/2024/19783/C,Total
28,06:45-07:00,57.920000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0.7,0,455.63

29,07:00-07:15,57.920000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,1.17,0,489.99

30,07:15-07:30,57.920000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,1.61,0,490.43

31,07:30-07:45,57.920000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,1.81,0,490.63

32,07:45:08:00,57.920000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,2.89,0,491.71

33,08:00-08:15,57.920000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,3.63,0,613.45

34,08:15-08:30,57.920000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,3.88,0,613.7

35,08:30-08:45,57.920000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,4.43,0,614.25

36,08:45:09:00,57.920000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,4.92,0,614.74

37,09:00:09:15,57.920000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,5.44,0,615.26

38,09:15-09:30,57.920000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,6,0,615.82

39,09:30-09:45,57.920000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,5.7,0,615.52

40,09:45-10:00,57.920000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,6.87,0,616.69

41,10:00-10:15,57.920000,46.330000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,48.260000,3.860000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,7.1,0,838.93

42,10:15-10:30,57.920000,46.330000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,48.260000,3.860000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,7.58,0,839.41

43,10:30-10:45,57.920000,46.330000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,48.260000,3.860000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,7.88,0,839.71

44,10:45-11:00,57.920000,46.330000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,48.260000,3.860000,0.000000,48.260000,0.000000,115.840000,0.000000,66.790000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,8.07,0,839.9

45,11:00-11:15,57.920000,46.330000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,48.260000,3.860000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,0.000000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,8.27,0,840.1

46,11:15-11:30,57.920000,46.330000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,48.260000,3.860000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,0.000000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,8.45,0,840.28

47,11:30-11:45,57.920000,46.330000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,48.260000,3.860000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,0.000000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,8.72,0,840.55

48,11:45-12:00,57.920000,46.330000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,48.260000,3.860000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,0.000000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,9.1,0,840.93

