Time,Block,NR/2023/13284/A,NR/2023/13283/A,NR/2023/11521/A,NR/2023/11205/A,NR/2023/14120/F,NR/2023/14117/F,NR/2023/11470/A,NR/2023/14498/D,NR/2023/13983/F,NR/2023/13704/A,NR/2023/14121/F,NR/2023/14114/F,NR/2023/13858/A,NR/2023/11325/A,NR/2023/11204/A,NR/2023/14115/F,NR/2023/11954/A,NR/2023/11264/A,NR/2023/11469/A,NR/2023/11458/A,NR/2023/14119/F,NR/2023/14116/F,NR/2023/11892/A,NR/2023/14516/C,NR/2023/11203/A,NR/2023/11524/A,NR/2023/13283/A/II,NR/2023/14496/D,NR/2023/13859/A,NR/2023/11654/A,NR/2023/14118/F,NR/2023/11697/A,NR/2023/14497/D,NR/2023/11739/A,NR/2023/14113/F,NR/2023/11315/A,NR/2023/13704/A/II,NR/2023/14513/C,NR/2023/14136/F,NR/2023/13573/A,NR/2023/14518/C,NR/2023/14187/F,NR/2023/11328/A,NR/2023/12646/A,NR/2023/14510/C,NR/2023/14521/C,NR/2023/13983/F/II,NR/2023/14499/D,NR/2023/13573/A/II,NR/2023/14493/D,NR/2023/14495/D,NR/2023/14494/D,ER/2023/8825/C,SR/2023/6839/C,Total

3,00:30-00:45,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.870000,0.000000,3.480000,0,0,0,0.000000,0.00,2024.56

4,00:45-01:00,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.870000,0.000000,3.480000,0,0,0,0.000000,0.00,2024.56

5,01:00-01:15,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.680000,0.000000,3.480000,0,0,0,0.000000,0.00,2024.37

6,01:15-01:30,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.680000,0.000000,3.480000,0,0,0,0.000000,0.00,2024.37

7,01:30-01:45,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.680000,0.000000,3.480000,0,0,0,0.000000,0.00,2024.37

8,01:45-02:00,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.680000,0.000000,3.480000,0,0,0,0.000000,0.00,2024.37

9,02:00-02:15,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.580000,18.340000,3.480000,0,0,0,0.000000,0.00,2081.23

10,02:15-02:30,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.580000,18.340000,3.480000,0,0,0,0.000000,0.00,2081.23

11,02:30-02:45,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.580000,18.340000,3.480000,0,0,0,0.000000,0.00,2081.23

12,02:45-03:00,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.580000,18.340000,3.480000,0,0,0,0.000000,0.00,2081.23

13,03:00-03:15,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.260000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,98.470000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.270000,18.340000,0.000000,0,0,0,0.000000,0.00,1920.39

14,03:15-03:30,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.260000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,98.470000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.270000,18.340000,0.000000,0,0,0,0.000000,0.00,1920.39

15,03:30-03:45,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.260000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,98.470000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.270000,18.340000,0.000000,0,0,0,0.000000,0.00,1920.39

16,03:45-04:00,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.260000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,98.470000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.270000,18.340000,0.000000,0,0,0,0.000000,0.00,1920.39

17,04:00-04:15,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.530000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,98.470000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,0,0,0.000000,0.00,1920.39

18,04:15-04:30,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.530000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,98.470000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,0,0,0.000000,0.00,1920.39

19,04:30-04:45,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.530000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,98.470000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,0,0,0.000000,0.00,1920.39

20,04:45-05:00,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.530000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,98.470000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,0,0,0.000000,0.00,1920.39

21,05:00-05:15,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.530000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,0,0,0.000000,0.00,1821.92

22,05:15-05:30,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.530000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,0,0,0.000000,0.00,1821.92

23,05:30-05:45,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.530000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,0,0,0.000000,0.00,1821.92

24,05:45-06:00,77.710000,24.140000,48.270000,231.800000,0.610000,0.930000,21.240000,38.620000,0.530000,6.760000,0.610000,0.520000,77.230000,24.140000,48.270000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,0,0,0.000000,0.00,1821.92

25,06:00-06:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.930000,21.240000,38.620000,0.680000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,1.4,0.6,50.000000,0.00,1506.46

26,06:15-06:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.930000,21.240000,38.620000,0.680000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0.1,6.3,2.7,50.000000,0.00,1513.56

27,06:30-06:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.930000,21.240000,38.620000,0.680000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0.51,10.5,4.5,50.000000,0.00,1519.97

28,06:45-07:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.930000,21.240000,38.620000,0.680000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0.89,17.5,7.5,50.000000,0.00,1530.35

29,07:00-07:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.930000,21.240000,38.620000,0.680000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,1.31,24.5,10.5,50.000000,0.00,1540.77

30,07:15-07:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.930000,21.240000,38.620000,0.680000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,1.77,24.5,10.5,50.000000,0.00,1541.23

31,07:30-07:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.930000,21.240000,38.620000,0.680000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,2.32,35,15,50.000000,0.00,1556.78

32,07:45:08:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.930000,21.240000,38.620000,0.680000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.870000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,2.79,52.5,22.5,50.000000,0.00,1582.25

33,08:00-08:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,2.34,63,27,50.000000,0.00,1627.35

34,08:15-08:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,2.9,75.6,32.4,50.000000,0.00,1645.91

35,08:30-08:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,3.79,82.6,35.4,50.000000,0.00,1656.8

36,08:45:09:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,4.26,93.1,39.9,50.000000,0.00,1672.27

37,09:00:09:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,4.49,105,45,0.000000,0.00,1607.41

38,09:15-09:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,4.94,116.2,49.8,0.000000,0.00,1623.86

