Column1,Block,NR/2025/29470/C,NR/2025/29464/C,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,NR/2025/29507/C,GNA/NR/2025/06/01/5280,NR/2025/29508/C,NR/2025/29510/C,NR/2025/29472/C,NR/2025/29387/C,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/16/6051,NR/2025/29378/C,NR/2025/29471/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,NR/2025/29456/C,GNA/NR/2025/06/01/9719,NR/2025/29523/C,NR/2025/29528/C/Alternate/1,NR/2025/29527/C,NR/2025/29528/C,NR/2025/26562/A/82276,NR/2025/26975/A/82486,NR/2025/26889/A/82298,NR/2025/27281/A/82401,SR/2025/17681/C,NR/2025/29540/C,NR/2025/27157/A/81898,NR/2025/26445/A/82334,NR/2025/27506/A/81775,NR/2025/27726/A/82305,NR/2025/27176/A/82318,NR/2025/29504/C,NR/2025/27168/A/81795,NR/2025/29505/C,NR/2025/27100/A/81900,NR/2025/26566/A/82278,NR/2025/27167/A/81792,NR/2025/29541/C,NR/2025/27725/A/82306,NR/2025/26572/A/82280,NR/2025/26571/A/82279,NR/2025/27499/A/82297,NR/2025/27242/A/82001,NR/2025/26861/A/82292,NR/2025/28719/A/81876,NR/2025/27782/A/82302,NR/2025/27187/A/82312,NR/2025/27728/A/82304,NR/2025/27088/A/82330,NR/2025/27185/A/82316,NR/2025/26565/A/82277,NR/2025/26777/A/81860,NR/2025/26860/A/82213,NR/2025/29502/C,NR/2025/26085/A/81873,NR/2025/27727/A/82303,NR/2025/26952/A/81843,NR/2025/29162/A/81884,NR/2025/29536/C,NR/2025/26785/A/81777,NR/2025/27500/A/81776,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/81771,NR/2025/27356/A/81936,Total
3,00:30-00:45,0,0,26.93,11.92,15.33,20.87,0,11.93,0,0,0,0,32,33.86,19.35,0,0,16.94,16.93,33.86,0,16.93,0,164.7,28.05,0,116.09,27.09,5.8,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,25.23,0,16.93,0,8.79,0,116.09,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.68,26.38,0,1.93,0,0,7.74,0,44.02,17.41,16.93,33.86,0,0,0,2032.68

4,00:45-01:00,0,0,26.93,11.92,15.33,20.87,0,11.93,0,0,0,0,32,33.86,19.35,0,0,16.94,16.93,33.86,0,16.93,0,164.7,28.05,0,116.09,27.09,5.8,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,25.23,0,16.93,0,8.79,0,116.09,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.68,26.38,0,1.93,0,0,7.74,0,44.02,17.41,16.93,33.86,0,0,0,2032.68

5,01:00-01:15,0,0,26.93,11.92,15.33,20.87,0,11.93,0,0,0,0,32,33.86,19.35,0,0,16.76,16.93,33.86,0,16.93,0,164.7,28.05,0,116.09,27.09,5.8,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,25.23,0,16.93,0,8.79,0,116.09,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.68,26.38,0,1.93,0,0,7.74,0,44.02,17.41,16.93,33.86,0,0,0,2032.5

6,01:15-01:30,0,0,26.93,11.92,15.33,20.87,0,11.93,0,0,0,0,32,33.86,19.35,0,0,16.76,16.93,33.86,0,16.93,0,164.7,28.05,0,116.09,27.09,5.8,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,25.23,0,16.93,0,8.79,0,116.09,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.68,26.38,0,1.93,0,0,7.74,0,44.02,17.41,16.93,33.86,0,0,0,2032.5

7,01:30-01:45,0,0,26.93,11.92,15.33,20.87,0,11.93,0,0,0,0,32,33.86,19.35,0,0,16.76,16.93,33.86,0,16.93,0,164.7,28.05,0,116.09,27.09,5.8,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,25.23,0,16.93,0,8.79,0,116.09,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.68,26.38,0,1.93,0,0,7.74,0,44.02,17.41,16.93,33.86,0,0,0,2032.5

8,01:45-02:00,0,0,26.93,11.92,15.33,20.87,0,11.93,0,0,0,0,32,33.86,19.35,0,0,16.76,16.93,33.86,0,16.93,0,164.7,28.05,0,116.09,27.09,5.8,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,25.23,0,16.93,0,8.79,0,116.09,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.68,26.38,0,1.93,0,0,7.74,0,44.02,17.41,16.93,33.86,0,0,0,2032.5

9,02:00-02:15,0,0,26.93,11.92,15.33,20.87,0,11.93,0,0,0,0,26.93,33.86,19.35,0,0,16.57,16.93,33.86,0,16.93,0,115.78,28.05,48.92,116.09,27.09,0,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,0,0,16.93,0,8.79,0,116.09,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.63,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1987.45

10,02:15-02:30,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,16.57,16.93,33.86,0,16.93,0,115.78,28.05,48.92,116.09,27.09,0,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,0,0,16.93,0,8.79,0,116.09,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.63,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1987.4700000000003

11,02:30-02:45,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,16.57,16.93,33.86,0,16.93,0,115.78,28.05,48.92,116.09,27.09,0,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,0,0,16.93,0,8.79,0,116.09,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.63,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1987.4700000000003

12,02:45-03:00,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,16.57,16.93,33.86,0,16.93,0,115.78,28.05,48.92,116.09,27.09,0,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,0,0,16.93,0,8.79,0,116.09,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.63,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1987.4700000000003

13,03:00-03:15,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,16.29,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.57,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,116.09,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.53,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1936.4099999999999

14,03:15-03:30,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,16.29,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.57,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,116.09,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.53,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1936.4099999999999

15,03:30-03:45,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,16.29,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.57,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,116.09,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.53,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1936.4099999999999

16,03:45-04:00,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,16.29,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.57,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,116.09,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.53,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1936.4099999999999

17,04:00-04:15,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.92,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.53,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1486.29

18,04:15-04:30,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.92,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.53,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1486.29

19,04:30-04:45,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.92,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.53,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1486.29

20,04:45-05:00,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.92,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,10.64,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.53,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1486.29

21,05:00-05:15,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.56,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,10.64,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.63,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1466.68

22,05:15-05:30,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.56,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,10.64,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.63,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0,0,0,1466.68

23,05:30-05:45,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.56,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,10.64,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.63,26.38,0,0.97,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0.2,0,0,1465.92

24,05:45-06:00,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.56,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,9.67,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.63,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0.19,0,1,1466.9

25,06:00-06:15,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.37,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,9.67,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.68,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,1.28,0,3,1469.85

26,06:15-06:30,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.37,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,9.67,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.68,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,2.76,0,7,1475.33

27,06:30-06:45,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.37,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,9.67,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.68,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,4.7,0,11,1481.27

28,06:45-07:00,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.37,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,9.67,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.68,26.38,0,0.97,0,0,7.74,135.44,44.02,17.41,16.93,33.86,7.15,0,16,1487.76

29,07:00-07:15,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.28,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,9.67,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0.97,0,0,7.74,135.44,44.02,17.41,16.93,33.86,10.51,0,20,1495.2199999999998

30,07:15-07:30,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.28,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,9.67,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0.97,0,0,7.74,135.44,44.02,17.41,16.93,33.86,13.56,0,25,1503.2699999999998

31,07:30-07:45,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.28,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,9.67,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0.97,0,0,7.74,135.44,44.02,17.41,16.93,33.86,17.49,0,28,1510.1999999999998

32,07:45-08:00,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.28,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,9.67,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0.97,0,0,7.74,135.44,44.02,17.41,16.93,33.86,21.95,0,35,1521.6599999999999

33,08:00-08:15,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.19,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,9.67,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.97,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,26.75,4.75,46,1543.1799999999998

34,08:15-08:30,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.19,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,10.64,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.97,26.38,0,0.97,0,0,7.74,135.44,44.02,17.41,16.93,33.86,31.83,5.49,53,1556.0099999999998

35,08:30-08:45,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.19,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,10.64,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.97,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,37,5.8,46,1555.4499999999998

