Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/27167/A/78396,NR/2025/28246/C,NR/2025/26975/A/78722,NR/2025/27782/A/78716,NR/2025/26569/A/78689,NR/2025/28247/C,NR/2025/26570/A/78690,NR/2025/27359/A/78394,NR/2025/27162/A/78721,NR/2025/27281/A/78811,NR/2025/28242/C,NR/2025/27157/A/78293,NR/2025/28256/C,NR/2025/28262/C,NR/2025/28165/C,NR/2025/28245/C,NR/2025/28243/C,NR/2025/28248/C,NR/2025/28257/C,NR/2025/26777/A/78384,NR/2025/27356/A/78395,NR/2025/28173/C,NR/2025/26860/A/78642,NR/2025/27393/A/78391,NR/2025/27361/A/78392,NR/2025/26564/A/78688,NR/2025/28264/C,NR/2025/26952/A/78302,NR/2025/26563/A/78687,NR/2025/26785/A/78744,NR/2025/28228/C,NR/2025/28230/C,NR/2025/27622/A/78319,NR/2025/28229/C,NR/2025/28219/C,NR/2025/26445/A/78755,NR/2025/28227/C,NR/2025/27727/A/78717,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9719,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/08/2376,NR/2025/27499/A/78733,NR/2025/27360/A/78393,NR/2025/27725/A/78720,GNA/NR/2025/06/01/2868,NR/2025/26561/A/78686,NR/2025/26889/A/78734,GNA/NR/2025/06/01/9257,NR/2025/26861/A/78700,NR/2025/27728/A/78718,NR/2025/27242/A/78475,NR/2025/27726/A/78719,GNA/NR/2025/06/01/2569,NR/2025/27724/A/78371,NR/2025/27168/A/78397,NR/2025/27088/A/78750,GNA/NR/2025/06/01/7786,NR/2025/26085/A/78341,NR/2025/27462/A/78318,GNA/NR/2025/06/01/7663,Total
13,03:00-03:15,0,20.75,0,5.79,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.57,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.53,9.65,41.02,2350.4100000000008

14,03:15-03:30,0,20.75,0,5.79,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.57,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.53,9.65,41.02,2350.4100000000008

15,03:30-03:45,0,20.75,0,5.79,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.57,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.53,9.65,41.02,2350.4100000000008

16,03:45-04:00,0,20.75,0,5.79,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.57,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.53,9.65,41.02,2350.4100000000008

17,04:00-04:15,0,20.75,0,5.79,8.04,0,0,0,33.78,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.37,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.53,9.65,41.02,1843.5800000000002

18,04:15-04:30,0,20.75,0,5.79,8.04,0,0,0,33.78,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.37,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.53,9.65,41.02,1843.5800000000002

19,04:30-04:45,0,20.75,0,5.79,8.04,0,0,0,33.78,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.37,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.53,9.65,41.02,1843.5800000000002

20,04:45-05:00,0,20.75,0,5.79,8.04,0,0,0,33.78,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.37,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.53,9.65,41.02,1843.5800000000002

21,05:00-05:15,0,20.75,0,5.79,8.04,0,0,0,33.78,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.19,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.63,9.65,41.02,1843.5000000000002

22,05:15-05:30,0,20.75,0,5.79,8.04,0,0,0,33.78,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.19,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.63,9.65,41.02,1843.5000000000002

23,05:30-05:45,0,20.75,0,5.79,8.04,0,0,0,33.78,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.19,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.63,9.65,41.02,1841.5700000000002

24,05:45-06:00,0,20.75,0,5.79,8.04,0,0,0,33.78,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.19,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.63,9.65,41.02,1841.5700000000002

25,06:00-06:15,0.3,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,1,0,90.25,0,0,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.92,20.75,23.64,164.08,0,0,0,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.68,9.65,41.02,1599.8100000000002

26,06:15-06:30,0.3,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,4,0,90.25,0,0,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.92,20.75,23.64,164.08,0,0,0,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.68,9.65,41.02,1602.8100000000002

27,06:30-06:45,6.35,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,7,0,90.25,0,0,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.92,20.75,23.64,164.08,0,0,0,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.68,9.65,41.02,1611.8600000000001

28,06:45-07:00,9.36,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,162.68,0,0,0,0,0,164.08,14,0,90.25,0,0,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.92,20.75,23.64,164.08,0,0,0,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.68,9.65,41.02,1621.8700000000001

29,07:00-07:15,13.25,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,108.45,0,0,0,0,0,164.08,25,0,90.25,0,0,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.73,20.75,26.26,164.08,0,0,0,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.87,9.65,41.02,1573.56

30,07:15-07:30,18.18,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,108.45,0,0,0,0,0,164.08,35,0,90.25,0,0,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.73,20.75,26.26,164.08,0,0,0,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.87,9.65,41.02,1588.49

31,07:30-07:45,24.66,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,108.45,0,0,0,0,0,164.08,49,0,90.25,0,0,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.73,20.75,26.26,164.08,0,0,0,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.87,9.65,41.02,1608.97

32,07:45-08:00,30.84,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,108.45,0,0,0,0,0,164.08,63,0,90.25,0,0,0,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.73,20.75,26.26,164.08,0,0,0,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.87,9.65,41.02,1629.1499999999999

33,08:00-08:15,37.81,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,108.45,0,0,0,0,0,164.08,77,0,90.25,0,0,0,0,0,0,0,0,0,4.45,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.54,20.75,26.26,164.08,0,0,0,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.97,9.65,41.02,1654.48

34,08:15-08:30,44.82,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,108.45,0,0,0,0,0,164.08,91,0,90.25,0,0,0,0,0,0,0,0,0,5.3,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.54,20.75,26.26,164.08,0,0,0,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.97,9.65,41.02,1676.34

35,08:30-08:45,51.84,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,108.45,0,0,0,0,0,164.08,102,0,90.25,0,0,0,0,0,0,0,0,0,5.79,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.54,20.75,26.26,164.08,0,0,0,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.97,9.65,41.02,1694.85

36,08:45-09:00,58.6,20.75,0,5.79,8.04,0,0,0,0,55.92,24.85,0,0,0,108.45,0,0,0,0,0,164.08,116,0,90.25,0,0,0,0,0,0,0,0,0,5.79,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,11.54,20.75,26.26,164.08,0,0,0,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,7.72,20.75,164.08,41.02,0.97,9.65,41.02,1715.61

37,09:00-09:15,64.78,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,126,53.09,0,0,0,0,164.08,0,0,0,0,90.25,7.83,128.97,0,96.52,0,0,41.02,11.89,0,11.9,29.5,11.36,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1776.7399999999998

38,09:15-09:30,70.58,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,140,53.09,0,0,0,0,164.08,0,0,0,0,90.25,8.58,128.97,0,96.52,0,0,41.02,11.89,0,11.9,29.5,11.36,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1797.29

39,09:30-09:45,75.86,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,151,53.09,0,0,0,0,164.08,0,0,0,0,90.25,8.69,128.97,0,96.52,0,0,41.02,11.89,0,11.9,29.5,11.36,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1813.6799999999998

40,09:45-10:00,80.89,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,161,53.09,0,0,0,0,164.08,0,0,0,0,90.25,8.69,128.97,0,96.52,0,0,41.02,11.89,0,11.9,29.5,11.36,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1828.7099999999998

41,10:00-10:15,85.57,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,168,53.09,0,0,0,0,164.08,0,0,0,0,90.25,10.47,128.97,0,96.52,0,0,41.02,11.89,20.75,11.9,29.5,11.27,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1862.8300000000002

