Time,Block,NR/2023/17905/A/740,NR/2023/17064/A,NR/2023/16187/A,NR/2023/17901/A/777,NR/2023/17925/C,WR/2023/18560/A,WR/2023/20254/A/784,NR/2023/17926/C,WR/2023/18560/A/II,WR/2023/20256/A/785,NR/2023/17930/C,Total
47,11:30-11:45,1.930000,100.000000,0.000000,0.970000,3.970000,100.000000,0.000000,6.14,0.000000,0.000000,24.17,237.18

48,11:45-12:00,1.930000,100.000000,0.000000,0.970000,3.970000,100.000000,0.000000,6.48,0.000000,0.000000,24.17,237.52

49,12:00-12:15,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,6.77,0.000000,0.000000,24.17,237.72

50,12:15-12:30,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,7.2,0.000000,0.000000,24.17,238.15

51,12:30-12:45,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,6.77,0.000000,0.000000,24.17,237.72

52,12:45-13:00,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,6.48,0.000000,0.000000,24.17,237.43

53,13:00-13:15,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,5.99,0.000000,0.000000,24.17,236.94

54,13:15-13:30,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,5.32,0.000000,0.000000,24.17,236.27

55,13:30-13:45,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,4.83,0.000000,0.000000,24.17,235.78

56,13:45-14:00,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,4.54,0.000000,0.000000,24.17,235.49

57,14:00-14:15,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,4.16,0.000000,0.000000,24.17,235.11

58,14:15-14:30,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,3.87,0.000000,0.000000,24.17,234.82

59,14:30-14:45,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,3.67,0.000000,0.000000,24.17,234.62

60,14:45-15:00,1.930000,100.000000,0.000000,0.970000,3.880000,100.000000,0.000000,3.48,0.000000,0.000000,24.17,234.43

61,15:00-15:15,1.930000,100.000000,0.000000,0.970000,3.970000,100.000000,0.000000,3.38,0.000000,0.000000,24.17,234.42

62,15:15-15:30,1.930000,100.000000,0.000000,0.970000,3.970000,100.000000,0.000000,3,0.000000,0.000000,24.17,234.04

63,15:30-15:45,1.930000,100.000000,0.000000,0.970000,3.970000,100.000000,0.000000,2.04,0.000000,0.000000,24.17,233.08

64,15:45-16:00,1.930000,100.000000,0.000000,0.970000,3.970000,100.000000,0.000000,1.74,0.000000,0.000000,24.17,232.78

65,16:00-16:15,1.930000,100.000000,0.000000,0.630000,4.060000,100.000000,0.000000,1.55,0.000000,0.000000,0,208.17

66,16:15-16:30,1.930000,100.000000,0.000000,0.630000,4.060000,100.000000,0.000000,1.45,0.000000,0.000000,0,208.07

67,16:30-16:45,1.930000,100.000000,0.000000,0.630000,4.060000,100.000000,0.000000,1.27,0.000000,0.000000,0,207.89

68,16:45-17:00,1.930000,100.000000,0.000000,0.630000,4.060000,100.000000,0.000000,0.9,0.000000,0.000000,0,207.52

69,17:00-17:15,1.930000,100.000000,0.000000,0.580000,4.060000,100.000000,0.000000,0.61,0.000000,0.000000,0,207.18

70,17:15-17:30,1.930000,100.000000,0.000000,0.580000,4.060000,100.000000,0.000000,0.35,0.000000,0.000000,0,206.92

71,17:30-17:45,1.930000,100.000000,0.000000,0.580000,4.060000,100.000000,0.000000,0.14,0.000000,0.000000,0,206.71

72,17:45-18:00,1.930000,100.000000,0.000000,0.580000,4.060000,100.000000,0.000000,0,0.000000,0.000000,0,206.57

73,18:00-18:15,1.930000,100.000000,0.000000,0.630000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,286.62

74,18:15-18:30,1.930000,100.000000,0.000000,0.630000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,286.62

75,18:30-18:45,1.930000,100.000000,0.000000,0.630000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,286.62

76,18:45-19:00,1.930000,100.000000,0.000000,0.630000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,286.62

77,19:00-19:15,1.930000,100.000000,0.000000,0.630000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,286.62

78,19:15-19:30,1.930000,100.000000,0.000000,0.630000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,286.62

79,19:30-19:45,1.930000,100.000000,0.000000,0.630000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,286.62

80,19:45-20:00,1.930000,100.000000,0.000000,0.630000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,286.62

81,20:00-20:15,1.930000,0.000000,0.000000,0.580000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,186.57

82,20:15-20:30,1.930000,0.000000,0.000000,0.580000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,186.57

83,20:30-20:45,1.930000,0.000000,0.000000,0.580000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,186.57

84,20:45-21:00,1.930000,0.000000,0.000000,0.580000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,186.57

85,21:00-21:15,1.930000,0.000000,0.000000,0.580000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,186.57

86,21:15-21:30,1.930000,0.000000,0.000000,0.580000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,186.57

87,21:30-21:45,1.930000,0.000000,0.000000,0.580000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,186.57

88,21:45-22:00,1.930000,0.000000,0.000000,0.580000,4.060000,0.000000,55.000000,0,100.000000,25.000000,0,186.57

89,22:00-22:15,1.930000,0.000000,34.170000,0.580000,4.060000,0.000000,55.000000,0,100.000000,0.000000,0,195.74

90,22:15-22:30,1.930000,0.000000,34.170000,0.580000,4.060000,0.000000,55.000000,0,100.000000,0.000000,0,195.74

91,22:30-22:45,1.930000,0.000000,34.170000,0.580000,4.060000,0.000000,55.000000,0,100.000000,0.000000,0,195.74

92,22:45-23:00,1.930000,0.000000,34.170000,0.580000,4.060000,0.000000,55.000000,0,100.000000,0.000000,0,195.74

93,23:00-23:15,1.930000,0.000000,34.170000,0.580000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.74

94,23:15-23:30,1.930000,0.000000,34.170000,0.580000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.74

95,23:30-23:45,1.930000,0.000000,34.170000,0.580000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.74

96,23:45-24:00,1.930000,0.000000,34.170000,0.580000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.74

