Block,Time Block,TALST2,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,SIMHST2,TALA,SEWA2,SINGRAULI,TEHRI,UNCHAHAR2,TANDA2,UNCHAHAR1,URI2,ANTA_LF,UNCHAHAR3,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,URI,AURY_RF,DADRI_LF,ANTA_CRF,VALLURNTECL,ANTA_RF,UNCHAHAR4,AURY_LF,DADRI_GF,DADRI_RF,KOTESHWR,NLCEXP,KKNPPU2,KUDGI,NLCIIST1,KOLDAM,NJPC,MAPS,NLCIIST2,NAPP,PARBATI2,RAPPB,RSTPSU1TO6,RAPPD,RSTPSU7,RAMPUR,SALAL,RIHAND3,RAPPC,NLCTS2EXP,NNTPP,RIHAND2,NTPL,PARBATI3,SASAN,RIHAND1,CHAMERA3,BSIUL,CHAMERA2,BRBCL,CHAMERA1,DADRT2,KISHANGANGA,JHAJJAR,KHSTPP-I,KGSU1AND2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,KHSTPP-II,KKNP,DULHASTI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,0,0,0.95,6.05,0,0,0,0,145.12,31.37,42.02,3.89,21.18,36.78,0,26.72,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,6.94,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,120.26,0,35.55,333.4,93.86,33.79,12.59,47.12,11.39,27.15,421.03,8.33,271.95,43.95,0,10.57,20.08,0,143.15,0,57.44,0,0,0,0,0

7,01:30-01:45,0,0,0.95,0.49,0,0,0,0,145.12,31.37,42.02,3.89,18.89,36.78,0,26.72,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,20.13,0,0,0,0,6.94,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,120.26,0,35.55,333.4,93.86,33.79,12.59,47.12,9.91,27.15,304.75,8.33,271.95,43.95,0,10.57,20.08,0,143.15,0,57.44,0,0,0,0,0

8,01:45-02:00,0,0,0.95,0.49,0,0,0,0,145.12,31.37,42.02,3.89,17.74,36.78,0,26.72,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,20.13,0,0,0,0,6.94,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,120.26,0,35.55,333.4,93.86,33.79,12.59,47.12,10.22,27.15,199.37,8.33,271.95,43.95,0,10.57,20.08,0,143.15,0,57.44,0,0,0,0,0

9,02:00-02:15,0,0,0.95,0.49,0,0,0,0,145.12,31.37,36.68,3.89,17.74,36.78,0,23.21,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,20.13,0,0,0,0,6.94,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,102.08,0,37.03,333.4,93.86,33.79,12.59,47.12,9.36,27.15,118.3,8.33,248.79,43.95,0,21.12,20.08,0,143.15,0,57.44,0,0,0,0,0

10,02:15-02:30,0,0,0.95,0.49,0,0,0,0,145.12,31.37,36.56,3.89,17.74,36.78,0,23.21,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,20.13,0,0,0,0,4.62,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,102.08,0,37.03,333.4,93.86,33.79,12.59,47.12,10.8,27.15,84.51,8.33,248.79,37.88,0,21.12,17.3,0,143.15,0,57.44,0,0,0,0,0

11,02:30-02:45,0,0,0.95,0.49,0,0,0,0,145.12,31.37,36.56,3.89,17.74,36.78,0,23.21,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.62,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,102.08,0,37.03,333.4,93.86,33.79,12.59,47.12,13.37,27.15,46.77,8.33,248.79,37.88,0,21.12,17.3,0,143.15,0,57.44,0,0,0,0,0

12,02:45-03:00,0,0,0.95,0.49,0,0,0,0,145.12,31.37,36.56,3.89,17.74,36.78,0,23.21,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.62,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,102.08,0,37.03,333.4,93.86,22.52,12.59,47.12,14.73,27.15,46.77,8.33,248.79,37.88,0,21.12,17.3,0,143.15,0,57.44,0,0,0,0,0

13,03:00-03:15,0,0,0.95,0.49,0,0,0,0,145.12,31.37,28.13,3.01,13.28,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.62,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,102.08,0,37.03,333.4,93.86,22.52,12.59,47.12,16.33,27.15,46.77,8.33,240.07,37.88,0,21.12,13.4,0,143.15,0,57.44,0,0,0,0,0

14,03:15-03:30,0,0,0.95,0.49,0,0,0,0,145.12,31.37,28.13,3.01,13.28,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.62,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,102.08,0,37.03,333.4,93.86,22.52,12.59,47.12,13.92,27.15,46.77,8.33,240.07,29.19,0,21.12,13.4,0,143.15,0,57.44,0,0,0,0,0

15,03:30-03:45,0,0,0.95,1.73,0,0,0,0,145.12,31.37,28.29,3.01,13.5,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.62,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,111.2,0,37.03,333.4,93.86,22.52,12.59,47.12,17.05,27.15,46.77,8.33,240.07,29.19,0,21.12,13.4,0,115.03,0,57.44,0,0,0,0,0

16,03:45-04:00,0,0,0.95,1.73,0,0,0,0,145.12,31.37,28.29,3.01,13.5,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.62,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,119.71,0,37.03,333.4,93.86,22.52,12.59,47.12,19.31,27.15,46.77,8.33,240.07,29.19,0,21.12,13.4,0,115.03,0,57.44,0,0,0,0,0

17,04:00-04:15,0,0,0.95,1.73,0,0,0,0,145.12,31.37,28.13,3.01,13.5,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.62,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,111.4,0,37.03,333.4,93.86,22.52,12.59,47.12,19.31,27.15,46.77,8.33,240.07,29.19,0,21.12,13.4,0,115.03,0,57.44,0,0,0,0,0

18,04:15-04:30,0,0,0.95,1.73,0,0,0,0,145.12,30.52,28.29,3.01,13.5,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.62,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,102.08,0,37.03,333.4,93.86,22.52,12.59,47.12,19.31,27.15,46.77,8.33,240.07,29.19,0,21.12,13.4,0,115.03,0,57.44,0,0,0,0,0

19,04:30-04:45,0,0,0.95,1.73,0,0,0,0,145.12,29.98,28.13,3.01,13.5,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.62,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,102.08,0,37.03,333.4,93.86,22.52,12.59,47.12,19.31,27.15,46.77,8.33,240.07,29.19,0,21.12,13.4,0,115.03,0,57.44,0,0,0,0,0

20,04:45-05:00,0,0,0.95,1.73,0,0,0,0,145.12,29.98,28.13,3.01,13.5,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,102.08,0,37.03,333.4,93.86,22.52,12.59,47.12,19.31,27.15,46.77,8.33,240.07,29.19,0,21.12,13.4,0,115.03,0,57.44,0,0,0,0,0

21,05:00-05:15,0,0,0.95,1.73,0,0,0,12.17,130.94,29.98,28.29,3.01,13.5,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,119.06,0,37.03,333.4,65.13,22.52,12.59,47.12,19.31,27.15,46.77,8.33,240.07,29.19,0,21.12,13.4,0,115.03,0,57.44,0,0,0,0,0

22,05:15-05:30,0,0,0.95,1.73,0,0,0,18.24,130.94,29.98,28.13,3.01,13.5,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,120.26,0,37.03,333.4,65.13,22.52,12.59,47.12,19.31,27.15,46.77,8.33,240.07,29.19,0,21.12,13.4,0,115.03,0,57.44,0,0,0,0,0

23,05:30-05:45,0,0,0.95,6.05,0,0,0,18.24,130.94,29.98,28.13,3.01,13.5,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,120.26,0,37.03,333.4,65.13,22.52,12.59,47.12,19.31,27.15,46.77,8.33,240.07,29.19,0,21.12,13.4,0,115.03,0,57.44,0,0,0,0,0

24,05:45-06:00,0,0,0.95,6.05,0,0,0,18.24,130.94,29.98,28.13,3.01,13.5,36.78,0,17.87,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,120.26,0,37.03,333.4,65.13,22.52,12.59,47.12,19.31,27.15,46.77,8.33,240.07,29.19,0,21.12,13.4,0,115.03,0,57.44,0,0,0,0,0

25,06:00-06:15,0,0,0.95,6.05,0,0,0,18.24,130.94,20.91,28.13,3.01,13.5,36.78,0,17.87,0,0,0,0,51.15,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,86.91,0,37.03,333.4,65.13,22.52,12.59,47.12,19.31,18.44,46.77,8.33,240.07,29.19,0,10.57,13.4,0,115.03,0,57.44,0,0,0,0,0

26,06:15-06:30,0,0,0.95,6.05,0,0,0,18.24,130.94,10.46,28.13,3.01,13.5,36.78,0,17.87,0,0,0,0,51.15,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,86.91,0,37.03,333.4,65.13,22.52,12.59,47.12,19.31,11.44,46.77,8.33,240.07,29.19,0,10.57,13.4,0,115.03,0,57.44,0,0,0,0,0

27,06:30-06:45,0,0,0.95,1.73,0,0,0,18.24,130.94,9.99,28.13,3.01,13.5,36.78,0,17.87,0,0,0,0,51.15,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,86.91,0,37.03,333.4,65.13,22.52,12.59,47.12,19.31,0,46.77,8.33,240.07,29.19,0,10.57,13.4,0,115.03,0,57.44,0,0,0,0,0

28,06:45-07:00,0,0,0.95,1.73,0,0,0,18.24,130.94,0,23.89,3.42,14.05,36.78,0,17.87,0,0,0,0,51.15,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,86.91,0,37.03,333.4,65.13,22.52,12.59,47.12,19.31,0,46.77,8.33,240.07,29.19,0,10.57,13.4,0,115.03,0,57.44,0,0,0,0,0

29,07:00-07:15,0,0,0.95,1.73,0,0,0,18.24,130.94,0,23.89,3.01,12.48,36.78,0,16.36,0,0,0,0,51.15,0,0,0,0,0,1.41,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,91.3,0,37.03,333.4,65.13,22.52,12.59,47.12,19.19,0,46.77,8.07,240.07,29.19,0,10.57,13.4,0,95.27,0,57.44,0,0,0,0,0

30,07:15-07:30,0,0,0.95,1.73,0,0,0,18.24,130.94,0,23.89,3.01,12.48,36.78,0,16.36,0,0,0,0,51.15,0,0,0,0,0,0.84,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,91.3,0,37.03,333.4,65.13,22.52,12.59,47.12,19.31,0,46.77,8.07,240.07,29.19,0,10.57,10.74,0,95.27,0,57.44,0,0,0,0,0

31,07:30-07:45,0,0,0.95,0.49,0,0,0,18.24,111.78,0,23.89,3.01,12.48,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,4.21,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,37.03,333.4,52.37,22.52,18.88,47.12,19.31,0,46.77,8.07,240.07,24.63,0,10.57,10.74,0,95.27,0,57.44,0,0,0,0,0

32,07:45-08:00,0,0,0.95,0.49,0,0,0,18.24,111.78,0,23.89,3.01,12.48,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,3.81,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,37.03,333.4,52.37,22.52,18.88,47.12,19.31,0,46.77,8.07,240.07,24.63,0,10.57,10.74,0,95.27,0,57.44,0,0,0,0,0

33,08:00-08:15,0,0,0.95,0.49,0,0,0,18.24,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,3.75,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,37.03,333.4,52.37,22.52,18.88,31.4,19.31,0,46.77,8.07,240.07,24.63,0,10.57,10.74,0,78.74,0,57.44,0,0,0,0,0

34,08:15-08:30,0,0,0.95,0.49,0,0,0,18.24,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,3.75,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,37.03,333.4,52.37,22.52,18.88,31.4,19.31,0,46.77,8.07,240.07,24.63,0,10.57,10.74,0,78.74,0,57.44,0,0,0,0,0

35,08:30-08:45,0,0,0.95,0.49,0,0,0,18.24,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,3.75,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,37.03,333.4,52.37,22.52,18.88,31.4,19.31,0,46.77,8.07,240.07,24.63,0,10.57,10.74,0,78.74,0,57.44,0,0,0,0,0

36,08:45-09:00,0,0,0.95,0.49,0,0,0,18.24,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,3.75,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,37.03,333.4,52.37,22.52,18.88,31.4,19.31,0,46.77,8.07,240.07,24.63,0,10.57,10.74,0,78.74,0,57.44,0,0,0,0,0

37,09:00-09:15,0,0,0.95,0.49,0,0,0,18.24,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,3.75,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,32.59,333.4,52.37,22.52,18.88,31.4,19.31,0,46.77,8.07,240.07,24.63,0,10.57,10.74,0,78.74,0,57.44,0,0,0,0,0

38,09:15-09:30,0,0,0.95,0.49,0,0,0,18.24,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,1.86,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,32.59,333.4,52.37,22.52,18.88,31.4,19.31,0,46.77,8.07,240.07,24.63,0,10.57,10.74,0,78.74,0,57.44,0,0,0,0,0

39,09:30-09:45,0,0,0.95,0.49,0,0,0,18.24,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,32.59,333.4,52.37,22.52,18.88,31.4,19.31,0,46.77,8.07,240.07,27.38,0,0,10.74,0,94.02,0,57.44,0,0,0,0,0

40,09:45-10:00,0,0,0.95,0.49,0,0,0,12.17,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,32.59,333.4,52.37,22.52,18.88,31.4,19.31,0,46.77,8.07,240.07,27.38,0,0,10.74,0,95.27,0,57.44,0,0,0,0,0

41,10:00-10:15,0,0,0.95,0.49,0,0,0,6.08,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,32.59,333.4,52.37,22.52,12.59,31.4,19.31,0,46.77,8.07,240.07,28.01,0,0,10.74,0,95.27,0,57.44,0,0,0,0,0

42,10:15-10:30,0,0,0.95,0.49,0,0,0,0,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,93.06,66.83,0,0,80.75,0,32.59,333.4,52.37,22.52,12.59,31.4,19.31,0,46.77,8.07,240.07,28.01,0,0,10.74,0,95.27,0,57.44,0,0,0,0,0

43,10:30-10:45,0,0,0.95,0.49,0,0,0,0,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,133.53,0,0,25,21.76,0,0,21.26,0,5.23,76.27,93.06,66.83,0,0,80.75,0,22.22,343.16,52.37,11.27,6.29,31.4,19.31,0,46.77,8.07,240.07,28.01,0,0,10.74,0,78.74,0,57.44,0,0,0,0,0

44,10:45-11:00,0,0,0.95,0.49,0,0,0,0,111.78,0,25.1,3.01,13.11,36.78,0,16.36,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,133.53,0,0,25,21.76,0,0,21.26,0,5.23,76.27,93.06,66.83,0,0,80.75,0,22.22,357.46,52.37,11.27,6.29,31.4,19.31,0,46.77,8.07,240.07,28.01,0,0,10.74,0,78.74,0,57.44,0,0,0,0,0

45,11:00-11:15,0,0,0.95,0.49,0,0,0,0,111.78,0,28.8,3.01,13.11,36.78,0,16.36,0,0,0,0,51.15,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,133.53,0,0,25,21.76,0,0,21.26,0,5.23,49.36,93.06,66.83,0,0,80.75,0,22.22,369.92,52.37,11.27,6.29,15.71,19.25,0,46.77,8.07,240.07,29.19,0,0,10.74,0,96.82,0,57.44,0,0,0,0,0

46,11:15-11:30,0,0,0.95,0.49,0,0,0,0,111.78,0,28.8,3.01,13.11,36.78,0,16.36,0,0,0,0,51.15,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,133.53,0,0,25,21.76,0,0,21.26,0,5.23,49.36,93.06,66.83,0,0,80.75,0,16.29,377.52,52.37,11.27,6.29,15.71,19.31,0,46.77,8.07,240.07,29.19,0,0,10.74,0,96.82,0,57.44,0,0,0,0,0

47,11:30-11:45,0,0,0.95,0.49,0,0,0,0,111.78,0,28.8,3.01,13.11,36.78,0,16.36,0,0,0,0,51.15,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,133.53,0,0,25,21.76,0,0,21.26,0,5.23,49.36,93.06,66.83,0,0,80.75,0,16.29,385.13,52.37,11.27,6.29,15.71,19.31,0,46.77,8.07,240.07,29.19,0,0,10.74,0,96.82,0,57.44,0,0,0,0,0

48,11:45-12:00,0,0,0.95,0.49,0,0,0,0,111.78,0,28.8,3.01,13.11,36.78,0,16.36,0,0,0,0,51.15,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,133.53,0,0,25,21.76,0,0,21.26,0,5.23,49.36,93.06,66.83,0,0,80.75,0,16.29,392.73,52.37,11.27,6.29,15.71,19.31,0,46.77,8.07,240.07,29.19,0,0,10.74,0,96.82,0,57.44,0,0,0,0,0

49,12:00-12:15,0,0,0.98,0.49,0,0,0,0,111.78,0,28.8,3.01,13.11,36.78,0,16.36,0,0,0,0,51.15,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,106.83,0,0,25,14.5,0,0,21.26,0,4.25,49.36,93.06,66.83,0,0,80.75,0,16.29,400.34,52.37,11.27,6.29,15.71,19.31,0,46.77,8.07,240.07,29.19,0,0,10.74,0,96.82,0,57.44,0,0,0,0,0

50,12:15-12:30,0,0,0.98,0.49,0,0,0,0,111.78,0,28.8,3.01,13.11,36.78,0,16.36,0,0,0,0,51.15,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,75.68,0,0,25,14.5,0,0,21.26,0,3.01,49.36,93.06,66.83,0,0,80.75,0,16.29,401.81,52.37,11.27,6.29,15.71,19.31,0,46.77,8.07,240.07,28.01,0,0,10.74,0,96.82,0,57.44,0,0,0,0,0

51,12:30-12:45,0,0,0.98,0.49,0,0,0,0,130.94,0,28.8,3.01,13.11,36.78,0,16.36,0,0,0,0,49.03,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,75.68,0,0,25,14.5,0,0,21.26,0,3.01,49.36,93.06,66.83,0,0,96.62,0,16.29,401.81,65.13,11.27,6.29,15.71,19.31,0,46.77,8.07,240.07,28.01,0,0,10.74,0,96.82,0,57.44,0,0,0,0,0

52,12:45-13:00,0,0,0.98,0.49,0,0,0,0,130.94,0,28.8,3.01,13.11,36.78,0,16.36,0,0,0,0,49.03,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,75.68,0,0,25,14.5,0,0,21.26,0,3.01,49.36,119.13,66.83,0,0,96.62,0,16.29,401.81,65.13,11.27,6.29,15.71,19.31,0,46.77,8.07,240.07,28.01,0,0,10.74,0,96.82,0,57.44,0,0,0,0,0

53,13:00-13:15,0,0,0.98,0.49,0,0,0,0,130.94,0,28.8,3.01,13.11,36.78,0,16.36,0,0,0,0,47.96,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,75.68,0,0,25,14.5,0,0,21.26,0,3.01,38.7,126.25,66.83,0,0,96.62,0,16.29,401.81,65.13,11.27,6.29,15.71,19.31,0,46.77,7.83,240.07,28.01,0,0,10.74,0,96.82,0,57.44,0,0,0,0,0

54,13:15-13:30,0,0,0.98,0.49,0,0,0,6.08,130.94,0,28.8,3.01,13.11,36.78,0,16.36,0,0,0,0,47.96,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,0,75.68,0,0,25,14.5,0,0,21.26,0,3.01,38.7,126.25,66.83,0,0,96.62,0,16.29,401.81,65.13,11.27,6.29,15.71,19.31,0,46.77,7.83,240.07,28.01,0,0,10.74,0,96.82,0,57.44,0,0,0,0,0

