Block,Time,KHSTPP-I,BRBCL,KHSTPP-II,FSTPP I & II,TALA,SASAN,SALAL,SEWA2,NAPP,URI2,DADRI_GF,SINGRAULI_HYDRO,JHAJJAR,RAMPUR,DADRI_LF,ANTA_LF,DHAULIGNGA,AURY_LF,KOLDAM,CHAMERA1,UNCHAHAR4,DADRI_CRF,ANTA_RF,DADRT2,AURY_CRF,UNCHAHAR1,KISHANGANGA,RAPPB,ANTA_CRF,RIHAND2,UNCHAHAR2,AURY_GF,UNCHAHAR3,CHAMERA2,TEHRI,CHAMERA3,TANAKPUR,RAPPC,ANTA_GF,KOTESHWR,RIHAND3,BSIUL,TANDA2,AURY_RF,DADRI_RF,PARBATI3,SINGRAULI,DULHASTI,NJPC,RIHAND1,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
18,04:15-04:30,15.358400,13.750101,46.075200,4.799500,0.000000,401.977323,12.269442,0.000000,20.503464,4.519401,0.000000,0.734515,341.724400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.483800,0.000000,8.639100,0.000000,0.000000,0.000000,56.691694,18.238100,0.000000,12.478700,0.000000,0.000000,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,0.000000,0.000000,88.310800,2.119459,0,0,0,0,0

19,04:30-04:45,30.120606,15.872933,93.869389,4.799500,0.000000,401.977323,12.269442,0.000000,20.503464,4.519401,0.000000,0.734515,341.724400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.483800,0.000000,8.639100,0.000000,0.000000,0.000000,56.691694,18.238100,0.000000,12.478700,0.000000,14.332267,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,0.000000,0.000000,88.310800,2.119459,0,0,0,0,0

20,04:45-05:00,30.120606,17.203611,93.869389,4.799500,0.000000,401.977323,12.269442,0.000000,20.503464,4.519401,0.000000,0.734515,341.724400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.483800,0.000000,8.639100,0.000000,0.000000,0.000000,56.691694,18.238100,0.000000,12.478700,0.000000,14.937004,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,0.000000,0.000000,88.310800,2.119459,0,0,0,0,0

21,05:00-05:15,37.229112,19.112344,127.865945,8.984664,0.000000,401.977323,2.230808,0.000000,20.503464,4.519401,0.000000,0.734515,341.724400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.483800,0.000000,8.639100,0.000000,0.000000,0.000000,56.691694,22.372316,0.000000,12.478700,0.000000,14.937004,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,0.000000,0.000000,88.310800,2.119459,0,0,0,0,0

22,05:15-05:30,43.895773,19.197964,141.347548,8.984664,0.000000,401.977323,2.230808,0.000000,20.503464,4.519401,0.000000,0.734515,341.724400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,414.676800,0.000000,8.639100,0.000000,0.000000,0.000000,56.691694,24.962487,0.000000,12.478700,0.000000,29.874008,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,0.000000,10.908304,88.310800,2.119459,0,0,0,0,0

