Column1,Block,NR/2024/23214/A/38834,NR/2024/22820/A/38756,NR/2024/23331/C,NR/2024/22848/A/39076,NR/2024/23213/A/38832,NR/2024/23312/C,NR/2024/23346/C,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/26/2729,GNA/NR/2024/09/26/3248,GNA/NR/2024/09/01/9821,NR/2024/23122/A/39091,NR/2024/22754/A/39054,GNA/NR/2024/09/01/7119,NR/2024/23340/C,GNA/NR/2024/09/01/8090,NR/2024/23332/C,NR/2024/23342/C,NR/2024/22835/A/39117,NR/2024/23038/A/38752,NR/2024/23217/A/38841,GNA/NR/2024/09/26/2129,NR/2024/22803/A/39097,NR/2024/21658/A/38801,NR/2024/23119/A/39092,NR/2024/22874/A/39096,NR/2024/23121/A/39093,NR/2024/23118/A/39090,NR/30092023/26122029/SH-06,Total
3,00:30-00:45,0,4.84,0,84.36,0,241.92,0,96.77,24.19,13.95,2.42,9.61,21.77,163.3,0,193.54,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.87,26.39,48.38,26.39,8.8,32,1493.17

4,00:45-01:00,0,4.84,0,84.36,0,241.92,0,96.77,24.19,13.95,2.42,9.61,21.77,163.3,0,193.54,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.87,26.39,48.38,26.39,8.8,32,1493.17

5,01:00-01:15,0,4.84,0,84.36,0,241.92,0,96.77,24.19,13.95,2.42,9.51,21.77,163.3,0,193.54,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.68,26.39,48.38,26.39,8.8,32,1492.88

6,01:15-01:30,0,4.84,0,84.36,0,241.92,0,96.77,24.19,13.95,2.42,9.51,21.77,163.3,0,193.54,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.68,26.39,48.38,26.39,8.8,32,1492.88

7,01:30-01:45,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.51,21.77,163.3,0,193.54,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1492.8700000000001

8,01:45-02:00,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.51,21.77,163.3,0,193.54,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1492.8700000000001

9,02:00-02:15,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.43,21.77,163.3,0,0,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1299.2500000000002

10,02:15-02:30,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.43,21.77,163.3,0,0,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1299.2500000000002

11,02:30-02:45,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.43,21.77,163.3,0,0,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1299.2500000000002

12,02:45-03:00,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.43,21.77,163.3,0,0,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1299.2500000000002

13,03:00-03:15,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.33,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.63,26.39,48.38,26.39,8.8,22.97,1266.2

14,03:15-03:30,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.33,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.63,26.39,48.38,26.39,8.8,22.97,1266.2

15,03:30-03:45,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.33,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.63,26.39,48.38,26.39,8.8,22.97,1266.2

16,03:45-04:00,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.33,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.63,26.39,48.38,26.39,8.8,22.97,1266.2

17,04:00-04:15,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.24,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.58,26.39,48.38,26.39,8.8,22.97,1266.06

18,04:15-04:30,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.24,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.58,26.39,48.38,26.39,8.8,22.97,1266.06

19,04:30-04:45,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.24,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.58,26.39,48.38,26.39,8.8,22.97,1266.06

20,04:45-05:00,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.24,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.58,26.39,48.38,26.39,8.8,22.97,1266.06

21,05:00-05:15,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.24,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.58,26.39,48.38,26.39,8.8,22.97,1266.06

22,05:15-05:30,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.24,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.58,26.39,48.38,26.39,8.8,22.97,1266.06

23,05:30-05:45,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.24,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.58,26.39,48.38,26.39,8.8,22.97,1266.06

24,05:45-06:00,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.24,21.77,163.3,0,0,0,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.58,26.39,48.38,26.39,8.8,22.97,1266.06

25,06:00-06:15,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1048.33

26,06:15-06:30,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1048.33

27,06:30-06:45,0,4.84,0,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,0,90.96,3.87,6.77,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1047.36

28,06:45-07:00,0,4.84,0.11,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,0.97,90.96,3.87,5.81,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1047.48

29,07:00-07:15,0,4.84,0.28,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,0.97,90.96,3.87,5.81,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1047.6499999999999

30,07:15-07:30,0,4.84,0.5,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,0.97,90.96,3.87,5.81,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1047.87

31,07:30-07:45,0,4.84,0.66,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,0.97,90.96,3.87,5.81,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1048.03

32,07:45-08:00,0,4.84,0.98,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,0.97,90.96,3.87,5.81,0,96.77,0.68,26.39,48.38,26.39,8.8,22.97,1048.35

33,08:00-08:15,0,4.84,1.4,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,0.97,90.96,3.87,5.81,0,96.77,0.97,26.39,48.38,26.39,8.8,22.97,1049.06

34,08:15-08:30,0,4.84,1.57,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,1.94,90.96,3.87,5.81,0,96.77,0.97,26.39,48.38,26.39,8.8,22.97,1050.2

35,08:30-08:45,0,4.84,1.37,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,1.94,90.96,3.87,5.81,0,96.77,0.97,26.39,48.38,26.39,8.8,22.97,1050

36,08:45-09:00,0,4.84,1.6,84.36,0,241.92,0,96.77,24.19,22.97,2.42,9.14,21.77,0,0,0,0,26.39,0,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.97,26.39,48.38,26.39,8.8,22.97,1050.22

37,09:00-09:15,42.63,4.84,2.74,84.36,10.66,241.92,0,96.77,24.19,22.97,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.97,37.38,48.38,37.38,12.46,22.97,1148.4800000000002

38,09:15-09:30,42.63,4.84,2.4,84.36,10.66,241.92,0,96.77,24.19,22.97,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,0,90.96,3.87,7.74,0,96.77,0.97,37.38,48.38,37.38,12.46,22.97,1148.14

39,09:30-09:45,42.63,4.84,2.69,84.36,10.66,241.92,0,96.77,24.19,18.73,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,0.97,90.96,3.87,7.74,0,96.77,0.97,37.38,48.38,37.38,12.46,18.73,1140.92

40,09:45-10:00,42.63,4.84,3.2,84.36,10.66,241.92,0,96.77,24.19,18.73,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,0.97,90.96,3.87,7.74,0,96.77,0.97,37.38,48.38,37.38,12.46,18.73,1141.4300000000003

41,10:00-10:15,42.63,4.84,3.66,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,7.74,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1138.7400000000002

42,10:15-10:30,42.63,4.84,1.94,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,7.74,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1137.0200000000002

43,10:30-10:45,42.63,4.84,1.8,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,8.71,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1138.8100000000002

44,10:45-11:00,42.63,4.84,2.34,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,8.71,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1139.3500000000004

45,11:00-11:15,42.63,4.84,2.56,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,8.71,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1139.5700000000002

46,11:15-11:30,42.63,4.84,4.04,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1141.0600000000002

47,11:30-11:45,42.63,4.84,5.61,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1142.6300000000003

48,11:45-12:00,42.63,4.84,6.9,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,9.06,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1143.9200000000003

49,12:00-12:15,42.63,4.84,4.99,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1141.9100000000003

50,12:15-12:30,42.63,4.84,4.38,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1141.3000000000004

51,12:30-12:45,42.63,4.84,4.22,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1141.1400000000003

52,12:45-13:00,42.63,4.84,3.6,84.36,10.66,241.92,0,96.77,24.19,16.67,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,16.67,1140.5200000000004

53,13:00-13:15,42.63,4.84,4.54,84.36,10.66,241.92,0,96.77,24.19,0,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,0,1108.1200000000001

54,13:15-13:30,42.63,4.84,3.62,84.36,10.66,241.92,0,96.77,24.19,0,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,0,1107.2000000000003

55,13:30-13:45,42.63,4.84,3.12,84.36,10.66,241.92,0,96.77,24.19,9.17,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,0,1115.8700000000001

56,13:45-14:00,42.63,4.84,3.13,84.36,10.66,241.92,0,96.77,24.19,9.17,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,0,1115.88

57,14:00-14:15,42.63,4.84,3.62,84.36,10.66,241.92,0,96.77,24.19,9.17,2.42,9.14,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,9.17,1125.7200000000003

58,14:15-14:30,42.63,4.84,4.12,84.36,10.66,241.92,0,96.77,24.19,9.17,2.42,9.14,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,9.17,1126.2200000000003

59,14:30-14:45,42.63,4.84,2.85,84.36,10.66,241.92,0,96.77,24.19,9.17,2.42,9.14,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,9.17,1124.9500000000003

60,14:45-15:00,42.63,4.84,4.59,84.36,10.66,241.92,0,96.77,24.19,9.17,2.42,9.14,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,9.17,1126.6900000000003

61,15:00-15:15,42.63,4.84,2.8,84.36,10.66,241.92,0,96.77,24.19,9.17,2.42,9.43,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,1.94,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,9.17,1125.19

62,15:15-15:30,42.63,4.84,1.78,84.36,10.66,241.92,0,96.77,24.19,9.17,2.42,9.43,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,9.17,1125.13

63,15:30-15:45,42.63,4.84,2.19,84.36,7.36,241.92,0,96.77,24.19,9.17,2.42,9.43,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,9.17,1122.24

64,15:45-16:00,42.63,4.84,1.48,84.36,6.69,241.92,0,96.77,24.19,9.17,2.42,9.43,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,9.68,0,96.77,0.97,37.38,48.38,37.38,12.46,9.17,1120.8600000000001

65,16:00-16:15,40.69,4.84,3.15,84.36,4.75,241.92,0,96.77,24.19,9.17,2.42,9.7,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,9.68,0,96.77,0.87,37.38,48.38,37.38,12.46,9.17,1118.8200000000002

66,16:15-16:30,34.88,4.84,3.24,84.36,3.78,241.92,0,96.77,24.19,9.17,2.42,9.7,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,9.68,0,96.77,0.87,37.38,48.38,37.38,12.46,9.17,1112.13

67,16:30-16:45,29.07,4.84,2.23,84.36,2.42,241.92,0,96.77,24.19,17.98,2.42,8.86,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,9.68,0,96.77,0.87,37.38,48.38,37.38,12.46,17.98,1120.73

68,16:45-17:00,22.28,4.84,1.47,84.36,1.16,241.92,0,96.77,24.19,17.98,2.42,8.86,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,9.68,0,96.77,0.87,37.38,48.38,37.38,12.46,17.98,1111.92

69,17:00-17:15,0,4.84,0.8,84.36,0,241.92,0,96.77,24.19,0,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,9.68,0,96.77,0.82,37.38,48.38,37.38,12.46,0,1051.9

70,17:15-17:30,0,4.84,0.81,84.36,0,241.92,0,96.77,24.19,0,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,9.68,0,96.77,0.82,37.38,48.38,37.38,12.46,0,1051.91

71,17:30-17:45,0,4.84,0.39,84.36,0,241.92,0,96.77,24.19,18.98,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,9.68,0,96.77,0.82,37.38,48.38,37.38,12.46,18.98,1089.45

72,17:45-18:00,0,4.84,0.14,84.36,0,241.92,0,96.77,24.19,18.98,2.42,8.96,21.77,0,0,0,0,37.38,0,24.78,0,0,163.11,2.9,90.96,3.87,9.68,0,96.77,0.82,37.38,48.38,37.38,12.46,18.98,1089.2

73,18:00-18:15,0,4.84,0.04,84.36,0,241.92,48.39,96.77,24.19,0,2.42,9.06,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,2.9,90.96,3.87,9.68,10.64,96.77,0.82,37.38,48.38,37.38,12.46,0,1366.7100000000003

74,18:15-18:30,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,0,2.42,9.06,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,2.9,90.96,3.87,9.68,10.64,96.77,0.82,37.38,48.38,37.38,12.46,0,1366.6700000000003

75,18:30-18:45,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,31.13,2.42,9.06,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,2.9,90.96,3.87,9.68,10.64,96.77,0.82,37.38,48.38,37.38,12.46,0,1397.8000000000004

76,18:45-19:00,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,31.13,2.42,9.06,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,2.9,90.96,3.87,9.68,10.64,96.77,0.82,37.38,48.38,37.38,12.46,0,1397.8000000000004

77,19:00-19:15,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,31.13,2.42,9.88,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,2.9,90.96,3.87,9.68,10.64,96.77,0.82,37.38,48.38,37.38,12.46,0,1398.6200000000003

78,19:15-19:30,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,31.13,2.42,9.88,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,2.9,90.96,3.87,9.68,10.64,96.77,0.82,37.38,48.38,37.38,12.46,0,1398.6200000000003

79,19:30-19:45,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,0,2.42,9.88,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,2.9,90.96,3.87,9.68,10.64,96.77,0.82,37.38,48.38,37.38,12.46,0,1367.4900000000002

80,19:45-20:00,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,0,2.42,9.88,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,2.9,90.96,3.87,9.68,10.64,96.77,0.82,37.38,48.38,37.38,12.46,0,1367.4900000000002

81,20:00-20:15,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,0,2.42,9.79,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,1.94,90.96,3.87,9.68,10.64,96.77,0.77,37.38,48.38,37.38,12.46,31.13,1397.5200000000004

82,20:15-20:30,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,0,2.42,9.79,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,1.94,90.96,3.87,9.68,10.64,96.77,0.77,37.38,48.38,37.38,12.46,31.13,1397.5200000000004

83,20:30-20:45,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,0,2.42,9.79,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,1.94,90.96,3.87,9.68,10.64,96.77,0.77,37.38,48.38,37.38,12.46,0,1366.3900000000003

