Time,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/20072024/20072024/IEX_240719_01603,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21695/C,NR/2024/21072/A/28064,NR/2024/21096/A/28046,NR/2024/21142/A/27765,NR/2024/21150/A/27806,NR/2024/21160/A/27808,NR/2024/21691/C,NR/2024/21710/C,NR/2024/21173/A/27815,NR/2024/21238/A/28035,NR/2024/21183/A/28032,NR/2024/21144/A/27787,NR/2024/21103/A/28043,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/20072024/20072024/HPX-TAMCTG-190724-01752,NR/2024/21075/A/28034,NR/2024/20966/A/27716,NR/2024/21714/C,NR/2024/21685/C,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/2024/20574/A/27850,NR/2024/21148/A/27805,NR/2024/21567/A/28061,NR/2024/21089/A/28063,NR/2024/21186/A/28073,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21698/C,NR/2024/21023/A/27784,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/20573/A/27847,NR/20072024/20072024/IEX_240720_01626,NR/2024/21692/C,NR/2024/21146/A/27807,NR/2024/21087/A/27816,NR/2024/21113/A/28062,NR/2024/21153/A/27804,NR/2024/20688/A/27817,NR/2024/21141/A/27767,NR/2024/20931/A/27991,NR/2024/21339/A/27760,NR/16072024/31072024/NR/16072024/31072024/717758,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20711/A/28108,NR/2024/21158/A/27809,NR/2024/21159/A/27810,NR/2024/21062/A/27871,NR/2024/21108/A/28041,NR/20072024/20072024/IEX_240719_01602,NR/2024/21152/A/27715,NR/2024/21227/A/28042,NR/2024/21500/A/27632,NR/2024/21199/A/27783,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/R2,NR/2024/21076/A/28031,NR/2024/21156/A/27811,NR/2024/19779/A/27748,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/2024/21099/A/27768,NR/2024/21210/A/27764,NR/30092023/31122025/SH-07,Total

3,00:30-00:45,0,0,50.420000,13.110000,81.630000,37.100000,34.980000,48.020000,0.870000,0.970000,0,1.920000,24.010000,1.500000,21.130000,0.480000,83.730000,12.370000,56.180000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.220000,1.920000,12.150000,7.680000,0.000000,72.030000,24.010000,90.280000,0.610000,0.330000,96.040000,0.000000,0.000000,24.010000,24.980000,32.000000,1962.85

4,00:45-01:00,0,0,50.320000,13.110000,81.630000,37.100000,36.740000,48.020000,0.870000,0.970000,0,1.920000,24.010000,1.580000,21.130000,0.480000,83.730000,12.370000,56.180000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.320000,1.920000,12.150000,7.680000,0.000000,72.030000,24.010000,90.280000,0.610000,0.350000,96.040000,0.000000,0.000000,24.010000,26.250000,32.000000,1965.98

5,01:00-01:15,0,0,50.130000,13.110000,81.630000,37.100000,38.200000,48.020000,0.870000,0.970000,0,1.920000,24.010000,1.630000,21.130000,0.480000,83.730000,12.370000,56.180000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.320000,1.920000,12.150000,7.680000,0.000000,72.030000,24.010000,90.280000,0.610000,0.330000,96.040000,0.000000,0.000000,24.010000,27.290000,32.000000,1968.32

6,01:15-01:30,0,0,50.610000,13.110000,81.630000,37.100000,46.930000,48.020000,0.870000,0.970000,0,1.920000,24.010000,2.010000,21.130000,0.480000,83.730000,12.370000,56.180000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.420000,1.920000,12.150000,7.680000,0.000000,72.030000,24.010000,90.280000,0.610000,0.400000,96.040000,0.000000,0.000000,24.010000,33.520000,32.000000,1984.31

7,01:30-01:45,0,0,50.520000,13.110000,81.630000,37.100000,46.860000,48.020000,0.870000,0.970000,0,2.880000,24.010000,2.010000,21.130000,0.480000,83.730000,12.370000,56.180000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.510000,1.920000,12.150000,6.720000,0.000000,72.030000,24.010000,90.280000,0.610000,0.400000,96.040000,0.000000,0.000000,24.010000,33.470000,32.000000,1984.19

8,01:45-02:00,0,0,50.320000,13.110000,81.630000,37.100000,47.290000,48.020000,0.870000,0.970000,0,2.880000,24.010000,2.030000,21.130000,0.480000,83.730000,12.370000,56.180000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.610000,1.920000,12.150000,6.720000,0.000000,72.030000,24.010000,90.280000,0.610000,0.400000,96.040000,0.000000,0.000000,24.010000,33.780000,32.000000,1984.85

9,02:00-02:15,0,0,50.130000,13.110000,81.630000,37.100000,31.790000,48.020000,0.870000,0.970000,0,2.880000,24.010000,1.360000,21.130000,0.480000,83.730000,12.370000,56.180000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.610000,1.920000,0.000000,6.720000,0.000000,72.030000,24.010000,90.280000,0.610000,0.270000,96.040000,0.000000,0.000000,24.010000,22.710000,32.000000,1945.14

10,02:15-02:30,0,0,50.040000,13.110000,81.630000,37.100000,33.510000,48.020000,0.870000,0.970000,0,2.880000,24.010000,1.440000,21.130000,0.480000,83.730000,12.370000,56.180000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.700000,1.920000,0.000000,6.720000,0.000000,72.030000,24.010000,90.280000,0.610000,0.290000,96.040000,0.000000,0.000000,24.010000,23.930000,32.000000,1948.18

11,02:30-02:45,0,0,49.360000,13.110000,81.630000,37.100000,38.080000,48.020000,0.870000,0.970000,0,3.840000,24.010000,1.630000,21.130000,0.480000,83.730000,12.370000,56.180000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.700000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.330000,96.040000,0.000000,0.000000,24.010000,27.200000,32.000000,1955.57

12,02:45-03:00,0,0,48.600000,13.110000,81.630000,37.100000,43.290000,48.020000,0.870000,0.970000,0,3.840000,24.010000,1.850000,21.130000,0.480000,83.730000,12.370000,55.610000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.700000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.370000,96.040000,0.000000,0.000000,24.010000,30.920000,32.000000,1963.43

13,03:00-03:15,0,0,47.830000,12.650000,81.630000,37.100000,50.680000,48.020000,0.870000,0.970000,0,2.880000,24.010000,2.170000,21.130000,0.480000,83.730000,12.370000,55.030000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.800000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.390000,96.040000,0.000000,0.000000,24.010000,36.200000,32.000000,1887.85

14,03:15-03:30,0,0,47.440000,12.650000,81.630000,37.100000,63.150000,48.020000,0.870000,0.970000,0,2.880000,24.010000,2.710000,21.130000,0.480000,83.730000,12.370000,54.450000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,37.940000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.500000,96.040000,0.000000,0.000000,24.010000,45.100000,32.000000,1908.04

15,03:30-03:45,0,0,46.770000,12.650000,81.630000,37.100000,67.230000,48.020000,0.870000,0.970000,0,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,53.880000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,37.070000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.530000,96.040000,0.000000,0.000000,24.010000,48.020000,32.000000,1913.13

16,03:45-04:00,0,0,46.100000,12.650000,81.630000,37.100000,67.230000,48.020000,0.870000,0.970000,0,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,52.820000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,36.210000,1.920000,0.000000,6.720000,0.000000,72.030000,24.010000,90.280000,0.610000,0.530000,96.040000,0.000000,0.000000,24.010000,48.020000,32.000000,1910.54

17,04:00-04:15,0,0,0.000000,12.650000,0.000000,37.100000,67.230000,48.020000,0.870000,0.970000,0,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,6.720000,0.000000,72.030000,24.010000,90.280000,0.610000,0.530000,96.040000,0.000000,0.000000,24.010000,48.020000,32.000000,1693.78

18,04:15-04:30,0,0,0.000000,12.650000,0.000000,37.100000,67.230000,48.020000,0.870000,0.970000,0,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,6.720000,0.000000,72.030000,24.010000,90.280000,0.610000,0.530000,96.040000,0.000000,0.000000,24.010000,48.020000,32.000000,1693.78

19,04:30-04:45,0,0,0.000000,12.650000,0.000000,37.100000,67.230000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,6.720000,0.000000,72.030000,24.010000,90.280000,0.610000,0.530000,96.040000,0.000000,0.000000,24.010000,48.020000,32.000000,1692.82

20,04:45-05:00,0,0,0.000000,12.650000,0.000000,37.100000,67.230000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,6.720000,0.000000,72.030000,24.010000,90.280000,0.610000,0.530000,96.040000,0.000000,0.000000,24.010000,48.020000,32.000000,1692.82

21,05:00-05:15,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,6.720000,0.000000,72.030000,24.010000,90.280000,0.610000,0.530000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1632.1

22,05:15-05:30,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,6.720000,0.000000,72.030000,24.010000,90.280000,0.610000,0.530000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1632.1

23,05:30-05:45,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.530000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1632.1

24,05:45-06:00,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.530000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1632.1

25,06:00-06:15,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.670000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1608.23

26,06:15-06:30,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.670000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1608.23

