Column1,Block,NR/2024/23701/C,NR/2024/23640/A/41201,NR/2024/23639/A/41202,NR/2024/23648/A/41196,GNA/WR/2024/10/15/7089,NR/2024/23383/A/41181,NR/2024/23699/C,NR/2024/23384/A/41169,NR/2024/23382/A/41312,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,NR/30092023/31122025/SH-07,Total
3,00:30-00:45,0,0,0,2.89,200,0.58,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,0,678.7800000000001

4,00:45-01:00,0,0,0,2.89,200,0.58,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,0,678.7800000000001

5,01:00-01:15,0,0,0,2.89,200,0.53,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,0,678.7300000000001

6,01:15-01:30,0,0,0,2.89,200,0.53,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,0,678.7300000000001

7,01:30-01:45,0,0,0,2.89,200,0.53,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,0,678.7300000000001

8,01:45-02:00,0,0,0,2.89,200,0.53,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,0,678.7300000000001

9,02:00-02:15,0,0,0,2.89,0,0.48,175.41,6.75,24.83,24.08,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,24.08,526.8400000000001

10,02:15-02:30,0,0,0,2.89,0,0.48,175.41,6.75,24.83,24.08,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,24.08,526.8400000000001

11,02:30-02:45,0,0,0,2.89,0,0.48,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,24.08,529.6700000000001

12,02:45-03:00,0,0,0,2.89,0,0.48,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,24.08,529.6700000000001

13,03:00-03:15,0,0,0,2.89,0,0.43,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.45

14,03:15-03:30,0,0,0,2.89,0,0.43,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.45

15,03:30-03:45,0,0,0,2.89,0,0.43,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.45

16,03:45-04:00,0,0,0,2.89,0,0.43,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.45

17,04:00-04:15,0,0,0,2.89,0,0.43,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.45

18,04:15-04:30,0,0,0,2.89,0,0.43,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.45

19,04:30-04:45,0,0,0,2.89,0,0.43,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.45

20,04:45-05:00,0,0,0,2.89,0,0.43,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.45

21,05:00-05:15,0,0,0,2.89,0,0.48,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.5000000000001

22,05:15-05:30,0,0,0,2.89,0,0.48,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.5000000000001

23,05:30-05:45,0,0,0,2.89,0,0.48,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.5000000000001

24,05:45-06:00,0,0,0,2.89,0,0.48,175.41,6.75,24.83,26.91,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,26.91,532.5000000000001

25,06:00-06:15,0,0,0,2.89,0,0.53,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,405.62000000000006

26,06:15-06:30,0,0,0,2.89,0,0.53,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,405.62000000000006

27,06:30-06:45,0.14,0,0,2.89,0,0.53,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,405.7600000000001

28,06:45-07:00,0.6,0,0,2.89,0,0.53,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,406.2200000000001

29,07:00-07:15,0.95,0,0,2.89,0,0.58,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,406.62000000000006

30,07:15-07:30,1.32,0,0,2.89,0,0.58,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,406.99000000000007

31,07:30-07:45,1.63,0,0,2.89,0,0.58,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,407.30000000000007

32,07:45-08:00,1.9,0,0,2.89,0,0.58,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,407.5700000000001

33,08:00-08:15,2.42,0,0,2.89,0,0.96,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,408.4700000000001

34,08:15-08:30,2.92,0,0,2.89,0,0.96,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,408.9700000000001

35,08:30-08:45,3.61,0,0,2.89,0,0.96,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,409.6600000000001

36,08:45-09:00,4.38,0,0,2.89,0,0.96,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,410.43000000000006

37,09:00-09:15,4.85,10.6,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,463.82000000000016

38,09:15-09:30,3.22,10.6,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,462.1900000000001

39,09:30-09:45,3.18,10.6,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,462.15000000000015

40,09:45-10:00,4.86,10.6,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,463.83000000000015

41,10:00-10:15,5.42,10.6,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,464.39000000000016

42,10:15-10:30,3.99,10.6,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,462.96000000000015

43,10:30-10:45,4.86,0.1,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,453.33000000000015

44,10:45-11:00,6.22,0,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,454.59000000000015

45,11:00-11:15,7.47,0,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,455.84000000000015

46,11:15-11:30,6.66,0,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,455.03000000000014

47,11:30-11:45,6.33,0,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,454.70000000000016

48,11:45-12:00,4.51,0,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.88,37.23,12.41,0,0,37.23,12.41,26.91,452.8800000000001

49,12:00-12:15,5.35,3.57,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,457.1900000000001

50,12:15-12:30,3.6,3.57,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,455.4400000000001

51,12:30-12:45,4.19,10.6,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,463.0600000000001

52,12:45-13:00,2.81,10.6,42.41,2.89,0,0.87,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,461.6800000000001

53,13:00-13:15,5.7,10.6,42.41,2.89,0,0.77,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,464.47000000000014

54,13:15-13:30,2.13,10.6,42.41,2.89,0,0.77,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,460.90000000000015

55,13:30-13:45,4.48,10.6,42.41,2.89,0,0.77,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,463.2500000000001

56,13:45-14:00,4.06,10.6,42.41,2.89,0,0.77,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,462.8300000000001

57,14:00-14:15,6.04,10.6,42.41,2.89,0,0.92,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,464.9600000000001

58,14:15-14:30,7.71,10.6,42.41,2.89,0,0.92,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,466.6300000000001

59,14:30-14:45,7.35,10.6,42.41,2.89,0,0.92,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,466.2700000000001

60,14:45-15:00,6.64,10.22,42.41,2.89,0,0.92,175.41,6.75,24.83,26.91,37.23,4.78,37.23,12.41,0,0,37.23,12.41,26.91,465.1800000000001

61,15:00-15:15,6.58,9.93,42.41,2.89,0,0.92,175.41,6.75,24.83,25.74,37.23,4.88,37.23,12.41,0,0,37.23,12.41,25.74,462.5900000000001

62,15:15-15:30,3.99,9.64,42.41,2.89,0,0.92,175.41,6.75,24.83,25.74,37.23,4.88,37.23,12.41,0,0,37.23,12.41,25.74,459.7100000000001

63,15:30-15:45,5.57,9.64,42.41,2.89,0,0.92,175.41,6.75,24.83,3.78,37.23,4.88,37.23,12.41,0,0,37.23,12.41,3.78,417.37000000000006

64,15:45-16:00,4.77,9.64,42.41,2.89,0,0.92,175.41,6.75,24.83,3.78,37.23,4.88,37.23,12.41,0,0,37.23,12.41,3.78,416.57000000000005

65,16:00-16:15,4.13,7.04,42.41,2.89,0,0.77,175.41,6.75,24.83,3.78,37.23,4.88,37.23,12.41,0,0,37.23,12.41,3.78,413.18000000000006

66,16:15-16:30,3.45,7.42,37.11,2.89,0,0.77,175.41,6.75,24.83,3.78,37.23,4.88,37.23,12.41,0,0,37.23,12.41,3.78,407.58000000000004

67,16:30-16:45,2.66,7.9,27.08,2.89,0,0.77,175.41,6.75,24.83,3.78,37.23,4.88,37.23,12.41,0,0,37.23,12.41,3.78,397.24000000000007

68,16:45-17:00,1.92,7.71,16.29,2.89,0,0.77,175.41,6.75,24.83,3.78,37.23,4.88,37.23,12.41,0,0,37.23,12.41,3.78,385.52000000000004

69,17:00-17:15,1.33,0,0,2.89,0,0.72,175.41,6.75,29.2,3.78,39.52,4.88,39.52,12.41,0,0,39.52,12.41,3.78,372.11999999999995

70,17:15-17:30,0.79,0,0,2.89,0,0.72,175.41,6.75,29.2,0,39.52,4.88,39.52,12.41,0,0,39.52,12.41,0,364.02000000000004

71,17:30-17:45,0.33,0,0,2.89,0,0.72,175.41,6.75,29.2,0,39.52,4.88,39.52,12.41,0,0,39.52,12.41,0,363.56

72,17:45-18:00,0,0,0,2.89,0,0.72,175.41,6.75,29.2,0,39.52,4.88,39.52,12.41,0,0,39.52,12.41,0,363.23

73,18:00-18:15,0,0,0,2.89,125,0.72,175.41,6.75,29.2,32,39.52,4.97,39.52,12.41,0,0,39.52,12.41,32,552.3199999999999

74,18:15-18:30,0,0,0,2.89,125,0.72,175.41,6.75,29.2,32,39.52,4.97,39.52,12.41,0,0,39.52,12.41,32,552.3199999999999

75,18:30-18:45,0,0,0,2.89,125,0.72,175.41,6.75,29.2,32,39.52,4.97,39.52,12.41,0,0,39.52,12.41,32,552.3199999999999

76,18:45-19:00,0,0,0,2.89,125,0.72,175.41,6.75,29.2,32,39.52,4.97,39.52,12.41,0,0,39.52,12.41,32,552.3199999999999

77,19:00-19:15,0,0,0,2.89,125,0.67,175.41,6.75,29.2,32,39.52,5.06,39.52,12.41,0,0,39.52,12.41,32,552.36

78,19:15-19:30,0,0,0,2.89,125,0.67,175.41,6.75,29.2,32,39.52,5.06,39.52,12.41,0,0,39.52,12.41,32,552.36

79,19:30-19:45,0,0,0,2.89,125,0.67,175.41,6.75,29.2,32,39.52,5.06,39.52,12.41,0,0,39.52,12.41,32,552.36

80,19:45-20:00,0,0,0,2.89,125,0.67,175.41,6.75,29.2,32,39.52,5.06,39.52,12.41,0,0,39.52,12.41,32,552.36

81,20:00-20:15,0,0,0,2.89,200,0.67,175.41,6.75,29.2,31.5,39.52,5.06,39.52,12.41,0,0,39.52,12.41,31.5,626.3599999999999

82,20:15-20:30,0,0,0,2.89,200,0.67,175.41,6.75,29.2,31.5,39.52,5.06,39.52,12.41,0,0,39.52,12.41,31.5,626.3599999999999

83,20:30-20:45,0,0,0,2.89,200,0.67,175.41,6.75,29.2,32,39.52,5.06,39.52,12.41,0,0,39.52,12.41,0,595.3599999999999

84,20:45-21:00,0,0,0,2.89,200,0.67,175.41,6.75,29.2,32,39.52,5.06,39.52,12.41,0,0,39.52,12.41,0,595.3599999999999

85,21:00-21:15,0,0,0,2.89,200,0.72,175.41,6.75,24.83,32,37.23,4.97,37.23,12.41,0,0,37.23,12.41,0,584.0799999999999

86,21:15-21:30,0,0,0,2.89,200,0.72,175.41,6.75,24.83,32,37.23,4.97,37.23,12.41,0,0,37.23,12.41,0,584.0799999999999

87,21:30-21:45,0,0,0,2.89,200,0.72,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,0,0,37.23,12.41,0,552.08

88,21:45-22:00,0,0,0,2.89,200,0.72,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,0,0,37.23,12.41,0,552.08

89,22:00-22:15,0,0,0,2.89,200,0.67,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,0,678.87

90,22:15-22:30,0,0,0,2.89,200,0.67,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,0,678.87

91,22:30-22:45,0,0,0,2.89,200,0.67,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,0,678.87

92,22:45-23:00,0,0,0,2.89,200,0.67,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,0,678.87

93,23:00-23:15,0,0,0,2.89,200,0.58,175.41,6.75,24.83,0,37.23,4.88,37.23,12.41,95.13,31.71,37.23,12.41,0,678.69

94,23:15-23:30,0,0,0,2.89,200,0.58,175.41,6.75,24.83,0,37.23,4.88,37.23,12.41,95.13,31.71,37.23,12.41,0,678.69

95,23:30-23:45,0,0,0,2.89,200,0.58,175.41,6.75,24.83,0,37.23,4.88,37.23,12.41,95.13,31.71,37.23,12.41,0,678.69

96,23:45-24:00,0,0,0,2.89,192.76,0.58,175.41,6.75,24.83,0,37.23,4.88,37.23,12.41,91.69,30.56,37.23,12.41,0,666.86

