Block,Time,UNCHAHAR1,PARBATI3,RIHAND1,NAPP,TANAKPUR,ANTA_LF,AURY_LF,SINGRAULI_HYDRO,DHAULIGNGA,RIHAND2,KOLDAM,DADRI_RF,DADRI_CRF,KOTESHWR,ANTA_GF,SEWA2,UNCHAHAR2,RAPPC,ANTA_CRF,CHAMERA2,AURY_CRF,BSIUL,JHAJJAR,CHAMERA1,SALAL,RIHAND3,DADRI_LF,DADRT2,URI,RAMPUR,ANTA_RF,TEHRI,DADRI_GF,URI2,KISHANGANGA,CHAMERA3,TANDA2,DULHASTI,SINGRAULI,UNCHAHAR3,AURY_RF,NJPC,AURY_GF,RAPPB,UNCHAHAR4,KHSTPP-I,SASAN,KHSTPP-II,BRBCL,FSTPP I & II,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
21,05:00-05:15,7.704800,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,6.172508,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,2.118820,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,29.973598,0.000000,4.534467,0.000000,0.000000,0.000000,15.870782,120.953321,16.086756,0.000000,16.417003,0.000000,0.000000,0.000000,14.446500,403.317387,94.182319,14.446451,3.852400,0.000000,0,0,0,0,0

22,05:15-05:30,7.704800,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,6.172508,0.000000,0.000000,28.524807,52.431260,0.000000,12.684066,0.000000,2.118820,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,3.189787,0.000000,0.000000,29.973598,0.000000,4.534467,0.000000,0.000000,0.000000,15.870782,120.953321,16.086756,0.000000,32.834005,0.000000,0.000000,0.000000,24.351213,403.317387,94.182319,14.446451,7.079873,0.000000,0,0,0,0,0

23,05:30-05:45,9.333113,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,6.172508,0.000000,0.000000,28.524807,52.431260,0.000000,12.684066,0.000000,2.118820,343.826700,0.000000,1.342947,119.102363,0.000000,358.273200,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,0.000000,0.000000,15.870782,120.953321,19.515645,0.000000,54.723342,0.000000,0.000000,0.000000,24.351213,403.317387,94.182319,14.446451,8.636214,0.000000,0,0,0,0,0

24,05:45-06:00,9.333113,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,8.798916,56.880686,0.000000,0.000000,0.000000,12.345016,0.000000,0.000000,35.271611,52.431260,0.000000,12.684066,0.000000,2.118820,374.645900,0.000000,1.342947,119.102363,0.000000,406.428200,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,0.000000,0.000000,31.741565,120.953321,21.470966,0.000000,72.964456,0.000000,0.000000,0.000000,33.418415,403.317387,122.246193,14.446451,13.033151,0.000000,0,0,0,0,0

25,06:00-06:15,9.333113,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,17.597833,56.880686,0.000000,0.000000,0.000000,18.517524,0.000000,3.979818,35.271611,52.431260,0.000000,12.684066,0.000000,2.118820,343.826700,7.988914,1.342947,119.102363,0.000000,452.657000,34.024397,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,1.226412,0.000000,31.741565,120.953321,21.470966,0.000000,77.707146,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,13.033151,0.000000,0,0,0,0,0

