Block,Time,DADRI_GF,RIHAND1,AURY_RF,DULHASTI,KISHANGANGA,SEWA2,ANTA_CRF,AURY_GF,UNCHAHAR2,AURY_CRF,RIHAND2,URI2,SINGRAULI_HYDRO,NJPC,DHAULIGNGA,TANAKPUR,RAPPB,KOLDAM,RAMPUR,TANDA2,UNCHAHAR4,CHAMERA3,DADRI_CRF,KOTESHWR,PARBATI3,BSIUL,CHAMERA2,NAPP,SALAL,JHAJJAR,SINGRAULI,ANTA_RF,DADRT2,KHSTPP-II,KUDGI,FSTPP I & II,KHSTPP-I,TALA,BRBCL,SASAN,UNCHAHAR1,AURY_LF,RIHAND3,UNCHAHAR3,ANTA_GF,ANTA_LF,RAPPC,TEHRI,CHAMERA1,DADRI_LF,DADRI_RF,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
14,03:15-03:30,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,28.872448,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,0.000000,19.002743,38.186531,37.366436,81.422792,465.427740,129.027750,0.000000,510.107972,142.573852,14.50,13.772625,31.092402,26.426043,12.874290,400.131000,10.663298,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

15,03:30-03:45,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,28.717808,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,19.002743,38.186531,37.366436,81.422792,442.231740,129.027750,0.000000,475.545932,142.573852,14.50,13.772625,31.092402,26.426043,13.593606,400.131000,11.572327,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,50.149752,0,0,0,0,0

16,03:45-04:00,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,19.002743,38.186531,37.366436,81.422792,421.935240,129.027750,0.000000,453.123132,142.573852,14.50,13.772625,31.092402,26.426043,13.356224,400.131000,11.572327,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,50.149752,0,0,0,0,0

17,04:00-04:15,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,19.002743,38.186531,37.366436,81.422792,403.581405,129.027750,0.000000,431.637837,142.573852,14.50,13.772625,31.092402,26.426043,14.497500,400.131000,11.572327,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

18,04:15-04:30,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,19.002743,38.186531,37.366436,81.422792,385.208240,129.027750,0.000000,405.484347,142.573852,14.50,13.772625,31.092402,26.426043,14.497500,400.131000,11.572327,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

19,04:30-04:45,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,23.994426,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,19.002743,38.186531,37.366436,81.422792,367.811240,129.027750,0.000000,363.899305,142.573852,14.50,13.772625,31.092402,26.426043,14.497500,400.131000,11.572327,0.000000,119.522827,15.557267,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

20,04:45-05:00,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,23.994426,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,4.921418,19.002743,38.186531,37.366436,81.422792,348.481240,129.027750,0.000000,363.899305,142.573852,14.50,13.772625,31.092402,26.426043,14.497500,400.131000,11.572327,0.000000,119.522827,15.557267,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

21,05:00-05:15,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,28.775025,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,7.382127,12.668495,38.186531,37.366436,81.422792,333.983740,129.027750,0.000000,364.060494,142.573852,14.50,13.772625,31.092402,26.426043,14.497500,400.131000,11.576764,0.000000,119.522827,15.557267,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

22,05:15-05:30,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,28.775025,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,31.989217,12.668495,38.186531,37.366436,81.422792,319.486240,129.027750,0.000000,364.060494,142.573852,14.50,13.772625,31.092402,26.426043,14.497500,400.131000,11.576764,0.000000,119.522827,15.557267,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

23,05:30-05:45,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,28.775025,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,31.989217,12.668495,38.186531,37.366436,81.422792,319.486240,129.027750,0.000000,381.196202,133.115272,14.50,9.656688,23.867865,26.426043,14.497500,400.131000,11.576764,0.000000,119.522827,15.557267,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

24,05:45-06:00,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,28.775025,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,31.989217,12.668495,38.186531,37.366436,81.422792,319.486240,129.027750,0.000000,381.196202,99.287772,14.50,9.656688,22.269126,26.426043,14.497500,400.131000,11.576764,0.000000,119.522827,15.557267,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

