Column1,Block,NR/2025/25458/C,GNARE/NR/2024/12/20/3668,NR/2025/25457/C,GNA/NR/2025/03/01/5143,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/3469,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/4651,WR/2025/26426/A/55702,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/6891,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/8036,WR/2025/26427/A/55703,GNA/NR/2025/03/01/2563,GNA/WR/2025/01/01/9606,WR/2025/26582/A/55923,WR/2025/26499/A/55925,NR/2025/25159/A/55649,GNA/WR/2025/03/01/6406,Total
3,00:30-00:45,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,200,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,913.3999999999999

4,00:45-01:00,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,200,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,913.3999999999999

5,01:00-01:15,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,200,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,913.3999999999999

6,01:15-01:30,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,200,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,913.3999999999999

7,01:30-01:45,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,200,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,913.3999999999999

8,01:45-02:00,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,200,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,913.3999999999999

9,02:00-02:15,0,0,0,190.26,26.87,23.02,8.63,26.87,5.14,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.3

10,02:15-02:30,0,0,0,190.26,26.87,23.02,8.63,26.87,5.14,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.3

11,02:30-02:45,0,0,0,190.26,26.87,23.02,8.63,26.87,5.14,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.3

12,02:45-03:00,0,0,0,190.26,26.87,23.02,8.63,26.87,5.14,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.3

13,03:00-03:15,0,0,0,190.26,26.87,23.02,8.63,26.87,5.05,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.2099999999999

14,03:15-03:30,0,0,0,190.26,26.87,23.02,8.63,26.87,5.05,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.2099999999999

15,03:30-03:45,0,0,0,190.26,26.87,23.02,8.63,26.87,5.05,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.2099999999999

16,03:45-04:00,0,0,0,190.26,26.87,23.02,8.63,26.87,5.05,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.2099999999999

17,04:00-04:15,0,0,0,190.26,26.87,23.02,8.63,26.87,4.96,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.1199999999999

18,04:15-04:30,0,0,0,190.26,26.87,23.02,8.63,26.87,4.96,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.1199999999999

19,04:30-04:45,0,0,0,190.26,26.87,23.02,8.63,26.87,4.96,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.1199999999999

20,04:45-05:00,0,0,0,190.26,26.87,23.02,8.63,26.87,4.96,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,713.1199999999999

21,05:00-05:15,0,0,0,190.26,26.87,23.02,8.63,26.87,4.86,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.48,42,713.07

22,05:15-05:30,0,0,0,190.26,26.87,23.02,8.63,26.87,4.86,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.48,42,713.07

23,05:30-05:45,0,0,0,190.26,26.87,23.02,8.63,26.87,4.86,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.48,42,713.07

24,05:45-06:00,0,0,0,190.26,26.87,23.02,8.63,26.87,4.86,0,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.48,42,713.07

25,06:00-06:15,0,0,0,0,26.87,36.45,8.63,26.87,4.78,0,0,167.43,17.27,0,0,36.45,0,36.45,0,0,0,0.53,42,403.72999999999996

26,06:15-06:30,0,0,0,0,22.92,36.45,8.63,22.92,4.78,0,0,167.43,17.27,0,0,36.45,0,36.45,0,0,0,0.53,42,395.8299999999999

27,06:30-06:45,0,0,0,0,19.4,36.45,8.63,19.4,4.78,0,0,167.43,17.27,0,0,36.45,0,36.45,0,0,0,0.53,42,388.78999999999996

28,06:45-07:00,0,0.04,0,0,13.68,36.45,8.63,13.68,4.78,0,0,167.43,17.27,0,0,36.45,0,36.45,0,0,0,0.53,42,377.38999999999993

29,07:00-07:15,0,0.28,0,0,32,36.45,8.63,32,4.68,0,0,167.43,17.27,0,0,36.45,0,36.45,0,0,40.29,0.58,0,412.51

30,07:15-07:30,0,0.34,0,0,32,36.45,8.63,32,4.68,0,0,167.43,17.27,0,0,36.45,0,36.45,0,0,40.29,0.58,0,412.56999999999994

31,07:30-07:45,0,0.51,0,0,32,36.45,8.63,32,4.68,0,0,167.43,17.27,0,0,36.45,0,36.45,0,0,40.29,0.58,0,412.74

32,07:45-08:00,0,1.99,0,0,32,36.45,8.63,32,4.68,0,0,167.43,17.27,0,0,36.45,0,36.45,0,0,40.29,0.58,0,414.21999999999997

33,08:00-08:15,0,7.95,0,0,32,36.45,8.63,32,4.59,0,0,0,17.27,0,0,36.45,0,36.45,0,0,40.29,0.96,0,253.04000000000002

34,08:15-08:30,0,16.28,0,0,32,36.45,8.63,32,4.59,0,0,0,17.27,0,0,36.45,0,36.45,0,0,40.29,0.96,0,261.37

35,08:30-08:45,0,24.95,0,0,32,22.06,8.63,25.14,4.59,0,0,0,17.27,0,0,36.45,0,36.45,0,0,40.29,0.96,0,248.79000000000002

36,08:45-09:00,0,33.7,0,0,32,22.06,8.63,25.14,4.59,0,0,0,17.27,0,0,36.45,0,36.45,0,0,40.29,0.96,0,257.54

37,09:00-09:15,36.07,51.24,16.69,0,32,22.06,8.63,23.19,4.5,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,298.89000000000004

38,09:15-09:30,38.37,59.95,14.39,0,32,22.06,8.63,25.65,4.5,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,310.06000000000006

39,09:30-09:45,38.37,67.49,14.39,0,26.87,22.06,8.63,26.87,4.5,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,313.69000000000005

40,09:45-10:00,38.37,74.51,14.39,0,26.87,22.06,8.63,26.87,4.5,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,320.71000000000004

41,10:00-10:15,38.37,80.48,14.39,0,26.87,22.06,8.63,26.87,4.5,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,326.68000000000006

42,10:15-10:30,38.37,86.64,14.39,0,26.87,22.06,8.63,26.87,4.5,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,332.84000000000003

43,10:30-10:45,38.37,92.29,14.39,0,26.87,22.06,8.63,26.87,4.5,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,338.49000000000007

44,10:45-11:00,38.37,97.49,14.39,0,26.87,22.06,8.63,26.87,4.5,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,343.69

45,11:00-11:15,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

46,11:15-11:30,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

47,11:30-11:45,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

48,11:45-12:00,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

49,12:00-12:15,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

50,12:15-12:30,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

51,12:30-12:45,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

52,12:45-13:00,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

53,13:00-13:15,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.96,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.66

54,13:15-13:30,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.96,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.66

55,13:30-13:45,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.96,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.66

56,13:45-14:00,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.96,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.66

57,14:00-14:15,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

58,14:15-14:30,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

59,14:30-14:45,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

60,14:45-15:00,38.37,100,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.91,0,346.56

61,15:00-15:15,38.37,98.45,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.67,0,344.77

62,15:15-15:30,38.37,93.46,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.67,0,339.78000000000003

63,15:30-15:45,38.37,88.72,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.67,0,335.0400000000001

64,15:45-16:00,38.37,83.1,14.39,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.67,0,329.4200000000001

65,16:00-16:15,38.37,76.82,14.39,0,26.87,22.06,8.63,26.87,4.96,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.53,0,323.09999999999997

66,16:15-16:30,38.37,69.4,14.39,0,26.87,22.06,8.63,26.87,4.96,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.53,0,315.68

67,16:30-16:45,31.85,60.91,16.98,0,26.87,22.06,8.63,26.87,4.96,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.53,0,303.26

68,16:45-17:00,23.5,52.76,22.54,0,26.87,22.06,8.63,26.87,4.96,0,0,0,17.27,0,0,23.02,0,23.02,0,0,40.29,0.53,0,292.32

69,17:00-17:15,0,44.8,0,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,100,34.53,0,34.53,0,0,40.29,0.53,0,361.23999999999995

70,17:15-17:30,0,35.51,0,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,100,34.53,0,34.53,0,0,40.29,0.53,0,351.95

71,17:30-17:45,0,27.25,0,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,100,34.53,0,34.53,0,0,40.29,0.53,0,343.69

72,17:45-18:00,0,18.73,0,0,26.87,22.06,8.63,26.87,4.86,0,0,0,17.27,0,100,34.53,0,34.53,0,0,40.29,0.53,0,335.17

73,18:00-18:15,0,11.4,0,0,32,22.06,12.47,32,4.86,0,0,0,17.27,0,100,36.45,0,36.45,100,0,40.29,0.53,0,445.78

74,18:15-18:30,0,5.5,0,0,32,22.06,12.47,32,4.86,0,0,0,17.27,0,100,36.45,0,36.45,100,0,40.29,0.53,0,439.88

75,18:30-18:45,0,1.86,0,0,32,22.06,12.47,32,4.41,50,0,0,17.27,0,100,36.45,0,36.45,100,0,40.29,0.53,0,485.79

76,18:45-19:00,0,0.19,0,0,32,22.06,12.47,32,4.41,50,0,0,17.27,0,100,36.45,0,36.45,100,0,40.29,0.53,0,484.11999999999995

77,19:00-19:15,0,0.3,0,0,32,22.06,12.47,32,4.41,50,0,0,17.27,0,100,36.45,0,36.45,100,0,40.29,0.62,0,484.32

78,19:15-19:30,0,0,0,0,32,22.06,12.47,32,4.41,50,0,0,17.27,0,100,36.45,0,36.45,100,0,40.29,0.62,0,484.02000000000004

79,19:30-19:45,0,0,0,0,31.43,22.06,12.47,31.43,4.41,50,0,0,17.27,0,100,36.45,0,36.45,100,0,40.29,0.62,0,482.88

80,19:45-20:00,0,0,0,0,31.43,22.06,12.47,31.43,4.41,50,0,0,17.27,0,100,36.45,0,36.45,100,0,40.29,0.62,0,482.88

81,20:00-20:15,0,0,0,0,31.43,22.06,12.47,31.43,4.32,50,0,47.96,17.27,0,100,36.45,0,36.45,100,0,40.29,0.62,0,530.75

82,20:15-20:30,0,0,0,0,31.43,22.06,12.47,31.43,4.32,50,0,47.96,17.27,0,100,36.45,0,36.45,100,0,40.29,0.62,0,530.75

83,20:30-20:45,0,0,0,0,31.43,22.06,12.47,31.43,4.32,50,0,47.96,17.27,0,100,36.45,0,36.45,100,0,40.29,0.62,0,530.75

84,20:45-21:00,0,0,0,0,31.43,22.06,12.47,31.43,4.32,50,0,47.96,17.27,0,100,36.45,0,36.45,100,0,40.29,0.62,0,530.75

85,21:00-21:15,0,0,0,0,31,22.06,12.47,31,4.32,50,0,47.96,17.27,0,100,23.02,0,23.02,100,0,40.29,0.62,0,503.03000000000003

86,21:15-21:30,0,0,0,0,31.25,22.06,8.63,31.25,4.32,50,0,47.96,17.27,0,100,23.02,0,23.02,100,0,40.29,0.62,0,499.69

87,21:30-21:45,0,0,0,0,31.25,22.06,8.63,31.25,4.32,50,0,47.96,17.27,0,100,23.02,0,23.02,100,0,40.29,0.62,0,499.69

88,21:45-22:00,0,0,0,0,31.25,22.06,8.63,31.25,4.32,50,0,47.96,17.27,0,100,23.02,0,23.02,100,0,40.29,0.62,0,499.69

89,22:00-22:15,0,0,0,190.26,19.98,22.06,8.63,32,4.32,50,0,47.96,17.27,63.42,100,23.02,23.98,23.02,100,23.98,40.29,0.53,0,790.7199999999998

90,22:15-22:30,0,0,0,190.26,19.98,22.06,8.63,32,4.32,50,0,47.96,17.27,63.42,100,23.02,23.98,23.02,100,23.98,40.29,0.53,0,790.7199999999998

91,22:30-22:45,0,0,0,190.26,19.98,22.06,8.63,32,4.32,50,0,47.96,17.27,63.42,100,23.02,23.98,23.02,100,23.98,40.29,0.53,0,790.7199999999998

92,22:45-23:00,0,0,0,190.26,19.98,22.06,8.63,32,4.32,50,0,47.96,17.27,63.42,100,23.02,23.98,23.02,100,23.98,40.29,0.53,0,790.7199999999998

93,23:00-23:15,0,0,0,190.26,25.65,22.06,8.63,32,4.32,50,0,47.96,17.27,63.42,0,23.02,23.98,23.02,100,23.98,40.29,0.48,0,696.34

94,23:15-23:30,0,0,0,190.26,25.65,22.06,8.63,32,4.32,50,0,47.96,17.27,63.42,0,23.02,23.98,23.02,100,23.98,40.29,0.48,0,696.34

95,23:30-23:45,0,0,0,190.26,25.65,22.06,8.63,32,4.32,50,0,47.96,17.27,63.42,0,23.02,23.98,23.02,100,23.98,40.29,0.48,0,696.34

96,23:45-24:00,0,0,0,190.26,25.65,22.06,8.63,32,4.32,50,0,47.96,17.27,63.42,0,23.02,23.98,23.02,100,23.98,40.29,0.48,0,696.34

