Column1,Block,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/2594,GNA/SR/2025/02/01/6460,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/9969,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,NR/2025/25227/C,NR/2025/25228/C,NR/30092023/31122025/SH-07,WR/2025/26047/A/52812,GNA/NR/2025/02/01/4863,NR/2025/24882/A/52569,ER/2025/15683/A/52805,NER/2025/2918/A/52807,GNA/NR/2025/02/01/5886,NR/2024/24418/A/52549,GNA/WR/2025/01/01/8625,NR/2025/25070/A/52817,NR/2025/24992/A/52567,Total
11,02:30-02:45,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

12,02:45-03:00,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

13,03:00-03:15,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

14,03:15-03:30,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

15,03:30-03:45,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

16,03:45-04:00,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

17,04:00-04:15,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

18,04:15-04:30,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

19,04:30-04:45,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

20,04:45-05:00,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

21,05:00-05:15,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

22,05:15-05:30,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

23,05:30-05:45,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

24,05:45-06:00,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

25,06:00-06:15,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,4.81,7.34,9.18,8.66,0.43,0,17.31,9.62,263.69

26,06:15-06:30,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,4.81,7.34,9.18,8.66,0.43,0,17.31,9.62,263.69

27,06:30-06:45,23.08,23.08,75,0,23.08,1.38,0,26.99,0,0,0,25.57,0,8.66,4.81,7.34,9.18,8.66,0.43,0,17.31,9.62,264.19

28,06:45-07:00,23.08,23.08,75,0,23.08,1.38,0,26.99,0,0,0,25.57,0,8.66,4.81,7.34,9.18,8.66,0.43,0,17.31,9.62,264.19

29,07:00-07:15,31.74,31.74,75,0,31.74,1.38,0,32,0,0,0,32,0,8.66,4.81,7.34,9.18,8.66,0.48,0,17.31,9.62,301.66

30,07:15-07:30,31.74,31.74,75,0,31.74,1.38,0,32,0,0,0,32,0,8.66,4.81,7.34,9.18,8.66,0.48,0,17.31,9.62,301.66

31,07:30-07:45,31.74,31.74,75,0,31.74,1.38,0,32,0,0,0,32,0,8.66,4.81,7.34,9.18,8.66,0.48,0,17.31,9.62,301.66

32,07:45-08:00,31.74,31.74,75,0,31.74,1.38,0,32,0,0,0,32,0,8.66,4.81,7.34,9.18,8.66,0.48,0,17.31,9.62,301.66

33,08:00-08:15,31.74,31.74,75,0,31.74,1.38,0,32,0,0,0,32,0,8.66,4.81,7.34,9.18,8.66,0.87,0,17.31,9.62,302.05

34,08:15-08:30,31.74,31.74,75,0,31.74,1.38,0,32,0,0,0,32,0,8.66,4.81,7.34,9.18,8.66,0.87,0,17.31,9.62,302.05

35,08:30-08:45,28.85,28.85,75,0,28.85,1.38,0,32,0,0,0,32,0,8.66,4.81,7.34,9.18,8.66,0.87,0,17.31,9.62,293.38

36,08:45-09:00,28.85,28.85,75,0,28.85,1.38,0,32,0,0,0,32,0,8.66,4.81,7.34,9.18,8.66,0.87,0,17.31,9.62,293.38

37,09:00-09:15,28.85,28.85,75,0,28.85,1.38,0,32,0,27.12,19.62,24.45,0,8.66,4.81,7.34,9.18,8.66,0.87,0,17.31,9.62,332.57000000000005

38,09:15-09:30,28.85,28.85,75,0,28.85,1.38,0,32,0,27.8,25.1,24.45,0,8.66,4.81,7.34,9.18,8.66,0.87,0,17.31,9.62,338.73

39,09:30-09:45,23.08,23.08,75,0,23.08,1.38,0,26.99,0,20.39,32.51,26.99,0,8.66,4.81,7.34,9.18,8.66,0.87,0,17.31,9.62,318.95000000000005

40,09:45-10:00,23.08,23.08,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,4.81,7.34,9.18,8.66,0.87,0,17.31,9.62,318.95000000000005

41,10:00-10:15,23.08,23.08,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,314.14000000000004

42,10:15-10:30,23.08,23.08,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,314.14000000000004

43,10:30-10:45,23.08,23.08,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,314.14000000000004

44,10:45-11:00,23.08,23.08,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,314.14000000000004

45,11:00-11:15,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

46,11:15-11:30,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

47,11:30-11:45,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

48,11:45-12:00,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

49,12:00-12:15,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

50,12:15-12:30,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

51,12:30-12:45,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

52,12:45-13:00,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

53,13:00-13:15,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

54,13:15-13:30,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

55,13:30-13:45,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

56,13:45-14:00,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.22

57,14:00-14:15,22.12,22.12,75,0,23.08,1.47,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.31000000000006

58,14:15-14:30,22.12,22.12,75,0,23.08,1.47,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.31000000000006

59,14:30-14:45,22.12,22.12,75,0,23.08,1.47,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.31000000000006

60,14:45-15:00,22.12,22.12,75,0,23.08,1.47,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.87,0,17.31,5.77,312.31000000000006

61,15:00-15:15,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.67,0,17.31,5.77,312.02000000000004

62,15:15-15:30,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.67,0,17.31,5.77,312.02000000000004

63,15:30-15:45,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.67,0,17.31,5.77,312.02000000000004

64,15:45-16:00,22.12,22.12,75,0,23.08,1.38,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.67,0,17.31,5.77,312.02000000000004

65,16:00-16:15,22.12,22.12,75,0,23.08,1.47,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.53,0,17.31,5.77,311.97

66,16:15-16:30,22.12,22.12,75,0,23.08,1.47,0,26.99,0,14.43,38.47,26.99,0,8.66,3.85,7.34,9.18,8.66,0.53,0,17.31,5.77,311.97

67,16:30-16:45,22.12,22.12,75,0,23.08,1.47,0,26.99,0,18.37,34.53,26.99,0,8.66,3.85,7.34,9.18,8.66,0.53,0,17.31,5.77,311.97

68,16:45-17:00,22.12,22.12,75,0,23.08,1.47,0,26.99,0,21.16,26.64,26.99,0,8.66,3.85,7.34,9.18,8.66,0.53,0,17.31,5.77,306.86999999999995

69,17:00-17:15,25.97,25.97,75,0,25.97,1.47,0,26.99,0,0,0,26.99,0,8.66,4.81,7.34,9.18,8.66,0.53,0,17.31,9.62,274.47

70,17:15-17:30,25.97,25.97,75,0,25.97,1.47,0,26.99,0,0,0,26.99,0,8.66,4.81,7.34,9.18,8.66,0.53,0,17.31,9.62,274.47

71,17:30-17:45,28.85,28.85,75,0,28.85,1.47,0,26.99,0,0,0,26.99,0,8.66,4.81,7.34,9.18,8.66,0.53,0,17.31,9.62,283.11

72,17:45-18:00,28.85,28.85,75,0,28.85,1.47,0,26.99,0,0,0,26.99,0,8.66,4.81,7.34,9.18,8.66,0.53,0,17.31,9.62,283.11

73,18:00-18:15,31.74,31.74,75,0,31.74,1.38,50,25.57,200,0,0,25.57,38.47,8.66,4.81,7.34,9.18,8.66,0.53,0,17.31,9.62,577.3199999999997

74,18:15-18:30,31.74,31.74,75,0,31.74,1.38,50,25.57,200,0,0,25.57,38.47,8.66,4.81,7.34,9.18,8.66,0.53,0,17.31,9.62,577.3199999999997

75,18:30-18:45,31.74,31.74,75,50,31.74,1.38,50,20.65,200,0,0,20.65,38.47,8.66,4.81,7.34,9.18,8.66,0.53,0,17.31,9.62,617.4799999999998

76,18:45-19:00,31.74,31.74,75,50,31.74,1.38,50,20.65,200,0,0,20.65,38.47,8.66,4.81,7.34,9.18,8.66,0.53,0,17.31,9.62,617.4799999999998

77,19:00-19:15,31.74,31.74,75,50,31.74,1.38,50,20.65,200,0,0,20.65,38.47,8.66,4.81,7.34,9.18,8.66,0.63,0,17.31,9.62,617.5799999999998

78,19:15-19:30,31.74,31.74,75,50,31.74,1.38,50,20.65,200,0,0,20.65,38.47,8.66,4.81,7.34,9.18,8.66,0.63,0,17.31,9.62,617.5799999999998

79,19:30-19:45,31.74,31.74,75,50,31.74,1.38,50,24.32,200,0,0,24.32,38.47,8.66,4.81,7.34,9.18,8.66,0.63,0,17.31,9.62,624.9199999999998

80,19:45-20:00,31.74,31.74,75,50,31.74,1.38,50,26.99,200,0,0,26.99,38.47,8.66,4.81,7.34,9.18,8.66,0.63,0,17.31,9.62,630.2599999999999

81,20:00-20:15,28.85,28.85,75,50,28.85,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.63,0,17.31,5.77,566.7799999999999

82,20:15-20:30,28.85,28.85,75,50,28.85,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.63,0,17.31,5.77,566.7799999999999

83,20:30-20:45,28.85,28.85,75,50,28.85,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.63,0,17.31,5.77,566.7799999999999

84,20:45-21:00,28.85,28.85,75,50,28.85,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.63,0,17.31,5.77,566.7799999999999

85,21:00-21:15,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.58,0,17.31,5.77,558.0899999999999

86,21:15-21:30,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.58,0,17.31,5.77,558.0899999999999

87,21:30-21:45,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.58,0,17.31,5.77,558.0899999999999

88,21:45-22:00,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.58,0,17.31,5.77,558.0899999999999

89,22:00-22:15,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.53,0,17.31,5.77,558.0399999999998

90,22:15-22:30,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.53,0,17.31,5.77,558.0399999999998

91,22:30-22:45,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.53,0,17.31,5.77,558.0399999999998

92,22:45-23:00,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.53,0,17.31,5.77,558.0399999999998

93,23:00-23:15,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.48,0,17.31,5.77,557.9899999999999

94,23:15-23:30,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.48,0,17.31,5.77,557.9899999999999

95,23:30-23:45,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.48,0,17.31,5.77,557.9899999999999

96,23:45-24:00,25.97,25.97,75,50,25.97,1.38,50,26.99,150,0,0,26.99,38.47,8.66,3.85,7.34,9.18,8.66,0.48,0,17.31,5.77,557.9899999999999

