Column1,Time,NR/01102023/31052040/LT-31,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/2197,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,NR/01102023/19072037/LT-05,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1766,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1899,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/12/01/7739,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19
12,02:45-03:00,0,25.9,25.9,1.37,0,1.01,57.27,65.23,25.74,0,52.76,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,7.6,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,7,6.67,13.33,0

13,03:00-03:15,0,25.9,25.9,1.37,0,0.93,57.27,65.23,25.74,0,52.76,0,0,0,150,25.9,0,8.63,8.63,15.35,0,31.71,1.61,95.13,2.2,8,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,7,6.67,13.33,0

14,03:15-03:30,0,25.9,25.9,1.37,0,0.93,57.27,65.23,25.74,0,52.76,0,0,0,150,25.9,0,8.63,8.63,23.02,0,31.71,1.61,95.13,2.2,8.6,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,7,6.67,13.33,0

15,03:30-03:45,0,25.9,25.9,1.37,0,0.93,57.27,65.23,25.74,0,62.35,0,0,0,150,25.9,0,8.63,8.63,23.02,0,31.71,1.61,95.13,2.2,10.4,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,7,6.67,13.33,0

16,03:45-04:00,0,25.9,25.9,1.37,0,0.93,57.27,65.23,25.74,0,57.56,0,0,0,150,25.9,0,8.63,8.63,30.7,0,31.71,1.61,95.13,2.2,10.6,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,7,6.67,13.33,0

17,04:00-04:15,0,25.9,25.9,1.37,0,0.93,57.27,64.27,25.23,0,62.35,0,0,0,150,25.9,0,8.63,8.63,38.37,0,31.71,1.61,95.13,2.11,20.41,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,7,6.67,13.33,0

18,04:15-04:30,0,25.9,25.9,1.37,0,0.93,57.27,64.27,25.23,0,62.35,0,0,0,150,25.9,0,8.63,8.63,46.05,0,31.71,1.61,95.13,2.11,21.21,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

19,04:30-04:45,0,25.9,25.9,1.37,0,0.93,57.27,64.27,25.23,0,62.35,0,0,0,150,25.9,0,8.63,8.63,53.72,0,31.71,1.61,95.13,2.11,25.01,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

20,04:45-05:00,0,25.9,25.9,1.37,0,0.93,57.27,64.27,25.23,0,62.35,0,0,0,150,25.9,0,8.63,8.63,53.72,0,31.71,1.61,95.13,2.11,26.21,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

21,05:00-05:15,0,25.9,25.9,1.3,0,0.93,57.27,63.57,25.23,0,62.35,0,0,0,150,25.9,0,8.63,8.63,61.4,0,31.71,1.61,95.13,2.11,27.81,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

22,05:15-05:30,0,25.9,25.9,1.3,0,0.93,57.27,99.95,25.23,0,91.13,0,0,0,150,25.9,0,8.63,8.63,69.07,0,31.71,1.61,95.13,2.11,29.01,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

23,05:30-05:45,0,25.9,25.9,1.3,0,0.93,63.91,98.81,25.23,0,99.94,0,0,0,150,25.9,0,8.63,8.63,77.7,0,31.71,1.61,95.13,2.11,17.81,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

24,05:45-06:00,0,25.9,25.9,1.3,0,0.93,76.06,98.81,25.23,0,99.94,0,0,0,150,25.9,0,8.63,8.63,77.7,0,31.71,1.61,95.13,2.11,17.81,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

25,06:00-06:15,0,25.9,25.9,1.3,0,0.93,86.53,116.08,25.23,0,99.94,0,0,0,150,25.9,0,8.63,8.63,77.7,0,0,1.61,0,2.11,15.61,0,0,0,0,0,0,0,0,6.67,19.99,0.01,0.88,0,13.34,6.67,6.67,13.33,0

26,06:15-06:30,0,25.9,25.9,1.3,0,0.93,86.53,116.08,24.73,0,99.94,0,0,0,150,25.9,0,8.63,8.63,77.7,0,0,1.61,0,2.11,15.61,0,0,0,0,0,0,0,0,6.67,19.99,4,1.41,0,13.34,6.67,6.67,13.33,0

27,06:30-06:45,0.11,25.9,25.9,1.3,0.11,0.93,74.37,116.08,24.22,0,99.94,0,0,0,150,25.9,0,8.63,8.63,77.7,0.11,0,1.61,0,2.11,12.01,0,0,0,0,0,0,0,0,6.67,19.99,10.44,2.91,1,13.34,6.67,6.67,13.33,0

28,06:45-07:00,0.23,25.9,25.9,1.3,0.23,0.93,86.53,116.08,23.71,0,99.94,0,0,0,150,25.9,0,8.63,8.63,77.7,0.23,0,1.61,0,2.11,11.81,0,0,0,0,0,0,0,0,6.67,19.99,17.39,9.27,5,13.34,6.67,6.67,13.33,0

29,07:00-07:15,0.54,31.66,31.66,1.3,0.54,1.01,86.53,116.08,23.22,0,99.94,0,0,0,150,31.66,0,8.63,8.63,77.7,0.55,0,1.61,0,2.2,11.21,0,0,1,1,0,0.99,2,0.2,6.67,19.99,27.13,18.71,10,13.34,6.67,6.67,13.33,4.49

30,07:15-07:30,0.93,31.66,31.66,1.3,0.93,1.01,86.53,116.08,23.22,0,99.94,0,0,0,150,31.66,0,8.63,8.63,77.7,0.95,0,1.61,0,2.2,10.6,1,1,4,2,1,4.56,5,0.91,6.67,19.99,33,30.88,16,13.34,6.67,6.67,13.33,11.02

31,07:30-07:45,1.32,31.66,31.66,1.3,1.32,1.01,86.53,116.08,23.22,0,99.94,0,0,0,150,31.66,0,8.63,8.63,77.7,1.35,0,1.61,0,2.2,10.2,4,2,11,5,3,11.59,7,2.32,6.67,19.99,32.7,32.7,21.99,13.34,6.67,6.67,13.33,19.15

32,07:45-08:00,1.77,31.66,31.66,1.3,1.77,1.01,86.53,116.08,23.22,0,99.94,0,0,0,150,31.66,0,8.63,8.63,77.7,1.8,0,1.61,0,2.2,10,10,4,25,8,4,20.66,9,4.13,6.67,19.99,32.1,32.1,28,13.34,6.67,6.67,13.33,27.59

33,08:00-08:15,2.4,36.45,36.45,1.3,2.4,1.01,86.53,116.08,23.22,0,99.94,0,0,0,150,36.45,0,12.47,12.47,77.7,2.46,0,1.56,0,2.2,9.4,17,5,40,17,8,32.28,13,6.45,6.67,19.99,32.23,32.23,32.24,13.34,6.67,6.67,13.33,36.19

34,08:15-08:30,3.08,36.45,36.45,1.3,3.08,1.01,86.53,116.08,23.22,0,99.94,0,0,0,150,36.45,0,12.47,12.47,77.7,3.15,0,1.56,0,2.2,9,24,10,56,23,12,54.08,20,10.81,6.67,19.99,32.23,32.23,32.24,13.34,6.67,6.67,13.33,45.04

35,08:30-08:45,3.84,36.45,36.45,1.3,3.84,1.01,86.53,116.08,23.71,0,99.94,0,0,0,150,36.45,0,12.47,12.47,77.7,3.93,0,1.56,0,2.2,8.8,21,14,49,27,13,75.23,26,15.04,6.67,19.99,32.23,32.23,32.24,13.34,6.67,6.67,13.33,53.14

36,08:45-09:00,4.67,36.45,36.45,1.3,4.67,1.01,86.53,116.08,24.22,0,99.94,0,0,0,150,36.45,0,12.47,12.47,77.7,4.78,0,1.56,0,2.2,8.4,27,18,63,33,17,93.43,37,18.68,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,61.12

37,09:00-09:15,7.25,28.78,28.78,1.3,7.25,1.01,86.53,116.08,24.22,0,99.94,0,0,0,150,28.78,0,12.47,12.47,77.7,7.43,0,1.56,0,2.11,8,31,21,74,40,20,110.84,43,22.17,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,69

38,09:15-09:30,8.12,28.78,28.78,1.3,8.12,1.01,86.53,116.08,24.22,0,99.94,0,0,0,150,28.78,0,12.47,12.47,77.7,8.32,0,1.56,0,2.11,8,37,24,88,47,23,127.49,50,25.5,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,76.59

39,09:30-09:45,9.14,28.78,28.78,1.3,9.14,1.01,86.53,116.08,24.22,0,99.94,0,0,0,150,28.78,0,12.47,12.47,77.7,9.37,0,1.56,0,2.11,15.61,45,26,105,51,25,143.36,57,28.67,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,83.7

40,09:45-10:00,10.46,28.78,28.78,1.3,10.46,1.01,86.53,116.08,24.73,0,99.94,0,0,0,150,28.78,0,12.47,12.47,77.7,10.72,0,1.56,0,2.11,15.41,51,29,119,57,28,158.61,62,31.72,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,90.4

41,10:00-10:15,11.37,28.78,28.78,1.3,11.37,1.01,76.06,116.08,24.73,0,99.94,0,0,0,150,28.78,0,12.47,12.47,77.7,11.66,0,1.56,0,2.11,24.01,57,31,133,62,31,172.14,66,34.43,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,96.26

42,10:15-10:30,12.13,28.78,28.78,1.3,12.13,1.01,76.06,116.08,24.22,0,99.94,0,0,0,150,28.78,0,12.47,12.47,77.7,12.43,0,1.56,0,2.11,23.81,61,33,144,67,33,184.14,71,36.83,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,100.95

43,10:30-10:45,12.81,28.78,28.78,1.3,12.81,1.01,76.06,99.77,24.22,0,99.94,0,0,0,150,28.78,0,12.47,12.47,77.7,13.13,0,1.56,0,2.11,24.01,67,34,158,71,36,194.67,76,38.93,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,105.14

44,10:45-11:00,13.39,28.78,28.78,1.3,13.39,1.01,76.06,99.77,24.22,0,99.94,0,0,0,150,28.78,0,12.47,12.47,77.7,13.72,0,1.56,0,2.11,24.01,70,36,165,73,37,204.11,80,40.82,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,108.19

45,11:00-11:15,13.78,28.78,28.78,1.3,13.78,1.08,76.06,99.77,24.22,0,78.66,0,0,0,150,28.78,0,12.47,12.47,77.7,14.12,0,1.61,0,2.11,26.01,73,37,172,77,38,211.67,82,42.33,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,110.91

46,11:15-11:30,14.18,28.78,28.78,1.3,14.18,1.08,76.06,99.77,23.22,0,52.76,0,0,0,150,28.78,0,12.47,12.47,77.7,14.54,0,1.61,0,2.11,25.81,75,38,175,80,40,217.63,84,43.52,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,113.29

47,11:30-11:45,14.18,28.78,28.78,1.3,14.18,1.08,76.06,99.77,23.22,0,52.76,0,0,0,150,28.78,0,12.47,12.47,77.7,14.54,0,1.61,0,2.11,26.01,76,39,179,83,41,222.12,85,44.42,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,115.19

48,11:45-12:00,14.18,28.78,28.78,1.3,14.18,1.08,76.06,99.77,22.21,0,52.76,0,0,0,150,28.78,0,12.47,12.47,77.7,14.54,0,1.61,0,2.11,27.01,76,39,179,87,43,225.63,87,45.12,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,116.58

49,12:00-12:15,14.18,28.78,28.78,1.37,14.18,1.08,76.06,118.95,22.21,0,52.76,0,0,0,150,28.78,0,12.47,12.47,92.09,14.54,0,1.61,0,2.11,27.41,76,39,179,87,43,228.27,87,45.65,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,123.21

50,12:15-12:30,14.18,28.78,28.78,1.37,14.18,1.08,76.06,118.95,22.21,0,52.76,0,0,0,150,28.78,0,12.47,12.47,105.52,14.54,0,1.61,0,2.11,28.01,76,39,179,87,43,229.29,87,45.86,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,122.57

51,12:30-12:45,14.18,28.78,28.78,1.37,14.18,1.08,76.06,118.95,22.21,0,52.76,0,0,0,150,28.78,0,12.47,12.47,105.52,14.54,0,1.61,0,2.11,29.01,76,39,179,87,43,229.32,86,45.86,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,120.88

52,12:45-13:00,14.18,28.78,28.78,1.37,14.18,1.08,76.06,118.95,22.21,0,52.76,0,0,0,150,28.78,0,12.47,12.47,105.52,14.54,0,1.61,0,2.11,28.61,76,39,179,87,43,228.27,86,45.65,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,119.19

53,13:00-13:15,14.18,28.78,28.78,1.45,14.18,1.08,76.06,118.95,22.21,0,52.76,0,0,0,150,28.78,0,12.47,12.47,105.52,14.54,0,1.66,0,2.11,28.41,76,39,179,87,43,225.86,86,45.17,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,116.22

54,13:15-13:30,14.09,28.78,28.78,1.45,14.09,1.08,76.06,118.95,22.21,0,52.76,0,0,0,150,28.78,0,12.47,12.47,105.52,14.44,0,1.66,0,2.11,26.41,76,38,179,85,43,221.55,83,44.31,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,112.49

55,13:30-13:45,13.83,28.78,28.78,1.45,13.83,1.08,76.06,118.95,22.21,0,52.76,0,0,0,150,28.78,0,12.47,12.47,105.52,14.17,0,1.66,0,2.11,25.01,75,37,175,83,41,216.6,80,43.32,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,107.79

56,13:45-14:00,13.68,28.78,28.78,1.45,13.68,1.08,76.06,118.95,22.21,0,52.76,0,0,0,150,28.78,0,12.47,12.47,105.52,14.02,0,1.66,0,2.11,23.01,72,35,168,80,40,210.44,78,42.09,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,102.25

57,14:00-14:15,13.22,28.78,28.78,1.45,13.22,1.16,76.06,118.95,17.66,0,52.76,0,0,0,150,28.78,0,12.47,12.47,105.52,13.54,0,1.71,0,2.01,20.01,69,34,161,71,36,201.72,75,40.34,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,96.44

58,14:15-14:30,12.48,28.78,28.78,1.45,12.48,1.16,76.06,118.95,17.66,0,52.76,0,0,0,150,28.78,0,12.47,12.47,105.52,12.8,0,1.71,0,2.01,19.61,64,31,151,67,33,193.09,70,38.62,6.67,19.99,32.83,32.83,32.84,13.34,6.67,6.67,13.33,90.78

59,14:30-14:45,11.79,28.78,28.78,1.45,11.79,1.16,76.06,118.95,17.66,0,52.76,0,0,0,150,28.78,0,12.47,12.47,118.95,12.08,0,1.71,0,2.01,23.01,60,29,140,60,30,183.73,65,36.74,6.67,19.99,32.83,32.83,32.84,13.34,7,6.67,13.33,84.74

60,14:45-15:00,10.76,28.78,28.78,1.45,10.76,1.16,76.06,118.95,17.66,0,52.76,0,0,0,150,28.78,0,12.47,12.47,118.95,11.03,0,1.71,0,2.01,23.01,54,27,126,53,27,172.42,62,34.48,6.67,19.99,32.83,32.83,32.84,13.34,7,6.67,13.33,78.33

61,15:00-15:15,9.97,28.78,28.78,1.53,9.97,1.01,76.06,118.95,22.21,0,52.76,0,0,0,150,28.78,0,12.47,12.47,132.77,10.22,0,1.76,0,2.01,22.81,43,24,102,47,23,159.23,57,31.85,6.67,19.99,32.83,32.83,32.84,13.34,7,6.67,13.33,75.81

62,15:15-15:30,8.89,28.78,28.78,1.53,8.89,1.01,76.06,118.95,23.22,0,50.84,0,0,0,150,28.78,0,12.47,12.47,132.77,9.11,0,1.76,0,2.01,22.41,37,22,88,40,20,144.98,52,29,6.67,19.99,32.83,32.83,32.84,13.34,7,6.67,13.33,67.78

63,15:30-15:45,7.88,28.78,28.78,1.53,7.88,1.01,76.06,118.95,23.22,0,99.94,0,0,0,150,28.78,0,12.47,12.47,132.77,8.08,0,1.76,0,2.01,21.61,31,20,74,33,17,129.79,45,25.96,6.67,19.99,33,33,30,13.34,7.33,6.67,13.33,59.25

64,15:45-16:00,6.87,28.78,28.78,1.53,6.87,1.01,76.06,130.22,24.22,0,99.94,0,0,0,150,28.78,0,12.47,12.47,132.77,7.04,0,1.76,0,2.01,20.81,27,18,63,27,13,112.86,41,22.57,6.67,19.99,33,33,24,13.34,7.33,6.67,13.33,50.37

65,16:00-16:15,5.83,36.45,36.45,1.6,5.83,1.08,76.06,130.22,25.23,0,99.94,0,0,0,150,36.45,0,12.47,12.47,132.77,5.98,0,1.71,0,2.11,20.21,21,13,49,20,10,95.93,33,19.18,6.67,19.99,33,33,18,13.34,7.33,6.67,13.33,40.49

66,16:15-16:30,4.74,36.45,36.45,1.6,4.74,1.08,76.06,130.22,25.23,0,99.94,0,0,0,150,36.45,0,12.47,12.47,132.77,4.86,0,1.71,0,2.11,20.41,15,8,35,15,8,78.52,26,15.7,6.67,19.99,30.67,21.57,12,13.34,7.67,6.67,13.33,30.24

67,16:30-16:45,3.64,36.45,36.45,1.6,3.64,1.08,76.06,130.22,26.24,0,99.94,0,0,0,150,36.45,0,12.47,12.47,132.77,3.72,0,1.71,0,2.11,20.41,9,7,21,11,5,60.05,20,12.01,6.67,19.99,20.55,12.55,6,13.34,7.33,6.67,13.33,20.75

68,16:45-17:00,2.55,36.45,36.45,1.6,2.55,1.08,86.53,130.22,27.25,0,99.94,0,0,0,150,36.45,0,12.47,12.47,132.77,2.62,0,1.71,0,2.11,20.21,6,5,14,9,4,38.98,13,7.79,6.67,19.99,11.62,5.64,1,13.34,7.67,6.67,13.33,13.56

69,17:00-17:15,1.81,37.41,37.41,1.53,1.81,1.08,72.91,130.22,28.26,0,89.55,0,0,0,150,37.41,0,14.39,14.39,132.77,1.86,0,1.71,0,2.11,20.21,3,2,7,6,3,17.6,10,3.52,6.67,19.99,4.48,1.39,0,13.34,8,6.67,13.33,5.34

70,17:15-17:30,1.23,37.41,37.41,1.53,1.23,1.08,72.91,130.22,28.26,0,89.55,0,0,0,150,37.41,0,14.39,14.39,132.77,1.26,0,1.71,0,2.11,20.21,1,1,4,2,1,9.9,7,1.98,6.67,19.99,0.76,1.59,0,13.34,8,6.67,13.33,0

71,17:30-17:45,0.77,37.41,37.41,1.53,0.77,1.31,72.91,130.22,28.26,0,89.55,0,0,0,150,37.41,0,14.39,14.39,132.77,0.79,0,1.71,0,2.11,20.41,0,0,1,1,0,4.4,3,0.88,6.67,19.99,0.29,0.94,0,13.34,8,6.67,13.33,0

72,17:45-18:00,0.43,37.41,37.41,1.53,0.43,1.31,72.91,130.22,28.26,0,89.55,0,0,0,150,37.41,0,14.39,14.39,132.77,0.44,0,1.71,0,2.11,20.41,0,0,1,0,0,0.51,2,0.1,6.67,19.99,0.03,0.61,0,13.34,8.67,6.67,13.33,0

73,18:00-18:15,0.24,37.41,37.41,1.53,0.24,1.31,72.91,130.22,28.26,0,89.55,150,50,0,150,37.41,0,14.39,14.39,132.77,0.25,0,1.66,0,2.2,14.61,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,18.34,9,6.67,18.33,0

74,18:15-18:30,0,37.41,37.41,1.53,0,1.31,72.91,130.22,28.26,0,89.55,150,50,0,150,37.41,0,14.39,14.39,132.77,0,0,1.66,0,2.2,14.21,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,17.66,9.33,6.67,17.67,0

75,18:30-18:45,0,37.41,37.41,1.53,0,1.31,72.91,130.22,27.75,0,89.55,150,50,0,150,37.41,0,14.39,14.39,132.77,0,0,1.66,0,2.2,14.01,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,17.34,10,6.67,17.33,0

76,18:45-19:00,0,37.41,37.41,1.53,0,1.31,72.91,130.22,27.75,0,89.55,150,50,0,150,37.41,0,14.39,14.39,132.77,0,0,1.66,0,2.2,14.21,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,16.66,10.33,6.67,16.67,0

77,19:00-19:15,0,25.9,25.9,1.53,0,1.24,72.91,130.22,27.25,0,89.55,150,50,0,150,25.9,0,8.63,8.63,132.77,0,0,1.66,0,2.2,18.61,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,16,10,6.67,16,0

78,19:15-19:30,0,25.9,25.9,1.53,0,1.24,72.91,130.22,26.75,0,89.55,150,50,0,150,25.9,0,8.63,8.63,132.77,0,0,1.66,0,2.2,18.21,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,15,9.33,6.67,15,0

79,19:30-19:45,0,25.9,25.9,1.53,0,1.24,72.91,130.22,26.75,0,89.55,150,50,0,150,25.9,0,8.63,8.63,132.77,0,0,1.66,0,2.2,17.61,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,14.66,9.33,6.67,14.67,0

80,19:45-20:00,0,25.9,25.9,1.53,0,1.24,72.91,130.22,26.75,0,89.55,150,50,0,150,25.9,0,8.63,8.63,132.77,0,0,1.66,0,2.2,15.61,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,14,9,6.67,14,0

81,20:00-20:15,0,25.9,25.9,1.37,0,1.08,72.91,130.22,26.75,0,89.55,250,50,0,150,25.9,0,8.63,8.63,132.77,0,0,1.66,0,2.2,14.41,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,8.67,6.67,13.33,0

