Column1,Time,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,GNA/NR/2025/05/01/2069,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/9154,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/04/01/8456,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/7902,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/05/01/6160,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8964,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9252,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/4138,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/01/7791
6,01:15-01:30,0,0,0,29.17,0,0,0,0,0,87.5,0,8.36,0,0,0,29.16,72.33,72.33,28,0,0,5.78,67.43,10.6,0,4.28,4.11,122.82,30,163.76,17.51,0,0,14.45,28.9,1.93,272.37,28.9,30.79,260.67,14.45,86.89,13.2,1.18,100.36,163.76,13.49,4.68,0,26.26,115.19,2.41,0

7,01:30-01:45,0,0,0,28.83,0,0,0,0,0,86.5,0,8.25,0,0,0,28.84,72,72,26.66,0,0,5.78,67.43,10.6,0,4.28,4.11,122.82,30,163.76,17.51,0,0,14.45,28.9,1.93,272.37,28.9,30.79,260.67,14.45,68.95,13.2,1.18,100.36,163.76,13.49,4.68,0,26.26,115.19,2.41,0

8,01:45-02:00,0,0,0,28.83,0,0,0,0,0,86.5,0,8.18,0,0,0,28.84,72.33,72.33,26.66,0,0,5.78,67.43,10.6,0,4.28,4.11,122.82,30,163.76,17.51,0,0,14.45,28.9,1.93,272.37,28.9,30.28,260.67,14.45,68.95,13.2,1.18,100.36,163.76,13.49,4.68,0,26.26,115.19,2.41,0

9,02:00-02:15,0,0,0,29,0,0,0,0,0,87,0,8.13,0,0,0,29,78.33,78.34,31,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.28,198.8,14.45,68.95,13,1.18,100.36,163.76,13.49,4.6,0,26.26,66.09,2.41,0

10,02:15-02:30,0,0,0,29.33,0,0,0,0,0,88,0,8.09,0,0,0,29.34,78,78,31,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.28,198.8,14.45,68.95,13,1.18,100.36,163.76,13.49,4.6,0,26.26,66.09,2.41,0

11,02:30-02:45,0,0,0,31.67,0,0,0,0,0,94.99,0,11.21,0,0,0,31.67,78,78,38.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.28,135.53,14.45,56.75,13,1.18,100.36,163.76,13.49,4.6,0,26.26,66.09,2.41,0

12,02:45-03:00,0,0,0,31.67,0,0,0,0,0,94.99,0,10.8,0,0,0,31.67,77,77,38.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.28,135.53,14.45,56.75,13,1.18,100.36,163.76,13.49,4.6,0,26.26,66.09,2.41,0

13,03:00-03:15,0,0,0,31.67,0,0,0,0,0,94.99,0,10.4,0,0,0,31.67,81.67,81.66,38.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.28,135.53,14.45,56.75,12.73,1.18,100.36,163.76,13.49,4.45,0,26.58,66.09,2.41,0

14,03:15-03:30,0,0,0,31.67,0,0,0,0,0,94.99,0,10,0,0,0,31.67,81.67,81.66,38.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.28,135.53,14.45,56.75,12.73,1.18,100.36,163.76,13.49,4.45,0,26.58,66.09,2.41,0

15,03:30-03:45,0,0,0,36.67,0,0,0,0,0,109.99,0,20.01,0,0,0,36.67,81.67,81.66,38.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.28,135.53,14.45,56.75,12.73,1.18,100.36,163.76,13.49,4.45,0,26.58,66.09,2.41,0

16,03:45-04:00,0,0,0,36.67,0,0,0,0,0,109.99,0,19.01,0,0,0,36.67,81.67,81.66,38.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.28,135.53,14.45,56.75,12.73,1.18,100.36,163.76,13.49,4.45,0,26.58,66.09,2.41,0

17,04:00-04:15,0,0,0,36.67,0,0,0,0,0,109.99,0,18.01,0,0,0,36.67,81.67,81.66,38.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.79,135.53,14.45,56.75,12.54,1.18,100.36,163.76,13.49,4.45,0,26.58,66.09,2.41,0

18,04:15-04:30,0,0,0,36.67,0,0,0,0,0,109.99,0,17.01,0,0,0,36.67,81.67,81.66,38.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.79,135.53,14.45,56.75,12.54,1.18,100.36,163.76,13.49,4.45,0,26.58,66.09,2.41,0

19,04:30-04:45,0,0,0,36.83,0,0,0,0,0,110.51,0,15.01,0,0,0,36.83,81.67,81.66,38.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.79,135.53,14.45,56.75,12.54,1.18,100.36,163.76,13.49,4.45,0,26.58,66.09,2.41,0

20,04:45-05:00,0,0,0,38,0,0,0,0,0,114,0,11,0,0,0,38,81.67,81.66,38.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.79,135.53,14.45,56.75,12.54,1.18,100.36,163.76,13.49,4.45,0,26.58,66.09,2.41,0

21,05:00-05:15,0,0,0,33.33,0,0,0,0,0,100.01,0,9,0,0,0,33.33,81.67,81.66,33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.28,135.53,14.45,56.75,12.26,1.18,100.36,163.76,13.49,4.31,0,26.58,66.09,2.41,0

22,05:15-05:30,0,0,0,33.33,0,0,0,0,0,100.01,0,7,0,0,0,33.33,79.33,79.34,32.67,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.28,135.53,14.45,56.75,12.26,1.18,100.36,163.76,13.49,4.31,0,26.58,66.09,2.41,0

23,05:30-05:45,0,0,0,26.67,0,0,0,0,0,79.99,0,5.06,0,0,0,26.67,77.33,77.34,23.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,30.28,135.53,14.45,56.75,12.26,1.18,100.36,163.76,13.49,4.31,0,26.58,66.09,2.41,0

24,05:45-06:00,0,0,0,26.33,0,0,0,0,0,79.01,0,5,0,0,0,26.33,75.67,75.66,23.33,96.33,0,0,0,10.6,0,4.19,3.92,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,29.27,135.53,14.45,56.75,12.26,1.18,100.36,163.76,13.49,4.31,0,26.58,66.09,2.41,0

25,06:00-06:15,0,0,0,26,1,0,0,1,0.12,78,0,4.89,0,1,0.03,26,66.67,66.66,23.33,96.33,0,0,0,10.6,0,4.19,3.74,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,28.26,135.53,14.45,56.75,11.99,1.18,100.36,163.76,13.49,4.31,0,26.58,66.09,2.41,0

26,06:15-06:30,5.1,0,1,25.67,5,5.4,2,2,4.07,76.99,1.73,4.82,0,2,0.82,25.67,66.67,66.66,23.33,96.33,0,0,0,10.6,0,4.19,3.74,122.82,30,163.76,17.51,0,0,0,28.9,1.93,272.37,0,28.26,135.53,14.45,56.75,11.99,1.18,100.36,163.76,13.49,4.31,0,26.58,66.09,2.41,0

27,06:30-06:45,23.95,0,2,20,7,15.5,5,3,10.56,60,4.44,3.72,0,3,2.11,20,66.67,66.66,16.67,96.33,0.29,0,0,10.6,0.29,4.19,3.74,122.82,30,163.76,17.51,0.22,0,0,28.9,1.93,272.37,0,28.26,135.53,14.45,56.75,11.99,1.18,100.36,163.76,13.49,4.31,0,26.58,66.09,4.29,0

28,06:45-07:00,31.94,0,3,20.17,9,31.95,8,4,19.02,60.49,7.84,3.68,1,5,3.8,20.17,66.67,66.66,16.67,96.33,0.85,0,0,10.6,0.85,4.19,3.74,122.82,30,163.76,17.51,0.66,0,0,28.9,1.93,272.37,0,27.25,135.53,14.45,46.24,11.99,1.18,100.36,163.76,13.49,4.31,0,26.58,66.09,4.29,0

29,07:00-07:15,31.65,0,7,20.33,13,31.65,13,7,26.82,61.01,10.62,3.63,6,7,5.37,20.33,58.67,58.66,17,96.33,1.08,0,0,10.6,1.08,4.19,3.74,122.82,30,163.76,17.51,0.83,0,0,28.9,1.93,272.37,0,27.25,107.89,14.45,46.24,11.62,1.18,52.98,163.76,13.49,4.23,0,26.58,66.09,4.13,0

30,07:15-07:30,32.33,0,12,21,19,32.34,16,9,37.59,63,13.52,3.5,12,9,7.52,21,59,59,17.33,96.33,1.33,0,0,10.6,1.33,4.19,3.74,122.82,30,163.76,17.51,1.02,0,0,28.9,1.93,231.19,0,27.25,107.89,14.45,46.24,11.62,1.18,52.98,163.76,13.49,4.23,0,26.58,66.09,4.13,0

31,07:30-07:45,31.59,0,13,22.5,15,31.6,22,7,53.72,67.5,16.81,3.49,7,8,10.75,22.5,45.33,45.34,17.67,96.33,1.96,0,0,10.6,1.96,4.19,3.74,122.82,30,163.76,17.51,1.51,0,0,28.9,1.93,192.66,0,26.24,107.89,14.45,46.24,11.62,1.18,52.98,163.76,13.49,4.23,0,26.58,70.25,4.13,0

32,07:45-08:00,30.1,0,17,23.33,17,30.1,30,8,63,70.01,22.48,3.46,9,10,12.6,23.33,46,46,18.67,96.33,2.56,0,0,10.6,2.56,4.19,3.74,122.82,30,163.76,17.51,1.98,0,0,28.9,1.93,149.8,0,26.24,107.89,14.45,46.24,11.62,1.18,52.98,163.76,13.49,4.23,0,26.58,70.25,4.13,0

33,08:00-08:15,30.74,0,18,16.83,17,30.73,30.73,8,40.32,50.51,23.33,3.5,13,12,8.06,16.83,58.33,58.34,20,0,3.26,0,0,10.6,3.26,4.28,3.74,122.82,30,163.76,17.51,2.52,0,0,28.9,1.93,149.8,0,26.24,107.89,14.45,46.24,11.34,1.18,52.98,163.76,13.49,4.23,0,26.58,70.25,4.13,0

34,08:15-08:30,31.24,0,21,17.67,19,31.23,31.23,10,48.57,52.99,28.33,3.45,18,16,9.71,17.67,60,60,21.67,0,3.68,0,0,10.6,3.68,4.28,3.74,122.82,30,163.76,17.51,2.85,0,0,28.9,1.93,149.8,0,25.23,107.89,14.45,46.24,11.34,1.18,52.98,163.76,13.49,4.23,0,26.58,70.25,4.13,0

35,08:30-08:45,31.24,0,23,18.17,20,31.23,31.23,10,57.05,54.49,38.33,3.46,22,18,11.41,18.17,62.67,62.66,22.67,0,4.1,0,0,10.6,4.1,4.28,3.74,122.82,30,163.76,17.51,3.17,0,0,28.9,1.93,149.8,0,25.23,107.89,14.45,46.24,11.34,1.18,52.98,163.76,13.49,4.23,0,26.58,70.25,4.13,0

36,08:45-09:00,31.9,0,27,18.5,25,31.9,31.9,13,65.77,55.5,41.67,3.46,28,21,13.15,18.5,65.33,65.34,23.33,0,4.31,0,0,10.6,4.31,4.28,3.74,122.82,30,163.76,17.51,3.33,0,0,28.9,1.93,149.8,0,25.23,107.89,14.45,46.24,11.34,1.18,52.98,163.76,13.49,4.23,0,26.58,70.25,4.13,0

37,09:00-09:15,32.5,0,38,14.17,33,32.5,32.5,17,74.49,42.49,33.33,3.48,30,23,14.9,14.17,61.67,61.66,19.33,0,5.36,0,0,10.6,5.36,4.28,3.74,122.82,29.5,163.76,17.51,4.14,0,0,28.9,5.78,149.8,0,25.23,107.89,14.45,46.24,11.16,3.98,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

38,09:15-09:30,32.5,0,46,15.83,40,32.5,32.5,20,83.22,47.51,40,3.46,31,25,16.64,15.83,62.33,62.34,19.67,0,5.99,0,0,10.6,5.99,4.28,3.74,122.82,29.5,163.76,17.51,4.63,0,0,28.9,5.78,149.8,0,25.23,127.16,14.45,46.24,11.16,3.98,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

39,09:30-09:45,32.5,0,56,15.83,49,32.5,32.5,24,91.71,47.51,45,3.5,48,27,18.34,15.83,62.67,62.66,15,0,6.83,0,0,10.6,6.83,3.88,3.74,122.82,29.5,163.76,17.51,5.28,0,0,28.9,5.78,149.8,0,25.23,188.77,14.45,46.24,11.16,3.98,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

40,09:45-10:00,32.5,0,60,16.33,53,32.5,32.5,27,99.48,49.01,50,3.46,52,30,19.9,16.33,65,65,16,0,7.67,0,0,10.6,7.67,3.88,3.74,122.82,29.5,163.76,17.51,5.93,0,0,28.9,5.78,149.8,0,25.23,188.77,14.45,46.24,11.16,3.98,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

41,10:00-10:15,32.5,0,72,17,63,32.5,32.5,32,174.76,51,66.7,3.5,66,36,34.95,17,65,65,17.33,0,10.56,0,0,10.6,10.56,3.88,3.54,122.82,29.5,163.76,17.51,8.16,0,0,28.9,5.78,149.8,0,25.23,188.77,14.45,46.24,10.89,3.98,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

42,10:15-10:30,32.5,0,77,17.5,67,32.5,32.5,33,181.75,52.5,70.05,3.48,70,37,36.35,17.5,56,56,18.33,0,11.06,0,0,10.6,11.06,3.88,3.54,122.82,29.5,163.76,17.51,8.55,0,0,28.9,5.78,149.8,0,24.23,188.77,14.45,46.24,10.89,3.98,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

43,10:30-10:45,32.5,0,83,15,83,32.5,32.5,42,186.62,45,74.35,3.46,75,38,37.32,15,38.33,38.34,15,0,11.55,0,0,10.6,11.55,3.88,3.54,122.82,29.5,163.76,17.51,8.92,0,0,28.9,5.29,149.8,0,24.23,129.08,14.45,46.24,10.89,3.97,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

44,10:45-11:00,32.5,0,87,15.83,85,32.5,32.5,43,189.62,47.51,76.76,3.45,78,39,37.93,15.83,41.67,41.66,16,0,12,0,0,10.6,12,3.88,3.54,122.82,29.5,163.76,17.51,9.27,0,0,28.9,5.29,149.8,0,24.23,129.08,14.45,46.24,10.89,3.97,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

45,11:00-11:15,33,0,87,11.67,87,33,33,43,212.51,34.99,88.2,5,78,39,42.5,11.67,38.33,38.34,3.33,0,12.42,0,0,10.6,12.42,3.88,3.54,122.82,29.5,163.76,17.51,9.6,0,0,28.9,4.15,149.8,0,23.22,129.08,14.45,46.24,10.51,3.97,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

46,11:15-11:30,33,0,87,12,89,33,33,44,216.93,36,91.88,5,78,39,43.39,12,39.33,39.34,3.33,0,12.78,0,0,10.6,12.78,3.88,3.54,122.82,29.5,163.76,17.51,9.87,0,0,28.9,4.15,149.8,0,23.22,129.08,14.45,46.24,10.51,3.97,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

47,11:30-11:45,33,0,91,12.5,89,33,33,44,221.07,37.5,91.88,5,78,41,44.22,12.5,34,34,1.67,0,13.05,0,0,10.6,13.05,3.88,3.54,122.82,29.5,163.76,17.51,10.09,0,0,28.9,5.29,149.8,0,23.22,129.08,14.45,46.24,10.51,3.97,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

48,11:45-12:00,33,0,91,13,89,33,33,44,225.48,39,91.88,5,78,41,45.1,13,35,35,1.67,0,13.25,0,0,10.6,13.25,3.88,3.54,122.82,29.5,163.76,17.51,10.23,0,0,28.9,5.29,149.8,0,23.22,129.08,14.45,46.24,10.51,3.97,52.98,163.76,13.49,4.23,0,26.66,70.25,4.13,0

49,12:00-12:15,33,0,97,13.67,90,33,33,45,230,40.99,91.88,5,78,43,46,13.67,33.33,33.34,1.67,0,16.52,0,0,10.6,16.52,3.88,3.54,122.82,29,163.76,17.51,12.77,0,0,28.9,5.29,149.8,0,23.22,129.08,14.45,46.24,10.23,3.97,52.98,163.76,13.49,4.45,0,26.73,70.25,4.13,0

50,12:15-12:30,33,0,97,14.17,89,33,33,44,230,42.49,91.88,5,78,43,46,14.17,35.33,35.34,1.67,0,16.08,0,0,10.6,16.08,3.88,3.54,122.82,29,163.76,17.51,12.42,0,0,28.9,5.29,149.8,0,23.22,129.08,14.45,46.24,10.23,3.97,52.98,163.76,13.49,4.45,0,26.73,70.25,4.13,0

51,12:30-12:45,33,0,98,14.67,87,33,33,43,230,43.99,91.88,5,72,45,46,14.67,36.33,36.34,1.67,0,15.68,0,0,10.6,15.68,3.88,3.54,122.82,29,163.76,17.51,12.12,0,0,28.9,5.29,149.8,0,25.74,129.08,14.45,46.24,11.25,3.97,52.98,163.76,13.49,4.45,0,26.73,70.25,4.13,0

52,12:45-13:00,33,0,98,15.83,87,33,33,43,230,47.51,91.88,5,72,45,46,15.83,37.33,37.34,1.67,0,15.24,0,0,10.6,15.24,3.88,3.54,122.82,29,163.76,17.51,11.78,0,0,28.9,5.29,149.8,0,25.74,129.08,14.45,46.24,11.25,3.97,52.98,163.76,13.49,4.45,0,26.73,70.25,4.13,0

53,13:00-13:15,33,0,98,15.83,89,33,33,44,230,47.51,98.31,5,76,43,46,15.83,38.33,38.34,1.67,0,14.82,0,0,10.6,14.82,3.88,3.74,122.82,29,163.76,17.51,11.45,0,0,28.9,5.29,149.8,0,25.74,129.08,14.45,46.24,11.06,3.97,52.98,163.76,13.49,4.45,0,26.73,70.25,4.13,0

54,13:15-13:30,33,0,98,16,89,33,33,44,230,48,98.31,6,76,43,46,16,39.33,39.34,1.67,0,14.4,0,0,10.6,14.4,3.88,3.74,122.82,29,163.76,17.51,11.13,0,0,28.9,5.29,149.8,0,25.74,129.08,14.45,46.24,11.06,3.97,52.98,163.76,13.49,4.45,0,26.73,70.25,4.13,0

55,13:30-13:45,33,0,99,16.33,89,33,33,45,228.63,49.01,96.81,6.4,76,48,45.73,16.33,40,40,1.67,0,13.98,0,0,10.6,13.98,3.88,3.74,122.82,29,163.76,17.51,10.8,0,0,28.9,5.29,149.8,0,25.74,188.77,14.45,64.18,11.06,3.97,52.98,163.76,13.49,4.45,0,26.73,70.25,4.13,0

56,13:45-14:00,33,0,99,17,89,33,33,44,229.72,51,95.52,6.6,76,48,45.94,17,41.67,41.66,1.67,0,13.55,0,0,10.6,13.55,3.88,3.74,122.82,29,163.76,17.51,10.48,0,0,28.9,5.29,149.8,0,25.74,188.77,14.45,64.18,11.06,3.97,52.98,163.76,13.49,4.45,0,26.73,70.25,4.13,0

57,14:00-14:15,33,0,97,19.17,83,33,33,42,237.27,57.49,97.58,6.8,72,43,47.46,19.17,45,45,1.67,0,12.89,0,0,10.6,12.89,4.04,4.02,122.82,29,163.76,17.51,9.96,0,0,28.9,5.29,149.8,0,25.74,188.77,14.45,64.18,10.97,3.97,52.98,163.76,13.49,4.6,0,26.73,70.25,4.13,0

58,14:15-14:30,33,0,93,19.67,82,33,33,41,236.6,58.99,95.4,7,72,43,47.32,19.67,48.33,48.34,2,0,12.2,0,0,10.6,12.2,4.04,4.02,122.82,29,163.76,17.51,9.44,0,0,28.9,5.29,149.8,0,25.74,188.77,14.45,64.18,10.97,3.97,52.98,163.76,13.49,4.6,0,26.73,70.25,4.13,0

59,14:30-14:45,33,0,90,20,81,33,33,40,235.1,60,92.68,8.4,72,43,47.02,20,51.67,51.66,2.67,0,15.21,0,0,10.6,15.21,4.04,4.02,122.82,29,163.76,17.51,11.76,0,0,28.9,4.15,149.8,0,25.74,188.77,14.45,64.18,10.97,3.97,79.95,163.76,13.49,4.6,0,26.73,70.25,4.13,0

60,14:45-15:00,33,0,88,20.33,78,33,33,39,227.19,61.01,89.45,9,69,42,45.44,20.33,55,55,3.33,0,14.33,0,0,10.6,14.33,4.04,4.02,122.82,29,163.76,17.51,11.07,0,0,28.9,4.15,149.8,0,26.24,188.77,14.45,64.18,10.97,3.97,79.95,163.76,13.49,4.6,0,26.73,70.25,4.13,0

61,15:00-15:15,33,0,87,20.83,72,33,33,36,216.49,62.51,85.7,10,64,41,43.3,20.83,58.33,58.34,3.67,0,13.6,0,0,10.6,13.6,4.04,4.02,122.82,29,163.76,17.51,10.51,0,0,28.9,4.15,149.8,0,26.24,188.77,14.45,64.18,10.88,3.97,100.36,163.76,13.49,4.6,0,26.73,70.25,4.13,0

62,15:15-15:30,33,0,82,21.33,67,33,33,33,197.7,64.01,81.48,10.4,60,40,39.54,21.33,61.67,61.66,4,0,12.63,0,0,10.6,12.63,4.04,4.02,122.82,29,163.76,17.51,9.76,0,0,28.9,4.15,149.8,0,26.24,188.77,14.45,64.18,10.88,3.97,100.36,163.76,13.49,4.6,0,26.73,70.25,4.13,0

63,15:30-15:45,33,0,77,35.83,63,33,33,32,182.47,107.51,76.68,11,52,35,36.49,35.83,81.67,81.66,38.33,0,11.68,0,0,10.6,11.68,2.33,4.02,122.82,29,163.76,17.51,9.02,0,0,28.9,5.78,149.8,0,26.75,188.77,14.45,64.18,10.88,3.98,100.36,163.76,13.49,4.6,0,26.73,70.25,5.78,0

64,15:45-16:00,33,0,70,35.83,60,33,33,30,167.67,107.51,71.42,11.41,48,36,33.53,35.83,81.67,81.66,38.33,0,11.24,0,0,10.6,11.24,3.88,4.02,122.82,29,163.76,17.51,8.69,0,0,28.9,5.78,149.8,0,26.75,188.77,14.45,64.18,10.88,3.98,100.36,163.76,13.49,4.6,0,26.73,70.25,5.78,0

65,16:00-16:15,33,0,66,35.83,45,33,33,22,152.57,107.51,68.97,13.81,40,33,30.51,35.83,81.67,81.66,38.33,0,10.29,0,0,10.6,10.29,3.88,4.2,122.82,29,163.76,17.51,7.96,0,0,28.9,5.78,149.8,0,26.24,129.08,14.45,46.24,11.06,3.98,100.36,163.76,13.49,4.15,0,26.73,70.25,4.13,0

