Column1,Block,NR/2024/21940/A/34014,NR/2024/21954/A/34013,NR/2024/22755/C,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/22772/C,NR/2024/22611/A/33780,NR/2024/22610/A/33779,NR/2024/22774/C,NR/2024/21658/A/33727,NR/2024/21961/A/34018,NR/2024/21983/A/33738,NR/2024/21938/A/34020,NR/2024/21943/A/34012,NR/2024/22773/C,NR/2024/21968/A/34041,NR/2024/22279/A/33722,NR/2024/21918/A/34083,NR/2024/21970/A/34042,NR/2024/21956/A/34015,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/2024/21911/A/33978,NR/2024/21974/A/34044,NR/2024/21971/A/34043,NR/01082024/31082024/SKS-Raigarh,NR/2024/21933/A/33739,NR/2024/22010/A/34085,NR/30092023/26122029/SH-06,NR/2024/22623/A/33786,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22014/A/33726,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/2024/21860/A/33970,NR/2024/21814/A/34045,NR/30092023/31122025/SH-07,NR/2024/21966/A/33774,NR/2024/22498/A/34091,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/22042/A/33725,NR/01082024/31082024/jitpl,Total
19,04:30-04:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.53,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1418.5761999999995

20,04:45-05:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.53,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1418.5761999999995

21,05:00-05:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.53,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1375.1161999999997

22,05:15-05:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.53,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1375.1161999999997

23,05:30-05:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.53,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1375.1161999999997

24,05:45-06:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.53,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,7.73,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1374.1561999999997

25,06:00-06:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.63,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,7.73,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1243.6062

26,06:15-06:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.63,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,7.73,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1243.6062

27,06:30-06:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.63,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,7.73,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1243.6062

28,06:45-07:00,84.19,24.07,241.42,48.28,21.25,0,0,0.06,0,0,28.01,0.63,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,7.73,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1243.6662

29,07:00-07:15,84.19,24.07,241.42,48.28,21.25,0,0,0.52,0,0,28.01,0.72,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,7.73,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1244.2161999999998

30,07:15-07:30,84.19,24.07,241.42,48.28,21.25,0,0,0.8,0,0,28.01,0.72,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,7.73,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1244.4962

31,07:30-07:45,84.19,24.07,241.42,48.28,21.25,0,0,1.46,0,0,28.01,0.72,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,6.76,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1244.1861999999999

32,07:45-08:00,84.19,24.07,241.42,48.28,21.25,0,0,1.89,0,0,28.01,0.72,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,6.76,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1244.6162

33,08:00-08:15,84.19,24.07,241.42,48.28,21.25,0,0,1.65,0,0,28.01,0.97,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,6.76,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1244.6262

34,08:15-08:30,84.19,24.07,241.42,48.28,21.25,0,0,1.83,0,0,28.01,0.97,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,6.76,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1244.8062

35,08:30-08:45,84.19,24.07,241.42,48.28,21.25,0,0,2.34,0,0,28.01,0.97,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,6.76,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1245.3162

36,08:45-09:00,84.19,24.07,241.42,48.28,21.25,0,0,3.33,0,0,28.01,0.97,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,6.76,96.57,14.38,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1246.3062

37,09:00-09:15,84.19,24.07,241.42,0,0,0,0,4.04,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.38,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1300.1262

38,09:15-09:30,84.19,24.07,241.42,0,0,0,0,3.6,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.38,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1299.6861999999996

39,09:30-09:45,84.19,24.07,241.42,0,0,0,0,3.82,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.38,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1299.9061999999997

40,09:45-10:00,84.19,24.07,241.42,0,0,0,0,3.81,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.38,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1299.8961999999997

41,10:00-10:15,84.19,24.07,241.42,0,0,0,0,3.13,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1299.0361999999996

42,10:15-10:30,84.19,24.07,241.42,0,0,0,0,5.99,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1301.8962

43,10:30-10:45,84.19,24.07,241.42,0,0,0,0,5.84,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1301.7461999999998

44,10:45-11:00,84.19,24.07,241.42,0,0,0,0,4.72,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1300.6262

45,11:00-11:15,84.19,24.07,241.42,0,0,0,0,6.3,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1302.2061999999999

46,11:15-11:30,84.19,24.07,241.42,0,0,0,0,7.11,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1303.0161999999998

47,11:30-11:45,84.19,24.07,241.42,0,0,0,0,4.83,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1300.7361999999998

48,11:45-12:00,84.19,24.07,241.42,0,0,0,0,5.74,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1301.6462

49,12:00-12:15,84.19,24.07,241.42,0,0,0,0,7.6,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1303.5061999999998

50,12:15-12:30,84.19,24.07,241.42,0,0,0,0,6.66,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1302.5662

51,12:30-12:45,84.19,24.07,241.42,0,0,0,0,8.15,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1304.0561999999998

52,12:45-13:00,84.19,24.07,241.42,0,0,0,0,8.82,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1304.7261999999998

53,13:00-13:15,84.19,24.07,241.42,0,0,0,0,9.55,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1305.4561999999999

54,13:15-13:30,84.19,24.07,241.42,0,0,0,0,9.66,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1305.5662

55,13:30-13:45,84.19,24.07,241.42,0,0,0,0,8.29,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1304.1961999999999

56,13:45-14:00,84.19,24.07,241.42,0,0,0,0,7.37,10.62,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,14.2,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1303.2761999999998

57,14:00-14:15,84.19,24.07,241.42,0,0,0,0,7.82,3.28,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1297.6761999999997

58,14:15-14:30,84.19,24.07,241.42,0,0,0,0,8.54,3.28,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1298.3961999999997

59,14:30-14:45,84.19,24.07,241.42,0,0,0,0,8.12,3.28,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1297.9761999999996

60,14:45-15:00,84.19,24.07,241.42,0,0,0,0,7.18,3.86,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1297.6161999999997

61,15:00-15:15,84.19,24.07,241.42,0,0,0,0,5.37,4.35,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1296.2961999999995

62,15:15-15:30,84.19,24.07,241.42,0,0,0,0,6.79,5.02,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,6.76,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1298.3861999999997

