Time,Block,NR/2023/12922/F,NR/2023/10436/A,NR/2023/12706/A,NR/2023/12916/F,NR/2023/10956/A,NR/2023/10561/A,NR/2023/13531/D,NR/2023/12921/F,NR/2023/13542/C,NR/2023/12924/F,NR/2023/11953/A,NR/2023/11712/A,NR/2023/11709/A,NR/2023/10947/A,NR/2023/10435/A,NR/2023/12923/F,NR/2023/10432/A,NR/2023/11266/A,NR/2023/13552/C,NR/2023/13315/F,NR/2023/12813/F,NR/2023/10651/A,NR/2023/10786/A,NR/2023/12917/F,NR/2023/10488/A,NR/2023/12920/F,NR/2023/13575/C,NR/2023/12915/F,NR/2023/12919/F,NR/2023/12872/F,NR/2023/13524/D,NR/2023/13551/C,NR/2023/12169/A,NR/2023/12814/F,NR/2023/13536/C,NR/2023/10720/A,ER/2023/8302/C,NR/2023/13526/D,NR/2023/13532/D,NR/2023/13503/D,NR/2023/13533/D,NR/2023/10460/A,NR/2023/13541/C,NR/2023/11507/A,NR/2023/13369/F,NR/2023/12661/A,NR/2023/11447/A,NR/2023/10959/A,Total
19,04:30-04:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.440000,0,15.790000,54.190000,85.640000,31.600000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1403.88

20,04:45-05:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.440000,0,15.790000,54.190000,85.640000,31.600000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1403.88

21,05:00-05:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.710000,54.190000,85.640000,31.600000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1305.13

22,05:15-05:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.710000,54.190000,85.640000,31.600000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1305.13

23,05:30-05:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.710000,54.190000,85.640000,31.600000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1305.13

24,05:45-06:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.710000,54.190000,85.640000,31.600000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1305.13

25,06:00-06:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.530000,1.4,15.710000,0.000000,85.640000,31.600000,23.710000,0.000000,0,86.560000,8.230000,0.6,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1229.77

26,06:15-06:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.530000,2.1,15.710000,0.000000,85.640000,31.600000,23.710000,0.000000,0,86.560000,8.230000,0.9,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1230.77

27,06:30-06:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.530000,2.8,15.710000,0.000000,85.640000,31.600000,23.710000,53.000000,0,86.560000,8.230000,1.2,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1284.77

28,06:45-07:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.530000,17.5,15.710000,0.000000,85.640000,31.600000,23.710000,100.000000,0,86.560000,8.230000,7.5,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1352.77

29,07:00-07:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.680000,24.5,15.520000,0.000000,85.640000,30.570000,23.710000,100.000000,0,86.560000,8.230000,10.5,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1410.08

30,07:15-07:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.680000,35,15.520000,0.000000,85.640000,30.570000,23.710000,100.000000,0.61,86.560000,8.230000,15,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1425.69

31,07:30-07:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.680000,47.6,15.520000,0.000000,85.640000,30.570000,23.710000,100.000000,1.13,86.560000,8.230000,20.4,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1444.21

32,07:45:08:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.680000,59.5,15.520000,0.000000,85.640000,30.570000,23.710000,100.000000,1.16,86.560000,8.230000,25.5,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1461.24

33,08:00-08:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,68.6,15.520000,0.000000,85.640000,31.600000,23.710000,100.000000,1.74,86.560000,8.230000,29.4,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1476.39

34,08:15-08:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,84,15.520000,0.000000,85.640000,31.600000,23.710000,100.000000,2.03,86.560000,8.230000,36,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1498.68

35,08:30-08:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,87.5,15.520000,0.000000,85.640000,31.600000,23.710000,100.000000,2.42,86.560000,8.230000,37.5,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1504.07

36,08:45:09:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,108.5,15.520000,0.000000,85.640000,31.600000,23.710000,100.000000,2.9,86.560000,8.230000,46.5,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1534.55

37,09:00:09:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,119,15.430000,0.000000,85.640000,31.600000,23.710000,100.000000,3.68,86.560000,8.230000,51,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1604.43

38,09:15-09:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,128.8,15.430000,0.000000,85.640000,31.600000,23.710000,100.000000,3.87,86.560000,8.230000,55.2,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1618.62

39,09:30-09:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,133,15.430000,0.000000,85.640000,31.600000,23.710000,100.000000,4.06,86.560000,8.230000,57,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1624.81

40,09:45-10:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,0.000000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,147,15.430000,0.000000,85.640000,31.600000,23.710000,100.000000,4.26,86.560000,8.230000,63,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1645.01

41,10:00-10:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,47.420000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,154,15.340000,0.000000,85.640000,33.630000,23.710000,100.000000,4.55,86.560000,8.230000,66,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1747.24

42,10:15-10:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,47.420000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,161,15.340000,0.000000,85.640000,33.630000,23.710000,100.000000,4.6,86.560000,8.230000,69,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1757.29

43,10:30-10:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,47.420000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,168,15.340000,0.000000,85.640000,33.630000,23.710000,100.000000,4.64,86.560000,8.230000,72,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1767.33

44,10:45-11:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,47.420000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,175,15.340000,0.000000,85.640000,33.630000,23.710000,100.000000,5.03,86.560000,8.230000,75,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1777.72

